Variable:,pr
,Mauritania,Adrar,Assaba,Brakna,Dakhlet-Nouadhibou,Gorgol,Guidimakha,"Hodh Ech Chargi","Hodh El Gharbi",Inchiri,Nouakchott,Tagant,Tiris-Zemmour,Trarza
1901,101.67,29.29,332.05,229.41,37.01,411.19,552.43,139.29,290.60,45.31,117.17,104.02,15.50,157.47
1902,88.70,29.29,255.30,189.15,35.79,307.82,390.89,136.96,241.49,44.26,77.32,101.84,15.50,113.80
1903,97.46,29.29,317.68,205.64,36.04,383.09,517.32,142.50,284.33,44.58,84.72,103.53,15.50,121.98
1904,94.09,29.29,282.39,203.54,36.44,344.50,457.61,140.31,259.63,44.85,95.59,102.45,15.50,132.55
1905,122.11,29.45,479.94,336.17,5.92,619.36,829.96,146.54,359.93,21.35,100.80,121.39,15.50,181.60
1906,124.51,28.96,490.10,345.76,8.76,634.13,855.11,148.42,370.38,21.65,113.91,118.45,15.50,192.82
1907,101.46,34.61,327.26,212.91,14.24,344.01,454.48,144.43,306.22,26.99,69.80,138.88,15.54,120.00
1908,89.91,26.54,274.72,184.08,22.59,351.96,474.48,145.89,244.89,32.68,78.11,86.51,15.52,118.11
1909,103.63,28.85,338.39,210.57,40.72,393.60,550.35,150.48,309.29,44.99,112.02,109.21,15.46,146.35
1910,109.61,31.87,360.33,280.78,80.20,458.77,581.51,136.06,287.08,91.69,143.56,113.06,15.50,171.81
1911,92.21,28.35,301.70,187.48,4.97,345.18,470.73,136.13,286.77,22.53,73.19,104.38,15.49,115.17
1912,96.16,30.82,290.62,236.95,16.70,361.32,442.53,136.62,260.47,27.76,93.14,110.80,15.50,151.13
1913,89.85,29.82,281.50,186.72,19.49,332.22,446.92,136.27,257.92,29.21,61.48,104.26,15.50,104.12
1914,87.62,23.99,246.80,176.33,49.60,330.15,450.67,139.69,247.22,45.62,106.44,74.00,15.49,133.86
1915,98.22,29.29,293.15,216.24,36.83,361.73,467.00,146.73,265.43,45.21,109.69,102.96,15.50,155.44
1916,104.92,31.51,293.65,249.80,74.24,386.33,468.20,145.40,265.43,95.46,176.57,102.96,15.50,189.44
1917,98.56,29.29,293.25,223.88,37.41,365.62,467.18,144.34,265.43,45.62,124.90,102.96,15.50,161.97
1918,116.83,32.90,335.50,313.82,100.53,495.46,584.84,148.66,265.05,100.70,202.82,109.76,15.50,240.85
1919,98.36,29.05,317.75,226.52,37.95,383.31,500.48,134.00,291.80,37.15,94.84,106.84,15.50,144.48
