Variable:,pr
,Cuba,Camaguey,"Ciego De Avila",Cienfuegos,"Ciudad De La Habana",Granma,Guantanamo,Holguin,"Isla De La Juventud","La Habana","Las Tunas",Matanzas,"Pinar Del Rio","Sancti Spiritus","Santiago De Cuba","Villa Clara"
1901,1572.74,1438.44,1345.57,1653.22,1500.91,1684.30,1494.54,1347.83,1829.79,1720.48,1322.56,1672.50,1789.20,1544.41,1798.41,1604.11
1902,1282.37,1309.83,1228.97,1336.12,1211.60,1183.53,1231.70,1139.61,1490.48,1342.43,1095.27,1262.32,1449.82,1374.94,1299.98,1320.25
1903,1334.25,1326.32,1266.37,1392.41,1302.50,1200.37,1261.53,1158.41,1610.04,1438.89,1096.02,1357.00,1561.23,1420.41,1368.48,1392.55
1904,1325.99,1396.35,1280.00,1224.67,1091.15,1509.35,1468.77,1294.08,1214.42,1198.75,1256.50,1170.26,1204.77,1341.51,1658.52,1298.65
1905,1396.65,1425.44,1264.77,1249.45,1145.12,1749.49,1619.39,1426.14,1159.61,1233.68,1337.21,1194.72,1220.12,1339.34,1944.32,1293.97
1906,1619.19,1444.97,1296.36,1644.90,1461.40,1889.58,1674.35,1465.70,1871.99,1660.32,1413.04,1629.09,1778.51,1536.27,2059.27,1587.18
1907,1114.74,1279.28,1203.93,1075.87,909.56,1040.82,1126.61,1043.76,1049.53,1036.77,1025.54,996.85,1068.42,1281.93,1139.99,1133.15
1908,1342.88,1322.23,1290.30,1504.64,1355.17,1144.85,1220.10,1136.47,1611.16,1504.50,1070.65,1454.49,1534.69,1455.01,1261.71,1472.67
1909,1476.86,1397.22,1282.06,1532.20,1372.72,1591.76,1496.06,1316.40,1589.60,1541.88,1274.97,1504.62,1575.59,1455.52,1754.06,1499.78
1910,1392.65,1343.11,1191.56,1416.02,1266.33,1537.37,1486.70,1318.51,1457.22,1393.74,1238.67,1346.96,1417.26,1382.41,1704.60,1365.18
1911,1189.08,1259.13,1241.22,1286.04,1136.31,905.91,1093.94,1025.45,1440.38,1261.17,954.76,1228.49,1339.21,1373.31,1032.90,1328.67
1912,1221.16,1226.50,1228.98,1429.98,1312.24,779.41,1021.55,968.37,1586.72,1473.76,899.41,1398.24,1545.03,1416.25,893.44,1401.06
1913,1237.26,1286.75,1242.34,1309.42,1163.22,1049.45,1159.18,1064.85,1533.67,1291.46,1020.90,1234.31,1447.34,1387.92,1163.89,1298.24
1914,1150.07,1270.15,1303.38,1281.07,1145.86,769.31,988.34,942.62,1332.67,1244.35,902.90,1212.86,1327.83,1375.49,863.05,1333.28
1915,1625.82,1516.45,1271.94,1402.15,1289.26,2312.53,1966.82,1686.02,1428.67,1411.20,1587.99,1361.48,1467.79,1399.86,2550.97,1412.65
1916,1388.98,1440.65,1262.76,1181.59,1001.00,1864.64,1662.91,1459.37,1156.76,1116.13,1374.58,1089.06,1139.00,1321.38,2084.73,1235.36
1917,1206.21,1351.15,1213.19,1062.85,887.17,1427.37,1383.95,1234.74,987.96,981.53,1193.16,966.89,996.30,1264.05,1559.14,1128.13
1918,1193.71,1342.13,1243.58,1092.17,912.13,1316.30,1342.53,1191.14,943.32,1009.23,1131.51,997.24,1000.68,1276.89,1475.78,1186.42
1919,1410.49,1397.55,1269.68,1326.38,1160.67,1623.31,1557.14,1383.25,1407.23,1323.71,1264.27,1284.01,1380.26,1392.72,1853.29,1347.89
1920,1224.75,1272.29,1258.68,1373.31,1226.53,921.19,1080.32,995.80,1530.71,1354.10,972.57,1302.75,1461.66,1399.73,1036.44,1356.93
1921,1257.38,1348.55,1265.23,1201.31,1013.08,1322.75,1350.18,1204.93,1177.30,1136.10,1145.66,1132.85,1190.21,1345.94,1479.65,1256.48
1922,1300.20,1287.38,1287.62,1505.16,1400.52,981.15,1119.67,1028.44,1544.78,1531.25,993.70,1499.33,1516.03,1443.88,1086.46,1504.56
1923,1311.87,1301.91,1253.61,1425.40,1205.09,1154.73,1264.41,1133.87,1555.39,1407.64,1060.29,1368.43,1492.12,1432.18,1319.13,1376.78
1924,1437.47,1322.27,1244.34,1575.31,1456.07,1340.25,1368.80,1222.20,1810.63,1606.93,1148.93,1547.27,1732.35,1473.81,1495.86,1509.96
1925,1189.36,1291.03,1252.98,1186.91,1139.11,1036.47,1160.49,1066.32,1171.19,1230.66,1008.10,1191.49,1199.36,1322.51,1160.21,1290.20
1926,1339.31,1312.86,1279.67,1493.98,1363.08,1129.74,1193.69,1086.65,1612.42,1537.15,1060.18,1485.42,1565.05,1447.53,1230.79,1473.42
1927,1202.85,1314.36,1222.43,1162.40,969.31,1245.12,1282.42,1149.64,1195.24,1075.33,1107.64,1045.83,1163.65,1309.74,1379.45,1185.52
1928,1239.84,1333.33,1270.72,1254.47,1097.50,1191.04,1238.69,1119.38,1205.31,1237.29,1099.40,1211.71,1200.37,1353.03,1313.70,1295.52
1929,1288.06,1272.43,1280.06,1539.24,1413.81,907.73,1058.16,981.81,1563.66,1554.77,963.58,1500.58,1574.79,1452.39,993.57,1529.73
1930,1387.69,1273.41,1278.71,1665.26,1573.99,965.94,1130.29,1049.04,1946.19,1762.63,981.80,1652.92,1863.13,1518.53,1087.68,1600.43
