Variable:,pr
,Angola,Bengo,Benguela,Bie,Cabinda,"Cuando Cubango","Cuanza Sul",Cunene,Huambo,Huila,"Kuanza Norte",Luanda,"Lunda Norte","Lunda Sul",Malanje,Moxico,Namibe,Uige,Zaire
1901,970.60,525.51,688.15,1231.22,834.79,802.62,863.62,603.08,1244.28,845.16,790.06,363.68,1358.45,1297.63,1163.75,1119.83,313.56,1161.94,840.88
1902,988.09,506.26,689.56,1231.85,984.73,811.24,904.18,729.83,1245.10,881.23,857.50,265.83,1358.45,1297.63,1184.65,1119.83,306.80,1196.94,845.59
1903,1013.01,829.01,697.91,1233.66,1264.30,763.33,1100.35,531.38,1247.58,815.45,1251.32,530.00,1358.46,1297.63,1272.03,1111.10,297.29,1413.55,1087.15
1904,930.55,384.20,684.81,1230.50,964.18,756.85,793.45,514.64,1243.30,803.10,634.22,264.78,1358.45,1297.63,1138.37,1094.03,304.92,1056.43,714.69
1905,929.88,479.53,687.39,1231.19,1013.87,704.74,862.11,466.35,1244.28,793.84,784.41,295.17,1358.45,1297.63,1168.85,1045.05,321.47,1156.40,803.03
1906,1021.08,767.12,697.49,1233.74,999.79,794.70,1080.96,718.45,1247.74,872.23,1152.18,490.84,1358.46,1297.63,1250.04,1078.52,303.53,1409.89,1100.62
1907,969.96,480.21,688.99,1231.37,928.13,808.32,862.10,719.04,1244.51,859.76,747.23,328.68,1358.45,1297.63,1163.55,1080.71,306.68,1135.29,837.79
1908,976.61,686.18,691.52,1232.17,1051.79,764.26,968.93,475.47,1245.56,779.23,1028.89,435.98,1350.57,1296.39,1217.22,1102.39,296.96,1290.88,967.94
1909,1093.36,1093.34,699.86,1233.94,1389.16,885.68,1172.01,957.46,1247.83,908.15,1497.44,711.53,1358.46,1282.66,1287.09,1092.09,325.09,1551.45,1335.63
1910,1002.67,767.70,696.39,1232.96,1059.70,723.64,1042.57,611.90,1247.08,834.80,1097.85,532.95,1358.46,1302.43,1233.53,1124.42,342.70,1351.14,1056.84
1911,933.10,530.66,603.69,1219.24,988.08,661.82,860.86,507.58,1134.39,779.20,838.12,286.27,1358.45,1289.88,1177.64,1092.71,279.66,1252.89,869.27
