Variable:,pr
,Guatemala,Guatemala,"El Progreso",Sacatepéquez,Chimaltenango,Escuintla,"Santa Rosa",Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,"San Marcos",Huehuetenango,Quiché,"Baja Verapaz","Alta Verapaz",Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
1901,2710.77,2383.18,2642.51,2380.32,2142.22,3246.62,2738.84,2401.48,2573.35,3212.27,2802.38,2834.23,2386.50,3041.83,3275.29,2854.02,3584.81,2269.61,2867.64,2900.66,2340.15,2577.70,2309.40
1902,2705.22,2383.18,2642.51,2380.32,2142.22,3246.62,2738.84,2401.48,2573.35,3212.27,2802.38,2834.23,2386.50,3041.83,3275.29,2854.02,3584.81,2252.73,2867.64,2900.66,2340.15,2577.70,2309.40
1903,2699.36,2383.18,2642.51,2380.32,2142.22,3246.58,2738.84,2401.47,2570.02,3184.91,2798.71,2818.26,2350.68,3016.83,3273.68,2854.02,3584.81,2246.64,2867.64,2900.66,2340.15,2577.70,2309.40
1904,2710.25,2383.18,2642.51,2380.32,2142.22,3246.64,2738.84,2401.48,2574.90,3225.19,2804.19,2842.06,2403.84,3053.15,3275.99,2854.02,3584.81,2262.56,2867.64,2900.66,2340.15,2577.70,2309.40
1905,2707.94,2383.18,2642.51,2380.32,2142.22,3246.57,2738.84,2401.47,2569.11,3177.26,2797.74,2813.99,2341.06,3009.47,3273.20,2854.02,3584.81,2276.06,2867.64,2900.66,2340.15,2577.70,2309.40
1906,2710.23,2383.18,2642.51,2380.32,2142.22,3246.65,2738.84,2401.48,2574.81,3225.20,2804.49,2843.11,2405.40,3051.47,3275.84,2854.02,3584.81,2262.64,2867.64,2900.66,2340.15,2577.70,2309.40
1907,2716.76,2383.18,2642.51,2380.32,2142.22,3246.67,2738.84,2401.49,2576.40,3238.18,2806.31,2850.95,2422.73,3062.76,3276.56,2854.02,3584.81,2277.01,2867.64,2900.66,2340.15,2577.70,2309.40
1908,2706.92,2383.18,2642.51,2380.32,2142.22,3246.61,2738.84,2401.48,2572.17,3202.37,2800.98,2828.21,2373.20,3033.17,3274.75,2854.02,3584.81,2262.11,2867.64,2900.66,2340.15,2577.70,2309.40
1909,2713.01,2383.18,2642.51,2380.32,2142.22,3246.62,2738.84,2401.48,2573.35,3212.27,2802.38,2834.23,2386.50,3041.83,3275.29,2854.02,3584.81,2276.44,2867.64,2900.66,2340.15,2577.70,2309.40
1910,2719.79,2383.18,2642.51,2380.32,2142.22,3246.69,2738.84,2401.50,2578.74,3257.69,2808.75,2861.75,2447.40,3081.56,3277.77,2854.02,3584.81,2277.78,2867.64,2900.66,2340.15,2577.70,2309.40
1911,2703.63,2383.18,2642.51,2380.32,2142.22,3246.65,2738.84,2401.49,2575.03,3226.70,2804.68,2843.98,2407.40,3052.52,3277.67,2854.02,3586.70,2241.02,2867.78,2900.66,2340.15,2577.70,2309.40
1912,2742.34,2383.18,2642.51,2380.32,2142.22,3246.69,2738.84,2401.50,2578.04,3252.29,2808.26,2859.45,2441.69,3080.38,3287.46,2854.02,3596.51,2342.07,2868.48,2900.66,2340.15,2577.70,2309.40
1913,2784.27,2383.18,2642.51,2380.32,2142.22,3246.59,2738.84,2401.47,2570.81,3190.97,2799.39,2821.33,2357.93,3060.82,3312.88,2854.02,3625.82,2474.08,2869.85,2900.66,2340.15,2577.70,2309.40
1914,2743.28,2383.18,2642.51,2380.32,2142.22,3246.62,2738.84,2401.48,2573.35,3212.27,2802.38,2834.23,2386.50,3054.14,3290.72,2854.02,3603.43,2357.13,2868.56,2900.66,2340.15,2577.70,2309.40
1915,2707.78,2383.18,2642.51,2380.32,2142.22,3246.62,2738.84,2401.48,2573.35,3212.27,2802.38,2834.23,2386.50,3040.10,3273.41,2854.02,3583.04,2261.80,2867.54,2900.66,2340.15,2577.70,2309.40
1916,2726.71,2383.18,2642.51,2380.32,2142.22,3246.60,2738.84,2401.47,2571.75,3198.65,2800.46,2825.95,2368.20,3029.90,3274.55,2854.02,3584.81,2323.87,2867.64,2900.66,2340.15,2577.70,2309.40
1917,2705.74,2383.18,2642.51,2380.32,2142.22,3246.58,2738.84,2401.47,2570.09,3184.87,2798.53,2817.62,2349.77,3017.87,3273.78,2854.02,3584.81,2265.95,2867.64,2900.66,2340.15,2577.70,2309.40
1918,2727.64,2383.18,2642.51,2380.32,2142.22,3246.81,2738.84,2401.53,2587.31,3330.14,2819.19,2906.63,2546.11,3143.26,3281.59,2854.02,3584.81,2271.07,2867.64,2900.66,2340.15,2577.70,2309.40
1919,2767.14,2383.18,2642.51,2380.32,2142.22,3246.81,2738.84,2401.53,2587.82,3333.94,2819.44,2907.96,2549.68,3142.22,3289.37,2854.02,3593.77,2386.44,2868.14,2900.66,2340.15,2577.70,2309.40
1920,2684.34,2383.18,2642.51,2380.32,2142.22,3246.62,2738.84,2401.48,2573.35,3212.27,2802.38,2834.23,2386.50,3038.35,3269.23,2854.02,3579.63,2192.71,2867.45,2900.66,2340.15,2577.70,2309.40
1921,2746.63,2383.18,2642.51,2380.32,2142.22,3246.77,2738.84,2401.52,2584.63,3307.32,2815.98,2892.79,2515.48,3125.11,3284.24,2854.02,3589.38,2336.05,2867.53,2900.66,2340.15,2577.70,2309.40
1922,2676.07,2383.18,2642.51,2380.32,2142.22,3246.64,2738.84,2401.48,2574.39,3221.41,2803.93,2840.75,2400.34,3034.08,3263.37,2854.02,3572.65,2169.51,2866.63,2900.66,2340.15,2577.70,2309.40
1923,2123.91,1933.91,2210.68,1890.01,1646.90,2637.49,2378.21,1775.76,1886.53,2390.83,2152.76,2161.86,1771.07,2196.95,2391.52,2254.15,2832.95,1653.29,2642.71,2571.48,2149.29,2232.06,2098.50
1924,2905.43,2631.77,2863.25,2657.63,2414.82,3649.29,2958.60,2744.84,2922.16,3654.01,3228.28,3258.68,2688.86,3339.00,3638.48,3136.71,3887.53,2313.50,2959.03,3058.13,2434.72,2759.13,2428.77
1925,2532.43,2046.22,2415.41,1984.08,1755.62,2628.51,2376.12,1888.39,2145.93,2586.76,2156.87,2194.68,1995.99,2867.21,3029.26,2751.56,3377.57,2290.50,2818.17,2750.47,2217.45,2342.22,2101.50
1926,2579.71,2299.71,2524.35,2298.45,2051.00,3254.67,2739.77,2292.68,2400.13,3125.17,2817.22,2850.26,2343.69,2765.77,2945.37,2559.75,3334.69,2144.00,2823.87,2828.90,2324.69,2518.93,2321.86
1927,3012.57,2635.11,2872.34,2662.99,2420.84,3584.64,2914.84,2749.17,2959.22,3714.09,3154.06,3217.17,2754.91,3515.86,3799.18,3247.33,3999.57,2549.01,2936.13,3029.78,2404.93,2739.35,2388.76
1928,3022.64,2624.32,2983.77,2614.26,2411.28,3311.03,2785.37,2734.69,3107.64,3564.95,2900.75,2950.89,2675.20,3884.17,4173.62,3599.31,4277.14,2363.44,3052.38,3160.52,2440.29,2778.29,2334.24
1929,2884.63,2613.02,2831.11,2638.10,2385.80,3551.03,2939.32,2705.74,2858.34,3618.03,3093.52,3158.26,2695.59,3249.98,3511.32,3038.14,3803.34,2367.59,2957.07,3038.89,2431.85,2744.15,2419.52
1930,2810.21,2437.69,2707.52,2435.86,2198.03,3251.14,2751.37,2457.66,2648.28,3225.63,2796.11,2825.79,2407.08,3150.65,3430.10,2994.94,3717.75,2436.60,2894.10,2940.46,2357.71,2614.81,2311.68
1931,3162.34,2786.71,3170.04,2761.93,2515.30,3596.71,3128.70,2815.35,3075.62,3542.75,3088.51,3074.31,2675.59,3729.56,3990.87,3479.77,4327.01,2523.51,3479.97,3564.23,2884.85,3090.73,2732.70
1932,3008.10,2581.06,2932.64,2549.07,2319.73,3381.23,2936.97,2601.77,2860.03,3392.48,2931.10,2951.63,2574.23,3539.80,3740.01,3231.60,4032.13,2535.52,3136.88,3231.28,2615.99,2854.32,2567.42
1933,3068.83,2958.65,3158.50,2983.76,2663.12,4158.11,3609.49,2986.05,3098.35,3889.59,3522.91,3503.06,2894.32,3445.41,3660.48,3160.44,3971.99,2316.62,3119.69,3432.74,2928.33,3203.30,3119.82
1934,2379.21,2075.71,2295.57,2075.13,1854.36,2820.18,2368.98,2085.57,2250.68,2892.91,2413.58,2484.02,2126.53,2668.38,2878.76,2494.49,3154.59,2015.07,2501.10,2509.86,2005.30,2220.28,1966.68
1935,2559.26,2311.38,2463.46,2350.05,2105.67,3262.18,2703.86,2365.79,2525.10,3185.45,2808.90,2833.47,2347.93,2951.39,3160.31,2697.72,3310.58,2118.33,2471.43,2600.20,2125.21,2394.66,2241.31
1936,3266.76,2928.44,3267.01,2914.33,2647.16,3914.81,3377.35,2985.90,3155.60,3784.76,3383.71,3360.02,2818.17,3621.59,3928.64,3423.24,4357.57,2664.38,3544.46,3639.10,2974.53,3232.63,2926.97
1937,3358.49,2866.16,3236.21,2835.63,2546.62,3814.19,3210.25,2852.68,3144.30,3836.91,3274.30,3310.98,2821.11,3878.41,4194.34,3629.33,4513.27,2926.31,3354.18,3481.12,2756.32,3099.17,2687.52
1938,2620.38,2336.90,2537.50,2357.18,2123.81,3174.58,2662.32,2384.75,2562.60,3122.37,2718.67,2727.90,2279.67,3006.02,3276.62,2810.97,3451.63,2216.09,2558.73,2695.80,2169.03,2452.77,2199.24
1939,2352.84,2160.27,2292.71,2198.44,1971.39,3082.24,2591.18,2227.54,2306.14,2963.26,2670.05,2699.74,2194.51,2586.93,2767.11,2365.45,3003.62,1916.48,2397.36,2502.25,2083.77,2289.53,2183.02
1940,2723.85,2339.73,2649.64,2317.57,2079.49,3096.19,2684.29,2296.31,2477.27,2953.10,2624.56,2610.70,2150.20,2916.71,3265.56,2911.06,3588.31,2381.10,2989.98,2981.77,2446.19,2601.18,2344.76
1941,2739.18,2496.03,2790.02,2462.65,2193.86,3385.94,2903.65,2446.42,2608.63,3333.82,2892.79,2941.58,2464.80,3050.11,3315.84,2961.15,3708.73,2167.66,2916.17,3038.10,2473.91,2747.05,2462.58
1942,3012.64,2551.04,2990.96,2478.76,2269.68,3193.80,2758.08,2556.57,2856.73,3340.88,2788.17,2828.20,2489.68,3561.72,3853.78,3362.08,4210.48,2514.45,3249.48,3298.95,2595.44,2863.31,2380.18
1943,2999.40,2669.20,2798.06,2762.28,2525.61,3853.33,2979.92,2921.58,3197.28,4094.89,3470.82,3548.14,2995.50,3898.53,4081.17,3284.71,3957.17,2282.34,2867.35,2909.75,2302.66,2643.39,2372.14
1944,2681.76,2533.18,2632.83,2604.42,2348.24,3569.30,2958.38,2678.16,2847.60,3638.58,3093.36,3152.95,2703.50,3313.55,3477.90,2840.75,3481.92,2009.22,2532.83,2748.97,2285.01,2589.42,2438.50
1945,2622.19,2306.73,2665.43,2230.77,2011.69,3041.88,2715.63,2246.91,2394.40,2921.24,2612.96,2614.99,2189.57,2815.09,2999.49,2714.81,3519.30,2179.58,2980.04,3035.30,2509.65,2664.13,2420.57
1946,2060.13,1601.08,1703.37,1670.89,1577.30,2419.54,1746.11,1916.21,2069.50,2629.12,2294.36,2362.06,1971.35,2496.87,2595.16,1976.34,2560.16,1917.78,1897.39,1852.60,1427.44,1604.56,1382.42
1947,3282.88,2941.07,3254.92,2940.93,2663.45,3937.38,3231.87,2978.05,3284.49,3892.18,3391.06,3365.33,2871.26,4000.02,4369.47,3776.63,4405.44,2600.62,3349.29,3441.65,2760.35,3096.26,2701.51
1948,3077.13,2828.79,3170.95,2770.02,2485.72,3716.63,3266.00,2760.83,2989.20,3660.35,3171.47,3187.33,2731.25,3583.89,3837.86,3389.40,4141.30,2401.40,3286.83,3405.98,2771.65,3089.53,2777.20
1949,2175.11,1998.46,2040.53,2081.57,1904.09,2959.46,2309.91,2227.95,2352.30,3188.12,2691.57,2825.81,2358.48,2755.51,2800.96,2257.34,2700.38,1643.10,2049.49,2119.78,1751.82,1979.59,1876.09
1950,2300.48,2001.60,2246.51,1995.72,1790.47,2674.22,2290.47,1974.14,2155.80,2726.33,2288.06,2333.35,1985.23,2625.49,2817.16,2435.62,3070.15,1905.28,2498.18,2519.53,2048.86,2204.75,1980.47
1951,2643.61,2499.17,2663.97,2505.08,2237.49,3415.48,2915.20,2492.98,2609.21,3298.32,2896.15,2915.27,2451.41,2998.88,3209.40,2797.78,3448.08,2136.42,2574.26,2746.81,2247.83,2588.42,2380.26
1952,2962.15,2751.80,2980.50,2779.91,2487.66,3918.62,3181.58,2810.71,2910.99,3836.18,3412.29,3465.57,2809.87,3233.50,3545.36,3147.27,3862.71,2342.74,3009.06,3207.27,2649.35,2943.48,2688.74
1953,2557.56,2259.20,2512.73,2238.34,2035.38,3048.49,2632.74,2317.97,2550.29,3145.97,2688.99,2771.84,2387.51,3074.39,3161.55,2640.53,3285.66,2086.70,2613.81,2740.45,2254.27,2499.28,2266.97
1954,3267.43,3033.73,3288.22,3050.12,2728.97,4230.93,3580.80,3075.81,3246.76,4323.21,3718.41,3888.71,3222.96,3723.83,3927.02,3381.39,4243.25,2542.16,3325.82,3554.63,2906.96,3268.63,3009.85
1955,3159.77,2700.01,2964.89,2720.99,2516.17,3704.53,2983.95,2856.62,3234.13,3950.30,3407.60,3517.01,2971.94,4069.56,4216.15,3391.83,4137.71,2555.75,3091.44,3134.85,2574.33,2864.81,2530.37
1956,2760.15,2479.14,2748.86,2462.19,2202.78,3396.27,2865.03,2475.76,2637.44,3439.22,2961.33,3066.26,2525.33,3032.45,3232.02,2896.80,3611.90,2293.09,2886.19,2972.48,2404.25,2675.93,2399.57
1957,2541.22,2228.69,2538.47,2179.22,1963.73,2915.38,2586.61,2209.29,2397.26,3065.37,2515.41,2607.05,2272.48,2874.36,3012.47,2635.03,3352.95,2128.37,2733.17,2810.54,2266.87,2475.74,2223.63
1958,3059.73,2705.94,2911.86,2732.35,2523.26,3670.85,3064.77,2895.94,3173.64,4014.22,3371.33,3553.28,3008.05,3765.19,3948.95,3167.70,3879.27,2479.19,2973.29,3126.58,2598.61,2847.99,2586.94
1959,2597.96,2302.93,2585.14,2295.98,2067.80,3262.23,2657.55,2346.71,2526.55,3221.64,2864.26,2891.24,2378.12,3029.27,3213.26,2887.70,3492.82,2075.26,2623.54,2747.51,2183.65,2481.24,2220.59
1960,3153.07,2912.21,3183.08,2892.60,2614.31,3993.26,3401.02,2979.97,3147.42,3943.15,3474.30,3508.65,2953.93,3670.26,3872.15,3371.78,4188.21,2428.13,3362.41,3429.46,2745.17,3101.63,2805.50
1961,3231.64,2647.05,3058.70,2643.00,2437.54,3474.41,2790.31,2741.29,3096.88,3748.90,3118.41,3195.34,2758.57,3856.27,4222.71,3654.88,4464.36,2732.86,3444.18,3387.98,2605.25,2839.73,2374.49
1962,2805.08,2628.79,2914.90,2597.60,2306.62,3645.34,3118.74,2593.95,2700.12,3532.75,3127.90,3192.92,2607.73,3029.52,3261.19,2961.09,3770.17,2177.05,2980.78,3139.45,2555.75,2890.46,2644.11
1963,2673.01,2327.53,2535.78,2383.87,2163.56,3148.15,2602.09,2428.58,2665.74,3249.69,2720.96,2772.16,2440.84,3314.79,3470.84,2887.45,3522.61,2179.81,2701.85,2758.21,2177.07,2480.52,2208.06
1964,2727.20,2441.87,2594.62,2486.42,2268.79,3339.12,2764.22,2570.10,2809.97,3410.36,2948.95,3002.33,2541.88,3381.21,3580.01,2860.04,3493.50,2208.03,2626.84,2743.81,2296.60,2547.52,2321.41
1965,2526.48,2259.16,2458.50,2272.30,2024.22,3200.06,2590.44,2267.49,2419.53,3120.10,2793.94,2860.92,2322.54,2812.79,2997.36,2634.74,3276.62,2120.38,2562.28,2613.24,2116.52,2389.67,2150.15
1966,2854.53,2519.94,2929.45,2439.30,2172.92,3378.69,2973.91,2429.24,2589.75,3363.09,2903.11,2983.91,2482.39,3011.08,3248.48,3006.20,3811.49,2323.30,3279.12,3340.74,2816.78,2986.67,2660.61
1967,2430.13,2094.39,2392.76,2073.54,1877.90,2808.25,2332.48,2092.55,2351.18,2871.46,2463.39,2509.22,2134.53,2868.00,3141.09,2693.52,3269.41,1965.10,2631.17,2636.09,2078.65,2320.69,1969.34
1968,2769.90,2611.75,2833.68,2571.17,2301.03,3599.90,3074.64,2588.79,2702.51,3400.23,3108.68,3118.52,2513.31,3083.97,3286.23,2976.72,3607.68,2207.62,2865.84,2958.68,2423.35,2753.13,2515.16
1969,3284.65,3127.42,3398.92,3136.69,2806.07,4359.82,3735.94,3134.59,3241.35,4124.26,3722.81,3704.92,3081.72,3695.92,3955.70,3447.39,4323.25,2443.92,3546.61,3734.07,3099.99,3456.40,3198.99
1970,2755.32,2558.19,2846.14,2543.08,2297.36,3475.76,3046.93,2573.52,2673.32,3248.83,2975.67,2933.35,2433.43,3005.79,3287.31,2903.23,3669.46,2137.61,2987.26,3180.81,2679.62,2903.96,2681.14
