Variable:,pr
,Colombia,Amazonas,Antioquia,Arauca,Atlantico,Bolivar,Boyaca,Buenaventura,Caldas,Caqueta,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guainia,Guajira,Guaviare,Huila,Magdalena,Meta,Narino,"Norte De Santander",Putumayo,Quindio,Risaralda,"San Andres Y Providencia",Santander,Sucre,Tolima,"Valle Del Cauca",Vaupes,Vichada
1901,2692.00,2998.94,2784.56,1980.34,1081.05,2105.23,1632.03,2673.24,2348.64,2875.25,2703.30,2673.24,1829.42,6957.50,1915.24,1827.14,3120.31,1086.64,2868.22,1672.79,1426.85,2821.84,3380.11,1718.31,3634.02,1904.35,2539.19,1881.55,2281.06,1649.44,1813.08,2553.69,3204.45,2606.27
1902,2470.34,2998.94,2436.94,1877.74,1081.05,1998.46,1162.04,2439.27,1878.15,2789.12,2086.44,2439.27,1812.49,6525.36,1889.70,1319.90,3120.18,1086.64,2716.84,1521.44,1426.85,2099.95,2665.22,1665.81,2989.93,1601.83,2123.51,1859.29,1848.18,1644.14,1565.13,2358.91,3204.45,2581.51
1903,2608.34,2998.94,2697.14,1972.21,1081.05,2076.77,1530.71,2423.64,2191.50,2823.61,2639.48,2423.64,1823.60,6854.08,1910.13,1702.70,3120.30,1086.64,2849.15,1576.78,1426.85,2734.24,2541.32,1708.60,2918.00,1801.89,2428.59,1878.34,2138.91,1648.07,1691.68,2486.43,3204.45,2605.08
1904,2572.35,2998.94,2595.42,1932.33,1081.05,2041.14,1422.67,2462.37,2147.53,2825.00,2415.01,2462.37,1819.01,6645.63,1898.57,1641.66,3120.25,1086.64,2809.42,1591.93,1426.85,2522.82,2756.70,1694.28,3037.78,1788.30,2327.96,1870.03,2095.15,1645.92,1744.23,2459.77,3204.45,2594.62
1905,2601.18,2998.94,2734.68,1943.30,1081.05,2070.90,1501.94,2441.56,2381.11,2821.01,2461.40,2441.56,1824.16,6877.92,1907.92,1740.00,3120.27,1086.64,2817.12,1680.99,1426.85,2596.15,2468.73,1705.08,2875.54,1971.76,2579.62,1875.79,2209.61,1647.25,1925.15,2576.70,3204.45,2597.74
1906,2593.47,2998.94,2630.38,1963.48,1081.05,2056.47,1505.73,2403.20,2144.68,2828.90,2585.69,2403.20,1820.72,6698.50,1904.07,1711.69,3120.29,1086.64,2844.02,1580.05,1426.85,2700.99,2541.47,1703.06,2978.02,1781.29,2358.18,1866.17,2110.88,1647.01,1708.40,2456.07,3204.45,2601.97
1907,2749.47,2998.94,2912.65,2010.78,1081.05,2108.71,1821.38,2549.08,2707.29,2892.42,2860.59,2549.08,1828.88,7092.64,1916.01,2169.22,3120.38,1086.64,2957.04,1804.42,1426.85,3150.71,2832.82,1738.29,3129.21,2232.89,2863.71,1854.18,2497.58,1648.75,2171.51,2721.52,3204.45,2615.27
1908,2703.26,2998.94,2855.38,1969.07,1081.05,2102.39,1648.23,2683.45,2586.13,2872.80,2614.25,2683.45,1829.44,7052.31,1914.52,1930.91,3120.31,1086.64,2870.05,1788.89,1426.85,2805.09,3197.67,1722.36,3380.52,2127.66,2768.24,1871.69,2382.48,1648.58,2074.74,2683.67,3204.45,2604.35
1909,2709.02,2998.94,2803.47,2017.28,1081.05,2101.13,1727.01,2551.25,2378.42,2871.19,2887.62,2551.25,1827.07,6981.87,1916.44,1964.45,3120.36,1086.64,2928.66,1649.77,1426.85,3047.08,3039.10,1728.14,3264.27,1946.24,2597.94,1880.60,2296.51,1649.32,1817.95,2569.64,3204.45,2614.89
1910,2840.18,2998.94,3170.29,2038.26,1081.05,2154.72,2032.08,2559.52,3215.32,2918.92,2997.59,2559.52,1836.63,7384.61,1927.64,2477.82,3120.42,1086.64,3005.22,1983.71,1426.85,3366.14,2660.09,1764.23,3037.17,2670.57,3347.59,1864.69,2807.99,1650.03,2596.95,2972.06,3204.45,2623.02
1911,2559.25,2998.94,2483.90,1922.03,1241.08,2156.62,1297.63,2416.39,1960.66,2806.82,2295.25,2416.39,2434.09,6547.32,1895.02,1495.98,3120.23,1661.71,2778.46,1544.50,1826.05,2371.87,2556.94,2011.06,2941.36,1661.87,2197.39,1862.55,1939.03,1692.75,1620.44,2382.70,3204.45,2589.81
1912,2683.40,2998.94,2800.86,1982.27,1185.83,2190.75,1629.44,2495.97,2392.31,2844.34,2687.42,2495.97,2183.77,7018.17,1915.86,1839.56,3120.32,1442.27,2876.25,1666.00,1667.41,2834.64,2668.56,1870.52,3035.06,1950.70,2607.37,1862.73,2282.96,1681.52,1854.36,2580.68,3204.45,2606.43
1913,2733.45,2998.94,2878.51,1986.83,1149.74,2160.56,1712.13,2711.01,2621.41,2871.98,2721.22,2711.01,2007.40,6984.83,1914.43,1999.10,3120.32,1254.37,2886.34,1756.16,1559.38,2922.61,3268.01,1758.56,3359.40,2119.93,2728.75,1871.16,2451.47,1667.79,2066.81,2664.26,3204.45,2608.17
1914,2479.70,2998.94,2468.16,1890.55,1135.38,2065.64,1208.04,2364.81,1907.54,2773.75,2147.15,2364.81,1981.79,6531.46,1894.98,1348.12,3120.18,1208.56,2719.62,1529.44,1545.45,2179.90,2392.77,1727.81,2795.15,1595.68,2143.17,1852.04,1887.01,1662.85,1579.79,2352.90,3204.45,2582.70
1915,2774.52,2998.94,2912.44,2028.77,1154.25,2183.14,1816.56,2675.36,2564.12,2892.41,2954.68,2675.36,1986.15,7095.51,1922.10,2067.95,3120.38,1113.55,2945.53,1722.64,1571.07,3146.59,3367.29,1774.02,3482.26,2079.82,2750.45,1879.47,2441.83,1674.74,1952.83,2652.53,3204.45,2617.77
1916,2683.04,2998.94,2726.98,2057.85,1109.35,2132.95,1616.50,2610.18,2287.64,2866.86,2709.56,2610.18,1917.28,6865.37,1909.93,1827.72,3120.32,1127.80,2880.87,1659.51,1462.40,2849.87,3153.05,1846.11,3369.98,1896.87,2509.07,1886.42,2280.27,1659.51,1805.45,2539.04,3204.45,2611.50
1917,2885.51,2998.94,3080.03,2281.78,1122.72,2200.33,1981.73,2853.87,2965.02,2947.38,3055.78,2853.87,1991.64,7295.62,1927.02,2338.69,3120.42,1123.26,2998.34,1926.34,1510.82,3352.03,3712.41,1987.49,3802.06,2441.78,3133.51,1880.01,2669.95,1667.45,2341.39,2853.11,3204.45,2632.72
1918,2607.78,2998.94,2665.41,1956.00,1097.36,2065.93,1474.97,2555.61,2304.89,2840.26,2427.87,2555.61,1812.58,6704.96,1901.53,1715.54,3120.24,1056.33,2805.33,1685.63,1418.95,2543.32,2960.83,1691.06,3236.18,1922.47,2476.06,1856.56,2206.91,1648.97,1909.45,2530.82,3204.45,2595.29
1919,2617.04,2998.94,2754.48,1978.92,977.19,1985.03,1601.14,2529.42,2306.82,2844.39,2694.77,2529.42,1313.48,6950.78,1911.62,1804.80,3120.32,586.97,2875.67,1628.37,1117.34,2825.05,2831.45,1397.48,3103.86,1886.06,2529.63,1866.53,2202.55,1617.93,1775.98,2543.50,3204.45,2607.24
1920,2687.08,2998.94,2890.23,2024.44,1061.57,2089.91,1810.79,2354.82,2549.99,2853.48,2942.98,2354.82,1653.30,7041.74,1919.72,2074.34,3120.37,864.58,2941.43,1664.92,1335.02,3118.88,2260.61,1593.39,2790.53,2067.62,2711.96,1861.31,2421.16,1643.48,1948.28,2635.47,3204.45,2617.06
1921,2934.18,2998.94,3280.70,2097.49,1046.88,2143.91,2188.17,2671.65,3409.93,2961.36,3177.18,2671.65,1776.16,7549.87,1933.75,2717.81,3120.49,1032.65,3082.08,2060.90,1348.84,3689.45,3014.49,1832.33,3293.67,2807.79,3519.77,1859.52,2890.59,1643.36,2726.80,3057.03,3204.45,2723.79
1922,2656.98,2998.58,2724.88,2164.57,1075.40,2133.43,1639.64,2387.27,2358.05,2843.65,2720.88,2387.27,1982.29,6835.08,1907.79,1882.52,3107.30,1157.87,2882.31,1670.68,1457.13,2845.76,2406.80,2050.70,2835.02,1981.51,2563.41,1859.52,2364.67,1653.90,1919.67,2562.88,3199.79,2598.56
1923,2410.88,2958.76,2421.91,1687.06,1017.86,1923.93,1224.70,2259.25,1713.24,2772.66,2276.01,2259.25,1469.07,6506.54,1894.64,1319.99,3051.75,863.95,2747.54,1395.48,1230.70,2309.30,2191.58,1305.24,2741.82,1415.13,1969.62,1852.88,1770.20,1623.73,1322.82,2259.48,3072.81,2561.96
