Variable:,pr
,Colombia,Amazonas,Antioquia,Arauca,Atlantico,Bolivar,Boyaca,Buenaventura,Caldas,Caqueta,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guainia,Guajira,Guaviare,Huila,Magdalena,Meta,Narino,"Norte De Santander",Putumayo,Quindio,Risaralda,"San Andres Y Providencia",Santander,Sucre,Tolima,"Valle Del Cauca",Vaupes,Vichada
1924,2612.47,2953.73,2667.80,1965.49,1147.44,2098.99,1494.98,2598.85,2195.25,2845.00,2545.83,2598.85,1932.13,6786.24,1907.99,1683.06,3041.35,1365.52,2814.54,1636.26,1531.01,2630.49,3121.60,1707.55,3407.42,1810.29,2402.48,1880.48,2115.53,1659.16,1746.11,2483.00,3067.65,2542.10
1925,2666.77,3022.59,2748.26,1884.41,939.46,1974.78,1650.42,2547.65,2447.87,2900.01,2685.42,2547.65,1409.15,6844.13,1902.74,1941.48,3208.06,720.50,2998.50,1716.44,1088.40,2962.69,2927.76,1477.68,3259.50,2019.08,2600.26,1861.60,2294.13,1613.56,1969.07,2584.37,3312.10,2561.48
1926,2536.98,2962.30,2670.99,1804.13,1056.07,2016.53,1498.89,2291.71,2199.99,2809.01,2563.38,2291.71,1593.97,6800.85,1906.44,1710.59,3053.84,1007.22,2838.61,1577.25,1300.54,2709.61,2129.37,1443.68,2756.63,1808.66,2416.61,1842.01,2072.25,1639.03,1723.27,2482.22,3112.85,2488.16
1927,2777.15,3015.34,2831.87,2147.76,1038.06,2095.10,1746.52,2680.46,2520.22,2912.42,2855.86,2680.46,1809.23,6961.26,1913.03,2003.34,3237.59,1145.07,3022.00,1735.88,1376.49,3059.39,3294.75,1926.05,3463.76,2065.58,2681.04,1857.33,2428.20,1643.41,1981.40,2625.16,3314.15,2756.19
1928,2764.61,3226.15,2737.50,1960.05,1091.27,2077.08,1603.54,2645.95,2385.71,2881.33,2642.86,2645.95,1814.78,6905.61,1907.42,1848.49,3631.00,1086.27,2962.62,1721.73,1417.82,2832.33,3198.53,1734.80,3355.67,1981.41,2595.41,1840.76,2250.98,1648.46,1919.91,2577.27,3994.02,2515.61
1929,2516.22,2997.62,2465.94,1809.87,986.95,1916.75,1368.88,2496.10,1865.58,2810.38,2465.34,2496.10,1418.88,6434.67,1890.89,1521.33,3158.09,874.71,2780.15,1469.02,1167.42,2519.40,2958.36,1307.84,3223.16,1540.51,2047.54,1819.87,1905.92,1616.18,1463.10,2303.27,3233.34,2606.64
1930,2485.95,2906.03,2652.98,1866.00,942.52,1942.34,1569.62,2049.64,2084.74,2710.17,2691.27,2049.64,1340.84,5140.77,1906.42,1728.88,2859.58,703.45,2868.61,1407.12,1076.76,2769.12,2652.22,1344.66,3043.94,1668.72,2232.67,1814.11,2143.43,1611.51,1604.42,1989.65,2837.02,2642.10
1931,2672.98,2879.39,2762.48,2251.14,1295.17,2272.32,1762.48,2221.44,2331.79,2808.40,2949.89,2221.44,2531.94,6066.34,1912.28,1944.32,2830.26,1586.37,2936.37,1570.47,1933.29,3054.43,2652.52,2197.34,3050.54,1866.66,2454.74,1834.95,2408.03,1699.16,1803.88,2296.34,2791.36,2678.77
1932,2621.60,3051.60,2804.36,2041.10,1095.48,2128.13,1670.66,2338.66,2305.54,2727.64,2704.98,2338.66,1894.88,6098.16,1916.95,1785.82,3068.72,1164.18,2826.50,1521.65,1457.87,2708.72,2992.88,1851.03,3272.53,1830.65,2440.91,1845.22,2422.97,1654.49,1762.78,2274.16,3142.39,2465.78
1933,2714.11,2875.82,2915.69,2192.42,1046.62,2132.02,1754.48,2827.00,2615.36,2883.08,2818.90,2827.00,1824.01,7789.15,1921.78,1997.26,2937.54,1127.15,2860.79,1852.07,1356.50,2968.17,2939.66,1806.08,3207.32,2161.71,2825.05,1882.38,2476.04,1648.27,2095.27,2890.58,2967.21,2606.59
1934,2658.02,2982.43,2703.90,1837.19,1077.47,2048.13,1512.91,2846.04,2348.94,2883.49,2513.91,2846.04,1730.96,7081.71,1906.39,1793.53,3144.46,1037.71,2823.93,1784.37,1378.12,2692.12,3325.72,1599.82,3529.48,1980.01,2578.53,1875.14,2136.90,1645.09,1918.13,2666.96,3177.18,2600.52
1935,2796.47,2868.42,3077.35,2221.95,1005.98,2170.28,2032.74,2643.60,2796.65,2891.88,3133.18,2643.60,1793.02,7175.00,1931.81,2271.32,3089.92,1092.65,2955.33,1875.40,1292.03,3287.75,3007.55,1864.28,3281.03,2269.93,2924.26,1877.51,2769.89,1644.57,2220.84,2760.80,3087.99,2611.00
1936,2499.73,2850.83,2715.62,2012.78,1085.59,2083.53,1584.46,1991.78,2157.95,2701.14,2673.21,1991.78,1877.49,5675.34,1913.13,1715.86,2793.99,1124.02,2752.87,1385.80,1464.12,2703.67,2408.00,1753.89,2907.83,1718.42,2300.20,1861.48,2219.80,1650.80,1629.93,2113.74,2806.80,2530.44
1937,2685.28,2930.99,2779.76,2085.66,1050.01,2094.57,1611.71,2924.99,2477.65,2881.26,2650.15,2924.99,1821.92,7730.90,1910.59,1845.06,3038.36,1241.94,2829.19,1860.52,1360.46,2731.77,2966.72,1861.43,3198.72,2094.97,2728.81,1888.26,2318.98,1643.67,2039.65,2889.79,3150.39,2563.32
1938,2956.81,3011.03,3090.63,2209.27,1091.32,2203.18,1955.64,3503.34,3122.12,3145.54,2925.65,3503.34,2020.32,9361.21,1923.61,2383.61,3068.53,1295.28,2938.69,2370.30,1477.45,3303.91,3535.91,2061.46,3596.02,2663.41,3377.42,1864.10,2723.44,1659.02,2626.56,3598.08,3100.10,2687.06
1939,2463.60,3090.15,2491.09,1794.76,990.30,1961.77,1325.91,2106.17,1853.43,2688.86,2388.13,2106.17,1503.66,5429.16,1897.82,1428.13,3208.37,1039.67,2795.93,1323.88,1186.76,2381.80,2573.43,1416.54,2991.39,1514.13,2050.83,1870.21,1933.81,1620.96,1435.81,1987.67,3335.75,2491.21
1940,2460.04,3165.65,2549.07,1712.56,919.80,1937.41,1311.60,2251.65,2037.65,2708.36,2251.24,2251.65,1343.95,5920.27,1898.21,1478.15,3094.51,692.14,2808.08,1457.97,1033.90,2313.25,2489.51,1389.82,2884.06,1692.74,2245.53,1843.44,2005.72,1609.36,1645.21,2218.59,3182.34,2502.60
1941,2158.65,2982.73,1606.06,1817.83,972.23,1692.64,986.87,1759.25,1323.44,2543.44,2042.67,1759.25,1451.73,4264.76,1323.48,983.89,2966.38,680.60,2661.98,1068.30,1165.19,1850.89,2403.49,1393.85,2753.35,1150.01,1501.45,1892.73,1574.35,1381.08,1107.06,1521.71,3047.22,2541.09
1942,2339.59,2795.45,2034.52,2033.14,1173.63,1930.98,1341.79,1567.91,1723.05,2578.97,2446.70,1567.91,2030.14,4409.36,1468.24,1391.25,2934.31,1521.01,2799.17,1106.29,1611.46,2358.68,2139.64,1799.32,2728.20,1358.08,1762.01,1832.11,1986.59,1479.74,1315.36,1591.57,2970.30,2793.54
1943,2661.16,2966.28,2597.49,1990.39,1040.72,1979.02,1567.73,2979.84,2343.40,2919.57,2675.21,2979.84,1798.20,7147.66,1740.62,1813.45,2962.98,1116.71,2836.77,1889.38,1370.67,2865.58,3316.43,1756.81,3419.74,2026.10,2630.28,1898.32,2181.15,1554.14,1989.88,2762.31,2990.15,2576.96
1944,2475.35,3144.95,1694.27,1945.08,1142.24,1722.39,1337.01,2206.82,1737.73,2799.03,2597.26,2206.82,1847.32,5030.59,1113.75,1490.75,3344.32,1312.49,2937.89,1495.81,1502.94,2737.81,2588.34,1576.59,3009.90,1527.00,1871.04,1924.54,1804.09,1309.79,1563.04,2000.36,3490.22,2771.33
1945,2541.83,2988.13,2384.62,2099.90,1038.98,1965.69,1427.55,2530.98,2126.37,2817.06,2505.50,2530.98,1809.90,6456.02,1681.97,1610.48,3074.65,1023.33,2804.63,1665.62,1364.56,2570.31,2657.55,1700.33,3016.05,1808.64,2331.05,1896.86,2070.87,1544.34,1797.42,2449.18,3182.39,2581.62
1946,2355.90,2987.98,2122.80,1801.14,1008.22,1838.12,1223.33,1957.76,1819.81,2617.43,2217.52,1957.76,1552.75,5120.44,1519.07,1326.56,3156.11,926.94,2729.71,1291.64,1241.11,2151.50,2227.67,1451.85,2721.36,1528.30,1994.68,1934.50,1889.34,1453.26,1474.14,1921.37,3271.69,2687.82
1947,2605.59,2951.08,2632.86,1949.70,964.56,1987.77,1518.44,2457.88,2142.35,2813.56,2647.28,2457.88,1520.00,6664.91,1931.72,1705.62,3258.69,761.61,2904.33,1532.46,1172.08,2720.43,2814.38,1466.59,3176.60,1771.20,2355.75,1820.89,2075.57,1641.88,1654.26,2417.77,3347.86,2720.24
1948,2359.24,2942.08,2273.48,2011.47,1020.11,1925.91,1307.61,1743.50,1811.73,2582.50,2354.23,1743.50,1656.85,4978.11,1742.61,1378.88,3092.57,903.45,2727.13,1141.32,1276.12,2230.09,2124.69,1584.88,2684.49,1444.93,1907.73,1843.15,1933.38,1564.49,1357.27,1797.43,3173.91,2639.84
1949,2632.59,3118.18,2433.14,1961.21,1009.90,1981.35,1463.03,2644.45,2070.36,2900.43,2592.00,2644.45,1710.13,6965.31,1811.60,1662.20,3209.58,1053.85,2906.38,1621.60,1299.92,2715.49,3152.50,1599.48,3336.69,1767.88,2317.96,1931.73,2031.16,1608.53,1679.26,2518.48,3307.66,2675.33
1950,2940.57,2904.24,3234.38,2133.37,1139.25,2158.17,1753.02,3366.22,2897.88,3059.90,2791.43,3366.22,2099.69,8715.79,2108.82,2179.56,3356.23,1428.02,2956.72,2139.09,1549.62,3237.68,3460.73,2035.75,3645.54,2438.63,3215.53,1872.51,2423.06,1669.17,2347.63,3314.41,3513.40,2547.12
1951,2589.60,3126.59,2460.98,1810.31,941.46,1677.63,1385.79,2395.47,2238.19,2742.11,2318.19,2395.47,1509.12,6217.70,1659.92,1721.37,3518.69,937.65,2937.82,1591.76,1214.26,2571.69,2864.40,1525.22,2995.53,1851.24,2413.77,1873.68,1939.71,1348.40,1814.48,2345.39,3834.60,2637.18
1952,2583.55,2901.60,2740.47,1975.36,1157.93,2052.72,1536.71,2373.87,2293.86,2718.20,2538.24,2373.87,1892.14,6512.68,1940.07,1730.33,3125.77,1167.72,2804.00,1564.48,1512.99,2568.55,2634.37,1685.02,2902.64,1867.64,2485.92,1838.39,2191.25,1666.49,1797.65,2412.52,3234.97,2569.61
1953,2557.39,3106.64,2351.14,1655.13,558.26,1503.34,1459.35,2841.01,2355.12,2909.33,2401.04,2841.01,1323.68,6636.03,1265.91,1859.00,2959.60,798.04,2850.24,1856.58,847.79,2887.68,3324.82,1334.10,3409.41,2046.49,2537.47,1843.71,1946.63,1035.21,2016.06,2658.31,3062.78,2647.13
1954,2682.06,2941.03,2619.65,2225.46,993.22,2232.43,1660.19,2634.32,2297.80,2894.16,2774.47,2634.32,1845.65,6642.15,1752.93,1858.05,3183.32,908.28,2878.00,1769.98,1289.51,2839.16,2908.76,1964.89,3267.42,1945.60,2499.63,1859.26,2447.44,1637.49,1916.36,2527.35,3310.69,2741.79
1955,2948.68,3047.47,3178.45,2202.16,1239.25,2357.73,1886.26,3229.76,2783.71,3192.77,2970.64,3229.76,2021.42,8487.55,2059.33,2168.56,3163.21,1265.41,2992.80,2106.55,1575.07,3247.91,3478.88,2028.30,3874.46,2356.60,3067.89,1807.88,2663.74,1834.92,2267.42,3218.07,3289.74,2643.64
1956,2812.53,3215.28,2938.35,2034.90,916.19,2056.35,1668.89,2871.80,2616.06,2967.60,2647.42,2871.80,1822.70,7476.88,1837.78,1969.13,3381.41,1065.91,2962.51,1888.79,1308.42,2837.50,3084.32,1931.83,3389.15,2150.46,2820.89,1891.59,2396.86,1515.58,2104.24,2868.14,3578.08,2763.75
1957,2406.62,2906.68,2266.70,1842.57,460.83,1578.33,1444.21,2154.15,2145.55,2679.65,2513.79,2154.15,1259.98,5631.98,1296.41,1684.52,3045.13,647.81,2826.48,1479.57,732.42,2601.91,2608.48,1431.99,2795.27,1792.88,2250.46,1900.19,1899.39,1076.24,1772.71,2234.49,3125.90,2540.06
1958,2177.94,2999.66,1962.90,1574.13,950.78,1559.10,1081.93,1944.27,1685.17,2469.47,2044.84,1944.27,1361.79,4980.15,1590.13,1275.73,2751.07,786.36,2612.23,1256.07,1194.67,2113.83,2203.06,1060.17,2527.08,1401.36,1804.01,1778.22,1424.80,1384.87,1383.42,1874.04,2898.65,2311.51
1959,2583.61,3007.55,2628.17,1894.32,744.04,1743.00,1504.40,2364.01,2268.26,2800.08,2624.91,2364.01,1436.25,6705.04,1689.11,1797.83,3246.60,788.00,2962.92,1518.83,1011.89,2860.35,2710.61,1443.95,2989.27,1879.82,2479.84,1792.25,1871.37,1321.94,1727.52,2503.33,3492.61,2503.03
1960,2612.58,2944.43,2664.79,1608.78,1229.40,1871.47,1468.28,2452.89,2307.27,2823.46,2404.14,2452.89,1612.96,6746.48,1935.67,1797.32,3336.15,1065.95,2960.12,1658.84,1421.27,2766.29,2527.89,1263.08,2955.74,1981.22,2583.61,1829.40,1865.29,1689.97,1880.52,2523.15,3653.45,2584.10
1961,2511.18,3169.86,2356.51,1543.78,1096.97,1650.65,1253.96,2224.29,2022.07,2750.22,2131.90,2224.29,1510.02,6561.38,1719.66,1581.09,3422.49,1036.44,2877.27,1528.90,1308.92,2536.90,2466.20,1110.96,2778.87,1733.81,2290.38,1140.71,1572.22,1427.73,1671.53,2342.46,3682.13,2635.25
1962,2673.40,3228.34,2698.22,1747.51,1058.50,1926.49,1476.39,2525.54,2290.49,2945.80,2437.08,2525.54,1638.31,6379.07,1953.55,1717.15,3438.57,1016.23,2950.78,1661.93,1354.12,2715.46,2635.36,1344.75,3099.23,1837.04,2355.65,2322.98,2026.32,1581.78,1823.53,2453.49,3602.75,2830.82
1963,2663.12,2954.39,2655.18,1917.86,965.71,1978.44,1517.22,2406.75,2356.84,2982.20,2507.42,2406.75,1715.07,6451.83,1889.76,1817.53,3337.05,1064.67,3050.52,1727.63,1355.26,2803.09,2451.83,1618.90,3067.09,1981.81,2448.85,2153.67,2096.09,1546.71,2002.99,2461.68,3541.45,2813.84
1964,2617.75,3103.93,2694.51,1986.33,1195.70,2089.57,1426.39,2395.76,2216.39,2874.62,2532.58,2395.76,1713.69,7041.05,2033.62,1656.51,3198.71,990.27,2852.04,1581.44,1464.79,2665.69,2595.51,1483.57,3113.36,1953.00,2557.14,1836.86,1886.09,1796.58,1724.62,2536.63,3475.97,2438.77
1965,2417.24,3143.62,2184.15,1712.46,826.54,1684.15,1296.75,2425.21,2019.45,2694.55,2094.36,2425.21,1540.97,6134.44,1403.37,1526.54,3150.93,935.26,2734.37,1588.10,1109.42,2290.25,2816.19,1518.97,2898.14,1804.22,2253.56,1462.16,1887.34,1213.59,1757.84,2376.44,3417.46,2264.83
1966,2595.61,3013.77,2693.63,2025.99,1126.11,2173.25,1563.09,2476.00,2340.81,2840.90,2563.83,2476.00,1991.36,6734.34,1889.45,1811.92,2872.21,1328.32,2765.92,1697.88,1511.48,2753.67,2638.47,1810.42,3070.05,2000.31,2507.16,1909.24,2236.23,1637.79,1922.32,2545.10,2759.68,2536.91
1967,2549.56,2915.09,2597.72,1973.90,822.05,1803.78,1477.73,2399.79,2141.18,2882.90,2595.46,2399.79,1497.66,7003.18,1738.98,1675.39,3022.64,760.08,2835.86,1619.95,1066.15,2769.98,2486.34,1650.00,2987.23,1867.74,2507.82,1645.71,2038.11,1348.20,1745.48,2551.16,3010.44,2612.90
1968,2662.58,2946.94,2681.35,2105.48,1023.46,2063.04,1670.85,2631.67,2352.34,2965.54,2799.15,2631.67,1755.08,7118.59,1847.65,1927.30,3028.11,901.10,2906.17,1779.27,1330.88,2965.65,2911.52,1753.41,3315.84,2012.53,2548.06,1883.31,2238.88,1616.08,1961.61,2673.92,3210.18,2395.62
1969,2580.24,3009.00,2519.31,1941.72,1238.29,2060.71,1509.55,2462.97,2212.55,2692.87,2561.34,2462.97,2045.65,6244.03,1855.30,1720.33,3093.93,1487.02,2770.60,1564.10,1684.78,2555.99,2883.86,1699.81,3025.68,1802.49,2318.29,2119.42,2186.75,1711.00,1758.76,2396.85,3147.99,2666.87
1970,2793.60,3128.58,3064.39,2076.25,1503.71,2405.53,1625.05,2651.80,2583.56,2921.77,2748.44,2651.80,2172.53,7105.94,2338.54,1853.49,3259.97,1363.44,2951.06,1704.78,1886.70,2777.78,2916.72,1781.21,3301.28,2003.50,2763.61,2160.40,2296.90,2105.73,1914.19,2634.79,3490.19,2595.34
1971,2893.22,3208.07,3093.25,1980.24,866.29,2041.71,1659.50,3429.91,2831.40,3169.41,2576.17,3429.91,1611.08,8365.49,1914.15,2044.62,3335.85,823.77,2970.80,2132.81,1166.96,2851.39,3556.64,1858.06,3835.25,2557.01,3155.80,1424.85,2443.00,1530.92,2362.90,3275.22,3774.77,2542.63
1972,2687.02,3159.17,2459.77,1914.59,727.56,1806.44,1605.24,2618.11,2252.60,2924.02,2618.16,2618.11,1564.83,6249.16,1593.51,1880.51,3399.79,838.75,3055.16,1705.74,1102.63,2880.35,3411.36,1785.08,3451.89,1870.89,2338.09,1682.60,2276.92,1326.67,1892.80,2434.99,3569.17,2750.06
1973,2849.90,3191.20,2992.83,1948.00,1308.34,2149.68,1649.34,2773.80,2531.39,3136.53,2761.37,2773.80,2022.54,8409.67,2068.09,1915.66,3247.91,1323.08,3050.26,1801.56,1671.22,3072.18,3018.20,1707.87,3638.23,1994.68,2839.17,1660.09,2271.34,1798.55,1877.05,2934.82,3432.26,2606.89
1974,2618.95,2929.75,3043.87,1698.59,957.84,1947.89,1431.72,2874.45,2718.92,2857.73,2207.10,2874.45,1752.73,8012.79,1868.78,1794.41,3014.97,1090.94,2683.62,1845.35,1307.25,2463.73,3011.98,1612.66,3338.12,2285.51,3122.10,1579.90,2144.78,1475.25,2105.07,2956.17,3253.64,2146.09
1975,2956.06,3348.17,3329.77,1939.36,984.62,2106.01,1749.20,3127.04,2933.62,3178.55,2694.90,3127.04,1796.71,9361.19,2035.24,2085.03,3187.19,1119.59,3007.37,2040.90,1305.86,3105.81,3559.16,1884.06,3929.01,2379.68,3462.82,1986.42,2479.02,1580.55,2153.95,3330.46,3374.52,2497.67
1976,2505.71,3411.20,2307.29,1997.95,664.44,1836.06,1493.66,2096.17,2002.46,2636.81,2552.75,2096.17,1443.92,5390.63,1477.59,1632.27,3277.00,576.18,2835.54,1400.32,917.59,2450.90,2484.13,1904.72,2718.47,1575.62,2079.71,1438.76,2338.44,1235.93,1615.05,2044.71,3644.73,2593.75
1977,2438.24,3198.44,2362.65,1805.74,827.34,1735.41,1412.51,2110.52,1986.96,2654.54,2459.14,2110.52,1395.65,6108.31,1562.93,1544.55,3096.56,720.94,2726.60,1357.78,1035.70,2433.71,2365.52,1405.39,2771.23,1579.60,2166.36,1874.49,1942.87,1369.25,1501.80,2215.91,3208.25,2599.73
1978,2569.80,3020.11,2588.79,2003.45,1210.58,2132.88,1539.39,2314.47,2105.25,2681.26,2622.11,2314.47,1870.78,6214.21,1961.18,1709.11,3100.52,1059.87,2789.55,1519.75,1544.27,2627.24,2478.88,1694.62,2857.58,1801.76,2314.29,2062.83,2223.14,1796.33,1731.93,2354.64,3034.67,2735.61
