Variable:,pr
,"Timor Leste",Aileu,Ainaro,Baucau,Bobonaro,Covalima,Dili,Ermera,Lautem,Liquica,Manatuto,Manufahi,Oecussi,Viqueque
1901,1370.63,1283.03,1483.74,1485.57,1198.67,1212.00,1288.07,1199.52,1693.25,1198.89,1324.32,1535.90,1293.97,1374.23
1902,1155.00,1047.31,1149.97,1379.83,879.23,862.15,1055.97,903.72,1659.98,902.64,1127.80,1204.92,862.75,1248.84
1903,1362.52,1288.19,1467.41,1491.16,1169.59,1157.75,1294.14,1189.55,1695.39,1188.81,1330.42,1523.34,1199.27,1380.46
1904,1489.12,1435.73,1654.35,1558.45,1349.92,1343.22,1439.99,1365.07,1716.54,1364.54,1454.23,1709.19,1418.38,1460.96
1905,1313.00,1270.00,1360.80,1488.56,1059.81,1001.24,1279.35,1114.92,1693.09,1113.76,1320.81,1420.35,992.37,1383.89
1906,1269.95,1180.73,1324.93,1439.99,1042.34,1029.49,1187.81,1063.31,1678.77,1062.43,1239.29,1379.74,1036.16,1320.28
1907,1316.71,1231.33,1401.60,1467.76,1103.81,1094.95,1237.93,1122.02,1688.52,1121.20,1283.96,1458.16,1138.16,1352.04
1908,1369.31,1316.82,1458.34,1505.34,1160.59,1128.41,1324.11,1196.02,1698.60,1195.12,1356.99,1515.03,1123.27,1402.31
1909,1424.12,1389.27,1540.59,1539.52,1228.10,1180.02,1396.12,1275.77,1709.91,1274.92,1418.19,1599.93,1104.08,1442.02
1910,1419.84,1363.75,1532.10,1521.98,1253.71,1241.60,1369.25,1272.49,1703.66,1271.81,1392.86,1583.80,1264.38,1420.97
1911,1140.90,1044.76,1125.97,1379.41,844.91,804.37,1054.25,887.40,1659.76,886.22,1126.28,1184.13,744.54,1248.39
1912,1306.36,1214.90,1380.77,1453.64,1104.26,1107.03,1221.04,1113.06,1682.89,1112.30,1266.97,1433.11,1157.27,1337.06
1913,1274.87,1184.26,1339.31,1441.95,1049.05,1035.80,1191.12,1070.48,1679.75,1069.63,1241.98,1395.35,1054.25,1321.17
1914,1428.71,1386.27,1554.18,1539.14,1239.50,1202.27,1392.73,1279.15,1710.19,1278.34,1415.93,1613.26,1162.27,1440.71
1915,1176.20,1080.76,1177.82,1396.28,899.46,870.36,1089.66,933.16,1665.03,932.05,1156.94,1234.37,841.95,1269.22
1916,1567.57,1514.92,1760.12,1590.03,1483.04,1509.95,1517.53,1471.61,1725.29,1471.29,1518.92,1807.14,1613.90,1501.88
1917,1399.80,1325.97,1526.65,1509.18,1225.72,1223.72,1331.26,1238.27,1701.25,1237.61,1362.47,1581.99,1282.67,1401.69
1918,1355.60,1275.32,1463.73,1486.26,1162.34,1152.78,1281.05,1180.32,1694.40,1179.61,1319.36,1520.38,1227.76,1372.51
1919,1314.67,1249.81,1394.83,1471.36,1089.46,1042.59,1256.72,1135.30,1688.98,1134.45,1296.32,1454.75,1043.86,1354.91
1920,1256.22,1172.35,1297.14,1436.15,1017.53,995.03,1180.00,1045.44,1677.22,1044.49,1232.64,1352.20,1010.36,1316.84
1921,1353.62,1274.98,1440.47,1479.55,1172.04,1173.69,1280.65,1180.89,1690.42,1180.18,1316.94,1490.76,1202.68,1369.51
1922,1306.14,1213.64,1388.32,1453.68,1101.55,1101.94,1219.74,1112.53,1681.23,1111.78,1266.37,1442.43,1146.76,1336.74
1923,1456.38,1384.21,1555.44,1591.50,1260.93,1255.10,1390.73,1276.18,1770.20,1275.37,1430.62,1611.02,1265.36,1484.56
1924,979.45,863.21,946.73,1175.43,746.88,738.05,869.34,761.65,1506.43,760.89,930.92,988.06,753.94,1045.48
1925,1268.92,1173.69,1347.46,1428.08,1050.23,1037.29,1179.84,1071.67,1675.56,1070.90,1228.57,1404.73,1067.75,1303.04
1926,1324.27,1234.32,1411.53,1458.71,1136.06,1128.52,1239.27,1152.27,1699.92,1151.65,1278.13,1464.57,1151.35,1334.92
1927,1249.22,1137.37,1325.88,1397.80,1051.36,1062.47,1142.37,1054.40,1656.61,1053.78,1192.75,1378.09,1116.65,1271.59
1928,1487.13,1436.12,1595.32,1601.90,1306.70,1289.63,1442.53,1329.82,1762.20,1329.02,1470.35,1649.44,1332.18,1504.09
1929,1307.59,1218.66,1428.68,1409.75,1149.77,1154.23,1222.40,1156.57,1633.05,1156.11,1253.39,1480.39,1217.46,1294.86
1930,1005.40,888.57,972.08,1187.94,792.20,794.81,894.05,797.68,1506.98,797.00,953.19,1009.02,829.84,1064.44
1931,1220.17,1122.31,1261.74,1411.59,970.84,943.47,1129.51,1002.88,1678.58,1001.98,1187.81,1319.54,940.94,1281.68
1932,1490.20,1422.03,1632.44,1604.56,1307.21,1300.67,1427.94,1324.03,1770.78,1323.29,1460.84,1692.84,1303.36,1496.68
1933,1533.75,1488.97,1672.80,1648.92,1341.80,1308.69,1495.62,1378.56,1799.52,1377.73,1521.71,1735.05,1282.66,1546.34
1934,1515.88,1457.33,1663.99,1667.36,1275.74,1245.00,1465.97,1314.01,1838.23,1312.94,1504.87,1736.98,1257.79,1550.02
1935,1322.65,1225.76,1418.06,1425.16,1176.56,1201.83,1229.31,1166.96,1650.81,1166.52,1263.05,1462.55,1267.96,1313.06
1936,1320.66,1240.76,1380.07,1465.25,1123.39,1116.46,1246.94,1138.38,1688.18,1137.61,1288.43,1429.50,1123.86,1353.09
1937,1500.63,1432.11,1632.84,1651.08,1274.26,1247.31,1439.60,1307.94,1827.35,1307.01,1482.06,1701.14,1197.25,1532.73
1938,1289.28,1200.03,1367.99,1459.25,1053.90,1036.19,1207.31,1079.32,1689.23,1078.42,1259.92,1428.38,1058.76,1339.26
1939,1604.57,1567.11,1778.64,1731.32,1383.79,1349.56,1575.77,1423.42,1847.78,1422.35,1606.46,1851.62,1370.61,1631.94
1940,1223.54,1121.88,1277.47,1350.39,1057.81,1072.32,1125.89,1055.23,1602.52,1054.73,1167.37,1319.25,1136.45,1236.03
1941,1546.83,1493.08,1699.68,1652.57,1369.04,1344.16,1498.75,1398.99,1814.17,1398.28,1522.39,1761.71,1368.47,1541.61
1942,1344.13,1274.17,1431.25,1484.91,1138.19,1118.70,1280.82,1163.86,1692.96,1163.03,1319.35,1487.05,1136.07,1374.72
1943,1344.13,1274.17,1431.25,1484.91,1138.19,1118.70,1280.82,1163.86,1692.96,1163.03,1319.35,1487.05,1136.07,1374.72
1944,1344.13,1274.17,1431.25,1484.91,1138.19,1118.70,1280.82,1163.86,1692.96,1163.03,1319.35,1487.05,1136.07,1374.72
1945,1344.13,1274.17,1431.25,1484.91,1138.19,1118.70,1280.82,1163.86,1692.96,1163.03,1319.35,1487.05,1136.07,1374.72
1946,1200.66,1082.69,1279.83,1342.93,1011.28,1032.20,1087.28,1006.56,1612.87,1005.99,1136.70,1330.48,1100.35,1214.83
1947,1408.87,1361.34,1514.03,1522.40,1224.23,1198.89,1367.83,1253.66,1703.27,1252.86,1392.57,1568.27,1214.78,1423.29
1948,1101.81,1001.74,1124.31,1262.57,896.68,880.79,1006.86,916.77,1553.14,916.13,1054.67,1169.78,921.04,1138.12
1949,1381.34,1285.94,1493.46,1470.28,1249.06,1284.59,1289.21,1231.70,1676.15,1231.29,1320.51,1537.64,1381.37,1362.92
1950,1565.13,1497.41,1714.61,1651.51,1420.13,1436.60,1502.17,1418.46,1799.17,1417.87,1527.39,1768.04,1472.08,1550.08
1951,1114.73,1013.18,1134.60,1298.34,879.83,862.12,1019.82,902.95,1578.00,902.13,1077.54,1185.10,864.54,1175.70
1952,1273.12,1174.44,1327.08,1428.92,1068.59,1067.71,1180.15,1079.81,1681.57,1079.10,1228.75,1377.44,1102.15,1306.48
1953,980.36,875.28,953.96,1188.27,725.24,692.59,882.31,758.58,1507.09,757.71,945.33,1001.06,708.84,1060.94
1954,1557.24,1509.90,1696.72,1651.79,1396.47,1381.57,1515.45,1417.82,1791.65,1417.13,1536.52,1752.38,1429.37,1554.22
1955,1768.53,1758.72,1968.42,1874.24,1561.81,1509.64,1767.37,1615.22,1949.59,1614.14,1784.79,2044.22,1455.10,1780.84
1956,1565.03,1528.27,1740.66,1670.64,1370.64,1333.63,1535.31,1411.39,1803.45,1410.51,1557.23,1809.39,1355.38,1569.32
1957,1427.74,1353.61,1540.20,1571.49,1215.40,1201.99,1360.61,1237.46,1757.35,1236.59,1403.57,1601.52,1210.36,1459.80
1958,1127.28,1021.22,1149.87,1301.34,905.95,898.76,1027.24,921.39,1589.98,920.64,1081.82,1198.09,925.65,1175.29
