Variable:,pr
,France,"Administrative unit not available",Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,"La Trinite","Le Marin",Saint-Pierre,Cayenne,Saint-laurent-du-maroni,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,"Administrative unit not available"
1901,812.84,1646.80,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,3142.03,2743.67,864.18,842.65,952.04,577.74,769.41,763.52,570.08,729.86,919.29,1094.93,507.38,494.52,971.36,817.13,827.12,851.55,527.93,551.44,498.72,653.64,1247.63,1183.65,3055.19
1902,766.73,1564.00,2014.97,2056.04,3298.28,3221.94,2800.79,3423.10,3328.12,3041.95,737.39,841.44,895.41,649.58,718.76,768.64,607.76,697.21,823.49,987.38,606.54,541.82,793.96,828.07,733.78,787.33,607.35,600.94,577.63,676.20,889.41,1056.22,3369.07
1903,799.60,1710.20,2014.97,2056.04,3085.81,3012.61,2618.31,3205.50,3111.88,2684.72,757.38,811.08,845.48,828.09,668.17,1047.50,604.46,756.36,825.91,920.23,739.73,568.09,794.11,781.83,815.59,744.43,761.43,722.90,676.12,717.44,981.14,1014.43,3182.10
1904,678.64,1638.00,2014.97,2056.04,2659.82,2592.56,2235.07,2769.80,3163.91,2766.21,704.56,712.94,694.69,699.08,616.25,909.87,563.74,659.78,638.55,837.58,605.87,504.32,626.72,688.33,720.35,612.99,583.29,635.08,545.09,635.94,732.85,823.10,2774.91
1905,790.02,1638.00,2014.97,2056.04,2701.22,2637.51,2292.15,2805.40,3181.74,2775.83,840.87,854.90,858.40,689.00,675.11,786.84,617.70,727.44,882.30,979.53,671.22,588.43,820.09,829.23,789.15,792.47,719.45,643.96,670.75,711.33,980.22,1029.52,2821.59
1906,730.12,1638.00,2014.97,2056.04,2899.08,2834.18,2480.49,3005.20,3025.32,2536.43,729.49,852.23,708.52,711.23,609.94,833.38,598.57,708.93,722.10,814.92,685.63,573.40,785.86,754.31,755.44,771.75,711.28,637.36,654.82,709.55,806.02,771.74,2980.69
1907,818.24,1341.20,2014.97,2056.04,2430.22,2369.37,2042.52,2529.70,3552.74,3351.96,670.79,898.91,951.31,650.04,675.05,853.60,607.61,656.79,820.71,884.27,586.76,506.50,1019.41,889.90,692.28,878.30,585.25,650.00,551.86,766.04,1214.09,1134.84,2596.63
1908,703.19,1650.10,2014.97,2056.04,2283.16,2225.71,1922.72,2377.10,3127.14,2728.46,791.57,871.32,763.50,593.84,635.32,702.67,568.20,677.81,611.29,898.79,579.47,522.79,688.03,765.97,757.30,756.73,598.00,556.00,563.41,657.53,717.76,853.84,2431.40
1909,820.04,1510.00,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,2986.44,2526.19,824.61,807.67,928.45,779.71,765.31,926.72,699.25,783.21,769.97,1008.22,719.88,626.11,775.02,906.99,818.91,715.09,737.94,726.42,688.22,796.27,963.35,1054.72,3055.19
1910,1058.00,1487.80,2014.97,2056.04,2810.76,2742.79,2370.97,2921.90,2977.63,2498.02,1021.54,1063.90,1214.21,983.02,1061.94,1169.51,910.41,1013.88,908.54,1360.62,905.57,847.18,983.81,1159.73,1051.14,924.01,893.17,947.46,862.48,1005.74,1178.27,1382.72,2932.97
1911,755.60,1699.40,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,3299.96,2926.79,681.22,824.18,817.22,741.63,625.10,898.80,598.22,656.39,797.90,831.72,679.13,533.69,777.68,799.74,710.22,743.21,680.58,673.16,607.00,717.28,967.08,936.29,3055.19
1912,843.31,1587.00,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,2913.79,2367.89,827.35,779.54,917.10,873.99,768.46,1069.35,705.72,792.25,685.88,1014.37,790.47,651.05,814.74,902.02,830.67,734.85,797.29,799.36,723.40,804.82,972.35,1076.99,3055.19
1913,863.77,1540.70,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,3014.54,2497.50,808.71,958.68,1036.87,722.48,827.02,903.49,693.88,775.13,723.71,1022.62,686.15,623.17,897.82,973.64,818.09,887.92,714.69,691.96,668.18,805.84,989.58,1147.53,3055.19
1914,910.35,1723.10,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,3096.11,2662.00,991.68,894.15,1005.38,830.63,808.63,1044.44,681.25,853.93,840.60,1135.03,735.76,634.85,987.91,911.56,965.33,874.90,751.82,740.63,703.77,776.66,1203.60,1233.40,3055.19
1915,901.18,1630.40,2014.97,2056.04,2970.42,2897.28,2503.63,3090.00,3288.07,2925.63,846.23,1026.71,923.29,880.87,731.13,1083.11,693.72,818.28,959.82,1047.53,800.15,632.52,913.30,922.35,862.17,915.25,831.33,819.21,755.50,859.97,1055.07,1102.62,3055.19
