Variable:,pr
,Oman,"A Dakhliya","A Sharqiya","Al Batnah","Al Dhahira","Al Wusta",Dhofar,Musandam,Muscat,"Name Unknown"
1901,101.33,82.51,79.18,94.94,85.51,81.96,126.94,122.73,80.66,133.10
1902,88.20,48.88,51.16,49.44,55.69,76.56,126.93,105.59,42.03,94.00
1903,109.70,112.31,126.61,69.17,78.24,92.61,126.95,106.63,85.58,96.80
1904,92.09,62.09,60.38,62.19,62.04,77.62,126.94,108.23,53.88,98.00
1905,135.44,175.14,160.09,208.02,153.42,94.59,126.95,160.97,197.21,214.10
1906,136.21,180.10,168.98,197.26,148.22,96.08,126.95,158.27,200.04,200.40
1907,120.14,135.92,124.87,152.55,120.28,89.63,126.94,136.53,146.18,162.90
1908,87.53,46.18,48.34,48.53,55.59,76.54,126.94,104.89,38.42,94.10
1909,119.75,134.28,141.36,167.47,103.65,82.39,126.94,154.88,205.74,165.40
1910,100.63,81.30,83.77,96.61,77.89,79.43,126.94,126.83,99.16,128.80
1911,110.96,113.96,112.94,129.06,91.99,82.09,126.94,133.38,143.54,137.60
1912,155.19,243.13,228.27,238.05,169.86,103.03,126.96,163.82,274.91,200.70
1913,127.27,150.65,136.60,185.18,140.70,92.04,126.95,151.62,168.93,198.30
1914,125.43,155.63,147.73,141.91,121.32,95.16,126.95,131.68,150.13,148.90
1915,98.51,79.35,78.27,74.42,73.32,81.58,126.94,111.28,72.33,105.90
1916,163.52,265.37,249.20,265.98,185.35,105.98,126.96,170.67,308.16,217.20
1917,105.61,95.23,98.38,115.04,84.39,80.46,126.94,130.83,127.89,133.70
1918,99.63,79.25,80.15,89.11,77.10,80.07,126.94,123.33,87.04,124.70
1919,103.34,89.21,85.85,101.07,87.02,82.33,126.94,122.08,92.86,131.00
1920,86.73,44.35,45.96,47.33,53.85,76.04,126.93,103.09,37.25,90.40
1921,98.95,82.28,79.43,85.31,72.62,79.17,126.94,118.08,83.88,112.20
1922,80.93,27.98,32.19,28.33,42.59,73.97,126.93,96.94,17.76,77.70
1923,123.41,151.29,142.78,155.44,116.56,89.05,126.94,142.53,166.61,158.80
1924,85.94,41.38,45.26,46.15,51.67,75.25,126.93,105.79,38.87,92.20
1925,84.36,38.09,41.07,38.17,48.89,75.12,126.93,100.74,28.34,86.10
1926,100.72,82.31,84.38,94.35,77.50,79.86,126.94,124.58,97.46,125.10
1927,112.13,119.78,114.52,101.97,96.01,89.51,126.95,118.13,104.78,120.50
1928,114.44,118.49,115.68,145.12,105.17,84.45,126.94,139.33,151.38,156.90
1929,105.27,101.39,95.53,105.07,83.44,81.21,126.94,123.98,105.93,122.70
1930,85.77,42.06,46.08,42.65,49.81,75.49,126.93,101.74,37.98,85.00
1931,121.31,143.96,137.34,138.61,114.08,91.21,126.95,131.98,144.79,149.00
1932,121.31,143.96,137.34,138.61,114.08,91.21,126.95,131.98,144.79,149.00
1933,121.31,143.96,137.34,138.61,114.08,91.21,126.95,131.98,144.79,149.00
1934,121.31,143.96,137.34,138.61,114.08,91.21,126.95,131.98,144.79,149.00
1935,121.31,143.96,137.34,138.61,114.08,91.21,126.95,131.98,144.79,149.00
1936,107.55,102.47,96.94,113.89,93.89,83.51,126.94,127.48,106.41,139.30
1937,107.21,98.28,97.34,120.49,92.37,82.19,126.94,132.08,122.27,143.00
1938,84.66,38.62,42.87,40.56,48.66,74.66,126.93,104.24,33.49,89.30
1939,109.50,103.39,97.60,127.31,101.87,84.45,126.94,132.48,117.46,152.30
