Variable:,pr
,"Equatorial Guinea",Annobon,"Bioko Norte","Bioko Sur","Centro Sur",Kientem,Litoral,Welenzas
1901,2353.45,2511.50,2511.50,2514.83,2372.79,2128.04,2626.27,2084.97
1902,2429.03,2958.40,2958.40,2889.91,2430.21,2148.58,2728.53,2096.65
1903,2303.93,2748.50,2748.50,2675.21,2317.95,2007.70,2580.37,2013.02
1904,2110.86,2656.20,2656.20,2559.78,2106.19,1886.10,2318.70,1865.94
1905,2380.30,2913.30,2913.30,2799.78,2386.29,2093.37,2672.78,2060.77
1906,2070.66,2932.70,2932.70,2768.19,2035.60,1893.58,2268.61,1777.21
1907,2062.77,2372.70,2372.70,2310.62,2080.45,1805.89,2279.14,1852.88
1908,2389.92,2798.90,2798.90,2792.62,2403.11,2104.06,2687.95,2067.33
1909,2518.55,2826.10,2826.10,2798.46,2536.31,2218.32,2835.34,2206.12
1910,2400.17,2241.00,2241.00,2347.03,2443.96,2123.88,2737.57,2115.25
1911,1964.98,2454.80,2454.80,2350.77,1968.78,1766.80,2141.27,1745.74
1912,2289.40,2458.80,2458.80,2534.90,2297.55,2013.76,2617.88,1983.78
1913,1674.40,2714.40,2714.40,2538.68,1614.75,1547.87,1752.11,1487.94
1914,1899.60,2458.10,2458.10,2359.19,1888.80,1689.25,2085.78,1680.46
1915,2242.18,3140.20,3140.20,3067.70,2215.76,1947.80,2476.48,1936.07
1916,2224.18,2839.30,2839.30,2841.41,2213.71,1944.61,2469.97,1936.07
1917,2191.83,2497.80,2497.80,2480.54,2206.14,1934.41,2444.57,1936.07
1918,2182.09,2536.00,2536.00,2440.95,2199.74,1927.16,2423.09,1936.07
1919,2165.48,2213.90,2213.90,2204.69,2199.58,1926.94,2421.72,1936.07
1920,2194.61,2737.30,2737.30,2583.71,2201.55,1929.53,2429.46,1936.07
1921,2193.69,2494.90,2494.90,2497.99,2207.08,1935.66,2447.81,1936.07
1922,2396.32,2520.90,2520.90,2536.00,2428.84,2145.89,2698.06,2094.02
1923,2179.74,2546.40,2546.40,2492.67,2192.44,1919.29,2428.80,1921.89
1924,2460.60,2760.80,2760.80,2797.19,2486.46,2119.11,2832.19,2081.65
1925,2078.75,2541.20,2541.20,2462.49,2083.38,1812.42,2297.33,1851.97
1926,2497.07,2585.30,2585.30,2589.08,2536.16,2175.79,2817.37,2216.59
1927,2442.87,2715.10,2715.10,2692.92,2474.67,2128.41,2718.82,2176.10
1928,2633.12,2834.50,2834.50,2820.74,2668.65,2266.52,2967.77,2339.03
1929,2559.55,2846.30,2846.30,2825.42,2590.95,2251.43,2875.80,2236.07
1930,2358.74,2660.20,2660.20,2627.91,2378.08,2108.48,2633.11,2069.50
1931,2275.48,2611.80,2611.80,2593.49,2292.82,2010.78,2531.93,2006.41
1932,2025.61,2253.70,2253.70,2194.92,2032.64,1815.78,2268.49,1796.43
1933,2325.98,2790.20,2790.20,2728.83,2341.26,2017.62,2610.63,2022.99
1934,2398.64,2362.30,2362.30,2350.11,2452.45,2033.91,2777.21,2091.92
1935,2303.79,2752.20,2752.20,2678.12,2304.55,1985.14,2622.82,1995.31
1936,2044.17,2702.70,2702.70,2640.47,2021.10,1864.55,2243.85,1772.08
1937,2094.52,2195.10,2195.10,2185.81,2124.45,1850.18,2336.82,1877.73
1938,2343.90,2846.60,2846.60,2816.15,2348.48,2081.98,2600.81,2047.57
1939,2138.93,2588.80,2588.80,2537.60,2143.88,1852.55,2390.53,1880.63
1940,2017.83,2592.90,2592.90,2541.00,2013.23,1814.67,2203.81,1769.90
1941,1948.44,2575.30,2575.30,2538.44,1942.40,1732.21,2135.17,1690.54
1942,2082.97,2857.30,2857.30,2721.51,2071.55,1864.89,2269.08,1813.01
1943,2259.26,2730.70,2730.70,2705.84,2273.84,1998.55,2521.20,1949.85
1944,2286.17,2450.10,2450.10,2395.89,2314.69,1969.88,2606.20,2011.44
1945,2256.05,2341.20,2341.20,2327.64,2276.61,2016.28,2530.85,2014.16
1946,2309.64,2531.00,2531.00,2564.79,2330.92,1967.63,2659.30,1990.08
1947,2557.25,2345.60,2345.60,2479.35,2618.97,2154.42,2938.68,2279.11
1948,2405.08,2388.80,2388.80,2474.72,2464.42,2074.18,2712.25,2130.71
1949,2338.46,2435.10,2435.10,2523.55,2379.27,2047.26,2614.85,2074.68
1950,2494.03,2586.20,2586.20,2616.40,2521.97,2156.83,2867.55,2170.82
1951,2479.87,2566.50,2566.50,2519.46,2503.21,2167.94,2777.19,2252.31
1952,2614.74,2750.50,2750.50,2696.12,2632.22,2390.23,2851.77,2405.91
1953,2185.59,2589.30,2589.30,2546.01,2200.80,1918.08,2406.94,1948.66
1954,2284.13,2835.00,2835.00,2766.18,2293.94,1993.09,2536.73,1996.17
1955,2420.25,2729.10,2729.10,2704.62,2461.63,2020.03,2825.76,2031.71
1956,2659.25,3247.60,3247.60,3223.53,2641.95,2427.13,2920.93,2344.01
1957,2355.43,2876.80,2876.80,2801.10,2363.75,2035.49,2644.54,2053.13
1958,1967.03,2575.60,2575.60,2518.26,1950.32,1766.95,2145.89,1733.75
1959,2219.28,2756.20,2756.20,2718.30,2215.34,1881.67,2503.90,1938.80
1960,2544.09,2805.40,2805.40,2810.55,2571.46,2229.68,2841.66,2257.25
1961,2145.47,2556.90,2556.90,2474.88,2178.57,1723.49,2442.49,1890.66
1962,2514.79,2804.00,2804.00,2762.33,2544.51,2183.98,2811.90,2232.67
1963,2324.05,2382.50,2382.50,2356.61,2353.58,2040.75,2613.08,2086.22
