Variable:,pr
,Haiti,Artibonite,Centre,Nord,"Nord Est","Nord Ouest",Ouest,Sud,"Sud Est","Grande Anse",Nippes
1901,1529.42,1185.16,1421.54,1499.81,1245.00,1233.63,1551.59,2106.14,1634.17,2015.11,1767.53
1902,1462.99,1183.54,1421.54,1499.81,1245.00,1222.74,1539.01,1782.15,1627.95,1583.68,1586.70
1903,1474.81,1183.62,1421.54,1499.81,1245.00,1222.68,1541.49,1840.81,1629.09,1656.88,1626.53
1904,1523.72,1185.42,1421.54,1499.81,1245.00,1234.44,1549.81,2087.07,1633.76,1965.74,1742.12
1905,1567.38,1184.58,1421.54,1499.81,1245.00,1235.04,1555.62,2308.05,1636.20,2252.94,1864.08
1906,1572.92,1185.22,1421.54,1499.81,1245.00,1237.49,1558.81,2329.50,1638.23,2287.57,1885.98
1907,1438.50,1183.29,1421.54,1499.81,1245.00,1218.33,1534.08,1660.74,1624.91,1427.28,1520.59
1908,1464.34,1183.41,1421.54,1499.81,1245.00,1222.90,1537.17,1788.55,1626.14,1607.48,1577.61
1909,1536.63,1184.24,1421.54,1499.81,1245.00,1229.16,1549.51,2152.94,1632.26,2062.54,1779.22
1910,1538.21,1184.44,1421.54,1499.81,1245.00,1232.54,1550.41,2159.85,1633.37,2070.11,1779.84
1911,1435.30,1182.63,1421.54,1499.81,1245.00,1218.54,1532.10,1646.74,1623.75,1414.56,1502.92
1912,1416.33,1182.35,1421.54,1499.81,1245.00,1214.90,1528.04,1549.14,1621.00,1303.81,1448.21
1913,1449.45,1183.37,1421.54,1499.81,1245.00,1220.40,1536.47,1714.64,1626.63,1495.74,1550.24
1914,1405.60,1182.22,1421.54,1499.81,1245.00,1212.61,1526.12,1498.39,1620.04,1230.22,1420.89
1915,1655.58,1186.15,1421.54,1499.81,1245.00,1247.02,1571.92,2748.52,1644.86,2809.34,2108.67
1916,1585.19,1185.63,1421.54,1499.81,1245.00,1238.69,1561.44,2394.48,1640.51,2346.96,1927.23
1917,1504.09,1184.27,1421.54,1499.81,1245.00,1228.40,1546.59,1985.07,1631.93,1847.26,1698.90
1918,1499.23,1183.64,1421.54,1499.81,1245.00,1223.88,1544.90,1970.88,1631.39,1799.69,1691.48
1919,1554.31,1184.47,1421.54,1499.81,1245.00,1233.25,1553.87,2248.28,1636.11,2153.74,1834.50
1920,1428.54,1182.13,1421.54,1499.81,1245.00,1213.15,1529.45,1618.10,1621.41,1370.37,1488.37
1921,1499.04,1183.65,1421.54,1499.81,1245.00,1226.55,1544.03,1967.28,1630.41,1811.90,1680.61
1922,1441.68,1182.03,1421.54,1499.81,1245.00,1214.62,1530.81,1684.38,1622.04,1459.19,1517.96
1923,1482.19,1182.89,1421.54,1499.81,1245.00,1221.27,1538.92,1890.93,1627.19,1701.66,1631.80
1924,1506.90,1183.60,1421.54,1499.81,1245.00,1226.11,1543.17,2001.95,1628.58,1886.70,1688.37
