Variable:,pr
,Thailand,"Ang Thong",Bangkok,Buriram,Chachoengsao,Chainat,Chaiyaphum,Chanthaburi,"Chiang Mai","Chiang Rai",Chonburi,Chumphon,Kalasin,"Kampaeng Phet",Kanchanaburi,"Khon Kaen",Krabi,Lampang,Lamphun,Loei,Lopburi,"Mae Hong Son","Maha Sarakham",Mukdahan,"Nakhon Nayok","Nakhon Pathom","Nakhon Phanom","Nakhon Ratchasima","Nakhon Sawan","Nakhon Si Thammarat",Nan,Narathiwat,"Nong Khai",Nonthaburi,"Pathum Thani",Pattani,Phangnga,Phatthalung,Phayao,Phetchabun,Phetchaburi,Phichit,Phitsanulok,"Phra Nakhon Si Ayudhya",Phrae,Phuket,"Prachuap Khilikhan",Ranong,Ratchaburi,Rayong,"Roi Et","Sakon Nakhon","Samut Prakarn","Samut Sakhon","Samut Songkham",Saraburi,Satun,"Si Saket",Singburi,Songkhla,Sukhothai,Suphanburi,"Surat Thani",Surin,Tak,Trad,Trang,"Uthai Thani",Uttaradit,Yala,Yasothon,"Amnat Charoen","Nong Bua Lamphu",Phachinburi,"Sa Kaeo","Ubon Ratchathani","Udon Thani"
1901,1550.33,1159.35,1383.74,1213.34,1738.59,1222.72,1126.16,2311.16,1240.24,1469.84,1649.28,2485.39,1395.71,1256.52,2278.32,1196.80,2397.12,1103.53,1134.56,1237.37,1193.67,1302.37,1247.74,1550.28,1647.54,1176.51,1930.15,1202.35,1190.07,2209.71,1308.85,2416.80,1718.77,1216.73,1406.29,1956.89,2801.06,2150.63,1282.72,1114.51,1765.37,1163.18,1212.73,1311.83,1151.06,2488.08,1636.33,3150.21,1660.01,1656.28,1391.18,1639.38,1455.51,1330.55,1552.52,1371.58,2162.33,1507.93,1156.43,1971.61,1226.66,1296.71,2419.85,1335.94,1398.22,3012.42,2269.21,1470.70,1260.31,2249.14,1463.28,1560.72,1294.41,1648.31,1550.07,1740.49,1467.92
1902,1462.32,943.63,1098.43,1090.38,1350.51,995.32,1015.01,1838.54,1209.27,1470.27,1272.98,2451.21,1394.39,1110.33,1778.51,1157.18,2368.79,1085.77,1091.38,1226.21,979.96,1266.41,1215.93,1550.28,1286.26,953.42,1927.09,1017.85,998.16,2247.40,1308.85,3157.94,1710.48,981.79,1114.59,2458.30,2796.35,2380.43,1282.71,995.06,1349.81,1028.66,1159.34,1049.76,1147.30,2456.48,1367.85,3138.14,1277.10,1288.53,1382.27,1638.39,1147.95,1051.67,1188.92,1094.47,2503.62,1503.17,943.30,2382.32,1182.29,1039.83,2418.15,1280.87,1249.18,2574.86,2352.68,1184.70,1255.31,2948.86,1463.15,1560.72,1286.83,1291.40,1258.73,1740.48,1467.58
1903,1484.06,1042.09,1249.93,1142.28,1561.30,1107.97,1058.86,2165.35,1192.51,1470.02,1469.33,2480.39,1395.22,1176.24,2137.54,1177.97,2295.49,1080.02,1072.85,1232.15,1053.47,1238.55,1234.10,1550.28,1470.29,1039.08,1926.66,1080.12,1084.71,2129.60,1308.85,2345.08,1711.80,1081.77,1276.24,1871.66,2792.30,1988.82,1282.71,1047.93,1585.42,1090.46,1188.13,1184.22,1145.40,2435.90,1497.86,3148.52,1498.46,1461.34,1387.74,1638.58,1323.36,1193.01,1384.71,1217.92,2022.34,1506.20,1039.98,1849.42,1194.76,1171.48,2412.82,1310.30,1281.23,2922.38,2076.93,1345.42,1258.15,2171.92,1463.25,1560.72,1291.71,1465.35,1398.86,1740.48,1467.81
1904,1525.84,1194.37,1402.20,1217.80,1681.27,1220.51,1128.47,2184.21,1178.84,1475.24,1668.95,2510.65,1395.39,1205.04,2030.99,1193.31,2352.87,1066.70,1034.29,1236.68,1203.34,1253.38,1242.08,1550.28,1571.58,1282.92,1948.78,1215.08,1171.44,2185.15,1308.85,2467.35,1753.17,1306.39,1384.77,1950.30,2797.31,2096.09,1282.71,1106.24,1834.69,1162.29,1207.20,1314.54,1142.68,2466.81,1779.29,3150.01,1698.56,1694.82,1388.85,1643.25,1444.04,1412.71,1665.87,1351.24,2136.19,1506.60,1184.44,1934.85,1189.74,1313.53,2416.87,1329.23,1225.12,2817.92,2194.75,1387.98,1258.66,2284.81,1463.23,1560.72,1292.99,1593.58,1537.00,1740.54,1467.83
1905,1567.99,1171.70,1407.41,1238.59,1801.08,1244.35,1150.67,2390.92,1234.30,1472.49,1709.90,2489.61,1395.99,1254.51,2333.23,1205.57,2334.98,1094.86,1113.97,1240.32,1224.69,1315.81,1253.92,1550.28,1706.69,1190.91,1912.90,1240.83,1210.95,2162.35,1308.85,2648.72,1686.74,1231.38,1430.86,2081.08,2793.82,2144.16,1282.71,1141.93,1852.33,1189.44,1223.57,1330.77,1149.16,2436.83,1695.98,3152.05,1724.03,1726.92,1392.73,1635.82,1483.04,1354.81,1613.42,1410.12,2274.09,1508.91,1171.23,2070.69,1219.68,1316.01,2414.43,1345.63,1368.87,3080.08,2225.98,1495.57,1260.94,2492.31,1463.31,1560.72,1296.21,1714.11,1606.89,1740.56,1467.99
1906,1475.97,920.48,1090.84,1099.62,1406.58,1001.69,1011.43,1969.24,1252.14,1471.24,1302.58,2429.26,1394.60,1179.40,2057.71,1160.52,2361.19,1106.67,1145.72,1227.30,962.49,1331.19,1220.88,1550.28,1337.92,897.30,1921.98,1009.99,1015.66,2235.56,1308.85,2832.65,1705.54,933.71,1125.63,2200.29,2797.14,2229.63,1282.72,999.86,1432.84,1037.60,1168.61,1044.08,1151.76,2458.95,1327.31,3139.92,1347.61,1285.58,1384.52,1637.96,1159.43,1034.05,1227.61,1103.36,2269.59,1504.98,923.62,2121.16,1213.22,1046.09,2418.15,1293.94,1369.80,2734.78,2252.74,1283.45,1257.06,2582.59,1463.22,1560.72,1288.36,1338.86,1285.15,1740.47,1467.67
1907,1503.41,955.69,1155.11,1127.68,1451.33,1026.02,1057.46,1998.32,1244.72,1468.92,1429.09,2478.64,1394.74,1188.35,1871.11,1172.17,2505.13,1104.65,1145.85,1231.73,1008.07,1309.82,1223.51,1550.28,1342.97,1014.74,1917.20,1085.91,1046.55,2590.38,1308.85,2870.35,1695.61,1042.87,1142.76,2270.71,2897.01,2399.37,1282.72,1039.16,1540.58,1079.30,1181.81,1069.85,1151.55,2673.61,1584.37,3148.27,1402.67,1534.48,1383.35,1636.67,1201.75,1133.22,1340.98,1131.31,2244.45,1503.48,957.75,2205.68,1212.72,1072.25,2551.28,1286.46,1350.20,2688.48,2330.94,1267.38,1257.16,2627.34,1463.15,1560.72,1289.54,1379.93,1365.99,1740.53,1467.68
1908,1703.13,1418.08,1713.49,1332.99,2114.89,1472.21,1222.74,2740.52,1259.56,1469.09,2038.30,2551.86,1396.86,1363.63,2733.62,1230.57,2840.72,1113.49,1157.78,1245.77,1418.54,1320.92,1276.24,1550.28,1997.74,1473.73,1935.15,1379.70,1384.06,2566.00,1308.85,2969.12,1730.11,1522.98,1723.89,2380.95,3062.60,2572.84,1282.73,1217.93,2273.83,1291.48,1259.06,1606.22,1154.25,2846.88,2002.03,3184.91,2113.90,1998.84,1399.28,1640.63,1797.05,1686.49,2030.43,1654.91,2630.75,1512.41,1407.76,2390.78,1249.55,1589.71,2639.93,1389.33,1480.52,3427.54,2722.94,1738.73,1264.78,2796.06,1463.40,1560.72,1300.37,1986.91,1825.64,1740.68,1468.18
1909,1575.22,1178.26,1442.24,1215.67,1757.11,1243.25,1096.78,2331.43,1259.58,1471.91,1746.99,2551.33,1395.43,1296.87,2393.95,1187.39,2430.08,1108.17,1148.93,1234.45,1185.43,1350.41,1242.10,1550.28,1644.00,1281.09,1945.91,1189.83,1208.31,2273.03,1308.85,2433.33,1747.12,1317.62,1419.85,1879.30,2875.86,2069.08,1282.72,1094.51,2113.74,1166.90,1211.53,1324.71,1152.21,2664.52,1987.81,3164.83,1885.17,1710.01,1389.88,1642.58,1498.88,1485.76,1895.57,1366.21,2167.31,1507.92,1173.63,1894.45,1238.14,1335.47,2474.51,1335.29,1436.53,3076.84,2224.71,1511.88,1260.69,2298.88,1463.28,1560.72,1292.59,1650.83,1561.84,1740.68,1467.85
1910,1683.35,1354.75,1645.42,1310.58,2086.96,1432.31,1222.74,2731.07,1347.09,1474.40,1973.79,2551.34,1396.99,1366.36,2680.21,1231.24,2545.25,1146.06,1247.26,1246.11,1396.93,1482.18,1276.37,1550.28,1982.00,1366.21,1931.07,1359.45,1369.95,2432.85,1308.85,2877.98,1721.94,1422.99,1681.69,2277.63,2879.00,2402.66,1282.74,1218.49,2083.24,1271.41,1253.78,1557.50,1162.04,2628.41,1915.57,3169.33,1950.94,1972.74,1399.04,1639.69,1741.32,1572.27,1836.00,1629.40,2470.17,1511.58,1351.69,2254.42,1270.90,1518.20,2497.09,1378.15,1586.03,3450.31,2473.73,1722.46,1264.88,2690.91,1463.39,1560.72,1300.72,1967.28,1800.60,1740.83,1468.20
