Variable:,pr
,"Pitcairn Islands","Administrative unit not available"
1901,NaN,1638.00
1902,NaN,1638.00
1903,NaN,1638.00
1904,NaN,1638.00
1905,NaN,1638.00
1906,NaN,1638.00
1907,NaN,1638.00
1908,NaN,1638.00
1909,NaN,1638.00
1910,NaN,1638.00
1911,NaN,1638.00
1912,NaN,1638.00
1913,NaN,1638.00
1914,NaN,1638.00
1915,NaN,1638.00
1916,NaN,1638.00
1917,NaN,1638.00
1918,NaN,1638.00
1919,NaN,1638.00
1920,NaN,1638.00
1921,NaN,1638.00
1922,NaN,1638.00
1923,NaN,1638.00
1924,NaN,1638.00
1925,NaN,1638.00
1926,NaN,1638.00
1927,NaN,1638.00
1928,NaN,1638.00
1929,NaN,1638.00
1930,NaN,1638.00
1931,NaN,1638.00
1932,NaN,1638.00
1933,NaN,1638.00
1934,NaN,1638.00
1935,NaN,1638.00
1936,NaN,1638.00
1937,NaN,1638.00
1938,NaN,1638.00
1939,NaN,1638.00
1940,NaN,1950.20
1941,NaN,1960.00
1942,NaN,1326.00
1943,NaN,1008.40
1944,NaN,1778.40
1945,NaN,2095.20
1946,NaN,1764.40
1947,NaN,1638.00
1948,NaN,1866.00
1949,NaN,1638.00
1950,NaN,1638.00
1951,NaN,1638.00
1952,NaN,1638.00
1953,NaN,1411.20
1954,NaN,1560.40
1955,NaN,1521.40
1956,NaN,1982.70
1957,NaN,1807.20
1958,NaN,2590.50
1959,NaN,1711.20
1960,NaN,1896.90
1961,NaN,1890.10
1962,NaN,2012.40
1963,NaN,1926.80
1964,NaN,1581.10
1965,NaN,1981.90
1966,NaN,2109.60
1967,NaN,1602.30
1968,NaN,2088.80
1969,NaN,1904.30
1970,NaN,1220.70
1971,NaN,1655.00
1972,NaN,1725.60
1973,NaN,2290.30
1974,NaN,1183.40
1975,NaN,1020.00
1976,NaN,663.80
1977,NaN,930.00
1978,NaN,607.00
1979,NaN,1592.10
1980,NaN,2029.50
1981,NaN,1234.70
1982,NaN,2203.80
1983,NaN,1777.90
1984,NaN,2550.90
1985,NaN,1637.60
1986,NaN,1034.00
1987,NaN,1673.60
1988,NaN,1393.70
1989,NaN,1726.80
1990,NaN,1893.20
1991,NaN,1814.20
1992,NaN,1577.40
1993,NaN,1073.30
1994,NaN,1563.90
1995,NaN,1015.70
1996,NaN,853.80
1997,NaN,740.50
1998,NaN,546.20
1999,NaN,1525.80
2000,NaN,1490.70
2001,NaN,1887.60
2002,NaN,1773.50
2003,NaN,1800.20
2004,NaN,2637.50
2005,NaN,1731.90
2006,NaN,1638.00
2007,NaN,1638.00
2008,NaN,1638.00
2009,NaN,1638.00
2010,NaN,1638.00
2011,NaN,1638.00
2012,NaN,1638.00
2013,NaN,1638.00
2014,NaN,1638.00
2015,NaN,1638.00
2016,NaN,1638.00
2017,NaN,1638.00
2018,NaN,1638.00
2019,NaN,1638.00
2020,NaN,1638.00
