Variable:,pr
,Seychelles,Aldabra,Alphonse,"Anse Aux Pins","Anse Boileau","Anse Etoile","Anse Royale",Aride,Assumption,Astove,"Au Cap","Baie Lazare","Beau Vallon","Bel Air",Belombre,Bijoutier,Bird,Cascade,"Cerf Island",Conception,Cosmoledo,Cousin,Cousine,Curieuse,Darros,Denis,Desnoeufs,Desroches,"English River",Farquhar,Felicite,Fregate,Glacis,"Grand Anse Mahe","Grande Soeur","Ile du Sud","La Digue","Les Mamelles",Marie-Louise,"Mont Buxton","Mont Fleuri","North Island","Petite Soeur",Plaisance,Platte,"Pointe Larue",Poivre,"Port Glaud",Praslin,Providence,Remire,"Roche Caiman",Silhouette,"St Louis","St. Francois","St. Joseph Atoll","St. Pierre","Ste Anne",Takamaka,Therese,Coetivy
1901,2222.51,1137.00,2249.50,2249.50,2213.46,2210.50,2249.50,2249.50,2249.44,2249.44,2249.44,2215.56,2210.50,2210.50,2210.50,2210.50,2210.50,2217.28,2210.50,2210.50,2217.28,2210.50,2210.50,2217.28,2210.50,2210.50,2210.50,2249.50,2210.50,2249.50,2210.50,2249.50,2210.50,2210.50,2210.50,2210.50,2210.50,2210.50,2210.50,2210.50,2210.50,2210.50,2210.50,2210.50,2210.50,2249.50,2210.50,2210.50,2210.50,2210.50,2210.50,2210.50,2210.50,2210.50,2210.50,2210.50,2210.50,2210.50,2243.45,2210.50,2243.45
1902,1826.05,1137.00,1846.40,1846.40,1819.23,1817.00,1846.40,1846.40,1846.35,1846.35,1846.35,1820.81,1817.00,1817.00,1817.00,1817.00,1817.00,1822.11,1817.00,1817.00,1822.11,1817.00,1817.00,1822.11,1817.00,1817.00,1817.00,1846.40,1817.00,1846.40,1817.00,1846.40,1817.00,1817.00,1817.00,1817.00,1817.00,1817.00,1817.00,1817.00,1817.00,1817.00,1817.00,1817.00,1817.00,1846.40,1817.00,1817.00,1817.00,1817.00,1817.00,1817.00,1817.00,1817.00,1817.00,1817.00,1817.00,1817.00,1841.84,1817.00,1841.84
1903,2461.20,1137.00,2483.90,2483.90,2453.59,2451.10,2483.90,2483.90,2483.85,2483.85,2483.85,2455.35,2451.10,2451.10,2451.10,2451.10,2451.10,2456.80,2451.10,2451.10,2456.80,2451.10,2451.10,2456.80,2451.10,2451.10,2451.10,2483.90,2451.10,2483.90,2451.10,2483.90,2451.10,2451.10,2451.10,2451.10,2451.10,2451.10,2451.10,2451.10,2451.10,2451.10,2451.10,2451.10,2451.10,2483.90,2451.10,2451.10,2451.10,2451.10,2451.10,2451.10,2451.10,2451.10,2451.10,2451.10,2451.10,2451.10,2478.82,2451.10,2478.82
1904,2218.53,1137.00,2244.20,2244.20,2209.92,2207.10,2244.20,2244.20,2244.14,2244.14,2244.14,2211.91,2207.10,2207.10,2207.10,2207.10,2207.10,2213.55,2207.10,2207.10,2213.55,2207.10,2207.10,2213.55,2207.10,2207.10,2207.10,2244.20,2207.10,2244.20,2207.10,2244.20,2207.10,2207.10,2207.10,2207.10,2207.10,2207.10,2207.10,2207.10,2207.10,2207.10,2207.10,2207.10,2207.10,2244.20,2207.10,2207.10,2207.10,2207.10,2207.10,2207.10,2207.10,2207.10,2207.10,2207.10,2207.10,2207.10,2238.45,2207.10,2238.45
1905,1934.86,1137.00,1957.90,1957.90,1927.13,1924.60,1957.90,1957.90,1957.84,1957.84,1957.84,1928.92,1924.60,1924.60,1924.60,1924.60,1924.60,1930.39,1924.60,1924.60,1930.39,1924.60,1924.60,1930.39,1924.60,1924.60,1924.60,1957.90,1924.60,1957.90,1924.60,1957.90,1924.60,1924.60,1924.60,1924.60,1924.60,1924.60,1924.60,1924.60,1924.60,1924.60,1924.60,1924.60,1924.60,1957.90,1924.60,1924.60,1924.60,1924.60,1924.60,1924.60,1924.60,1924.60,1924.60,1924.60,1924.60,1924.60,1952.74,1924.60,1952.74
1906,2034.88,1137.00,2055.30,2055.30,2028.04,2025.80,2055.30,2055.30,2055.25,2055.25,2055.25,2029.62,2025.80,2025.80,2025.80,2025.80,2025.80,2030.92,2025.80,2025.80,2030.92,2025.80,2025.80,2030.92,2025.80,2025.80,2025.80,2055.30,2025.80,2055.30,2025.80,2055.30,2025.80,2025.80,2025.80,2025.80,2025.80,2025.80,2025.80,2025.80,2025.80,2025.80,2025.80,2025.80,2025.80,2055.30,2025.80,2025.80,2025.80,2025.80,2025.80,2025.80,2025.80,2025.80,2025.80,2025.80,2025.80,2025.80,2050.73,2025.80,2050.73
1907,1719.61,1129.00,1738.30,1738.30,1713.35,1711.30,1738.30,1738.30,1738.26,1738.26,1738.26,1714.80,1711.30,1711.30,1711.30,1711.30,1711.30,1715.99,1711.30,1711.30,1715.99,1711.30,1711.30,1715.99,1711.30,1711.30,1711.30,1738.30,1711.30,1738.30,1711.30,1738.30,1711.30,1711.30,1711.30,1711.30,1711.30,1711.30,1711.30,1711.30,1711.30,1711.30,1711.30,1711.30,1711.30,1738.30,1711.30,1711.30,1711.30,1711.30,1711.30,1711.30,1711.30,1711.30,1711.30,1711.30,1711.30,1711.30,1734.11,1711.30,1734.11
1908,1784.50,1133.50,1805.40,1805.40,1777.49,1775.20,1805.40,1805.40,1805.35,1805.35,1805.35,1779.12,1775.20,1775.20,1775.20,1775.20,1775.20,1780.45,1775.20,1775.20,1780.45,1775.20,1775.20,1780.45,1775.20,1775.20,1775.20,1805.40,1775.20,1805.40,1775.20,1805.40,1775.20,1775.20,1775.20,1775.20,1775.20,1775.20,1775.20,1775.20,1775.20,1775.20,1775.20,1775.20,1775.20,1805.40,1775.20,1775.20,1775.20,1775.20,1775.20,1775.20,1775.20,1775.20,1775.20,1775.20,1775.20,1775.20,1800.72,1775.20,1800.72
1909,1585.49,1137.00,1602.10,1602.10,1579.92,1578.10,1602.10,1602.10,1602.06,1602.06,1602.06,1581.21,1578.10,1578.10,1578.10,1578.10,1578.10,1582.27,1578.10,1578.10,1582.27,1578.10,1578.10,1582.27,1578.10,1578.10,1578.10,1602.10,1578.10,1602.10,1578.10,1602.10,1578.10,1578.10,1578.10,1578.10,1578.10,1578.10,1578.10,1578.10,1578.10,1578.10,1578.10,1578.10,1578.10,1602.10,1578.10,1578.10,1578.10,1578.10,1578.10,1578.10,1578.10,1578.10,1578.10,1578.10,1578.10,1578.10,1598.38,1578.10,1598.38
1910,1780.36,1137.00,1796.90,1796.90,1774.81,1773.00,1796.90,1796.90,1796.86,1796.86,1796.86,1776.10,1773.00,1773.00,1773.00,1773.00,1773.00,1777.15,1773.00,1773.00,1777.15,1773.00,1773.00,1777.15,1773.00,1773.00,1773.00,1796.90,1773.00,1796.90,1773.00,1796.90,1773.00,1773.00,1773.00,1773.00,1773.00,1773.00,1773.00,1773.00,1773.00,1773.00,1773.00,1773.00,1773.00,1796.90,1773.00,1773.00,1773.00,1773.00,1773.00,1773.00,1773.00,1773.00,1773.00,1773.00,1773.00,1773.00,1793.20,1773.00,1793.20
