Variable:,pr
,"Papua New Guinea",Central,Chimbu,"East New Britain","East Sepik","Eastern Highlands",Enga,Gulf,Madang,Manus,"Milne Bay",Morobe,"National Capital District","New Ireland",Northern,"Northern Solomons","Southern Highlands","West New Britain","West Sepik",Western,"Western Highlands"
1901,3569.77,2503.61,3011.99,6068.63,2634.15,2239.81,3098.79,4658.36,3070.11,3348.27,2862.30,2641.11,2133.71,4675.36,2988.52,3545.87,4458.15,4717.89,3098.10,4146.04,2881.36
1902,3017.20,1510.33,2723.19,6004.36,2633.76,2015.82,3029.21,3311.65,3066.35,3348.27,2519.61,2080.02,1274.13,4284.36,1752.20,3481.53,3769.81,4600.04,3097.90,3198.07,2701.90
1903,2909.22,2161.74,2660.56,3469.77,2633.61,2096.71,3001.69,3292.55,3067.82,3348.27,2734.05,2413.24,1941.78,2959.80,2553.87,3353.54,3536.12,3780.93,3097.81,2970.03,2625.05
1904,3050.78,2264.82,2656.78,5659.49,2633.59,2113.31,3000.21,3160.54,3068.43,3348.27,2626.15,2493.87,2032.60,4333.12,2705.61,3507.88,3491.79,4550.59,3097.80,2922.45,2624.80
1905,2840.13,1227.61,2633.42,5458.29,2633.62,1986.44,2999.58,3132.40,3064.57,3348.27,2025.49,1980.77,954.50,4014.26,1513.70,3463.11,3563.51,4419.20,3097.83,2884.36,2625.44
1906,3216.57,1897.11,2907.80,4709.99,2634.01,2143.97,3077.47,3940.41,3068.07,3348.27,2475.20,2329.03,1592.79,3623.92,2374.56,3417.51,4182.94,4179.03,3098.02,3764.21,2827.18
1907,3204.03,2088.20,2851.58,4760.58,2633.96,2127.35,3056.81,4105.67,3067.48,3348.27,3402.52,2364.36,1619.21,3627.86,2580.43,3414.94,4099.41,4157.78,3098.01,3496.74,2763.33
1908,3488.44,2277.20,3013.49,6289.86,2634.15,2232.27,3103.44,4325.54,3069.89,3348.27,2994.61,2524.18,1929.85,4852.03,2746.13,3549.35,4420.74,4792.79,3098.09,3979.39,2903.50
1909,3353.65,2180.76,2956.70,4724.56,2634.11,2153.11,3091.90,4235.93,3067.79,3348.27,4029.91,2303.96,1722.09,3748.84,2685.68,3436.70,4357.74,4215.64,3098.08,3962.28,2857.52
1910,3043.11,2139.60,2821.53,2887.59,2633.91,2130.91,3047.66,3941.15,3067.82,3348.27,3605.88,2384.44,1722.67,2327.78,2732.10,3272.72,4026.25,3487.93,3097.99,3335.81,2742.40
1911,2691.44,1703.70,2122.37,4724.56,2629.61,1607.61,2912.20,2561.12,2824.81,3348.27,2336.78,1954.30,1453.47,3748.84,2048.82,3436.70,3177.77,4208.55,3095.54,2590.30,2301.21
1912,2851.01,1952.10,2520.61,4626.18,2633.07,1979.88,2980.38,3038.62,3047.56,3348.27,2428.05,2333.09,1680.52,3894.07,2381.68,3447.19,3378.32,4226.22,3094.52,2649.61,2536.47
1913,2917.61,2009.80,2599.73,4253.59,2633.53,2049.23,2986.22,2976.71,3066.80,3348.27,2815.44,2315.25,1692.72,3465.22,2411.35,3398.64,3365.05,4062.76,3098.46,3043.68,2590.87
1914,2627.15,1592.63,2562.87,2475.97,2634.00,2032.12,2977.12,2668.03,3104.82,3348.27,2124.36,2114.97,1400.37,2292.30,1891.29,3272.87,3227.29,3455.68,3097.52,2753.03,2573.40
1915,3109.11,2098.18,3144.10,4924.13,2637.59,2421.76,3099.90,3849.92,3321.58,3348.27,2433.22,2634.74,1867.39,3824.01,2481.30,3442.83,3935.33,4301.30,3095.86,2953.90,2956.12
1916,3136.74,2115.28,3036.09,3562.08,2857.09,2329.79,3354.74,3663.74,3490.99,3446.50,3580.27,2540.48,1648.08,2831.21,2626.77,3354.38,3987.05,3837.07,3104.69,3272.14,2989.16
1917,3214.01,2793.40,2951.38,2565.20,2808.78,2290.25,3328.88,3803.20,3346.01,3427.31,4632.96,2775.64,2319.67,1962.93,3473.08,3255.80,3911.34,3455.97,3101.37,3456.84,2900.85
1918,2697.79,1917.50,2180.76,4711.00,2367.61,1688.79,2583.00,2774.73,2329.13,3190.23,3434.32,1999.66,1531.35,3611.75,2421.19,3418.84,3236.18,4137.75,3088.12,2631.61,2149.83
1919,3051.28,1975.13,2795.08,5752.05,2827.98,2232.73,3203.68,3216.82,3617.84,3431.28,3008.37,2473.36,1528.17,4733.71,2455.43,3600.45,3526.50,4748.54,3098.88,2616.08,2823.96
1920,3369.43,2042.20,3401.33,5782.94,2933.30,2615.78,3550.97,3895.68,3960.25,3525.48,2535.88,2777.19,1712.34,4543.22,2431.84,3510.63,4111.56,4631.06,3104.26,3316.89,3332.83
1921,3262.71,2026.27,3055.21,5950.06,2752.79,2365.02,3235.86,3736.32,3471.33,3476.49,3577.39,2607.38,1611.82,4792.60,2499.15,3543.62,3966.75,4633.40,3103.75,3221.39,2972.89
1922,3084.19,2421.71,2736.98,5181.55,2633.81,2176.60,3012.84,3392.79,3118.67,3343.30,3480.92,2601.63,1975.12,3963.41,2954.47,3468.02,3573.40,4352.97,3096.01,2897.53,2682.22
1923,2845.32,1840.16,2486.31,5161.94,2523.18,1954.05,2812.22,3017.75,2856.03,3278.17,2726.45,2195.75,1509.65,4114.35,2260.05,3503.27,3372.28,4422.42,3091.85,2710.81,2442.02
1924,3056.15,2010.99,2759.35,3818.37,2599.54,2094.16,2998.00,3629.17,2956.28,3303.01,2775.29,2315.22,1697.48,3113.59,2431.84,3392.33,3861.08,3932.62,3097.81,3484.84,2682.03
1925,2908.84,2058.15,2373.56,5482.15,2301.88,1823.95,2564.87,3300.92,2352.66,3218.78,2688.35,2193.87,1740.87,4655.46,2478.03,3465.65,3467.40,4443.55,3088.90,3015.03,2244.70
1926,3046.61,2051.45,2778.84,6069.20,2709.17,2208.02,3057.28,3302.61,3360.13,3377.35,2282.45,2595.05,1763.18,4504.20,2505.79,3553.35,3568.99,4771.53,3097.79,2648.98,2721.73
1927,3095.42,2194.70,2895.66,5080.70,2661.71,2257.73,3089.48,3612.01,3260.26,3369.90,3021.03,2615.53,1825.21,3908.38,2628.33,3462.83,3704.75,4307.30,3096.36,2958.44,2806.57
1928,3146.01,2152.42,3027.49,4828.77,2728.16,2302.49,3227.77,3872.80,3333.26,3405.45,2756.02,2588.56,1824.21,3738.66,2571.04,3440.19,3934.55,4226.00,3098.22,3073.89,2924.60
1929,3060.94,1959.79,2668.91,6407.41,2648.12,2001.15,3033.51,3471.62,2968.78,3448.10,2569.40,2357.84,1637.44,5192.13,2373.22,3561.16,3652.21,4730.26,3097.22,2859.11,2619.76
1930,2966.42,2039.15,2701.02,4317.15,2649.72,2088.65,3005.41,3456.11,3158.16,3375.97,2496.15,2394.41,1722.63,3569.18,2388.04,3414.32,3691.42,4051.63,3094.14,2938.62,2678.12
1931,2702.89,1755.28,2231.02,3929.20,2486.80,1763.27,2697.14,2699.14,2626.08,3238.32,1922.24,2088.14,1533.08,3371.97,2127.97,3377.95,3274.67,3881.25,3092.57,2883.18,2263.63
1932,2782.78,1769.82,2412.26,4850.73,2506.03,1875.48,2770.11,2965.37,2759.86,3267.61,2066.35,2213.46,1540.33,3788.94,2149.51,3477.06,3342.36,4210.96,3091.47,2718.79,2372.13
