Variable:,pr
,Botswana,Central,Chobe,Ghanzi,Kgalagadi,Kgatleng,Kweneng,Ngamiland,"North East",South-East,Southern
1901,426.30,474.86,606.97,375.50,277.98,482.18,418.16,497.65,639.46,574.47,467.34
1902,377.61,389.03,584.44,362.48,239.96,421.12,353.18,476.01,456.72,467.59,351.65
1903,356.61,374.36,578.20,334.46,217.16,379.22,327.69,460.96,422.33,405.67,315.32
1904,400.12,401.79,578.55,364.82,306.79,467.84,413.01,462.46,465.66,546.02,449.91
1905,332.56,293.77,389.04,351.53,247.42,375.80,343.22,421.90,305.01,429.42,353.24
1906,424.66,475.91,641.27,385.28,270.06,454.98,398.47,501.21,604.87,505.02,422.04
1907,443.68,454.05,723.77,393.75,307.65,554.07,459.29,519.41,540.76,664.42,513.67
1908,368.03,383.27,798.58,324.01,193.82,345.76,319.08,507.08,381.46,394.17,318.09
1909,464.84,474.71,646.16,450.27,341.01,567.64,470.16,517.51,570.82,682.70,525.56
1910,416.91,434.34,699.50,390.10,270.51,453.38,396.78,511.58,447.95,526.86,403.24
1911,393.29,434.61,656.47,330.57,241.93,478.54,407.24,470.65,526.07,543.61,424.56
1912,342.22,269.75,435.33,380.27,270.24,349.17,342.92,440.58,245.04,462.75,383.29
1913,330.37,306.39,424.55,321.72,269.95,356.95,303.01,413.94,358.76,398.48,335.33
1914,397.24,437.10,732.45,352.24,222.99,477.45,356.78,503.84,534.27,489.50,355.03
1915,412.28,465.49,693.82,373.45,225.39,506.18,411.30,495.80,562.02,569.40,391.41
1916,331.24,296.98,458.25,350.65,243.75,342.88,303.94,422.57,346.03,406.78,327.80
1917,392.41,391.10,564.04,369.04,339.56,511.61,421.40,398.14,444.50,595.43,450.52
1918,483.86,535.40,689.52,436.55,339.23,617.18,535.74,512.83,633.19,683.30,538.08
1919,409.23,445.78,783.70,354.44,249.16,426.41,368.68,521.31,527.05,448.77,345.63
1920,411.32,439.67,678.88,385.23,259.84,452.11,381.47,502.31,520.69,498.39,381.73
1921,494.67,542.51,733.33,449.28,320.30,579.77,473.78,598.28,628.25,626.87,466.75
1922,265.46,265.45,483.70,237.38,175.38,288.17,249.39,347.86,267.15,333.89,239.79
1923,473.76,503.96,714.04,447.06,353.56,501.59,438.40,539.11,602.76,566.02,448.13
1924,389.56,468.51,580.95,325.95,250.94,503.60,407.93,410.17,602.42,550.83,428.71
1925,543.18,550.97,968.51,482.49,359.67,554.54,489.94,710.70,630.67,640.53,504.20
1926,361.61,383.95,684.50,310.48,228.44,355.32,322.59,459.18,523.28,431.65,347.64
1927,323.90,305.46,461.96,327.36,248.95,388.84,338.64,374.21,294.25,441.06,346.31
1928,381.52,403.47,471.53,359.32,284.30,486.80,421.75,406.42,479.14,588.44,443.66
1929,388.71,468.37,660.46,309.47,249.82,473.38,408.49,413.82,619.76,531.60,416.90
1930,367.18,420.86,624.62,332.02,208.50,415.43,373.34,420.24,500.51,489.17,371.83
1931,339.95,347.53,448.12,336.56,239.45,408.84,362.69,384.34,371.41,450.78,373.21
1932,374.96,418.10,712.60,325.49,245.64,415.33,359.94,418.76,552.33,494.85,383.41
1933,279.92,325.34,431.11,247.26,190.80,347.11,283.78,294.76,393.08,386.66,288.28
1934,506.89,400.21,617.58,575.79,443.74,543.87,470.19,627.85,389.36,672.70,505.09
1935,294.56,230.33,391.85,326.41,257.60,307.31,293.01,353.81,289.82,391.82,325.29
1936,434.21,486.52,700.20,386.88,283.00,552.55,468.49,463.78,590.97,600.96,491.55
1937,382.12,393.41,612.86,364.32,260.73,482.79,402.65,440.55,446.54,495.25,374.67
1938,385.72,362.05,617.48,382.74,272.62,348.26,294.75,529.12,436.07,402.22,324.48
1939,466.34,527.84,746.61,400.78,318.70,582.23,488.99,500.25,663.44,667.53,515.56
1940,459.17,528.85,682.50,409.19,288.21,527.67,461.12,520.02,595.18,598.06,478.69
1941,328.84,350.50,661.19,273.90,215.11,372.03,320.48,399.14,405.20,400.21,324.11
1942,364.11,309.39,423.66,373.05,328.59,469.22,413.68,391.60,326.61,623.58,489.81
1943,470.71,449.32,578.47,454.05,368.53,658.28,578.81,497.66,514.92,814.92,623.87
1944,423.76,453.10,678.90,379.42,235.95,508.54,423.59,548.89,504.64,565.04,423.14
1945,315.64,337.74,546.34,269.81,193.50,343.71,307.89,397.57,413.40,383.26,330.58
1946,412.83,475.44,600.40,392.62,205.11,498.46,433.67,483.94,545.73,621.09,437.64
1947,325.52,325.44,579.72,278.27,238.85,371.33,320.50,392.83,365.85,449.08,369.01
1948,456.20,504.74,725.27,410.46,261.70,462.00,391.28,604.00,536.85,495.34,398.82
1949,354.41,383.73,578.19,341.25,233.21,419.90,350.30,393.79,419.32,463.01,355.99
1950,426.29,344.67,588.73,432.83,429.51,389.96,348.16,525.23,379.93,454.70,420.91
1951,392.56,376.00,702.86,388.71,239.17,417.37,356.67,514.66,461.78,461.99,379.56
1952,392.45,405.99,835.32,353.47,222.32,424.54,355.28,506.13,459.33,458.33,364.93
1953,458.74,492.90,769.79,428.42,290.18,415.39,351.97,599.22,633.18,440.44,370.39
1954,466.95,485.90,803.29,430.40,320.33,478.78,405.97,585.62,583.65,523.44,399.14
1955,580.83,655.08,726.03,557.32,354.92,708.12,572.78,682.75,789.08,734.37,549.19
1956,415.60,420.18,693.07,356.14,316.47,502.98,418.14,496.05,444.51,591.35,438.54
1957,403.96,385.59,695.77,355.78,287.63,483.63,420.21,499.43,472.18,624.08,469.31
1958,506.15,568.21,1077.81,411.50,247.77,623.50,509.29,652.39,600.34,631.43,473.73
1959,331.14,349.84,618.80,254.29,186.90,392.22,340.82,447.53,411.86,438.59,363.71
1960,361.58,383.12,525.94,323.97,265.44,476.88,389.07,393.33,442.81,551.71,420.53
1961,442.50,465.95,648.67,403.85,337.66,462.17,401.54,518.12,507.12,524.15,451.65
1962,360.23,397.60,773.11,271.05,193.72,357.33,313.31,492.16,472.31,467.64,362.31
1963,437.31,385.02,650.97,467.38,357.03,337.24,312.91,577.36,408.11,415.40,372.81
1964,238.76,278.08,400.78,202.04,131.43,298.46,255.98,269.09,338.83,359.43,281.36
1965,217.02,178.35,347.43,216.71,192.67,209.41,209.37,266.66,166.53,269.15,236.99
1966,433.04,443.92,663.34,420.30,270.38,425.26,374.28,568.15,545.90,516.70,384.86
1967,520.25,478.91,639.07,500.54,382.74,699.94,625.92,613.80,509.76,857.47,664.38
1968,406.84,390.68,557.40,398.60,312.61,496.80,437.92,469.43,397.01,560.18,444.92
1969,394.40,480.25,761.21,335.23,216.69,497.35,404.67,423.72,608.99,497.56,379.67
1970,276.00,295.61,403.13,262.84,176.96,349.88,285.39,320.87,297.12,351.96,284.84
1971,394.57,398.67,557.80,352.28,262.27,528.18,449.14,473.98,413.96,634.03,478.37
1972,427.72,442.19,671.68,387.25,328.87,387.92,381.02,518.45,538.37,463.51,397.27
1973,447.68,427.18,688.19,432.73,310.60,490.08,439.52,561.44,498.28,609.59,480.82
1974,647.90,556.04,886.31,663.03,568.85,575.00,542.61,833.31,670.59,765.88,596.33
1975,456.76,498.79,537.11,414.71,367.90,590.01,514.59,441.24,574.29,762.78,591.21
1976,547.69,479.77,585.18,558.37,581.30,646.88,590.63,524.57,573.42,846.49,689.97
1977,551.22,581.91,828.50,489.38,373.18,560.89,508.32,706.13,677.08,615.15,516.81
1978,506.92,552.23,764.18,487.42,311.98,583.05,497.95,601.93,726.99,576.56,460.06
1979,338.40,330.99,550.09,320.49,289.31,415.55,359.03,344.01,446.13,500.55,378.30
1980,401.80,424.35,460.04,389.99,248.24,560.63,464.74,470.70,500.30,579.48,434.05
1981,436.04,494.69,673.67,395.76,234.48,547.27,478.04,501.41,620.62,621.42,484.29
1982,308.72,282.54,373.87,328.04,227.84,437.34,373.68,340.94,266.83,458.99,370.85
1983,334.81,304.65,609.76,330.12,275.42,277.80,253.44,427.29,356.94,336.64,282.89
1984,273.06,312.31,449.79,229.74,177.08,344.38,283.35,318.62,367.38,274.10,242.85
1985,310.56,303.00,584.28,272.51,227.64,285.18,261.87,412.90,358.25,304.58,271.31
1986,353.12,381.29,617.85,289.90,260.41,346.61,315.25,430.76,455.11,370.90,341.01
