Variable:,pr
,"Cote d'Ivoire","Bas Sassandra",Denguele,Savanes,"Vallee Du Bandama",Zanzan,Comoe,"District autonome de Abidjan","District autonome de Yamoussoukro",Gôh-Djiboua,Lacs,Lagunes,Montagnes,Sassandra-Marahoue,Woroba
1901,1367.38,1703.93,1364.15,1214.24,1172.36,1118.00,1500.00,1526.95,1237.80,1418.73,1221.44,1435.13,1731.95,1388.67,1371.51
1902,1362.84,1703.93,1364.15,1214.37,1172.38,1132.87,1384.55,1513.02,1237.80,1418.73,1221.26,1417.52,1731.95,1388.67,1371.51
1903,1361.56,1703.93,1388.10,1214.88,1172.33,1094.26,1339.16,1507.77,1237.80,1418.73,1219.68,1412.94,1758.32,1389.33,1387.68
1904,1354.00,1703.93,1365.64,1214.24,1172.31,1089.62,1313.46,1502.51,1237.80,1418.73,1219.25,1406.76,1733.89,1388.70,1372.33
1905,1375.31,1702.76,1428.66,1268.39,1191.73,1127.40,1328.03,1503.53,1225.27,1412.80,1215.32,1408.92,1751.96,1377.91,1406.13
1906,1575.99,1713.71,1680.07,1524.06,1474.66,1312.77,1606.52,1684.14,1418.87,1474.28,1417.97,1575.52,1883.78,1616.05,1710.51
1907,1435.09,1714.41,1423.76,1212.42,1300.31,1120.28,1405.27,1471.27,1428.46,1476.43,1341.13,1410.10,1837.01,1613.70,1550.68
1908,1400.67,1760.70,1413.42,1215.15,1190.20,1173.09,1501.00,1612.21,1237.60,1479.48,1269.37,1518.87,1775.94,1373.58,1381.96
1909,1654.80,1782.29,1766.62,1640.10,1578.53,1415.82,1483.45,1550.98,1607.05,1632.24,1495.33,1501.44,1946.17,1802.91,1785.43
1910,1508.63,1762.37,1471.76,1358.11,1335.75,1305.15,1670.39,1664.19,1401.37,1553.38,1428.97,1600.69,1818.91,1534.45,1495.41
1911,1758.91,1948.97,1636.00,1534.56,1682.77,1429.72,1748.33,1781.43,1827.92,1906.05,1713.39,1778.19,2082.18,2018.39,1873.62
1912,1447.48,1841.77,1391.77,1247.05,1250.79,1156.61,1491.87,1698.26,1371.77,1645.45,1336.81,1619.24,1784.96,1476.88,1427.59
1913,1441.69,1544.33,1682.89,1474.63,1370.79,1230.55,1265.01,1299.24,1298.30,1206.40,1246.13,1187.48,1774.87,1531.15,1627.53
1914,1314.28,1710.44,1271.38,1139.72,1108.12,1061.79,1373.06,1488.15,1221.64,1429.33,1188.49,1406.27,1693.95,1344.12,1277.76
1915,1539.93,1858.77,1544.92,1394.83,1355.27,1246.76,1550.11,1717.78,1497.90,1714.03,1431.30,1656.11,1848.28,1601.42,1534.85
1916,1441.41,1691.01,1534.79,1366.56,1266.24,1206.47,1567.91,1598.94,1240.14,1390.58,1279.79,1486.45,1759.32,1413.26,1491.34
1917,1426.58,1759.55,1404.19,1293.46,1216.98,1245.91,1629.72,1614.61,1240.60,1489.54,1288.52,1536.69,1740.45,1384.37,1376.73
1918,1332.20,1539.77,1514.40,1332.26,1198.38,1162.77,1318.84,1348.06,1101.63,1142.81,1114.95,1210.06,1676.88,1301.71,1422.53
1919,1172.49,1292.72,1403.84,1200.99,1024.14,1034.31,1245.07,1295.32,992.09,1084.94,1011.50,1175.07,1341.71,1104.60,1214.04
1920,1235.16,1589.71,1229.40,1143.51,1044.76,1036.73,1342.22,1492.08,1114.90,1321.62,1109.17,1367.79,1472.63,1203.16,1171.59
1921,1363.30,1628.73,1502.88,1269.84,1213.91,1139.53,1324.48,1336.64,1166.92,1291.88,1129.58,1257.08,1805.48,1366.33,1466.74
1922,1390.80,1533.17,1541.24,1389.56,1233.38,1147.71,1398.70,1386.80,1225.89,1330.77,1230.08,1341.10,1723.23,1415.73,1468.14
