Variable:,pr
,Moldova,Balti,Cahul,Chisinau,Dubasari,Edinet,Gagauzia,Lapusna,Orhei,Soroca,Tighina,Ungheni
1901,618.09,612.36,648.76,639.40,593.06,546.62,651.61,671.65,635.29,598.00,600.61,659.72
1902,435.49,456.13,418.02,439.51,427.21,425.25,422.04,436.29,449.90,444.62,412.24,464.96
1903,397.31,410.56,421.90,383.44,367.67,393.88,416.81,422.94,388.76,402.86,370.00,417.44
1904,423.98,442.24,426.15,419.10,397.59,414.25,427.87,445.27,430.97,438.76,390.40,455.34
1905,440.54,473.61,408.59,435.24,434.90,459.61,406.67,435.06,445.96,463.98,409.14,455.30
1906,544.16,553.16,533.17,549.28,537.78,515.15,542.03,560.07,560.38,554.15,518.95,580.76
1907,455.49,459.83,450.00,465.42,437.02,440.51,460.06,485.17,462.84,457.25,438.71,472.21
1908,482.25,504.45,470.75,478.15,468.32,484.44,467.63,485.59,497.17,498.96,442.24,512.74
1909,486.88,492.38,489.82,501.17,476.36,455.17,491.85,503.29,510.50,481.56,453.52,525.04
1910,558.12,574.48,539.96,568.06,549.23,533.91,551.52,568.91,583.05,570.35,519.45,596.85
1911,531.12,578.85,487.80,527.69,510.68,541.07,487.60,525.67,561.93,573.88,463.24,582.00
1912,724.12,759.66,687.37,740.10,703.90,696.41,695.17,742.98,757.50,740.70,669.03,794.58
1913,465.08,519.63,439.23,449.21,435.89,508.38,433.65,458.38,469.86,490.59,402.34,501.55
1914,656.30,648.59,661.27,687.13,651.04,575.94,670.33,698.07,682.94,633.41,644.67,710.18
1915,570.53,571.96,588.39,581.39,553.49,527.20,583.11,597.92,584.20,559.37,544.86,622.31
1916,507.68,548.97,454.88,504.86,494.63,537.28,453.02,490.61,534.12,553.17,451.29,543.41
1917,483.42,462.13,464.61,514.81,507.91,423.10,471.18,493.34,528.54,485.60,468.29,511.49
1918,490.51,505.07,474.33,499.00,488.38,475.23,474.23,492.36,515.04,500.01,452.05,529.57
1919,630.47,615.70,656.62,654.85,620.75,554.88,650.73,676.33,653.57,613.42,611.83,679.24
1920,423.28,466.20,410.97,416.55,394.77,445.14,394.98,418.62,436.32,442.08,368.53,466.82
1921,412.05,429.29,411.99,413.04,380.46,418.78,401.51,424.78,428.39,424.29,363.67,460.70
1922,622.38,675.26,563.50,607.54,596.66,671.10,558.90,603.96,656.23,681.25,543.83,670.91
1923,497.86,538.39,467.89,482.54,471.33,534.77,458.39,485.50,518.26,548.01,429.91,537.90
1924,402.14,420.48,398.62,398.26,388.91,408.92,389.10,407.02,409.94,415.78,363.05,431.09
1925,477.23,513.15,462.91,460.88,464.30,488.66,455.79,470.24,487.71,508.49,432.44,500.67
1926,517.54,542.33,471.44,527.95,512.06,500.59,484.81,528.87,542.68,531.38,485.06,569.21
1927,452.61,493.64,417.06,442.68,439.63,470.05,411.68,442.65,477.18,483.70,397.22,494.58
1928,465.92,505.12,427.39,462.39,451.74,474.09,425.48,453.44,502.45,506.51,404.62,511.70
1929,415.78,435.46,394.59,417.40,407.77,414.61,392.61,418.45,435.02,433.79,382.19,441.49
1930,504.41,519.31,468.07,512.05,510.20,491.78,466.62,513.01,519.04,518.15,487.87,532.44
1931,503.22,518.21,487.34,508.22,508.93,468.05,477.08,503.71,529.40,526.48,478.90,532.31
1932,563.88,573.56,552.45,573.29,555.60,521.84,561.01,588.52,586.33,573.20,534.95,604.90
1933,651.49,661.54,668.77,652.11,645.28,605.86,653.95,667.79,668.74,663.45,617.64,685.73
1934,395.47,422.78,386.89,387.07,376.22,391.39,379.88,401.01,412.02,418.15,353.25,433.83
1935,399.35,409.90,389.72,400.01,398.79,394.77,385.02,397.44,415.21,407.01,377.13,418.58
1936,483.00,523.11,440.30,484.57,470.99,476.80,443.32,477.55,512.39,517.70,431.37,537.42
1937,560.98,579.61,535.60,568.03,555.17,542.03,528.71,564.36,593.05,592.79,518.66,601.71
1938,459.03,491.46,417.95,458.05,452.73,467.43,415.93,450.59,485.03,487.26,416.12,493.86
1939,450.05,452.49,477.64,443.66,435.20,437.12,456.65,458.15,457.97,454.63,429.44,468.07
1940,637.39,647.57,630.87,648.85,612.03,604.57,632.33,678.61,648.26,639.12,611.99,689.68
1941,707.08,731.84,691.34,717.31,678.37,668.51,693.99,731.37,746.80,722.21,647.76,789.92
1942,424.75,444.25,415.47,426.11,417.14,416.36,408.74,423.96,444.48,441.49,386.26,455.30
1943,541.39,514.96,551.86,569.75,546.76,472.25,557.79,576.00,566.59,526.35,532.68,580.59
1944,493.26,527.42,472.32,493.82,483.28,496.23,465.27,483.03,512.43,511.44,449.07,531.33
1945,394.42,392.16,382.89,406.53,389.89,376.39,396.29,413.73,408.70,393.57,377.68,416.57
1946,411.07,411.14,408.01,426.50,416.34,375.72,401.14,426.15,421.13,411.43,408.31,420.66
1947,554.34,586.76,510.82,560.78,560.75,541.65,508.06,535.58,595.58,590.90,498.47,598.60
