Variable:,pr
1901,2046.23
1902,2046.23
1903,2046.23
1904,2046.23
1905,2046.23
1906,2046.23
1907,2046.23
1908,2046.23
1909,2046.23
1910,2046.23
1911,2046.23
1912,2046.23
1913,2046.23
1914,2046.23
1915,2046.23
1916,2046.23
1917,2046.23
1918,2046.23
1919,2046.23
1920,2046.23
1921,2046.23
1922,2046.23
1923,2046.23
1924,2046.23
1925,2046.23
1926,2046.23
1927,2046.23
1928,2046.23
1929,2046.23
1930,2046.23
1931,2046.23
1932,2046.23
1933,2046.23
1934,2046.23
1935,2046.23
1936,2046.23
1937,2046.23
1938,2046.23
1939,2046.23
1940,2046.23
1941,2046.23
1942,2046.23
1943,2046.23
1944,2046.23
1945,2046.23
1946,2046.23
1947,2046.23
1948,2046.23
1949,2046.23
1950,2046.23
1951,1671.35
1952,2227.96
1953,2455.66
1954,1734.59
1955,2534.24
1956,1908.50
1957,1702.61
1958,1576.95
1959,2000.87
1960,1860.11
1961,2477.31
1962,2163.89
1963,1486.89
1964,1546.82
1965,2668.37
1966,1432.92
1967,1778.66
1968,2073.24
1969,1876.28
1970,1858.95
1971,1524.59
1972,2701.88
1973,1883.87
1974,2243.53
1975,1698.62
1976,2249.94
1977,2280.80
1978,1739.13
1979,2336.02
1980,2839.53
1981,1921.68
1982,3138.90
1983,1475.84
1984,1758.47
1985,2747.45
1986,1848.47
1987,2718.33
1988,1676.13
1989,2315.15
1990,1320.01
1991,1820.71
1992,1145.18
1993,2688.71
1994,1842.66
1995,1798.88
1996,1264.97
1997,1729.17
1998,2393.36
1999,1170.19
2000,1507.50
2001,1493.22
2002,1979.32
2003,2091.33
2004,1918.14
2005,2442.56
2006,2198.37
2007,1972.74
2008,1990.10
2009,2066.33
2010,2140.04
2011,2052.97
2012,1628.69
2013,1858.83
2014,1560.40
2015,2314.23
2016,1506.83
2017,1739.48
2018,2632.69
2019,1754.18
2020,1297.07
