Variable:,pr
,Guinea-Bissau,Bafata,Biombo,Bolama/bijagos,Cacheu,Gabu,Oio,Quinara,"Sector Autonomo De Bissau",Tombali
1901,1794.44,1728.56,2068.05,2108.44,1902.49,1610.69,1769.28,2081.91,2071.50,2159.77
1902,1379.78,1315.30,1470.65,1554.83,1301.78,1369.72,1241.41,1552.97,1474.00,1733.42
1903,1547.44,1496.61,1613.95,1713.18,1424.84,1512.68,1412.85,1769.60,1617.30,1921.36
1904,1712.50,1643.47,1685.27,1746.81,1544.65,1712.09,1551.48,1926.41,1687.40,2107.25
1905,1839.45,1771.77,2094.56,2172.32,1851.92,1711.30,1758.50,2127.47,2099.10,2236.48
1906,2103.63,2021.51,2299.42,2364.48,2201.57,1944.51,2046.96,2380.39,2301.60,2495.27
1907,1385.27,1324.54,1405.40,1499.25,1319.63,1340.54,1278.48,1580.07,1406.90,1717.47
1908,1726.15,1667.73,1771.21,1859.73,1728.62,1608.27,1648.07,1979.02,1771.90,2084.24
1909,1741.39,1680.87,1921.28,1969.40,1838.93,1575.88,1735.79,1984.29,1923.00,2042.77
1910,1633.22,1585.70,1681.11,1782.51,1554.23,1553.46,1522.76,1879.96,1683.20,2011.54
1911,1423.84,1362.25,1511.94,1590.20,1345.53,1400.64,1297.29,1612.84,1515.10,1762.83
1912,1569.08,1515.58,1579.10,1726.66,1377.52,1517.09,1386.34,1856.42,1582.50,2101.73
1913,1220.50,1164.83,1218.18,1329.39,1086.92,1215.64,1078.29,1402.16,1220.50,1577.55
1914,1866.63,1814.29,2093.74,2169.52,1875.69,1725.78,1786.09,2162.72,2097.90,2264.54
1915,1703.00,1631.26,1867.73,1932.23,1819.14,1550.79,1674.81,1938.64,1869.10,2019.36
1916,1729.67,1678.77,1749.19,1850.23,1622.10,1642.00,1609.61,2006.83,1751.20,2151.94
1917,1617.04,1556.86,1680.03,1767.62,1607.78,1528.66,1532.38,1837.97,1681.40,1957.54
1918,2138.43,2086.27,2339.04,2407.98,2079.26,2020.28,2016.67,2452.47,2343.70,2595.73
1919,1656.54,1590.59,1811.88,1925.35,1599.04,1608.09,1505.85,1896.83,1816.40,2072.27
1920,1723.52,1652.66,1789.13,1894.64,1673.17,1661.00,1602.00,1964.07,1791.30,2098.22
1921,1656.42,1574.35,1762.36,1927.89,1621.15,1561.16,1520.78,1938.34,1765.20,2142.47
1922,1811.45,1728.57,2129.62,2246.65,1873.63,1647.29,1712.54,2133.58,2134.60,2317.90
1923,1615.10,1568.85,1747.38,1848.28,1617.57,1555.31,1466.04,1853.38,1750.90,1958.67
1924,1800.08,1671.06,2103.71,2212.77,2002.31,1573.21,1797.10,2138.23,2106.80,2242.66
1925,1738.34,1647.46,1943.38,2010.72,1802.19,1605.61,1679.28,2032.80,1946.30,2075.03
1926,1581.61,1516.85,1648.70,1738.13,1520.08,1531.08,1471.76,1780.46,1651.10,1949.83
1927,2061.85,1947.62,2532.83,2632.16,2225.29,1864.09,2018.17,2433.40,2539.90,2486.61
1928,1870.24,1793.39,2098.77,2215.02,1909.47,1718.82,1791.86,2165.07,2102.70,2327.53
1929,1857.06,1794.74,2006.26,2083.40,1867.06,1748.74,1761.27,2128.98,2008.70,2206.20
1930,1570.95,1547.27,1687.59,1704.22,1561.21,1519.66,1493.18,1770.17,1690.10,1721.39
1931,1505.09,1426.22,1756.68,1865.04,1511.58,1343.75,1426.10,1814.11,1761.60,2033.17
1932,1884.27,1817.49,2195.67,2321.21,1927.97,1690.05,1812.26,2239.25,2201.00,2384.68
1933,2045.70,2019.09,2280.07,2368.02,2011.96,1947.05,1944.41,2325.60,2285.50,2371.47
1934,1687.79,1644.56,1671.21,1790.17,1544.80,1606.90,1584.80,1970.35,1673.30,2067.88
1935,2017.14,1996.75,2129.67,2247.01,1938.23,1932.70,1868.96,2291.81,2133.20,2415.71
1936,2064.45,2008.26,2336.11,2466.14,2158.34,1855.98,1973.46,2406.79,2339.40,2560.94
1937,1686.55,1618.15,1785.66,1893.30,1626.84,1666.90,1550.24,1907.93,1788.40,1979.21
1938,1800.04,1715.85,2074.44,2198.67,1858.57,1668.24,1714.21,2123.81,2078.90,2167.14
1939,1715.75,1651.10,1861.16,1957.30,1687.23,1613.22,1618.06,1984.83,1864.10,2108.55
1940,1770.36,1675.96,1889.11,1993.95,1724.82,1730.62,1641.42,2005.10,1892.00,2139.08
1941,1423.15,1424.65,1396.95,1423.58,1143.05,1508.38,1222.93,1540.68,1401.10,1711.18
1942,1737.05,1672.69,1867.07,2002.17,1715.21,1642.72,1615.03,1994.36,1870.00,2166.75
1943,1862.82,1750.42,2110.67,2221.69,1910.22,1730.67,1791.05,2174.94,2114.20,2272.79
1944,1599.44,1565.99,1780.59,1876.61,1569.08,1449.39,1509.98,1903.03,1784.70,2046.45
