Variable:,pr
,Bangladesh,Barisal,Chittagong,Dhaka,Khulna,Sylhet,Rajshahi,Rangpur
1901,2403.13,2542.71,2918.90,2373.06,1768.75,3582.89,1687.61,2125.52
1902,2357.41,2364.70,2951.99,2276.77,1742.88,3237.56,1727.71,2253.54
1903,2293.01,2152.75,2750.00,2285.58,1550.16,3592.92,1633.17,2184.07
1904,2396.89,2382.24,2843.56,2360.62,1765.22,3424.71,1796.20,2329.73
1905,2705.51,2658.97,3048.78,2734.76,1983.86,4075.33,2032.38,2600.15
1906,2122.35,1984.80,2517.50,2094.73,1460.65,3175.55,1581.11,2118.28
1907,2056.55,2087.84,2630.84,1958.77,1496.66,2805.53,1478.06,1981.24
1908,2543.47,2855.76,3229.13,2455.58,2005.47,3508.38,1767.65,2155.64
1909,2381.78,2477.07,2741.48,2377.35,1925.11,3298.26,1783.21,2263.68
1910,2489.81,2327.34,2921.03,2474.19,1717.75,3898.53,1825.17,2399.07
1911,2787.42,2413.83,3098.56,2850.25,1809.72,4655.22,2065.60,2756.41
1912,2349.02,2351.96,2923.26,2315.85,1679.52,3450.36,1649.13,2140.17
1913,2867.63,3013.89,3211.95,2870.56,2329.28,4129.52,2157.13,2678.96
1914,2406.60,2337.80,2955.19,2339.36,1732.67,3415.88,1787.15,2338.25
1915,2720.84,2616.01,3274.98,2676.60,1893.30,4231.47,1940.63,2579.46
1916,2580.90,2685.82,2854.15,2602.69,2185.89,3652.24,1972.53,2389.04
1917,2560.38,2534.29,2919.75,2562.07,2025.99,3596.82,1975.74,2468.96
1918,2402.15,2338.47,2990.60,2323.36,1674.25,3439.00,1749.89,2355.85
1919,2622.22,2765.47,3339.41,2530.42,1931.03,3711.12,1844.62,2312.30
1920,2331.26,2343.40,2684.56,2339.13,1788.82,3400.74,1734.87,2185.69
1921,2426.88,2262.00,2830.70,2433.71,1647.64,3951.27,1734.63,2303.12
1922,2731.38,2934.87,3459.50,2577.50,2114.29,3751.03,1955.55,2495.62
1923,2213.40,2236.87,2705.48,2160.25,1565.58,3343.92,1566.07,2052.37
