Variable:,pr
1901,43.79
1902,37.79
1903,43.57
1904,40.71
1905,35.79
1906,35.80
1907,36.05
1908,38.43
1909,39.94
1910,42.14
1911,33.70
1912,38.72
1913,38.93
1914,43.14
1915,39.08
1916,37.57
1917,39.01
1918,49.03
1919,44.12
1920,39.03
1921,33.32
1922,37.67
1923,34.85
1924,43.02
1925,38.96
1926,34.45
1927,38.77
1928,38.84
1929,36.74
1930,40.02
1931,41.47
1932,33.90
1933,46.46
1934,35.18
1935,35.03
1936,40.85
1937,31.64
1938,38.16
1939,27.14
1940,25.53
1941,29.12
1942,48.52
1943,43.74
1944,53.81
1945,33.08
1946,43.52
1947,40.74
1948,21.67
1949,54.00
1950,36.15
1951,81.19
1952,46.83
1953,77.16
1954,76.53
1955,21.13
1956,72.38
1957,30.81
1958,26.60
1959,22.64
1960,19.34
1961,21.94
1962,51.37
1963,31.42
1964,38.87
1965,42.67
1966,39.80
1967,51.50
1968,27.12
1969,39.26
1970,39.11
1971,28.01
1972,54.73
1973,36.13
1974,22.39
1975,28.18
1976,29.50
1977,15.86
1978,26.53
1979,50.10
1980,42.10
1981,26.08
1982,23.12
1983,14.89
1984,25.28
1985,40.81
1986,34.67
1987,40.30
1988,32.09
1989,48.44
1990,19.72
1991,20.57
1992,24.09
1993,55.20
1994,26.60
1995,48.16
1996,46.53
1997,33.86
1998,48.63
1999,34.42
2000,38.17
2001,34.30
2002,44.27
2003,38.11
2004,37.67
2005,50.03
2006,27.36
2007,26.93
2008,49.26
2009,33.37
2010,47.30
2011,33.11
2012,24.53
2013,29.48
2014,34.70
2015,33.47
2016,39.73
2017,28.67
2018,32.13
2019,31.98
2020,31.33
