Variable:,pr
,"Central African Republic",Bamingui-Bangoran,Bangui,Basse-Kotto,Haut-Mbomou,Haute-Kotto,Kémo,Lobaye,Mambéré-Kadéï,Mbomou,Nana-Gribizi,Nana-Mambéré,"Ombella M'Poko",Ouaka,Ouham,"Ouham Pendé",Sangha-Mbaéré,Vakaga
1916,1347.98,1127.13,1466.30,1552.19,1610.26,1350.67,1337.38,1457.01,1448.46,1564.21,1210.67,1440.54,1362.49,1406.93,1202.93,1324.29,1539.34,885.29
1917,1360.55,1128.83,1606.40,1599.83,1448.73,1316.13,1449.97,1590.09,1509.17,1568.72,1254.36,1460.32,1496.28,1454.88,1267.99,1347.54,1611.87,865.94
1918,1337.64,1126.77,1487.80,1557.07,1444.62,1369.22,1328.68,1479.00,1455.00,1576.37,1203.22,1442.20,1369.25,1401.17,1197.56,1324.97,1554.45,892.32
1919,1362.25,1129.88,1572.40,1594.14,1459.38,1303.83,1468.04,1555.95,1500.89,1567.81,1276.56,1467.68,1503.52,1459.93,1299.33,1365.14,1570.96,857.85
1920,1393.51,1130.05,1571.00,1592.37,1596.18,1395.60,1458.94,1552.30,1501.76,1581.76,1266.31,1463.46,1495.35,1457.86,1283.51,1355.22,1566.42,964.81
1921,1399.82,1130.33,1571.00,1592.37,1584.95,1463.98,1458.94,1554.07,1501.76,1625.52,1266.31,1463.70,1495.39,1457.86,1283.51,1355.77,1572.09,876.60
1922,1405.89,1130.47,1571.00,1592.17,1609.44,1464.48,1458.94,1555.01,1501.76,1582.25,1266.31,1466.59,1495.41,1457.86,1283.51,1359.53,1575.01,975.74
1923,1378.33,1129.72,1571.00,1592.35,1545.47,1346.31,1458.94,1551.24,1501.76,1555.13,1266.31,1465.14,1495.33,1457.86,1283.51,1357.59,1564.23,949.34
1924,1380.31,1129.66,1571.00,1592.49,1560.72,1348.03,1458.94,1554.23,1501.74,1576.77,1266.31,1464.14,1495.39,1457.86,1283.51,1356.59,1572.44,922.89
1925,1337.45,1129.05,1571.00,1592.36,1372.32,1239.41,1458.94,1554.66,1501.76,1528.47,1266.31,1466.61,1495.40,1457.86,1283.51,1359.95,1575.26,840.98
1926,1365.94,1129.94,1571.00,1592.99,1531.44,1371.44,1458.94,1558.12,1470.50,1627.14,1266.31,1260.73,1493.96,1457.86,1276.48,1202.02,1581.88,906.59
1927,1294.62,1127.03,1249.40,1380.77,1466.03,1308.23,1261.32,1250.04,1390.14,1437.82,1241.89,1488.94,1224.24,1325.46,1227.12,1374.92,1378.54,942.35
1928,1408.18,1184.76,1539.60,1585.76,1502.46,1362.77,1469.28,1531.22,1556.64,1617.20,1302.82,1603.82,1503.45,1464.06,1329.64,1473.29,1583.90,944.89
1929,1336.60,1102.42,1437.00,1579.24,1588.64,1333.49,1337.52,1404.75,1378.03,1642.04,1196.40,1372.55,1321.86,1401.41,1182.33,1276.77,1504.04,928.31
1930,1272.06,1103.51,1505.70,1607.55,1451.22,1336.45,1265.68,1419.51,1285.63,1569.57,1132.87,1193.82,1194.43,1439.32,1005.41,1044.71,1494.78,929.99
1931,1357.75,1171.31,1458.60,1720.00,1503.44,1377.92,1438.00,1329.79,1291.63,1719.03,1268.00,1346.98,1346.47,1529.64,1209.14,1279.88,1374.47,895.89
1932,1333.14,1021.00,1678.90,1738.77,1428.37,1229.00,1516.71,1557.87,1385.32,1602.62,1250.00,1381.77,1542.51,1464.12,1314.88,1358.45,1487.69,791.31
1933,1517.58,1268.61,1873.20,1942.07,1509.26,1398.99,1700.76,1807.48,1620.14,1731.74,1446.85,1561.61,1743.12,1661.41,1513.88,1576.65,1758.52,954.90
1934,1428.34,1342.76,1544.10,1655.20,1504.19,1431.68,1507.26,1438.12,1381.03,1615.27,1431.42,1393.30,1418.38,1542.55,1397.71,1391.02,1486.98,1057.53
1935,1383.50,1142.72,1701.80,1671.56,1370.56,1279.37,1592.88,1624.61,1545.53,1496.63,1306.48,1508.47,1627.63,1541.90,1354.13,1445.11,1567.49,917.79
1936,1414.85,1174.02,1640.90,1576.64,1484.03,1371.18,1488.65,1698.44,1566.88,1568.64,1295.79,1509.34,1614.33,1478.51,1400.73,1463.20,1610.68,921.31
1937,1291.79,1109.24,1420.10,1396.86,1470.24,1329.59,1328.78,1417.06,1325.07,1438.02,1198.99,1268.95,1348.16,1331.05,1213.43,1242.02,1417.89,970.72
1938,1378.50,1082.88,1663.20,1855.38,1535.61,1353.38,1466.14,1564.13,1410.17,1762.30,1195.03,1285.75,1478.51,1538.94,1231.23,1225.23,1563.21,909.43
1939,1499.63,1386.27,1506.10,1705.01,1623.24,1574.58,1456.21,1452.98,1441.78,1743.20,1405.00,1429.19,1425.89,1536.73,1442.65,1504.48,1489.22,1197.34
1940,1348.95,1076.77,1430.80,1773.53,1582.45,1425.84,1325.12,1363.00,1330.48,1857.15,1152.99,1275.36,1308.82,1457.63,1131.24,1143.29,1422.67,873.57
1941,1423.28,1154.90,1624.70,1876.08,1528.35,1470.31,1520.41,1554.17,1417.30,1815.34,1266.06,1362.56,1524.04,1619.53,1230.79,1256.13,1475.10,936.16
1942,1438.23,1170.37,1679.00,1750.09,1482.73,1410.29,1580.41,1645.23,1511.76,1700.56,1348.48,1426.71,1613.31,1558.24,1401.55,1369.89,1630.23,955.89
1943,1437.93,1252.74,1429.50,1683.81,1553.04,1544.11,1410.36,1426.41,1392.72,1764.76,1323.30,1385.69,1395.83,1508.00,1347.14,1390.12,1441.13,1040.47
1944,1362.85,1138.64,1554.00,1494.49,1446.15,1256.21,1473.58,1651.30,1586.68,1430.46,1323.92,1474.55,1572.03,1411.04,1377.25,1374.75,1726.88,900.41
1945,1384.13,1244.49,1646.90,1690.19,1361.84,1395.95,1528.96,1546.47,1391.11,1570.78,1349.03,1308.19,1481.74,1570.75,1296.88,1293.17,1539.59,990.70
1946,1499.95,1322.09,1654.10,1652.38,1675.54,1536.06,1641.76,1583.37,1379.69,1722.76,1484.41,1332.72,1595.26,1648.26,1460.99,1415.78,1464.68,1094.33
1947,1488.30,1208.92,1591.50,1883.01,1562.21,1472.26,1563.67,1578.47,1501.66,1866.29,1358.00,1473.11,1555.02,1659.81,1401.77,1500.78,1587.47,971.98
1948,1409.89,1171.82,1635.20,1532.01,1467.53,1326.32,1487.45,1683.89,1602.90,1569.54,1334.48,1498.29,1563.92,1432.91,1449.70,1479.74,1750.39,910.22
1949,1340.24,1135.28,1480.90,1429.52,1435.70,1268.34,1424.60,1524.30,1605.71,1447.13,1271.32,1584.96,1478.49,1397.79,1262.89,1412.18,1614.91,837.10
1950,1492.03,1284.22,1757.20,1746.30,1505.09,1398.56,1660.33,1704.19,1544.84,1653.02,1502.65,1527.24,1689.81,1595.67,1553.43,1589.75,1620.77,979.18
1951,1396.98,1282.07,1541.00,1493.58,1295.37,1347.52,1472.66,1556.16,1614.26,1402.59,1397.23,1601.89,1524.57,1464.26,1393.83,1533.86,1576.86,1050.24
1952,1454.81,1185.73,1649.20,1755.14,1474.87,1433.43,1508.80,1670.01,1712.78,1691.97,1301.10,1670.13,1581.26,1573.63,1290.81,1436.87,1721.42,950.11
1953,1361.12,1220.99,1478.00,1525.85,1438.55,1361.73,1311.21,1466.84,1483.37,1530.89,1254.02,1471.62,1376.62,1368.03,1253.65,1325.75,1493.60,1120.27
1954,1500.98,1320.79,1616.70,1679.34,1473.39,1474.22,1551.64,1624.35,1620.96,1669.05,1428.96,1678.06,1592.61,1568.45,1446.95,1658.61,1608.59,1094.65
1955,1521.76,1336.78,1795.90,1606.22,1521.81,1412.32,1655.86,1856.28,1759.58,1559.44,1452.56,1666.65,1821.00,1535.15,1517.61,1564.27,1801.39,1136.99
1956,1391.31,1145.23,1659.50,1595.52,1423.64,1326.62,1481.44,1731.99,1590.31,1549.37,1264.87,1486.23,1617.40,1435.87,1339.24,1388.94,1677.62,955.16
1957,1512.95,1199.30,1690.60,1717.62,1629.75,1539.39,1571.24,1735.06,1699.95,1770.81,1365.87,1606.36,1662.73,1585.55,1350.31,1415.27,1741.12,1075.64
1958,1392.24,1202.74,1487.40,1553.87,1516.44,1406.35,1367.30,1560.33,1486.22,1607.09,1286.45,1453.28,1464.85,1397.08,1334.95,1382.83,1552.11,965.45
1959,1435.74,1202.08,1725.20,1713.56,1509.79,1374.08,1590.15,1675.53,1558.65,1631.75,1415.26,1501.32,1628.66,1544.05,1397.51,1430.02,1642.84,863.89
1960,1516.43,1401.96,1734.10,1595.89,1506.29,1500.68,1571.20,1741.81,1653.43,1605.15,1474.32,1642.60,1674.56,1567.92,1471.28,1628.13,1688.57,1054.11
1961,1372.16,1347.31,1632.80,1598.27,1386.84,1258.60,1551.67,1574.26,1389.55,1482.45,1461.32,1379.90,1544.43,1504.62,1365.77,1339.81,1497.66,896.12
1962,1611.61,1370.59,1624.80,1853.62,1610.74,1670.75,1673.43,1624.58,1708.19,1856.33,1512.28,1720.78,1672.57,1758.75,1523.21,1642.82,1673.80,1156.96
1963,1411.44,1239.35,1514.90,1506.31,1599.29,1380.92,1400.12,1547.84,1478.73,1587.63,1314.18,1454.77,1470.76,1402.42,1333.02,1418.76,1636.90,1083.34
1964,1459.07,1287.15,1685.30,1704.84,1712.65,1451.15,1568.06,1573.93,1474.12,1747.05,1405.47,1406.73,1568.45,1601.51,1340.28,1258.09,1539.17,898.66
1965,1342.93,1047.04,1560.50,1518.75,1517.11,1332.44,1451.96,1587.58,1501.78,1582.32,1203.91,1416.52,1516.80,1428.87,1228.12,1250.14,1587.46,818.79
1966,1561.79,1285.30,1880.60,1734.25,1571.85,1544.68,1693.17,1889.57,1746.95,1674.95,1399.15,1689.91,1813.00,1620.13,1524.16,1578.45,1847.04,1106.19
1967,1313.63,1167.68,1406.10,1378.48,1293.82,1248.30,1357.80,1475.29,1573.87,1370.21,1261.03,1522.49,1408.13,1339.52,1335.69,1322.26,1544.14,989.11
1968,1401.54,1079.52,1618.90,1652.30,1562.11,1381.43,1485.37,1611.60,1555.70,1704.53,1234.83,1526.52,1546.56,1458.89,1264.55,1390.04,1561.59,897.48
1969,1541.57,1209.57,1733.40,1795.79,1718.05,1467.57,1555.10,1725.92,1687.35,1804.76,1343.43,1745.65,1644.34,1592.52,1476.58,1800.40,1745.08,941.64
1970,1382.39,1164.70,1533.40,1639.49,1404.83,1334.35,1451.29,1492.52,1484.95,1570.77,1309.53,1466.46,1470.64,1501.42,1404.77,1474.25,1565.43,888.02
1971,1277.12,1141.50,1454.80,1418.44,1276.81,1276.59,1320.21,1538.46,1491.44,1397.91,1189.21,1385.69,1412.61,1311.87,1162.58,1218.36,1610.64,871.26
1972,1298.05,1138.45,1573.30,1531.94,1363.95,1276.91,1398.66,1487.43,1410.57,1472.48,1215.53,1373.54,1453.05,1370.68,1194.26,1183.48,1421.38,922.23
1973,1267.78,1120.61,1485.30,1514.47,1371.67,1208.66,1292.02,1434.26,1420.26,1468.84,1161.10,1390.69,1339.85,1311.81,1149.18,1266.10,1487.23,844.70
1974,1373.55,1149.28,1526.50,1572.95,1380.40,1276.72,1480.61,1537.98,1597.03,1530.77,1323.12,1572.14,1528.27,1483.63,1320.62,1526.07,1581.61,868.69
1975,1388.28,1218.29,1602.50,1630.96,1441.51,1286.42,1483.95,1626.79,1584.04,1536.19,1315.54,1521.94,1530.40,1470.53,1328.54,1435.91,1692.40,880.25
1976,1412.36,1126.25,1677.80,1679.08,1466.43,1400.40,1553.49,1645.92,1499.48,1609.33,1284.70,1507.98,1595.72,1523.07,1344.27,1506.51,1599.76,876.97
1977,1295.30,1031.47,1637.80,1642.99,1273.51,1274.89,1463.99,1625.20,1416.12,1516.13,1161.49,1312.11,1518.94,1467.83,1188.18,1210.79,1610.58,780.78
1978,1330.51,1091.54,1505.00,1428.19,1346.71,1267.27,1417.57,1540.54,1530.47,1407.53,1246.46,1545.70,1496.73,1343.12,1393.74,1453.40,1561.13,890.83
1979,1377.16,1099.38,1681.50,1737.11,1517.75,1388.12,1466.95,1572.32,1409.47,1659.26,1255.40,1416.65,1478.82,1537.03,1250.74,1275.29,1515.29,861.99
1980,1369.43,1087.87,1611.70,1674.31,1325.79,1281.98,1566.93,1596.45,1507.23,1605.08,1360.46,1455.89,1519.44,1558.80,1387.76,1375.42,1649.79,796.20
1981,1371.01,1131.27,1579.10,1591.57,1440.51,1405.36,1515.58,1577.89,1456.56,1563.65,1261.49,1372.82,1504.12,1526.46,1260.62,1255.80,1568.90,926.31
1982,1377.92,1146.31,1517.30,1682.01,1376.09,1320.10,1529.30,1486.19,1542.82,1574.77,1351.50,1605.91,1466.99,1551.51,1328.46,1479.22,1576.38,760.92
1983,1222.40,939.80,1537.10,1482.87,1228.97,1181.93,1403.70,1506.60,1375.44,1433.91,1114.88,1294.60,1455.83,1357.01,1171.44,1254.79,1397.44,674.54
1984,1201.87,902.40,1436.30,1407.08,1333.29,1114.84,1337.60,1459.35,1423.42,1409.22,1147.34,1398.15,1376.43,1280.89,1140.00,1209.83,1478.92,611.63
1985,1308.37,968.94,1553.30,1591.78,1468.78,1245.52,1400.94,1490.07,1527.06,1554.21,1184.42,1480.58,1431.13,1403.75,1211.78,1305.27,1594.75,762.89
1986,1186.49,900.23,1428.60,1532.08,1276.43,1122.57,1302.05,1382.06,1342.11,1431.67,1087.48,1292.95,1318.48,1311.23,1090.62,1184.81,1422.21,675.61
1987,1247.89,1024.85,1465.20,1623.99,1359.61,1227.29,1335.28,1431.43,1358.63,1560.95,1128.94,1259.27,1355.64,1404.61,1092.67,1108.62,1481.90,704.16
1988,1381.31,1274.57,1555.40,1493.83,1397.94,1282.81,1510.76,1559.26,1510.90,1455.78,1401.77,1493.09,1523.66,1445.07,1397.27,1439.19,1567.78,973.31
1989,1294.46,1095.62,1463.30,1440.62,1429.91,1279.86,1364.74,1518.19,1471.12,1436.88,1158.30,1393.48,1422.45,1342.38,1155.26,1198.09,1588.54,914.78
1990,1299.78,986.34,1539.20,1626.43,1321.34,1235.55,1389.16,1548.24,1594.35,1543.59,1149.51,1519.56,1446.50,1437.29,1173.37,1304.92,1629.23,740.99
1991,1362.23,1012.50,1544.10,1532.42,1525.50,1307.80,1434.04,1583.12,1575.85,1552.73,1195.63,1566.80,1535.71,1406.17,1309.57,1466.20,1581.11,839.52
1992,1321.32,1108.85,1482.90,1490.04,1401.04,1307.25,1450.08,1502.36,1424.63,1471.23,1296.96,1416.72,1457.10,1441.84,1275.10,1345.70,1516.49,776.47
1993,1341.64,1124.36,1471.50,1406.12,1560.30,1310.82,1361.27,1573.26,1555.47,1513.65,1217.44,1447.90,1463.41,1316.03,1257.17,1220.59,1680.37,906.39
1994,1319.09,1137.11,1444.80,1467.26,1308.39,1302.12,1388.99,1483.92,1436.60,1472.01,1304.47,1382.00,1417.82,1405.98,1308.51,1339.65,1563.13,892.60
1995,1369.56,1238.88,1419.90,1366.34,1465.07,1323.56,1433.63,1478.83,1541.48,1409.75,1342.88,1617.85,1501.97,1396.42,1344.42,1550.84,1458.86,895.90
1996,1387.08,1152.98,1549.70,1539.83,1428.77,1317.22,1530.10,1577.14,1519.79,1584.53,1312.19,1475.91,1610.76,1426.40,1411.85,1489.18,1535.74,871.20
1997,1435.30,1202.39,1613.90,1640.05,1488.64,1330.52,1588.48,1621.61,1588.52,1550.53,1414.77,1689.97,1622.30,1522.79,1425.43,1599.60,1584.63,890.92
1998,1432.06,1172.80,1875.40,1709.84,1397.12,1307.76,1708.28,1787.94,1635.51,1524.55,1374.16,1582.02,1787.13,1581.42,1422.08,1447.94,1606.38,909.64
1999,1383.41,1212.09,1707.10,1623.51,1432.07,1263.47,1607.71,1676.47,1548.22,1492.64,1367.00,1450.20,1604.69,1518.43,1325.13,1337.03,1709.37,876.95
2000,1297.29,1074.80,1421.90,1413.94,1401.51,1296.56,1260.73,1531.44,1550.93,1447.07,1098.62,1505.96,1376.35,1325.18,1141.65,1293.06,1643.67,899.00
2001,1337.82,1127.27,1564.20,1626.07,1394.88,1322.93,1450.89,1534.97,1484.26,1556.50,1285.06,1387.10,1441.40,1480.95,1237.50,1279.10,1612.45,783.81
2002,1277.05,1003.02,1365.80,1506.23,1421.89,1273.95,1254.97,1398.24,1465.00,1554.30,1061.35,1522.23,1342.57,1323.83,1108.60,1259.53,1475.56,833.52
2003,1345.68,1152.47,1317.40,1638.87,1474.46,1389.80,1375.03,1361.95,1412.07,1638.98,1152.00,1432.02,1330.85,1484.28,1141.87,1262.65,1444.96,954.86
2004,1290.84,1167.48,1375.90,1461.33,1411.92,1309.56,1365.02,1378.84,1339.14,1447.66,1269.81,1235.21,1324.21,1410.80,1221.77,1181.02,1425.51,902.89
2005,1347.32,1146.62,1514.10,1562.96,1416.44,1317.63,1425.37,1497.27,1459.79,1525.89,1264.58,1454.44,1470.54,1443.88,1303.32,1374.86,1473.19,874.38
2006,1360.34,1104.89,1547.30,1612.32,1573.28,1348.43,1440.30,1503.12,1455.79,1606.40,1224.37,1403.93,1477.90,1468.61,1221.56,1288.97,1472.89,891.78
2007,1362.21,1106.11,1547.30,1501.08,1493.22,1231.14,1497.50,1536.80,1525.80,1453.50,1332.84,1563.72,1556.02,1397.62,1426.66,1524.86,1487.74,871.20
2008,1320.27,1094.34,1463.90,1412.85,1523.15,1293.05,1309.73,1519.91,1450.64,1502.80,1198.86,1412.82,1393.27,1305.94,1246.13,1342.92,1602.74,902.35
2009,1360.16,1069.04,1609.30,1679.13,1379.41,1330.59,1459.76,1577.34,1520.95,1639.72,1227.75,1500.46,1507.98,1478.01,1271.24,1373.61,1583.05,814.58
2010,1388.84,1116.47,1586.00,1661.95,1526.93,1332.33,1519.96,1526.60,1496.85,1625.98,1295.87,1482.45,1549.64,1488.33,1332.79,1398.60,1503.19,878.16
2011,1362.26,1125.40,1581.10,1603.49,1430.14,1315.08,1463.49,1582.39,1531.39,1553.33,1262.56,1460.27,1501.78,1457.29,1282.85,1349.43,1617.73,890.22
2012,1404.46,1217.04,1575.70,1625.60,1446.99,1425.21,1449.95,1559.92,1510.18,1629.78,1288.41,1447.38,1482.32,1519.56,1285.50,1375.56,1599.37,965.24
2013,1416.41,1160.48,1551.20,1636.44,1430.18,1321.05,1566.01,1581.71,1641.98,1554.85,1344.41,1646.28,1619.33,1502.58,1428.32,1532.28,1566.89,896.17
2014,1357.58,1200.17,1352.50,1547.32,1430.04,1319.71,1374.29,1416.42,1441.61,1552.60,1312.16,1472.66,1424.31,1414.51,1378.44,1439.45,1440.03,873.04
2015,1361.02,1198.95,1344.90,1502.92,1430.16,1321.19,1284.11,1434.69,1485.56,1551.57,1288.24,1588.16,1397.00,1369.85,1356.73,1528.69,1458.37,897.30
2016,1411.87,1147.41,1645.50,1613.38,1430.27,1321.83,1511.74,1694.42,1692.41,1554.30,1281.76,1669.54,1634.87,1479.04,1321.53,1459.74,1725.96,935.51
2017,1388.50,1172.45,1573.90,1562.37,1430.09,1319.94,1402.08,1592.57,1585.18,1553.12,1275.61,1633.42,1520.44,1424.87,1345.32,1525.63,1638.87,886.53
2018,1330.27,1093.37,1575.60,1582.51,1430.19,1319.64,1426.45,1495.41,1387.32,1553.43,1235.75,1359.55,1432.82,1442.14,1252.77,1302.12,1478.24,897.30
2019,1352.48,1129.93,1575.10,1596.24,1430.20,1320.44,1460.19,1531.98,1471.59,1553.86,1267.71,1389.44,1454.29,1464.62,1255.52,1307.07,1611.53,932.14
2020,1352.60,1237.59,1369.80,1528.00,1430.18,1322.10,1356.22,1437.12,1478.75,1552.07,1342.40,1429.17,1383.44,1401.01,1304.56,1326.27,1540.36,913.72
