Variable:,pr
,"Central African Republic",Bamingui-Bangoran,Bangui,Basse-Kotto,Haut-Mbomou,Haute-Kotto,Kémo,Lobaye,Mambéré-Kadéï,Mbomou,Nana-Gribizi,Nana-Mambéré,"Ombella M'Poko",Ouaka,Ouham,"Ouham Pendé",Sangha-Mbaéré,Vakaga
1901,1358.57,1129.57,1571.00,1592.37,1430.12,1319.41,1458.94,1554.78,1501.78,1553.75,1266.31,1464.09,1495.40,1457.86,1283.51,1356.34,1574.09,874.71
1902,1358.57,1129.57,1571.00,1592.37,1430.12,1319.41,1458.94,1554.78,1501.76,1553.75,1266.31,1464.09,1495.40,1457.86,1283.51,1356.34,1574.09,874.71
1903,1358.57,1129.57,1571.00,1592.37,1430.12,1319.41,1458.94,1554.78,1501.76,1553.75,1266.31,1464.09,1495.40,1457.86,1283.51,1356.34,1574.09,874.71
1904,1342.98,1129.57,1571.00,1592.37,1265.78,1317.97,1458.94,1554.78,1501.76,1550.60,1266.31,1464.09,1495.40,1457.86,1283.51,1356.34,1574.09,874.71
1905,1348.37,1129.57,1571.00,1592.37,1322.52,1318.58,1458.94,1554.78,1501.75,1551.61,1266.31,1464.09,1495.40,1457.86,1283.51,1356.34,1574.09,874.71
1906,1347.33,1129.57,1571.00,1592.37,1321.02,1318.45,1458.94,1554.78,1494.93,1551.67,1266.31,1452.99,1495.40,1457.86,1283.50,1354.93,1573.67,874.71
1907,1355.58,1129.54,1575.00,1592.37,1452.99,1324.89,1458.94,1593.84,1443.85,1565.93,1266.31,1389.65,1498.16,1457.86,1283.38,1317.31,1569.98,871.52
1908,1348.24,1129.11,1489.60,1566.18,1546.75,1320.60,1411.51,1474.01,1421.60,1555.67,1256.19,1390.44,1434.19,1433.24,1269.66,1336.05,1498.72,874.71
1909,1425.93,1133.47,1863.40,1695.18,1485.91,1307.47,1698.17,1833.25,1573.36,1568.34,1353.08,1483.14,1762.03,1565.70,1404.13,1416.17,1676.11,859.66
1910,1289.93,1126.15,1318.30,1484.71,1408.02,1253.89,1265.03,1374.29,1422.92,1512.31,1206.33,1432.40,1281.24,1355.83,1201.13,1315.82,1489.44,849.80
1911,1266.44,1124.72,1235.30,1477.35,1418.75,1272.67,1183.69,1239.14,1311.83,1536.34,1166.62,1378.41,1185.84,1336.44,1144.26,1311.83,1392.25,856.08
1912,1337.50,1129.58,1609.20,1619.46,1260.40,1254.20,1487.46,1581.74,1539.22,1522.63,1272.30,1443.93,1518.51,1475.49,1289.59,1335.47,1636.01,865.13
1913,1192.66,1122.25,1150.30,1339.32,1238.16,1183.03,1123.41,1150.32,1310.19,1354.02,1143.22,1365.07,1106.43,1274.90,1106.88,1261.26,1350.40,836.01
1914,1399.21,1129.84,1676.10,1626.85,1590.40,1366.86,1495.51,1653.00,1538.67,1593.37,1268.94,1471.97,1553.07,1477.22,1289.08,1359.48,1648.56,888.95
1915,1302.93,1126.55,1499.60,1562.88,1311.66,1242.28,1349.50,1486.59,1464.41,1509.54,1210.88,1440.75,1388.11,1411.65,1207.23,1320.41,1552.97,860.66
