Variable:,pr
,Albania,Berat,Bulqize,Delvine,Devoll,Diber,Durres,Elbasan,Fier,Gjirokaster,Gramsh,Has,Kavaje,Kolonje,Korce,Kruje,Kucove,Kukes,Kurbin,Lezhe,Librazhd,Lushnje,"Malesi E Madhe",Mallakaster,Mat,Mirdite,Peqin,Permet,Pogradec,Puke,Sarande,Shkoder,Skrapar,Tepelene,Tirane,Tropoje,Vlore
1901,1266.78,1269.40,1162.83,1427.55,1059.04,1147.37,1294.60,1234.10,1202.93,1375.58,1246.10,1169.76,1288.47,1185.42,1107.08,1398.79,1282.30,1124.96,1462.00,1449.66,1154.68,1271.19,1408.19,1297.26,1273.47,1319.08,1325.60,1319.62,1090.11,1275.12,1416.65,1345.85,1271.52,1404.14,1300.12,1231.16,1340.40
1902,1146.61,1151.85,1066.56,1181.64,833.88,1073.12,1252.30,1132.78,1124.55,1119.49,1076.90,1107.97,1239.40,890.52,897.29,1363.92,1194.40,1054.93,1442.00,1429.73,1044.38,1192.70,1388.80,1194.04,1214.96,1274.14,1273.50,1053.51,897.36,1225.70,1164.24,1312.03,1074.35,1220.94,1238.98,1178.45,1209.36
1903,995.74,968.06,917.64,1058.53,781.69,942.61,1055.10,957.77,930.06,1022.43,939.80,971.32,1037.34,873.06,821.77,1158.28,983.90,929.98,1239.70,1229.58,893.08,986.41,1173.76,990.00,1051.11,1104.15,1064.00,981.55,813.25,1061.37,1049.18,1124.18,955.11,1050.60,1038.09,1021.52,1011.70
1904,1044.11,1051.08,948.61,1191.91,844.43,942.15,1092.41,1015.66,1012.01,1138.26,1008.50,946.93,1082.03,963.66,883.86,1188.63,1074.90,918.55,1254.90,1244.04,937.91,1066.56,1122.74,1088.31,1064.19,1111.42,1111.90,1084.25,869.57,1036.81,1182.80,1093.43,1034.22,1182.08,1085.59,986.31,1139.63
1905,1006.97,968.96,944.96,1036.79,760.97,970.79,1074.70,974.48,938.08,991.68,924.80,1021.95,1055.03,828.77,801.71,1184.12,993.90,968.88,1271.70,1261.22,918.46,997.66,1235.90,997.25,1080.28,1134.53,1082.70,944.31,800.47,1107.85,1027.08,1171.03,933.70,1039.59,1058.45,1075.66,1012.95
1906,1179.96,1185.76,1083.49,1346.60,1002.18,1057.16,1201.20,1153.73,1117.91,1307.27,1171.80,1064.64,1195.80,1143.67,1043.72,1300.65,1193.30,1032.13,1360.10,1348.39,1081.10,1182.09,1268.13,1209.96,1180.73,1221.70,1231.80,1261.05,1024.40,1162.39,1334.56,1223.66,1201.43,1325.56,1209.77,1115.13,1257.32
1907,1029.54,1033.35,923.09,1156.39,789.52,926.31,1111.12,997.62,1000.09,1095.54,980.10,933.86,1097.24,902.33,836.48,1212.82,1063.30,898.85,1287.10,1276.62,905.59,1060.34,1169.34,1071.62,1065.23,1122.17,1126.80,1035.42,823.09,1047.16,1147.48,1128.86,1000.09,1145.59,1092.74,989.73,1107.55
1908,905.34,873.55,818.35,1009.55,691.57,845.13,956.75,856.53,845.55,943.62,834.80,881.66,931.34,791.66,725.03,1061.24,895.30,836.54,1156.00,1146.70,792.71,894.76,1097.62,902.53,958.04,1014.32,951.50,887.32,715.49,969.07,1010.48,1037.14,852.95,964.97,927.72,930.16,930.53
1909,1206.92,1190.97,1124.67,1315.94,972.34,1121.89,1258.07,1179.47,1142.34,1265.40,1161.60,1149.29,1249.14,1080.83,1019.02,1361.15,1207.40,1102.63,1428.20,1416.61,1109.41,1205.87,1388.96,1217.10,1241.94,1289.19,1283.50,1211.54,1008.70,1252.09,1305.89,1323.10,1179.93,1298.18,1257.93,1211.27,1250.90
1910,1144.97,1094.74,1030.77,1223.88,880.53,1057.44,1198.44,1079.82,1055.39,1166.25,1052.40,1151.23,1174.49,1000.90,921.24,1320.52,1118.50,1065.37,1421.40,1410.14,1001.20,1120.02,1492.21,1123.22,1192.00,1257.10,1203.70,1111.28,908.14,1269.00,1219.22,1369.00,1072.84,1184.79,1173.31,1242.11,1137.15
