Variable:,pr
,Slovakia,"Banska Bystrica",Bratislava,Kosice,Nitra,Presov,Trencin,Trnava,Zilna
1901,788.30,783.66,613.32,792.68,596.51,851.63,811.68,576.10,1053.60
1902,867.51,867.64,712.73,851.11,690.35,911.77,905.08,666.53,1134.38
1903,904.61,922.59,879.31,742.82,783.57,823.48,1063.18,807.63,1224.97
1904,714.77,723.32,712.71,611.12,630.86,655.20,827.19,649.60,931.85
1905,812.70,814.26,674.26,788.02,673.72,845.30,847.58,643.24,1044.86
1906,924.35,929.50,761.26,872.03,756.55,941.91,991.44,720.39,1234.82
1907,730.67,735.50,653.35,647.11,593.77,715.75,823.14,601.67,997.63
1908,694.64,682.83,516.66,721.88,500.36,787.36,687.36,484.99,929.36
1909,841.03,855.56,737.72,765.68,663.20,830.28,932.81,681.81,1145.60
1910,933.77,955.41,876.55,789.31,808.62,854.23,1085.52,817.13,1262.79
1911,702.27,707.34,638.50,637.37,595.14,686.80,776.08,595.90,917.91
1912,956.22,967.58,764.81,931.60,737.33,1000.96,994.20,721.38,1286.16
1913,834.28,827.57,705.85,795.50,684.89,868.15,879.28,667.37,1088.10
1914,845.17,860.35,680.89,795.29,689.96,853.94,895.24,653.70,1140.61
1915,1021.69,1051.62,837.55,956.65,864.52,1006.42,1087.38,794.56,1366.30
1916,916.36,922.17,830.00,827.18,765.63,887.21,1028.35,771.76,1219.53
1917,630.22,625.16,575.65,589.93,505.45,636.37,696.91,520.61,826.53
1918,872.80,875.70,772.54,785.72,737.45,843.55,971.97,734.36,1172.05
1919,864.35,876.03,766.28,784.89,709.00,850.01,962.40,710.93,1151.78
1920,857.34,863.57,733.83,784.99,701.31,847.63,937.50,690.58,1167.12
1921,624.62,611.49,565.02,603.44,525.07,637.21,668.13,525.47,791.61
1922,862.47,849.79,713.98,872.04,683.17,927.17,898.24,664.91,1095.54
1923,782.59,812.41,697.29,693.39,662.17,741.90,877.00,645.58,1044.97
1924,759.78,790.41,595.27,724.11,608.69,775.80,778.52,567.46,1026.40
1925,924.90,921.07,782.87,871.72,727.53,942.31,1002.08,734.74,1255.55
1926,913.48,931.31,786.54,838.59,751.40,909.15,983.18,744.81,1215.43
1927,796.29,809.72,649.28,756.54,633.96,821.47,832.43,611.38,1068.06
1928,668.92,668.75,635.60,605.43,552.85,642.82,764.92,582.40,878.81
1929,731.54,745.45,580.80,697.88,599.50,747.20,769.71,561.11,974.55
1930,901.32,926.09,800.77,804.30,781.03,857.33,996.07,755.78,1193.01
1931,782.98,790.30,639.54,745.53,618.67,803.34,828.85,596.28,1065.56
1932,610.68,609.03,447.89,632.98,470.44,669.22,606.57,436.95,802.62
1933,828.14,817.91,681.49,829.84,681.28,881.47,849.02,649.48,1046.42
1934,726.50,741.87,590.64,673.04,581.55,733.68,779.38,556.97,995.40
1935,771.04,789.80,654.82,706.32,630.80,764.85,836.58,612.86,1037.87
1936,916.01,940.98,722.46,878.70,730.37,946.55,943.66,689.19,1228.05
1937,1006.00,1061.72,890.40,834.69,888.20,902.02,1146.08,841.72,1392.89
1938,812.47,806.28,660.33,788.83,623.41,854.25,858.64,616.74,1103.19
1939,924.65,949.63,804.35,830.79,755.58,890.71,1025.37,758.14,1259.53
1940,958.55,986.95,761.41,913.63,785.69,976.84,990.79,735.19,1274.07
1941,910.40,876.57,818.52,891.11,728.86,954.24,992.57,751.54,1163.24
1942,683.17,684.54,591.50,639.91,559.39,685.22,740.97,557.81,904.80
1943,676.14,681.70,598.79,616.12,565.04,664.08,744.37,561.24,896.84
1944,913.64,922.26,856.86,815.92,805.83,860.09,1026.73,802.92,1182.94
1945,740.09,744.80,639.93,689.27,600.59,748.37,803.54,593.49,983.78
1946,729.41,752.67,658.18,620.89,616.72,666.13,851.03,622.34,1005.44
1947,656.58,651.50,562.75,644.10,518.78,686.91,699.79,521.41,848.68
1948,777.10,785.81,673.04,719.65,644.69,778.68,842.14,625.03,1024.86
1949,759.64,770.28,651.06,702.19,621.74,761.50,818.90,618.17,1008.43
1950,795.32,798.65,762.04,700.13,703.71,743.89,911.70,708.19,1028.77
1951,797.71,820.98,751.28,721.60,707.59,752.13,877.65,703.33,1006.19
1952,872.03,934.84,639.20,860.95,670.53,900.86,901.43,608.30,1158.94
1953,685.07,692.13,560.10,663.38,545.90,713.14,728.17,530.57,894.82
1954,753.24,760.28,765.88,672.80,688.66,697.40,837.26,702.85,933.93
1955,841.58,874.95,659.26,842.23,680.88,883.08,850.33,620.49,1075.60
1956,652.34,662.81,609.85,585.65,561.59,619.58,725.01,557.85,860.53
1957,737.35,748.66,679.16,662.65,658.43,700.92,815.59,637.17,949.16
1958,846.87,860.37,685.77,811.94,642.06,872.04,913.67,650.14,1146.88
1959,731.35,737.83,676.18,643.92,632.06,693.10,826.31,636.12,967.91
1960,902.11,903.87,690.75,900.90,675.84,970.89,919.31,653.35,1225.70
1961,648.96,639.87,611.85,546.20,531.54,615.25,748.00,573.80,912.83
1962,772.05,774.93,621.08,695.58,599.95,780.09,849.12,589.15,1102.48
1963,731.55,773.55,614.82,655.84,654.09,698.78,766.60,582.63,966.53
1964,779.23,824.00,635.83,733.49,657.08,783.23,801.89,601.35,1007.08
1965,962.45,1003.99,817.97,885.82,859.53,945.32,1003.21,794.56,1216.42
1966,962.20,961.60,805.03,894.15,797.13,982.62,1032.29,760.54,1283.70
1967,699.39,689.69,557.45,676.32,533.44,747.93,727.37,522.25,959.50
1968,757.15,727.92,587.73,713.58,569.58,807.78,830.69,562.64,1074.17
1969,716.79,744.32,662.33,658.45,635.15,705.44,744.45,601.06,896.00
1970,913.84,927.41,675.33,932.37,650.37,995.76,927.97,633.34,1247.77
1971,636.74,652.60,504.80,589.98,498.17,639.58,696.92,487.09,880.08
1972,804.83,813.14,696.81,701.80,660.53,786.38,880.74,658.02,1127.38
1973,631.72,621.36,548.39,601.23,492.15,676.65,657.29,497.44,837.10
1974,908.59,923.22,649.35,916.89,705.93,984.06,918.59,637.49,1204.34
1975,778.63,773.04,628.27,779.06,609.96,843.24,796.27,590.40,1004.80
1976,760.32,805.58,609.59,733.76,637.46,776.50,769.85,581.03,962.54
1977,777.79,788.40,597.15,747.46,563.60,786.70,866.52,569.04,1111.46
1978,703.80,715.06,483.21,737.26,520.39,788.56,679.12,470.14,938.33
1979,799.15,792.68,733.26,755.53,661.46,804.57,862.06,670.64,1031.29
1980,846.70,861.72,628.35,900.83,654.46,937.72,825.29,606.18,1057.31
1981,751.72,757.90,586.77,721.06,579.92,768.93,827.57,563.36,1030.25
1982,653.84,648.42,595.36,623.70,564.32,644.35,691.01,555.22,843.92
1983,643.26,628.58,504.13,656.00,478.87,719.14,644.45,467.68,851.18
1984,738.22,759.26,623.11,725.58,617.85,738.49,783.80,592.07,929.70
1985,824.36,786.38,717.13,802.18,630.62,869.65,888.98,661.23,1112.27
1986,606.58,596.74,553.25,534.20,507.94,580.44,691.05,515.04,840.53
1987,768.40,759.73,724.20,697.40,672.63,755.61,840.73,662.79,989.55
1988,721.44,755.66,626.48,676.67,621.42,709.72,768.62,583.00,911.72
1989,727.88,747.77,554.95,750.36,525.19,796.63,710.34,513.97,967.59
1990,710.32,700.53,607.13,683.13,547.46,741.99,750.97,559.15,957.90
1991,740.07,766.30,630.39,710.16,612.75,743.07,761.37,600.50,952.59
1992,652.44,625.21,594.67,626.61,513.77,690.88,698.44,541.18,850.92
1993,632.89,636.98,593.97,573.51,551.80,611.11,689.79,548.76,819.41
1994,751.65,746.18,629.96,688.29,625.60,761.34,807.36,603.58,1017.42
1995,799.14,823.37,752.39,710.30,735.96,756.30,863.78,695.58,1003.04
1996,810.69,804.05,715.46,749.57,662.00,807.38,877.00,675.54,1092.80
1997,730.64,677.00,613.54,723.48,508.51,815.78,790.77,561.10,1007.68
1998,819.31,846.41,639.88,802.98,686.07,857.54,827.39,617.60,1041.84
1999,853.23,905.40,683.86,817.84,723.69,868.95,848.61,650.56,1091.76
2000,706.96,687.30,559.13,668.62,503.99,757.70,769.47,522.71,1014.36
2001,818.86,837.76,561.01,807.27,574.23,887.18,848.76,537.41,1173.41
2002,805.95,825.83,689.94,759.75,634.76,815.90,854.48,641.88,1074.80
2003,596.15,597.89,474.00,610.09,436.75,643.03,602.46,435.25,799.30
2004,809.21,849.41,638.17,825.26,647.88,858.64,774.75,590.62,1027.79
2005,843.62,881.16,664.64,827.98,690.27,863.04,854.19,622.95,1105.24
2006,717.34,719.42,639.74,698.69,608.94,743.76,738.90,575.09,894.16
2007,799.34,799.62,713.40,764.86,655.34,823.07,820.30,635.85,1048.25
2008,765.51,784.94,627.99,740.30,636.35,789.23,790.19,595.57,981.23
2009,854.34,858.01,737.03,803.15,689.08,877.12,891.55,679.43,1142.47
2010,1126.71,1184.59,863.94,1123.56,900.89,1179.33,1119.74,833.42,1449.07
2011,614.09,610.49,464.62,600.05,459.97,654.70,640.07,443.45,856.22
2012,671.01,667.87,578.93,628.04,540.93,686.34,724.43,536.94,895.81
2013,796.63,818.32,696.72,742.51,655.26,794.68,845.23,633.17,1053.89
2014,862.76,866.08,745.71,793.03,727.45,844.17,927.92,704.69,1172.12
2015,686.79,701.04,593.28,658.79,573.43,674.95,724.45,557.58,901.26
2016,915.88,927.78,808.22,875.49,749.83,919.69,962.24,739.34,1200.58
2017,809.76,820.43,679.35,775.60,645.35,832.23,848.55,631.36,1074.88
2018,718.75,715.45,648.81,674.78,610.42,709.10,779.39,602.98,936.14
2019,783.41,793.07,666.79,717.78,666.11,762.92,856.93,643.02,1046.84
2020,856.98,854.85,733.33,799.07,686.78,869.21,929.03,686.54,1156.64
