Variable:,pr
,Tuvalu,"Administrative unit not available"
1901,3170.07,2962.39
1902,3170.07,2962.39
1903,3170.07,2962.39
1904,3170.07,2962.39
1905,3170.07,2962.39
1906,3170.07,2962.39
1907,3170.07,2962.39
1908,3170.07,2962.39
1909,3170.07,2962.39
1910,3170.07,2962.39
1911,3170.07,2962.39
1912,3170.07,2962.39
1913,3170.07,2962.39
1914,3170.07,2962.39
1915,3170.07,2962.39
1916,3170.07,2962.39
1917,3170.07,2962.39
1918,3170.07,2962.39
1919,3170.07,2962.39
1920,3170.07,2962.39
1921,3170.07,2962.39
1922,3170.07,2962.39
1923,3170.07,2962.39
1924,3170.07,2962.39
1925,3170.07,2962.39
1926,3170.07,2962.39
1927,3262.70,3006.05
1928,3152.04,2951.70
1929,3102.34,2914.04
1930,3086.87,2907.25
1931,3453.71,3126.62
1932,2848.74,2332.36
1933,2425.77,1913.88
1934,2511.01,2524.54
1935,2822.36,2751.41
1936,3003.39,2853.59
1937,3410.34,3111.47
1938,3644.56,3231.71
1939,3499.32,3171.59
1940,4440.71,3720.91
1941,2973.93,2848.64
1942,3484.36,3150.41
1943,3059.12,2906.17
1944,3889.68,3398.13
1945,2850.89,2778.50
1946,3005.68,2870.61
1947,2781.82,2505.96
1948,3955.39,3647.85
1949,3287.41,3130.82
1950,2540.67,2175.12
1951,2758.46,2749.82
1952,3323.76,3280.71
1953,3885.63,4170.30
1954,3129.32,2899.83
1955,2791.87,2279.71
1956,2561.12,2093.41
1957,3400.40,3372.65
1958,3950.69,3722.84
1959,3536.60,3261.37
1960,3467.59,3338.31
1961,3551.13,3320.06
1962,2345.97,1732.07
1963,2417.79,2382.28
1964,2745.80,2308.58
1965,3548.72,3439.34
1966,3676.05,3240.82
1967,3547.67,2831.84
1968,2847.47,2457.76
1969,3414.18,3276.13
1970,4293.74,3760.88
1971,2020.90,1601.08
1972,3177.36,2911.16
1973,3624.19,3309.13
1974,2379.99,2002.92
1975,2135.68,1701.94
1976,2467.97,2056.56
1977,3540.69,3628.46
1978,3491.07,3454.61
1979,3028.29,2778.75
1980,3275.87,3147.91
1981,3497.37,3379.66
1982,2992.56,3144.67
1983,4089.56,4342.32
1984,3633.06,3321.20
1985,2928.72,2673.36
1986,3157.03,3007.48
1987,4277.40,4935.82
1988,3576.66,3159.35
1989,2666.10,2347.10
1990,3299.95,3244.46
1991,3426.65,3052.88
1992,3171.56,3515.05
1993,3523.81,3747.09
1994,2944.43,2913.82
1995,3239.95,3212.16
1996,2780.85,2440.55
1997,3477.37,3720.57
1998,3530.93,3576.84
1999,2146.42,1922.48
2000,2178.98,1640.47
2001,2292.56,2381.66
2002,3154.97,2963.07
2003,3266.98,3136.90
2004,3136.00,2936.77
2005,3278.63,2938.62
2006,3100.90,2871.95
2007,3101.20,2711.94
2008,2855.17,2271.79
2009,2851.70,2860.40
2010,3044.33,2829.37
2011,3170.07,2962.39
2012,3170.07,2962.39
2013,3170.07,2962.39
2014,3170.07,2962.39
2015,3646.44,3264.12
2016,3351.30,3072.27
2017,3170.07,2962.39
2018,3170.07,2962.39
2019,3170.07,2962.39
2020,3170.07,2962.39
