Variable:,pr
,Turkey,Adana,Adiyaman,Afyon,Agri,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydin,Balikesir,Bartin,Batman,Bayburt,Bilecik,Bingol,Bitlis,Bolu,Burdur,Bursa,Canakkale,Cankiri,Corum,Denizli,Diyarbakir,Edirne,Elazig,Erzincan,Erzurum,Eskisehir,Gaziantep,Giresun,Gumushane,Hakkari,Hatay,Icel,Igdir,Isparta,Istanbul,Izmir,K.maras,Karabuk,Karaman,Kars,Kastamonu,Kayseri,Kilis,Kirikkale,Kirklareli,Kirsehir,Kocaeli,Konya,Kutahya,Malatya,Manisa,Mardin,Mugla,Mus,Nevsehir,Nigde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Sanliurfa,Siirt,Sinop,Sirnak,Sivas,Tekirdag,Tokat,Trabzon,Tunceli,Usak,Van,Yalova,Yozgat,Zonguldak
1901,541.76,588.03,315.18,478.12,565.46,344.80,589.54,468.38,510.87,757.32,860.19,562.66,569.05,765.77,576.03,590.70,574.06,682.81,790.24,651.37,463.34,645.82,594.73,618.60,574.23,494.18,399.83,626.02,443.84,567.72,635.30,446.78,313.84,677.70,589.00,682.07,617.81,410.97,450.82,536.61,783.35,521.88,419.27,844.01,354.39,598.15,710.36,433.94,333.53,474.89,679.53,469.13,741.43,388.61,594.07,397.38,526.09,348.81,603.56,720.36,421.96,373.85,764.05,573.15,846.33,694.82,753.61,251.77,769.78,676.20,661.84,493.64,633.56,602.71,697.09,580.09,496.05,607.94,728.79,520.77,820.04
1902,569.61,705.74,589.64,478.40,465.66,342.55,476.27,443.30,691.09,725.37,813.42,701.79,641.02,664.78,697.29,554.91,573.75,739.36,703.36,634.43,528.95,690.97,611.64,527.80,462.55,589.09,638.71,578.12,619.01,574.28,590.08,439.13,606.17,603.22,558.20,570.78,843.29,597.78,372.18,570.54,735.44,610.17,581.26,740.89,448.07,550.17,550.25,419.47,608.96,417.11,592.70,419.09,721.28,419.77,635.82,515.69,623.48,630.32,792.42,660.92,392.78,386.78,625.52,783.24,824.64,679.65,585.58,541.90,781.01,496.37,681.75,449.67,601.13,495.15,659.93,663.93,554.18,492.81,727.61,441.29,773.71
1903,512.99,591.28,330.89,488.87,425.14,323.06,392.60,423.53,605.58,673.02,745.19,750.85,691.07,676.88,574.15,496.13,593.06,627.43,674.27,626.39,508.08,729.57,671.44,483.27,400.31,608.13,422.38,592.60,407.96,480.18,544.33,444.30,374.09,533.55,502.01,606.74,667.03,504.54,339.76,553.76,753.78,664.91,381.12,724.62,400.95,520.58,559.13,355.07,405.52,368.53,600.02,364.79,743.00,395.71,669.06,323.06,672.32,407.40,791.64,613.61,351.58,359.71,535.33,597.76,746.89,691.25,504.65,306.24,738.64,485.62,649.45,354.74,622.67,396.63,599.37,505.98,588.29,484.28,759.79,356.18,771.64
1904,615.27,777.10,555.42,493.29,588.06,372.56,512.94,450.46,797.92,735.09,818.60,782.78,704.11,720.89,738.15,584.92,593.05,768.99,837.34,639.51,580.31,729.09,709.89,554.31,500.35,624.85,626.34,586.56,614.13,593.24,641.00,444.60,577.04,630.13,572.58,751.61,912.60,733.71,473.08,614.25,730.79,729.19,586.22,787.22,605.31,617.66,626.42,444.38,602.16,433.23,570.75,434.50,731.89,491.98,669.06,521.72,688.62,599.07,843.18,760.14,411.59,447.68,669.56,846.72,828.24,684.94,638.54,504.07,873.31,582.29,772.22,478.92,611.81,534.86,665.69,674.30,588.36,642.38,750.28,467.74,795.38
1905,516.01,635.69,372.84,430.31,441.19,337.60,469.41,439.63,675.23,644.97,704.47,618.48,540.86,700.70,593.77,512.52,524.86,660.10,689.61,629.90,481.51,600.07,579.23,534.15,467.44,486.89,455.48,554.67,443.27,509.09,541.54,417.42,423.10,590.22,524.90,622.13,765.61,588.32,351.54,541.83,701.97,604.50,408.30,773.34,448.40,501.83,612.03,358.80,467.07,408.84,547.92,406.57,696.89,413.46,527.58,340.04,517.59,441.06,703.22,634.03,380.26,374.92,622.22,661.38,711.30,664.24,601.95,345.19,750.80,562.71,666.31,381.74,568.46,475.78,610.97,545.27,445.81,504.59,685.97,419.97,787.60
1906,596.39,789.64,543.54,487.47,453.22,358.19,471.32,440.59,834.71,702.98,786.99,813.18,711.25,762.67,670.05,549.77,583.71,729.86,680.86,635.24,590.94,727.58,707.05,538.88,473.50,648.23,600.44,617.69,596.05,569.34,577.66,438.90,563.04,603.67,555.38,568.35,928.08,775.33,368.04,610.45,796.61,735.72,569.21,803.64,611.40,552.31,675.24,431.54,588.67,408.84,654.28,407.16,752.73,482.72,665.11,502.47,708.42,577.06,905.10,646.75,392.16,441.44,625.90,827.61,788.66,693.67,625.25,492.48,754.92,629.71,657.98,452.85,640.52,485.31,646.69,653.68,590.34,481.55,773.75,429.93,809.37
1907,558.81,721.68,543.54,457.72,445.36,335.52,469.90,439.99,724.15,658.50,744.74,665.56,601.03,728.21,694.22,494.75,548.89,718.55,726.95,631.90,517.05,647.18,607.42,536.35,469.75,551.46,602.81,546.66,588.51,540.10,548.57,429.22,558.12,561.45,500.98,617.15,876.03,635.23,349.34,562.26,695.00,609.90,565.31,789.11,472.28,515.86,636.89,425.87,577.34,408.84,547.09,406.79,696.08,423.66,597.49,501.95,594.93,581.31,745.96,659.29,386.03,386.65,607.92,790.07,745.31,667.54,610.28,492.49,810.61,589.11,703.04,448.35,564.50,482.71,579.30,630.53,516.34,515.52,688.86,429.92,796.50
1908,559.35,737.74,543.53,456.02,475.61,345.12,469.10,440.26,770.70,607.25,698.30,591.19,562.23,706.74,697.87,506.34,546.60,726.45,755.22,632.62,526.85,617.32,623.59,533.84,467.17,502.91,602.86,593.57,585.57,542.49,541.75,431.14,556.26,560.16,508.27,631.72,870.47,686.94,377.85,576.87,728.29,588.23,565.72,774.35,527.15,488.77,612.68,427.94,573.43,408.84,619.47,407.16,709.68,447.88,561.78,501.67,534.99,582.04,672.00,678.55,389.68,403.54,604.78,796.58,706.09,676.25,602.25,492.42,823.46,565.72,710.56,447.57,596.77,482.65,575.28,625.87,470.31,550.17,693.08,429.93,789.57
1909,563.49,718.04,543.52,471.92,453.54,335.76,470.93,440.11,719.87,626.08,680.47,722.09,666.96,761.35,664.55,467.17,574.75,684.67,681.41,634.01,528.13,702.03,672.19,537.60,472.76,586.14,595.04,616.08,581.36,522.48,515.73,435.53,554.82,551.85,482.99,557.39,875.09,627.91,378.34,568.05,749.30,657.38,564.70,799.66,485.71,510.48,672.44,425.77,570.13,408.84,621.77,406.65,732.82,428.72,632.60,501.73,642.52,577.26,799.61,623.29,385.30,388.98,607.44,789.90,676.04,684.13,626.39,492.39,754.81,630.88,657.64,447.68,625.71,482.94,546.15,613.30,552.69,493.35,746.99,429.92,801.50
1910,563.48,753.17,543.51,503.56,392.87,357.62,469.16,441.10,740.72,601.17,631.59,717.05,675.18,735.14,650.35,449.55,597.03,659.86,621.06,636.81,560.43,696.42,754.69,534.48,469.03,592.97,590.33,624.29,579.05,514.66,481.42,452.82,552.28,542.47,469.19,546.53,865.59,671.00,327.25,592.70,764.93,741.83,567.35,785.00,546.10,452.34,646.20,431.94,565.43,408.84,637.30,407.32,740.31,459.63,654.50,501.93,660.87,576.34,737.21,570.03,393.31,432.54,601.62,807.20,629.83,694.85,606.70,492.01,725.28,596.57,643.11,448.57,631.86,482.29,523.11,607.92,570.73,450.34,737.46,429.93,797.58
