Variable:,pr
,Spain,Andalucía,Aragón,Canarias,Cantabria,"Castilla-La Mancha","Castilla y León",Cataluña/Catalunya,"Ciudad Autónoma de Ceuta","Ciudad Autónoma de Melilla","Comunidad de Madrid","Comunidad Foral de Navarra","Comunitat Valenciana",Extremadura,Galicia,"Illes Balears","La Rioja","País Vasco/Euskadi","Principado de Asturias","Región de Murcia"
1901,660.97,731.37,629.56,623.12,953.56,557.29,584.90,751.32,788.40,583.30,514.33,798.73,516.83,627.06,936.94,636.41,680.90,989.77,813.21,496.35
1902,660.49,653.91,633.91,292.17,960.72,552.15,636.91,722.26,659.40,428.50,567.41,829.30,473.55,686.18,1012.11,642.47,715.10,1002.80,837.45,407.34
1903,556.15,452.08,481.78,539.16,909.01,410.55,588.50,621.75,436.60,354.80,418.97,700.47,367.09,543.91,1129.73,627.99,632.56,900.41,903.15,315.84
1904,582.28,614.13,485.96,534.67,834.29,526.19,549.63,530.22,595.40,548.50,473.35,647.25,445.67,579.38,936.89,562.99,587.00,820.22,767.75,466.85
1905,530.70,471.13,522.26,390.46,798.84,417.18,510.66,634.58,481.90,395.70,408.98,718.56,402.84,476.58,962.48,519.78,595.60,855.62,761.79,366.93
1906,592.99,497.52,552.69,509.26,989.48,521.01,580.77,665.09,391.80,406.90,473.02,705.94,517.05,546.33,989.58,686.08,592.62,896.42,844.04,487.33
1907,584.54,486.96,553.06,475.02,945.99,407.83,580.36,734.98,446.80,378.20,401.23,716.11,400.68,627.66,1172.84,591.08,582.89,890.26,880.71,338.70
1908,570.73,486.78,619.40,341.69,1050.43,446.84,553.89,695.20,440.90,371.70,393.29,818.53,503.46,457.23,897.89,701.06,677.05,1011.17,824.68,451.49
1909,581.94,618.28,478.13,296.42,857.31,434.55,575.19,567.45,681.70,439.80,458.32,664.37,370.59,610.10,1108.53,500.61,588.94,840.00,856.99,359.22
1910,621.43,557.87,534.64,359.27,1038.96,458.83,627.37,664.83,498.60,373.40,473.78,819.83,352.83,661.78,1264.65,513.58,682.39,1040.31,966.55,341.00
1911,620.26,567.13,595.99,286.20,967.63,486.47,641.94,633.80,559.40,416.60,497.70,770.94,396.87,652.01,1104.99,511.78,655.10,927.53,892.46,340.13
