Variable:,pr
,Hungary,Bacs-kiskun,Baranya,Bekes,Borsod-abauj-zemplen,Budapest,Csongrad,Fejer,Gyor-moson-sopron,Hajdu-bihar,Heves,Jasz-nagykun-szolnok,Komarom-esztergom,Nograd,Pest,Somogy,Szabolcs-szatmar-bereg,Tolna,Vas,Veszprem,Zala
1901,584.84,498.44,626.75,564.52,662.04,525.96,497.66,528.56,557.34,596.95,564.09,523.77,558.76,607.49,524.35,637.10,697.48,546.21,667.86,577.22,698.40
1902,654.67,568.59,700.31,578.16,709.77,608.39,525.54,619.30,681.72,629.32,636.83,580.54,646.67,690.45,607.03,735.71,732.04,633.12,783.55,696.18,789.71
1903,644.25,552.07,699.99,500.66,624.05,654.10,500.70,646.63,812.21,521.16,638.81,535.02,708.46,730.09,640.85,766.12,581.07,628.60,883.04,770.56,854.65
1904,563.15,479.07,633.46,445.99,511.33,552.52,428.77,557.04,689.88,452.96,500.32,446.65,594.04,586.31,538.03,716.29,510.11,554.58,839.94,673.38,830.84
1905,644.23,565.83,725.15,562.60,658.93,609.82,532.44,618.28,672.19,583.21,588.94,545.56,646.43,662.94,604.34,757.49,657.80,631.97,835.08,700.02,841.09
1906,720.86,664.91,821.98,645.11,736.02,684.89,619.36,701.70,722.83,662.91,665.05,632.10,711.73,735.78,677.03,833.36,752.43,751.87,842.21,748.85,874.61
1907,515.43,437.27,524.51,424.76,539.36,495.12,395.83,502.89,600.51,466.62,507.02,441.15,541.64,570.61,489.67,573.45,532.69,491.35,710.98,575.76,662.95
1908,519.72,461.30,580.15,487.21,585.15,456.82,438.36,472.36,485.75,527.80,483.43,464.17,472.23,521.17,461.64,592.51,617.19,504.90,572.25,511.41,616.04
1909,620.11,559.29,684.32,566.00,643.96,581.84,533.81,585.20,668.88,584.20,609.57,560.51,608.40,659.75,586.64,695.88,651.40,599.64,721.72,644.22,731.16
1910,713.65,654.43,811.76,602.89,679.49,702.30,605.93,715.01,808.24,598.85,672.02,607.25,749.87,762.17,695.72,853.85,656.84,732.76,897.71,793.35,915.59
1911,522.88,460.09,581.94,457.05,532.34,504.60,438.54,508.47,592.14,471.79,503.55,455.10,544.07,562.14,496.06,587.14,543.53,520.44,649.48,555.88,634.85
1912,705.90,622.18,757.22,661.07,777.19,648.52,600.19,655.96,710.31,696.34,713.27,640.68,680.86,759.66,649.00,765.18,820.53,676.66,786.52,709.45,803.45
1913,632.08,557.26,675.72,556.88,662.80,601.14,537.27,607.74,691.82,584.80,610.14,547.29,641.43,665.97,597.89,695.35,672.12,602.78,795.53,689.82,770.08
1914,658.71,618.12,703.42,614.24,685.85,617.33,598.65,628.17,653.81,621.05,637.07,601.68,644.45,676.92,623.97,724.86,674.38,655.85,765.25,681.29,776.94
1915,826.06,760.27,945.39,746.73,840.88,781.69,722.34,795.00,809.99,784.01,805.83,743.85,814.88,854.39,787.10,935.72,866.85,830.25,923.67,847.51,979.17
1916,669.39,557.31,674.83,574.26,707.54,642.68,521.16,649.80,772.93,627.07,665.07,578.90,711.61,734.51,637.56,739.23,713.67,625.57,872.98,740.67,841.22
1917,491.95,421.82,585.46,426.20,489.58,422.55,396.35,438.73,534.61,443.08,432.00,412.04,464.43,480.24,425.30,632.28,501.91,482.63,666.04,517.16,717.34
1918,641.43,546.63,657.06,539.25,673.56,623.95,495.54,636.30,737.42,589.00,633.85,556.36,681.85,696.42,616.77,721.36,662.40,625.54,820.24,717.69,790.50
1919,683.44,639.82,828.65,618.99,656.78,641.82,603.26,656.26,692.23,601.76,660.03,610.98,652.39,693.17,643.30,829.88,680.61,706.37,777.85,690.62,856.21
1920,619.17,545.07,607.56,574.13,676.14,595.67,511.63,595.93,653.89,626.38,662.57,578.87,631.56,688.52,596.37,632.37,695.01,590.10,695.66,637.69,666.47
1921,484.78,435.39,508.38,467.86,505.76,439.81,437.27,446.07,538.09,481.25,466.65,434.78,480.13,493.56,449.64,511.90,541.54,444.96,585.70,503.26,555.60
1922,677.25,602.99,723.86,631.04,744.50,624.77,560.04,635.82,666.79,688.58,645.02,608.79,643.54,681.97,624.99,741.30,792.51,659.84,765.95,684.81,779.73
1923,605.10,526.45,688.82,475.47,593.27,595.02,466.68,608.38,653.40,513.97,573.83,498.73,625.99,656.92,583.12,744.66,590.62,620.66,805.97,667.77,827.29
1924,589.26,555.39,639.45,570.84,624.79,555.74,548.15,565.38,563.67,567.98,597.87,552.49,575.90,627.48,563.07,626.01,616.76,583.14,629.18,586.90,640.83
1925,700.30,622.60,802.74,640.79,738.15,641.68,601.64,650.82,709.07,670.82,681.04,620.19,672.18,723.86,638.55,796.63,775.67,686.90,808.65,716.93,835.23
1926,691.53,597.97,762.48,595.44,717.14,650.62,559.90,654.96,760.01,623.37,677.14,598.50,696.50,741.85,645.90,809.89,702.70,670.71,877.88,749.76,900.33
