Variable:,pr
,Cambodia,"Area under National Administration 1","Area under National Administration 2","Banteay Meanchey",Battambang,"Kampong Cham","Kampong Chhnang","Kampong Speu","Kampong Thom",Kampot,Kandal,Kep,"Koh Kong",Kratie,"Mondul Kiri","Otdar Meanchey",Pailin,"Phnom Penh","Preah Sihanouk","Preah Vihear","Prey Veng",Pursat,"Ratanak Kiri","Siem Reap","Stung Treng","Svay Rieng",Takeo
1901,1889.13,1718.63,1718.63,1361.59,1928.18,1556.66,1816.79,2196.94,1630.96,2368.48,1593.65,2301.34,3180.97,1672.72,1744.88,1355.79,2349.18,1632.09,2853.05,1645.10,1561.28,2579.04,1868.55,1488.32,1843.43,1695.25,1912.70
1902,1860.87,1687.62,1687.62,1195.78,1718.80,1568.06,1827.64,2213.38,1636.37,2398.64,1612.86,2333.60,3139.37,1683.06,1761.37,1294.61,2003.46,1649.52,2874.41,1645.85,1579.33,2462.98,1877.90,1449.62,1847.72,1715.70,1941.95
1903,1876.50,1704.75,1704.75,1263.35,1846.18,1556.12,1816.08,2198.20,1629.68,2373.84,1594.98,2308.15,3180.70,1672.75,1747.50,1322.70,2241.32,1632.58,2857.08,1644.48,1562.69,2554.42,1870.50,1467.67,1843.50,1698.57,1917.43
1904,1896.86,1724.39,1724.39,1381.57,1894.11,1579.77,1842.59,2229.42,1647.40,2407.30,1624.14,2339.38,3175.34,1692.79,1767.82,1356.23,2243.20,1663.77,2880.92,1649.41,1588.09,2534.03,1880.11,1491.92,1852.13,1717.74,1950.71
1905,1912.83,1733.42,1733.42,1397.22,1968.54,1583.12,1845.39,2234.26,1649.26,2412.79,1628.90,2344.70,3207.55,1695.29,1770.85,1368.20,2409.43,1667.89,2884.40,1650.00,1592.94,2609.55,1881.54,1499.31,1852.96,1723.16,1956.71
1906,1874.24,1691.48,1691.48,1192.61,1752.50,1566.52,1825.67,2225.50,1630.16,2438.73,1625.26,2383.49,3166.61,1685.21,1781.11,1303.78,2097.08,1656.39,2904.43,1644.21,1591.74,2508.61,1892.15,1453.60,1848.97,1740.42,1977.61
1907,1881.62,1701.38,1701.38,1267.48,1796.86,1578.54,1847.14,2239.33,1647.63,2424.33,1626.62,2361.12,3158.06,1695.50,1777.67,1308.08,2113.69,1668.44,2896.70,1649.34,1587.45,2494.26,1887.34,1463.11,1854.83,1716.30,1962.45
1908,1986.06,1780.03,1780.03,1531.91,2142.22,1627.02,1900.78,2329.93,1675.63,2561.51,1709.81,2509.34,3314.73,1741.85,1853.36,1417.39,2680.21,1746.41,2996.35,1657.64,1663.13,2733.97,1930.93,1536.91,1875.14,1799.62,2092.62
1909,1954.41,1753.27,1753.27,1385.68,1965.68,1635.93,1905.88,2325.63,1682.77,2543.65,1712.15,2483.48,3270.52,1745.32,1844.74,1361.42,2390.48,1749.90,2980.42,1658.94,1666.63,2638.47,1923.04,1503.70,1875.40,1796.98,2080.29
1910,2001.28,1785.50,1785.50,1501.29,2126.43,1684.69,1950.23,2367.71,1718.19,2568.63,1761.35,2493.30,3322.78,1779.28,1862.14,1401.08,2673.42,1800.83,2991.51,1668.23,1713.94,2746.33,1925.41,1529.96,1887.20,1830.11,2115.17
1911,1643.54,1444.43,1444.43,1114.64,1572.22,1504.35,1619.15,1969.77,1422.14,2282.89,1561.42,2253.79,2628.77,1530.88,1667.18,1087.89,1933.35,1537.73,2599.26,1340.85,1566.12,2119.06,1592.18,1214.26,1485.75,1729.53,1906.09
1912,1920.52,1723.51,1723.51,1343.04,1924.29,1576.23,1862.65,2333.09,1618.37,2568.41,1653.83,2496.33,3373.67,1675.80,1801.40,1293.54,2361.97,1697.35,3144.17,1554.11,1604.65,2625.00,1956.68,1466.74,1802.96,1744.22,2032.11
