Variable:,pr
,Bahrain,"Central Region","Hamad Town","Hawar Island",Hidd,"Isa Town",Jidhafs,Manama,Muharraq,"Northern Region",Riffa,Sitra,"Western Region"
1901,65.08,64.73,64.60,67.10,67.10,64.60,64.68,64.60,64.60,66.27,65.69,64.60,65.28
1902,26.94,29.38,29.40,20.20,20.20,29.40,29.39,29.40,29.40,29.12,25.40,29.40,24.60
1903,57.85,58.55,58.50,55.90,55.90,58.50,58.53,58.50,58.50,59.15,57.37,58.50,57.18
1904,43.17,44.39,44.30,38.40,38.40,44.30,44.36,44.30,44.30,45.42,41.73,44.30,42.20
1905,51.56,52.29,52.20,50.40,50.40,52.20,52.26,52.20,52.20,53.32,51.42,52.20,50.75
1906,76.88,79.02,78.90,69.70,69.70,78.90,78.98,78.90,78.90,80.48,74.90,78.90,75.00
1907,63.03,65.87,65.90,54.90,54.90,65.90,65.88,65.90,65.90,65.53,61.12,65.90,60.35
1908,43.66,45.81,45.80,40.20,40.20,45.80,45.81,45.80,45.80,45.99,43.36,45.80,41.28
1909,85.05,90.74,90.80,73.10,73.10,90.80,90.76,90.80,90.80,89.96,83.10,90.80,79.11
1910,75.76,78.89,78.80,69.90,69.90,78.80,78.86,78.80,78.80,80.01,74.93,78.80,72.40
1911,107.83,110.90,110.60,96.40,96.40,110.60,110.80,110.60,110.60,114.51,104.42,110.60,105.30
1912,120.53,119.71,119.60,128.90,128.90,119.60,119.67,119.60,119.60,121.00,123.64,119.60,120.50
1913,90.28,92.71,92.70,86.40,86.40,92.70,92.71,92.70,92.70,92.89,89.96,92.70,87.57
1914,82.91,86.04,86.00,75.50,75.50,86.00,86.02,86.00,86.00,86.47,81.43,86.00,79.75
1915,93.38,97.72,97.60,81.20,81.20,97.60,97.68,97.60,97.60,99.18,90.47,97.60,89.25
1916,77.26,79.28,79.20,73.20,73.20,79.20,79.25,79.20,79.20,80.22,76.59,79.20,75.13
1917,73.60,75.15,75.10,71.40,71.40,75.10,75.13,75.10,75.10,75.75,73.49,75.10,71.84
1918,77.88,79.81,79.70,73.40,73.40,79.70,79.77,79.70,79.70,81.19,76.96,79.70,75.92
1919,79.54,81.94,81.90,74.50,74.50,81.90,81.92,81.90,81.90,82.37,78.68,81.90,77.03
1920,91.80,96.88,96.90,80.00,80.00,96.90,96.89,96.90,96.90,96.62,89.55,96.90,86.65
1921,65.32,65.19,65.10,67.30,67.30,65.10,65.16,65.10,65.10,66.31,66.06,65.10,65.23
1922,53.76,51.35,51.20,61.60,61.60,51.20,51.30,51.20,51.20,53.15,55.72,51.20,55.91
1923,95.96,101.51,101.50,82.40,82.40,101.50,101.51,101.50,101.50,101.69,93.19,101.50,90.42
1924,84.70,88.51,88.50,76.70,76.70,88.50,88.50,88.50,88.50,88.59,83.37,88.50,80.72
