Variable:,pr
,Sudan,"Al Jazeera","Blue Nile",Khartoum,Northern,"Northern Darfur",Nile,Sennar,"Southern Darfur","Western Darfur","White Nile","Southern Kordofan","Red Sea",Kassala,"Northern Kordofan",Gadaref
1901,225.65,177.21,777.53,73.54,24.39,153.81,36.19,491.86,618.78,535.85,231.48,615.71,52.34,203.40,198.11,475.54
1902,245.95,284.67,874.11,146.32,27.35,153.40,47.38,602.40,618.61,535.85,343.15,648.45,82.88,200.91,231.78,475.47
1903,218.90,207.53,817.29,98.21,25.11,152.44,42.64,481.73,618.03,535.85,232.86,481.90,82.91,246.73,172.87,466.83
1904,229.65,244.44,839.48,126.23,27.11,153.49,49.15,519.73,601.99,535.85,270.71,556.68,61.53,228.60,207.21,504.32
1905,243.91,233.48,894.58,119.56,26.51,155.34,48.58,515.82,614.46,535.85,280.30,687.10,45.55,244.61,239.58,508.00
1906,254.23,329.52,880.43,165.82,28.37,154.35,54.80,637.93,607.46,535.85,370.90,684.07,43.92,239.36,261.81,562.31
1907,253.56,301.59,751.38,180.79,30.60,155.19,74.13,519.88,610.97,535.66,308.68,641.62,83.99,322.87,258.79,578.60
1908,248.73,278.92,878.33,152.03,25.78,153.36,54.04,581.00,635.42,535.85,320.74,663.48,71.01,273.91,219.18,544.03
1909,267.26,325.12,959.02,158.55,25.99,155.45,50.47,664.22,587.59,535.21,375.96,787.74,50.60,287.00,275.17,626.82
1910,254.64,325.98,865.16,166.92,28.78,154.37,60.12,629.75,590.57,535.10,375.25,702.23,42.33,277.96,256.64,567.01
1911,242.98,236.03,737.90,157.62,28.04,154.18,68.48,480.12,594.71,535.35,278.86,638.65,113.12,297.26,224.36,477.59
1912,243.21,236.82,687.54,113.66,24.79,160.34,39.06,476.35,624.43,536.02,287.14,685.44,91.63,224.75,246.51,453.63
1913,194.88,215.71,569.66,106.61,23.83,134.03,31.98,382.57,521.29,534.60,230.55,485.97,60.91,232.72,157.51,431.67
1914,254.52,301.08,826.45,165.24,28.97,150.17,61.02,583.85,631.80,536.25,347.81,658.38,66.75,278.66,259.29,571.64
1915,243.46,271.28,788.57,124.54,24.18,162.01,34.93,551.41,630.90,535.93,315.38,660.04,35.94,234.51,243.39,551.18
1916,266.18,339.46,949.74,160.87,26.04,143.09,53.31,688.87,623.05,535.95,386.47,708.22,88.06,352.96,233.20,707.96
