Variable:,pr
,Sudan,"Al Jazeera","Blue Nile",Khartoum,Northern,"Northern Darfur",Nile,Sennar,"Southern Darfur","Western Darfur","White Nile","Southern Kordofan","Red Sea",Kassala,"Northern Kordofan",Gadaref
1917,242.29,208.67,887.07,89.56,18.70,154.27,30.17,560.01,610.80,518.41,273.79,705.49,57.04,255.60,225.09,548.98
1918,236.66,216.70,771.93,88.31,19.22,179.42,25.15,517.54,660.63,601.54,278.28,632.86,50.32,197.18,200.42,476.23
1919,210.43,284.02,779.93,119.20,19.81,131.72,37.55,579.02,533.95,468.72,304.00,523.41,32.63,255.24,176.80,546.60
1920,323.46,451.89,859.20,273.14,34.98,227.09,85.26,696.53,850.54,816.18,416.52,721.88,95.42,365.32,303.25,717.10
1921,256.37,320.14,924.22,169.00,38.70,156.73,79.99,608.12,596.65,500.88,347.18,660.62,80.93,268.48,242.63,545.75
1922,329.65,422.09,841.14,283.67,33.69,242.39,93.46,626.11,891.40,812.85,404.99,796.62,64.49,340.45,330.65,649.76
1923,326.30,368.52,952.44,241.90,43.07,211.04,115.65,638.43,822.79,731.69,371.51,772.22,132.24,384.02,317.48,666.40
1924,283.25,348.27,878.38,165.60,24.97,180.80,62.97,665.90,723.94,639.36,368.63,681.47,79.04,319.09,287.21,651.74
1925,234.17,264.59,791.46,134.32,20.67,150.94,45.10,544.47,557.15,513.96,300.65,635.05,78.28,273.68,212.10,528.89
1926,237.68,248.83,852.40,101.40,19.46,132.00,27.23,546.57,636.21,483.48,303.17,734.10,65.97,190.72,223.16,457.88
1927,267.60,328.85,878.22,173.47,35.28,187.85,59.35,650.73,749.07,665.99,355.78,582.34,52.09,260.05,234.64,581.18
1928,266.02,265.10,879.10,106.31,28.03,206.06,36.12,600.48,735.39,705.27,323.52,677.59,37.86,198.29,234.27,526.49
1929,326.90,475.94,978.31,286.37,50.99,201.15,94.52,745.39,785.40,729.52,452.61,764.59,97.13,379.07,320.63,751.83
1930,291.15,358.35,811.41,212.80,29.04,211.07,62.81,625.31,781.77,800.72,382.09,676.68,56.19,271.32,288.78,584.40
1931,272.68,340.37,866.86,199.26,42.53,174.94,88.12,588.02,723.34,627.54,369.87,630.79,82.07,260.21,257.30,521.86
1932,272.80,356.17,867.20,212.59,47.44,167.52,89.36,648.00,637.32,567.11,364.65,625.60,84.45,360.57,258.58,658.12
1933,284.28,335.57,967.62,141.76,37.36,154.41,59.10,690.40,645.48,564.95,410.20,799.92,90.84,298.81,291.33,627.53
1934,315.76,388.76,936.01,197.69,23.97,200.89,62.77,702.12,755.07,693.22,419.81,904.55,65.94,332.40,326.17,709.99
1935,282.14,398.36,908.93,212.94,29.95,192.32,66.84,663.20,716.67,668.99,387.80,647.63,64.90,307.19,272.68,628.00
1936,290.96,347.70,909.40,175.68,35.74,206.67,77.70,645.40,689.01,665.51,375.16,674.45,125.39,321.21,278.46,589.39
1937,277.09,336.78,921.36,178.20,25.76,176.76,66.44,626.50,719.27,607.64,379.45,719.50,67.43,294.51,264.50,569.99
1938,296.51,416.39,919.00,241.27,32.70,208.95,69.52,604.04,761.12,692.37,411.60,720.43,64.61,273.73,312.82,542.13
1939,302.83,356.59,909.83,186.10,28.88,187.01,67.56,670.06,833.06,708.52,395.33,799.85,55.57,314.36,290.81,634.38
1940,243.92,301.38,825.38,176.92,25.00,144.02,61.13,591.08,604.10,503.24,337.72,635.95,65.62,251.28,243.29,532.32
1941,245.63,335.97,857.07,176.39,25.94,142.84,49.54,590.02,589.92,567.22,339.77,676.08,59.56,247.34,224.83,564.25
1942,268.46,346.63,823.00,224.00,41.65,166.41,92.76,563.33,689.04,572.12,340.97,600.37,98.26,335.60,256.63,565.13
1943,261.65,310.10,764.42,136.33,21.17,180.02,45.37,573.75,726.68,645.04,335.28,649.24,76.04,235.47,246.93,528.78
1944,261.01,311.72,812.55,179.65,27.60,172.59,61.67,552.65,672.16,586.28,323.63,686.61,71.15,270.12,252.04,514.74
1945,282.67,332.42,884.81,178.73,24.96,189.05,70.60,560.54,734.91,643.15,350.79,701.39,104.70,308.01,274.21,554.13
1946,336.40,311.64,946.70,202.49,68.35,242.03,83.48,606.26,860.15,894.35,324.68,819.94,98.91,321.04,321.53,631.40
1947,262.25,296.12,891.07,142.85,18.24,163.78,46.20,552.98,683.41,644.20,303.20,755.46,77.17,245.19,227.69,549.54
1948,246.50,278.28,847.85,88.47,14.49,154.17,28.13,578.35,608.72,554.25,343.11,690.50,61.69,219.85,263.12,509.91
1949,235.50,249.96,820.26,99.64,20.92,138.48,45.88,549.51,635.15,485.49,278.70,664.28,61.90,238.11,207.76,531.85
1950,330.50,337.86,876.60,243.69,81.26,248.62,96.13,636.84,849.19,784.77,364.40,775.74,108.89,325.59,284.18,614.70
1951,265.79,302.40,826.80,131.74,21.32,169.18,47.09,563.55,755.97,670.49,325.21,702.33,45.11,246.87,259.95,523.59
1952,269.77,285.36,846.81,182.95,40.54,181.88,79.80,577.45,670.01,617.70,331.09,652.68,88.00,278.97,260.90,534.68
1953,322.91,350.96,955.91,213.30,51.91,227.07,104.47,623.05,830.72,768.12,388.39,806.21,91.46,383.23,281.50,614.94
1954,296.33,358.89,977.84,196.55,21.99,218.62,68.69,626.21,783.13,756.10,366.42,719.72,49.55,318.78,276.67,624.87
1955,268.94,284.94,847.38,168.16,17.99,183.85,51.58,593.14,807.73,732.35,344.60,648.80,39.66,256.39,234.98,551.59
1956,313.01,475.86,899.01,272.12,49.96,210.04,104.75,725.98,722.79,668.79,462.82,749.37,79.30,351.87,309.37,679.06
1957,275.02,321.83,662.15,215.54,37.87,192.53,67.68,534.56,735.89,728.80,346.27,693.95,56.02,266.94,271.24,519.28
1958,281.17,341.58,906.74,173.05,41.21,183.98,80.07,621.03,729.65,611.82,400.41,687.83,55.51,295.76,274.27,571.06
1959,279.55,416.82,765.21,252.43,50.59,177.90,91.56,593.64,614.37,565.94,429.69,712.29,63.33,341.19,295.48,607.80
1960,226.45,226.86,689.34,71.23,13.38,163.98,27.09,508.27,664.83,592.28,242.56,605.08,30.90,204.58,201.07,472.89
1961,296.46,347.61,1077.26,241.35,41.92,191.34,93.89,617.43,658.93,648.79,410.70,725.88,134.62,326.81,285.50,541.90
1962,297.72,341.33,864.20,215.43,56.14,198.72,75.53,591.33,756.98,654.06,392.18,722.70,83.96,271.87,318.12,527.43
1963,272.38,282.47,842.56,132.63,15.32,184.48,35.24,585.22,807.24,731.67,341.53,732.30,43.25,221.74,245.14,529.07
1964,300.43,385.49,793.79,265.01,37.80,211.02,98.60,598.41,660.44,685.84,388.03,754.90,112.03,372.23,305.03,617.37
1965,263.72,312.83,774.11,161.56,56.54,172.64,62.28,575.51,652.92,544.15,352.59,645.37,85.85,245.36,259.76,530.02
1966,245.58,226.30,879.95,121.53,24.82,162.73,36.45,529.60,736.10,602.55,287.11,630.92,68.68,198.20,198.04,459.45
1967,264.43,376.42,994.79,214.05,51.06,163.71,69.29,640.30,646.98,579.32,341.76,640.58,76.32,230.39,234.23,540.67
1968,259.97,294.12,824.17,177.43,33.68,175.09,79.51,556.30,677.31,628.01,304.40,586.85,140.44,274.39,209.02,507.53
1969,220.32,200.91,733.32,70.37,14.33,156.58,26.92,478.08,673.49,598.87,251.66,562.37,39.89,186.74,180.47,447.19
1970,237.77,230.25,803.08,123.41,27.11,165.95,61.23,494.01,649.05,534.53,291.78,598.57,66.32,226.66,214.65,449.82
1971,227.52,288.97,627.41,126.61,24.38,164.03,41.85,520.74,569.35,545.60,300.89,546.24,75.80,251.19,207.68,528.40
1972,232.33,276.92,773.47,127.79,18.21,123.25,50.61,541.52,622.22,484.67,285.51,610.05,79.94,247.86,230.81,512.52
1973,199.02,195.49,732.30,103.76,16.59,116.25,36.52,510.66,571.69,420.01,256.12,503.29,35.25,215.42,175.80,474.53
1974,250.37,202.33,843.90,110.93,22.55,178.17,53.86,550.42,667.27,545.01,264.93,616.03,71.01,306.08,225.98,574.61
1975,239.48,276.10,978.82,113.23,19.12,149.48,47.93,625.18,591.58,515.76,325.35,592.04,73.97,277.45,205.45,571.27
1976,230.44,221.19,852.34,128.04,17.23,126.57,49.04,509.00,630.17,477.66,291.71,593.21,61.11,264.90,230.34,510.90
1977,233.38,222.28,716.55,114.07,36.72,157.45,48.06,490.08,620.33,509.70,263.48,611.60,44.54,238.25,230.91,470.99
1978,277.40,324.02,682.26,182.28,36.48,161.85,74.85,528.23,702.86,603.15,348.46,772.98,87.60,311.12,293.21,542.08
1979,245.21,231.61,809.95,145.43,24.97,150.81,59.85,496.51,611.28,545.25,256.84,632.59,126.37,301.54,221.50,498.06
1980,243.89,260.04,695.86,125.65,19.98,166.47,49.36,492.35,636.48,544.51,321.95,658.17,45.41,276.52,248.90,522.76
1981,233.60,206.57,822.56,105.80,16.69,142.26,37.26,511.97,587.45,492.98,264.34,754.89,34.21,244.52,217.64,500.07
1982,190.73,208.56,650.11,89.73,15.29,127.01,28.71,420.98,513.20,419.91,242.96,486.46,44.69,199.76,185.22,418.54
1983,179.50,160.75,566.17,62.14,13.05,127.65,25.21,389.63,459.76,400.30,218.20,494.25,25.10,188.74,191.40,382.10
1984,127.88,73.84,600.62,16.71,11.80,77.89,6.12,310.30,356.53,307.32,100.55,376.24,23.85,105.80,101.48,278.37
1985,211.94,227.56,851.32,82.93,13.45,137.37,30.56,495.00,576.50,516.91,239.09,552.78,56.67,234.47,167.04,475.62
1986,202.15,190.49,666.27,85.67,19.67,131.90,41.14,440.67,480.48,424.66,259.94,606.01,42.14,218.87,199.70,413.25
1987,184.09,207.99,574.41,93.24,18.45,123.77,44.08,441.46,468.11,362.12,241.07,469.57,57.28,185.75,177.20,408.74
1988,292.16,368.65,780.06,304.44,55.09,194.84,119.28,588.97,712.66,691.55,351.39,712.46,85.28,345.79,259.68,589.22
1989,225.89,215.50,768.47,79.37,15.85,133.95,34.28,519.25,638.46,524.86,259.44,651.96,49.27,209.50,192.68,510.60
1990,154.90,101.23,615.71,34.52,12.19,97.78,9.76,369.91,448.80,359.54,181.21,465.57,28.50,91.72,136.14,276.71
1991,232.41,173.57,913.91,70.13,14.75,166.17,20.27,518.95,613.77,577.96,259.98,685.87,36.50,175.12,212.88,428.62
1992,232.93,237.04,592.52,123.61,38.51,157.91,44.06,428.09,549.61,487.46,278.97,626.60,83.02,260.82,248.93,482.80
1993,236.37,299.32,945.07,131.11,21.25,120.16,40.60,644.50,564.89,436.17,346.42,688.10,50.40,237.51,225.56,572.59
1994,291.08,297.39,980.22,184.58,51.56,202.54,83.38,608.79,708.52,663.71,350.43,699.61,100.00,264.14,288.22,513.82
1995,249.53,299.98,625.90,169.49,17.77,158.55,63.71,483.86,620.60,528.79,299.18,702.31,107.28,278.23,246.80,509.16
1996,214.71,255.76,699.41,114.74,14.40,125.17,29.59,509.96,593.47,433.33,282.55,605.71,40.26,186.95,217.30,472.05
1997,230.09,236.36,652.40,128.48,26.35,152.66,47.26,448.34,612.33,525.98,273.43,620.23,75.02,210.16,227.78,427.11
1998,282.00,316.98,835.71,150.90,26.53,206.70,50.53,616.68,682.22,657.13,366.61,728.16,105.89,274.39,268.08,575.25
1999,305.05,357.89,886.70,229.05,46.12,191.29,101.75,651.62,732.43,664.71,377.17,752.41,128.17,351.26,282.48,661.66
2000,239.24,227.76,868.92,93.40,15.68,159.58,28.51,554.88,710.30,531.61,292.86,611.84,60.02,223.83,200.39,515.88
2001,226.59,263.20,720.03,120.04,14.68,143.71,33.47,492.91,567.57,490.23,285.20,670.71,41.54,228.83,229.70,499.97
2002,219.45,243.46,707.83,108.50,15.02,141.52,33.54,499.13,570.05,479.10,268.95,621.90,50.03,217.92,213.41,469.62
2003,270.02,369.86,770.69,208.12,32.63,163.65,77.56,596.92,711.84,645.35,349.84,632.63,68.95,347.57,254.97,623.87
2004,197.61,201.37,656.84,86.04,13.91,128.10,24.80,438.11,589.35,528.27,245.61,500.10,41.00,171.55,176.69,392.47
2005,255.56,239.60,777.29,136.28,34.94,190.85,56.13,499.92,639.88,681.64,275.85,649.22,77.59,293.69,221.84,497.47
2006,259.64,276.84,835.67,125.09,17.52,173.75,49.61,566.48,679.45,590.36,326.92,702.77,60.37,262.99,254.67,539.22
2007,309.78,361.30,982.60,194.04,30.84,194.64,70.81,701.06,681.55,604.27,439.59,857.25,110.65,313.27,342.03,622.41
2008,232.95,233.77,828.04,97.76,15.89,150.28,28.91,539.49,672.90,560.47,286.29,638.86,29.22,203.84,211.80,478.49
2009,194.79,220.74,679.53,97.67,14.99,125.30,27.30,452.12,532.05,450.63,256.20,527.69,26.55,157.51,196.98,389.44
2010,258.14,269.90,860.40,116.33,41.90,164.75,47.77,565.31,615.48,623.01,320.91,688.11,82.98,242.76,243.39,529.33
2011,215.83,198.89,674.66,95.69,13.84,142.21,28.34,422.58,619.98,554.37,254.56,608.58,48.85,168.56,212.57,364.79
2012,270.10,250.10,807.06,110.68,23.10,208.03,27.90,531.96,721.17,822.45,324.52,725.96,34.41,167.31,281.11,447.88
2013,263.90,262.71,782.90,146.83,32.66,181.62,60.89,538.02,704.05,616.64,319.56,652.79,109.76,247.09,248.42,463.46
2014,290.99,343.14,973.81,165.48,38.68,189.05,58.75,662.50,657.98,626.91,373.05,817.76,80.68,298.59,283.43,612.94
2015,229.44,189.20,732.08,106.64,15.63,150.48,43.80,458.19,633.95,577.37,249.16,667.26,54.47,228.04,204.47,427.02
2016,255.04,255.45,777.74,115.54,21.16,151.78,36.98,528.14,734.01,554.42,281.15,705.98,67.29,247.98,251.36,526.89
2017,240.61,265.55,843.62,117.85,18.26,133.75,37.31,581.93,601.52,525.36,333.55,726.01,62.83,196.41,233.61,497.27
2018,311.48,310.13,865.99,161.99,24.76,202.33,71.94,624.38,728.52,633.80,362.46,921.36,120.14,351.00,319.16,631.91
2019,306.24,328.37,1018.41,166.14,29.44,189.33,66.23,690.08,739.38,775.27,410.35,869.27,69.23,321.34,279.22,657.32
2020,284.88,344.33,841.38,169.84,44.94,203.53,68.65,629.40,723.51,701.46,346.69,633.33,81.53,338.83,261.98,633.46
