Variable:,pr
,Malta,Attard,Balzan,Birgu,Birkirkara,Birzebbugia,Bormla,Dingli,Fgura,Floriana,Fontana,Ghajnsielem,Gharb,Gharghur,Ghasri,Ghaxaq,Gudja,Gzira,Hamrun,Iklin,Isla,Kalkara,Kercem,Kirkop,Lija,Luqa,Marsa,Marsascala,Marsaxlokk,Mdina,Mellieha,Mgarr,Mosta,Mqabba,Msida,Munxar,Nadur,Naxxar,Paola,Pembroke,Pieta,Qala,Qormi,Qrendi,"Rabat (malta)","Rabat (victoria)",Safi,"San Giljan","San Gwann","San Lawrenz","San Pawl Ii-bahar",Sannat,"Santa Lucija","Santa Venera",Siggiewi,Sliema,Swieqi,"Ta' Xbiex",Tarxien,Valletta,Xaghra,Xewkija,Xghajra,Zabbar,"Zebbug (gozo)","Zebbug (malta)",Zejtun,Zurrieq
1901,471.55,459.50,459.50,459.50,459.50,512.50,459.50,459.50,459.50,459.50,459.50,491.60,491.60,459.50,491.60,512.50,459.50,459.50,461.15,459.50,459.50,459.50,491.60,459.50,459.50,471.11,467.70,512.50,512.50,459.50,459.50,459.50,459.50,459.50,459.50,491.60,491.60,459.50,459.50,459.50,459.50,491.60,459.50,459.50,459.50,491.60,470.89,459.50,459.50,491.60,459.50,491.60,459.50,459.50,459.50,459.50,459.50,459.50,459.50,459.50,491.60,491.60,459.50,512.50,491.60,459.50,512.50,472.17
1902,456.58,449.60,449.60,449.60,449.60,480.30,449.60,449.60,449.60,449.60,449.60,463.50,463.50,449.60,463.50,480.30,449.60,449.60,450.55,449.60,449.60,449.60,463.50,449.60,449.60,456.33,454.35,480.30,480.30,449.60,449.60,449.60,449.60,449.60,449.60,463.50,463.50,449.60,449.60,449.60,449.60,463.50,449.60,449.60,449.60,463.50,456.20,449.60,449.60,463.50,449.60,463.50,449.60,449.60,449.60,449.60,449.60,449.60,449.60,449.60,463.50,463.50,449.60,480.30,463.50,449.60,480.30,456.94
1903,305.70,308.70,308.70,308.70,308.70,295.50,308.70,308.70,308.70,308.70,308.70,302.20,302.20,308.70,302.20,295.50,308.70,308.70,308.29,308.70,308.70,308.70,302.20,308.70,308.70,305.81,306.66,295.50,295.50,308.70,308.70,308.70,308.70,308.70,308.70,302.20,302.20,308.70,308.70,308.70,308.70,302.20,308.70,308.70,308.70,302.20,305.86,308.70,308.70,302.20,308.70,302.20,308.70,308.70,308.70,308.70,308.70,308.70,308.70,308.70,302.20,302.20,308.70,295.50,302.20,308.70,295.50,305.54
1904,503.31,491.80,491.80,491.80,491.80,542.40,491.80,491.80,491.80,491.80,491.80,479.80,479.80,491.80,479.80,542.40,491.80,491.80,493.37,491.80,491.80,491.80,479.80,491.80,491.80,502.89,499.62,542.40,542.40,491.80,491.80,491.80,491.80,491.80,491.80,479.80,479.80,491.80,491.80,491.80,491.80,479.80,491.80,491.80,491.80,479.80,502.68,491.80,491.80,479.80,491.80,479.80,491.80,491.80,491.80,491.80,491.80,491.80,491.80,491.80,479.80,479.80,491.80,542.40,479.80,491.80,542.40,503.90
1905,425.77,420.90,420.90,420.90,420.90,442.30,420.90,420.90,420.90,420.90,420.90,407.50,407.50,420.90,407.50,442.30,420.90,420.90,421.57,420.90,420.90,420.90,407.50,420.90,420.90,425.59,424.21,442.30,442.30,420.90,420.90,420.90,420.90,420.90,420.90,407.50,407.50,420.90,420.90,420.90,420.90,407.50,420.90,420.90,420.90,407.50,425.50,420.90,420.90,407.50,420.90,407.50,420.90,420.90,420.90,420.90,420.90,420.90,420.90,420.90,407.50,407.50,420.90,442.30,407.50,420.90,442.30,426.02
1906,540.38,534.90,534.90,534.90,534.90,559.00,534.90,534.90,534.90,534.90,534.90,491.00,491.00,534.90,491.00,559.00,534.90,534.90,535.65,534.90,534.90,534.90,491.00,534.90,534.90,540.18,538.63,559.00,559.00,534.90,534.90,534.90,534.90,534.90,534.90,491.00,491.00,534.90,534.90,534.90,534.90,491.00,534.90,534.90,534.90,491.00,540.08,534.90,534.90,491.00,534.90,491.00,534.90,534.90,534.90,534.90,534.90,534.90,534.90,534.90,491.00,491.00,534.90,559.00,491.00,534.90,559.00,540.66
1907,378.13,373.10,373.10,373.10,373.10,395.20,373.10,373.10,373.10,373.10,373.10,371.70,371.70,373.10,371.70,395.20,373.10,373.10,373.79,373.10,373.10,373.10,371.70,373.10,373.10,377.94,376.52,395.20,395.20,373.10,373.10,373.10,373.10,373.10,373.10,371.70,371.70,373.10,373.10,373.10,373.10,371.70,373.10,373.10,373.10,371.70,377.85,373.10,373.10,371.70,373.10,371.70,373.10,373.10,373.10,373.10,373.10,373.10,373.10,373.10,371.70,371.70,373.10,395.20,371.70,373.10,395.20,378.38
1908,447.09,432.60,432.60,432.60,432.60,496.30,432.60,432.60,432.60,432.60,432.60,475.70,475.70,432.60,475.70,496.30,432.60,432.60,434.58,432.60,432.60,432.60,475.70,432.60,432.60,446.56,442.45,496.30,496.30,432.60,432.60,432.60,432.60,432.60,432.60,475.70,475.70,432.60,432.60,432.60,432.60,475.70,432.60,432.60,432.60,475.70,446.29,432.60,432.60,475.70,432.60,475.70,432.60,432.60,432.60,432.60,432.60,432.60,432.60,432.60,475.70,475.70,432.60,496.30,475.70,432.60,496.30,447.83
1909,432.41,430.00,430.00,430.00,430.00,440.60,430.00,430.00,430.00,430.00,430.00,430.50,430.50,430.00,430.50,440.60,430.00,430.00,430.33,430.00,430.00,430.00,430.50,430.00,430.00,432.32,431.64,440.60,440.60,430.00,430.00,430.00,430.00,430.00,430.00,430.50,430.50,430.00,430.00,430.00,430.00,430.50,430.00,430.00,430.00,430.50,432.28,430.00,430.00,430.50,430.00,430.50,430.00,430.00,430.00,430.00,430.00,430.00,430.00,430.00,430.50,430.50,430.00,440.60,430.50,430.00,440.60,432.53
1910,368.58,372.90,372.90,372.90,372.90,353.90,372.90,372.90,372.90,372.90,372.90,369.90,369.90,372.90,369.90,353.90,372.90,372.90,372.31,372.90,372.90,372.90,369.90,372.90,372.90,368.74,369.96,353.90,353.90,372.90,372.90,372.90,372.90,372.90,372.90,369.90,369.90,372.90,372.90,372.90,372.90,369.90,372.90,372.90,372.90,369.90,368.82,372.90,372.90,369.90,372.90,369.90,372.90,372.90,372.90,372.90,372.90,372.90,372.90,372.90,369.90,369.90,372.90,353.90,369.90,372.90,353.90,368.36
