Variable:,pr
,Eritrea,Anseba,Archipelagos,Debub,"Debubawi Keih Bahri","Gash Barka",Maekel,"Semenawi Keih Bahri"
1901,205.58,169.41,43.96,289.02,178.18,288.18,279.68,142.17
1902,174.73,191.94,33.79,213.49,66.79,239.39,215.85,160.56
1903,282.12,280.36,75.36,433.01,108.41,392.34,424.89,244.49
1904,204.11,192.47,47.63,288.23,115.67,300.84,308.69,149.10
1905,214.73,195.10,52.46,307.70,121.86,336.84,312.20,140.76
1906,204.33,174.56,60.17,303.96,113.13,309.55,300.31,149.79
1907,302.72,297.47,100.51,519.71,103.08,455.90,516.46,221.21
1908,246.15,253.44,72.81,354.81,93.02,354.01,354.62,203.36
1909,279.66,243.37,93.28,470.64,144.45,412.65,468.27,203.16
1910,305.46,261.65,115.11,573.83,133.98,449.97,545.47,222.23
1911,294.26,314.12,73.29,402.36,170.94,395.36,410.02,231.69
1912,244.87,257.69,70.79,339.75,127.14,314.34,335.99,218.58
1913,308.46,290.07,86.94,570.70,115.72,433.12,557.07,245.09
1914,271.57,232.17,70.93,438.88,154.52,395.48,421.66,201.90
1915,205.65,181.41,57.59,328.95,75.39,326.81,333.61,150.50
1916,472.95,433.45,182.03,874.47,199.31,672.19,819.03,360.66
1917,304.28,256.47,80.51,503.13,140.74,446.28,456.69,242.70
1918,219.15,190.03,78.08,366.78,69.33,330.50,337.47,182.28
1919,242.01,198.16,56.83,423.28,123.05,392.50,386.53,147.20
1920,400.00,358.04,137.29,679.68,173.86,526.97,628.78,363.65
1921,249.92,235.93,69.88,425.60,95.78,366.13,405.09,193.75
1922,279.66,227.31,79.35,495.11,135.10,440.61,440.85,186.36
1923,310.54,337.91,79.27,466.54,130.09,445.33,451.24,233.63
1924,288.09,272.88,75.21,438.51,121.15,430.38,418.82,222.91
1925,295.44,282.49,74.58,473.37,132.37,393.01,434.54,260.57
1926,232.63,206.75,83.31,382.63,138.70,313.93,320.77,186.95
1927,198.78,180.67,47.06,310.47,83.36,324.09,283.75,130.69
1928,205.83,162.42,60.44,389.57,92.11,305.73,337.66,155.53
1929,361.31,365.88,150.69,566.94,136.63,500.54,594.53,305.14
1930,240.45,286.56,80.61,330.51,96.06,336.80,386.69,183.31
1931,250.70,243.91,87.86,407.99,76.60,357.37,383.56,216.61
1932,442.50,447.21,180.91,757.25,172.68,613.08,750.79,352.94
1933,304.22,337.92,106.46,454.96,67.42,442.44,501.93,255.58
1934,325.87,281.70,185.18,506.72,143.35,431.30,470.91,312.78
1935,345.11,296.38,121.84,651.95,131.37,493.35,589.44,278.61
