Variable:,pr
,Eritrea,Anseba,Archipelagos,Debub,"Debubawi Keih Bahri","Gash Barka",Maekel,"Semenawi Keih Bahri"
1936,347.83,388.60,141.14,515.52,122.73,459.40,554.94,306.87
1937,299.78,274.60,103.86,527.04,121.37,424.35,488.81,241.67
1938,404.46,345.32,197.03,805.84,155.92,540.50,735.91,349.07
1939,243.49,234.14,87.73,352.02,94.71,371.43,373.42,187.82
1940,239.96,214.82,83.34,412.40,100.94,327.50,382.71,208.82
1941,223.46,212.65,62.73,348.82,87.57,333.60,340.84,174.11
1942,351.91,362.04,112.48,574.60,113.91,470.61,570.39,315.28
1943,295.42,268.53,106.35,583.34,114.28,418.83,536.21,223.41
1944,263.52,273.38,111.92,414.00,112.23,348.93,429.99,226.66
1945,255.71,263.28,75.21,407.20,53.40,397.17,401.39,198.44
1946,278.60,253.79,56.70,440.22,122.08,443.51,413.31,188.10
1947,199.06,185.90,52.29,314.94,71.38,323.22,305.69,134.47
1948,237.21,227.85,66.65,351.68,70.70,358.75,333.06,197.19
1949,251.73,224.48,130.90,383.72,126.04,353.19,372.20,211.06
1950,379.59,378.50,145.69,692.43,194.33,490.34,646.42,300.18
1951,262.48,237.51,110.87,415.30,108.85,394.56,438.33,201.89
1952,257.38,301.58,82.55,351.18,65.05,373.73,378.03,212.66
1953,377.24,346.89,210.03,574.22,170.20,553.72,614.83,295.83
1954,326.74,265.20,156.64,512.57,229.59,452.76,491.81,249.51
1955,224.64,198.70,67.25,364.47,105.73,362.26,337.82,142.52
1956,376.66,341.11,158.34,703.57,186.86,517.53,710.42,286.21
1957,351.08,311.04,133.14,672.47,158.17,481.40,650.62,278.37
1958,233.31,217.15,71.06,378.71,93.23,373.47,362.11,154.04
1959,312.71,320.98,73.45,480.15,100.84,505.44,487.52,206.48
1960,226.56,192.39,132.48,370.85,122.61,318.15,348.30,181.49
1961,435.35,416.25,219.17,601.95,343.57,438.53,595.04,453.49
1962,255.67,225.36,104.40,396.04,139.30,362.03,383.76,203.69
1963,335.41,295.35,171.19,617.84,169.81,429.88,624.79,289.33
1964,484.03,439.94,209.57,901.89,250.40,627.93,891.86,396.11
1965,221.27,192.32,106.10,333.42,94.35,325.47,322.70,185.64
1966,200.94,200.92,54.76,297.04,89.20,274.74,273.77,172.21
1967,269.15,231.50,94.75,436.80,222.10,330.51,426.45,214.35
1968,234.12,229.69,66.10,323.71,119.24,330.47,316.94,191.15
1969,182.62,153.10,60.09,275.77,101.67,242.61,245.82,165.95
1970,234.99,193.96,162.91,337.49,168.69,304.48,309.18,205.10
1971,221.56,192.27,46.88,312.13,130.81,343.87,304.03,152.55
1972,229.35,197.81,92.77,375.60,102.99,335.20,356.80,183.27
1973,265.22,258.00,127.86,474.38,105.14,357.99,470.29,220.03
1974,229.74,216.16,64.29,330.72,87.09,369.80,316.98,163.46
1975,441.27,442.78,214.26,714.62,158.71,496.92,680.69,484.71
1976,260.48,272.90,107.63,380.97,80.30,400.31,369.57,196.69
1977,354.62,331.08,175.62,618.98,121.87,505.39,599.55,292.63
1978,384.74,416.16,197.99,596.64,136.44,519.32,635.67,329.70
1979,367.31,430.58,121.34,509.42,95.54,491.52,517.89,339.87
1980,309.60,256.34,121.14,622.10,94.49,498.02,612.27,203.77
1981,286.71,258.43,103.93,523.97,123.06,415.01,529.44,212.96
1982,264.87,242.74,81.38,455.99,144.50,371.88,459.73,194.91
1983,214.33,176.32,56.52,388.11,121.83,332.12,354.24,131.56
1984,166.08,150.43,67.65,288.49,59.65,238.38,285.96,137.39
1985,256.90,254.67,75.13,430.06,91.14,383.22,445.03,190.08
1986,263.09,240.45,80.49,500.17,126.43,379.59,469.61,182.07
1987,247.06,233.28,56.25,463.14,98.57,341.48,454.85,194.52
1988,357.15,392.12,152.29,599.59,147.91,468.23,593.41,290.22
1989,212.92,178.57,67.68,348.89,152.67,280.47,329.36,167.38
1990,129.42,106.52,36.58,225.70,87.35,177.02,189.51,97.22
1991,242.01,220.63,68.02,439.29,106.44,351.53,421.83,177.44
1992,323.43,327.58,161.77,458.26,162.51,394.81,501.20,311.54
1993,253.36,217.23,67.20,445.88,137.72,362.23,420.96,186.79
1994,279.57,275.92,114.73,429.99,130.40,390.03,401.88,226.61
1995,262.93,248.57,98.35,411.57,146.77,359.87,393.34,209.07
1996,218.24,186.98,97.96,380.00,119.72,277.76,371.14,194.39
1997,235.49,220.74,116.15,384.82,111.63,300.41,381.42,216.67
1998,327.60,320.40,103.00,578.32,157.11,446.24,542.37,252.49
1999,264.67,256.73,64.95,367.36,146.26,388.48,356.80,195.19
2000,271.21,242.66,86.27,475.78,146.80,400.28,434.26,184.39
2001,285.55,256.15,111.96,479.86,135.91,401.46,473.64,228.96
2002,259.81,222.08,111.19,438.00,135.72,369.87,417.90,202.77
2003,322.24,321.46,112.21,487.62,136.04,487.69,477.21,231.80
2004,230.37,193.40,110.06,386.12,135.13,287.66,352.15,212.97
2005,320.86,337.62,113.33,505.46,134.36,445.71,501.99,253.74
2006,289.17,266.76,110.84,464.04,137.73,427.59,448.78,213.53
2007,324.40,355.46,113.47,496.90,132.13,443.49,485.16,261.75
2008,253.36,212.50,110.45,454.00,132.64,350.00,433.39,202.10
2009,214.45,158.19,109.84,399.22,133.52,281.58,356.35,180.93
2010,287.10,293.92,109.85,437.35,133.74,392.39,425.58,234.33
2011,220.30,186.77,110.55,377.27,134.57,268.70,351.02,202.32
2012,200.72,139.48,108.51,360.25,133.76,258.64,309.97,178.26
2013,287.72,315.05,111.64,446.82,136.32,361.91,430.88,248.66
2014,314.10,315.02,111.27,489.31,134.89,446.86,470.11,247.56
2015,265.66,248.15,110.85,442.72,127.60,346.63,435.80,233.38
2016,287.71,268.16,111.74,448.10,136.78,403.93,420.78,236.79
2017,246.86,201.33,110.45,422.86,135.16,326.02,384.25,218.31
2018,361.91,375.86,113.21,565.46,135.94,531.46,564.03,272.74
2019,323.36,311.85,112.40,507.61,137.49,484.13,503.31,238.29
2020,338.28,338.79,113.34,525.91,139.05,501.75,526.01,251.00
