Variable:,pr
1901,2784.07
1902,3102.98
1903,2899.27
1904,2488.79
1905,2538.69
1906,2733.36
1907,2275.24
1908,2137.26
1909,2784.07
1910,2637.13
1911,2784.07
1912,2784.07
1913,2784.07
1914,2784.07
1915,2784.07
1916,2784.07
1917,2784.07
1918,2784.07
1919,2784.07
1920,2784.07
1921,2784.07
1922,2784.07
1923,2784.07
1924,2784.07
1925,2784.07
1926,2784.07
1927,2784.07
1928,2784.07
1929,2784.07
1930,2784.07
1931,2784.07
1932,2874.59
1933,3153.28
1934,1909.82
1935,2473.33
1936,3053.55
1937,1991.85
1938,2943.99
1939,2094.74
1940,1935.63
1941,2563.19
1942,3078.65
1943,2309.18
1944,2656.79
1945,2548.58
1946,2131.97
1947,1878.66
1948,3296.83
1949,2435.91
1950,2834.44
1951,3534.75
1952,3112.10
1953,2957.04
1954,2969.59
1955,3315.27
1956,3499.59
1957,2908.06
1958,3220.17
1959,2487.04
1960,2676.04
1961,2560.82
1962,2638.11
1963,2634.59
1964,2530.95
1965,2426.99
1966,3653.14
1967,3068.47
1968,2487.89
1969,3096.81
1970,3423.27
1971,2444.45
1972,2830.89
1973,1870.33
1974,2431.23
1975,2747.27
1976,2632.92
1977,2511.22
1978,2612.71
1979,3041.27
1980,2915.85
1981,3257.59
1982,3111.52
1983,2510.94
1984,3151.05
1985,2854.80
1986,2992.53
1987,2962.80
1988,3235.19
1989,2741.36
1990,2829.41
1991,2981.01
1992,3265.87
1993,2921.90
1994,2666.18
1995,3036.35
1996,3311.79
1997,2373.89
1998,3530.85
1999,2717.95
2000,2869.48
2001,2620.08
2002,2447.96
2003,3019.02
2004,4143.01
2005,3722.27
2006,2720.24
2007,2753.98
2008,3185.31
2009,2584.19
2010,3771.97
2011,3941.96
2012,3266.69
2013,2747.17
2014,2688.26
2015,2185.70
2016,3331.77
2017,3244.31
2018,2889.11
2019,2213.06
2020,2731.47
