Variable:,pr
,Grenada,"St. Andrew's","St. George's","St. John's","St. Mark's","St. Patrick's","Name Unknown","Carriacou and Petite Martinique"
1901,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00
1902,1645.90,1645.90,1645.90,1645.90,1645.90,1645.90,1645.90,1645.90
1903,1585.40,1585.40,1585.40,1585.40,1585.40,1585.40,1585.40,1585.40
1904,1424.50,1424.50,1424.50,1424.50,1424.50,1424.50,1424.50,1424.50
1905,1456.20,1456.20,1456.20,1456.20,1456.20,1456.20,1456.20,1456.20
1906,1539.90,1539.90,1539.90,1539.90,1539.90,1539.90,1539.90,1539.90
1907,1369.40,1369.40,1369.40,1369.40,1369.40,1369.40,1369.40,1369.40
1908,1359.30,1359.30,1359.30,1359.30,1359.30,1359.30,1359.30,1359.30
1909,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00
1910,1467.20,1467.20,1467.20,1467.20,1467.20,1467.20,1467.20,1467.20
1911,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00
1912,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00
1913,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00
1914,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00
1915,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00
1916,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00
1917,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00
1918,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00
1919,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00
1920,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00
1921,1675.00,1675.00,1675.00,1675.00,1675.00,1675.00,1675.00,1675.00
1922,1418.50,1418.50,1418.50,1418.50,1418.50,1418.50,1418.50,1418.50
1923,1554.50,1554.50,1554.50,1554.50,1554.50,1554.50,1554.50,1554.50
1924,1325.70,1325.70,1325.70,1325.70,1325.70,1325.70,1325.70,1325.70
1925,1352.10,1352.10,1352.10,1352.10,1352.10,1352.10,1352.10,1352.10
1926,1371.10,1371.10,1371.10,1371.10,1371.10,1371.10,1371.10,1371.10
1927,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00
1928,1432.20,1432.20,1432.20,1432.20,1432.20,1432.20,1432.20,1432.20
1929,1468.80,1468.80,1468.80,1468.80,1468.80,1468.80,1468.80,1468.80
1930,1480.20,1480.20,1480.20,1480.20,1480.20,1480.20,1480.20,1480.20
1931,1441.90,1441.90,1441.90,1441.90,1441.90,1441.90,1441.90,1441.90
1932,1447.30,1447.30,1447.30,1447.30,1447.30,1447.30,1447.30,1447.30
1933,1708.10,1708.10,1708.10,1708.10,1708.10,1708.10,1708.10,1708.10
1934,1317.10,1317.10,1317.10,1317.10,1317.10,1317.10,1317.10,1317.10
1935,1515.00,1515.00,1515.00,1515.00,1515.00,1515.00,1515.00,1515.00
1936,1559.60,1559.60,1559.60,1559.60,1559.60,1559.60,1559.60,1559.60
1937,1269.40,1269.40,1269.40,1269.40,1269.40,1269.40,1269.40,1269.40
1938,1605.70,1605.70,1605.70,1605.70,1605.70,1605.70,1605.70,1605.70
1939,1341.70,1341.70,1341.70,1341.70,1341.70,1341.70,1341.70,1341.70
1940,1302.30,1302.30,1302.30,1302.30,1302.30,1302.30,1302.30,1302.30
1941,1446.40,1446.40,1446.40,1446.40,1446.40,1446.40,1446.40,1446.40
1942,1592.40,1592.40,1592.40,1592.40,1592.40,1592.40,1592.40,1592.40
1943,1493.20,1493.20,1493.20,1493.20,1493.20,1493.20,1493.20,1493.20
1944,1594.70,1594.70,1594.70,1594.70,1594.70,1594.70,1594.70,1594.70
1945,1473.20,1473.20,1473.20,1473.20,1473.20,1473.20,1473.20,1473.20
1946,1516.10,1516.10,1516.10,1516.10,1516.10,1516.10,1516.10,1516.10
1947,1231.10,1231.10,1231.10,1231.10,1231.10,1231.10,1231.10,1231.10
1948,1631.80,1631.80,1631.80,1631.80,1631.80,1631.80,1631.80,1631.80
1949,1526.40,1526.40,1526.40,1526.40,1526.40,1526.40,1526.40,1526.40
1950,1737.90,1737.90,1737.90,1737.90,1737.90,1737.90,1737.90,1737.90
1951,1824.20,1824.20,1824.20,1824.20,1824.20,1824.20,1824.20,1824.20
1952,1427.50,1427.50,1427.50,1427.50,1427.50,1427.50,1427.50,1427.50
1953,1494.00,1494.00,1494.00,1494.00,1494.00,1494.00,1494.00,1494.00
1954,1719.10,1719.10,1719.10,1719.10,1719.10,1719.10,1719.10,1719.10
1955,1759.60,1759.60,1759.60,1759.60,1759.60,1759.60,1759.60,1759.60
1956,1721.10,1721.10,1721.10,1721.10,1721.10,1721.10,1721.10,1721.10
1957,1345.40,1345.40,1345.40,1345.40,1345.40,1345.40,1345.40,1345.40
1958,1648.40,1648.40,1648.40,1648.40,1648.40,1648.40,1648.40,1648.40
1959,1205.40,1205.40,1205.40,1205.40,1205.40,1205.40,1205.40,1205.40
1960,1329.20,1329.20,1329.20,1329.20,1329.20,1329.20,1329.20,1329.20
1961,1504.50,1504.50,1504.50,1504.50,1504.50,1504.50,1504.50,1504.50
1962,1428.20,1428.20,1428.20,1428.20,1428.20,1428.20,1428.20,1428.20
1963,1508.10,1508.10,1508.10,1508.10,1508.10,1508.10,1508.10,1508.10
1964,1431.40,1431.40,1431.40,1431.40,1431.40,1431.40,1431.40,1431.40
1965,1360.00,1360.00,1360.00,1360.00,1360.00,1360.00,1360.00,1360.00
1966,1930.80,1930.80,1930.80,1930.80,1930.80,1930.80,1930.80,1930.80
1967,1540.50,1540.50,1540.50,1540.50,1540.50,1540.50,1540.50,1540.50
1968,1390.80,1390.80,1390.80,1390.80,1390.80,1390.80,1390.80,1390.80
1969,1691.30,1691.30,1691.30,1691.30,1691.30,1691.30,1691.30,1691.30
1970,1858.30,1858.30,1858.30,1858.30,1858.30,1858.30,1858.30,1858.30
1971,1526.20,1526.20,1526.20,1526.20,1526.20,1526.20,1526.20,1526.20
1972,1478.10,1478.10,1478.10,1478.10,1478.10,1478.10,1478.10,1478.10
1973,1282.70,1282.70,1282.70,1282.70,1282.70,1282.70,1282.70,1282.70
1974,1384.10,1384.10,1384.10,1384.10,1384.10,1384.10,1384.10,1384.10
1975,1507.30,1507.30,1507.30,1507.30,1507.30,1507.30,1507.30,1507.30
1976,1330.80,1330.80,1330.80,1330.80,1330.80,1330.80,1330.80,1330.80
1977,1248.90,1248.90,1248.90,1248.90,1248.90,1248.90,1248.90,1248.90
1978,1418.10,1418.10,1418.10,1418.10,1418.10,1418.10,1418.10,1418.10
1979,1687.60,1687.60,1687.60,1687.60,1687.60,1687.60,1687.60,1687.60
1980,1601.90,1601.90,1601.90,1601.90,1601.90,1601.90,1601.90,1601.90
1981,1819.40,1819.40,1819.40,1819.40,1819.40,1819.40,1819.40,1819.40
1982,1598.30,1598.30,1598.30,1598.30,1598.30,1598.30,1598.30,1598.30
1983,1476.70,1476.70,1476.70,1476.70,1476.70,1476.70,1476.70,1476.70
1984,1701.00,1701.00,1701.00,1701.00,1701.00,1701.00,1701.00,1701.00
1985,1597.10,1597.10,1597.10,1597.10,1597.10,1597.10,1597.10,1597.10
1986,1538.30,1538.30,1538.30,1538.30,1538.30,1538.30,1538.30,1538.30
1987,1438.20,1438.20,1438.20,1438.20,1438.20,1438.20,1438.20,1438.20
1988,1782.60,1782.60,1782.60,1782.60,1782.60,1782.60,1782.60,1782.60
1989,1372.90,1372.90,1372.90,1372.90,1372.90,1372.90,1372.90,1372.90
1990,1559.20,1559.20,1559.20,1559.20,1559.20,1559.20,1559.20,1559.20
1991,1502.30,1502.30,1502.30,1502.30,1502.30,1502.30,1502.30,1502.30
1992,1582.50,1582.50,1582.50,1582.50,1582.50,1582.50,1582.50,1582.50
1993,1578.10,1578.10,1578.10,1578.10,1578.10,1578.10,1578.10,1578.10
1994,1529.30,1529.30,1529.30,1529.30,1529.30,1529.30,1529.30,1529.30
1995,1557.90,1557.90,1557.90,1557.90,1557.90,1557.90,1557.90,1557.90
1996,1689.40,1689.40,1689.40,1689.40,1689.40,1689.40,1689.40,1689.40
1997,1407.70,1407.70,1407.70,1407.70,1407.70,1407.70,1407.70,1407.70
1998,1864.60,1864.60,1864.60,1864.60,1864.60,1864.60,1864.60,1864.60
1999,1670.70,1670.70,1670.70,1670.70,1670.70,1670.70,1670.70,1670.70
2000,1615.80,1615.80,1615.80,1615.80,1615.80,1615.80,1615.80,1615.80
2001,1276.60,1276.60,1276.60,1276.60,1276.60,1276.60,1276.60,1276.60
2002,1437.40,1437.40,1437.40,1437.40,1437.40,1437.40,1437.40,1437.40
2003,1451.60,1451.60,1451.60,1451.60,1451.60,1451.60,1451.60,1451.60
2004,1835.60,1835.60,1835.60,1835.60,1835.60,1835.60,1835.60,1835.60
2005,1791.10,1791.10,1791.10,1791.10,1791.10,1791.10,1791.10,1791.10
2006,1579.40,1579.40,1579.40,1579.40,1579.40,1579.40,1579.40,1579.40
2007,1450.20,1450.20,1450.20,1450.20,1450.20,1450.20,1450.20,1450.20
2008,1552.00,1552.00,1552.00,1552.00,1552.00,1552.00,1552.00,1552.00
