Variable:,pr
,Russia,"Adygeya Rep.","Aginskiy Buryatskiy A. Okrug","Altay Rep.","Altayskiy Kray","Amurskaya Oblast","Arkhangelskaya Oblast","Astrakhanskaya Oblast","Bashkortostan Rep.","Belgorodskaya Oblast","Bryanskaya Oblast","Buryatiya Rep.","Chechnya Rep.","Chelyabinskaya Oblast","Chitinskaya Oblast","Chukotskiy Okrug","Chuvashiya Rep.","Dagestan Rep.","Evenkiyskiy Okrug","Ingushetiya Rep.","Irkutskaya Oblast","Ivanovskaya Oblast","Kabardino-balkariya Rep.","Kaliningradskaya Oblast","Kalmykiya Rep.","Kaluzhskaya Oblast","Kamchatskaya Oblast","Karatchayevo-cherkesiya Rep.","Karelya Rep.","Kemerovskaya Oblast","Khabarovskiy Kray","Khakasiya Rep.","Khanty-mansyiskiy Okrug","Kirovskaya Oblast","Komi Rep.","Komi-permyatskiy Okrug","Koryakskiy Okrug","Kostromskaya Oblast","Krasnodarskiy Kray","Krasnoyarskiy Kray","Kurganskaya Oblast","Kurskaya Oblast","Administrative unit not available","Leningradskaya Oblast","Lipetskaya Oblast","Magadanskaya Oblast","Mariy-el Rep.","Mordoviya Rep.","Moskovskaya Oblast",Moskva,"Murmanskaya Oblast","Name Unknown","Nenetskiy Okrug","Nizhegorodskaya Oblast","Novgorodskaya Oblast","Novosibirskaya Oblast","Omskaya Oblast","Orenburgskaya Oblast","Orlovskaya Oblast","Penzenskaya Oblast","Permskaya Oblast","Primorskiy Kray","Pskovskaya Oblast","Rostovskaya Oblast","Ryazanskaya Oblast","Sakha Rep.","Sakhalinskaya Oblast","Samarskaya Oblast",Sankt-peterburg,"Saratovskaya Oblast","Severnaya Osetiya-alaniya Rep.","Smolenskaya Oblast","Stavropolskiy Kray","Sverdlovskaya Oblast","Tambovskaya Oblast","Tatarstan Rep.","Taymyrskiy Okrug","Tomskaya Oblast","Tulskaya Oblast","Tverskaya Oblast","Tyumenskaya Oblast","Tyva Rep.","Udmurtiya Rep.","Ulyanovskaya Oblast","Ustordynskiy Buryatskiy Okrug","Vladimirskaya Oblast","Volgogradskaya Oblast","Vologodskaya Oblast","Voronezhskaya Oblast","Yamalo-nenetskiy Okrug","Yaroslavskaya Oblast","Yevreyskaya A. Oblast"
1901,410.33,1004.56,311.09,416.07,446.39,516.47,488.75,213.60,474.87,513.15,639.64,422.00,622.04,403.85,369.26,286.83,452.54,541.42,414.18,792.30,364.67,513.47,835.78,716.51,263.56,637.91,835.57,1002.47,449.75,453.84,568.10,450.97,409.41,496.75,452.86,525.57,471.54,472.05,729.73,491.50,334.85,578.66,329.61,520.91,497.06,375.80,481.75,487.10,569.58,577.89,489.70,423.11,381.24,499.56,552.82,373.94,348.19,400.72,595.93,427.14,546.10,643.72,523.19,407.83,492.55,271.73,650.55,407.47,543.49,333.57,875.67,640.40,486.82,427.65,440.97,456.69,325.83,480.61,561.93,610.58,362.36,465.04,513.33,407.31,446.55,535.77,301.93,528.09,435.74,387.38,529.58,625.90
1902,433.31,882.17,312.63,484.24,486.38,503.27,555.42,209.58,545.40,546.36,647.27,400.24,632.50,460.43,382.49,266.15,616.18,565.13,411.70,763.30,358.55,635.12,874.07,683.57,265.30,692.35,633.12,956.60,578.65,521.83,566.62,491.51,482.54,604.68,521.33,641.79,449.74,644.07,650.80,481.29,397.24,602.45,348.85,675.67,522.17,348.02,613.72,581.10,698.61,730.08,520.98,420.00,380.54,626.56,754.39,406.54,370.21,445.51,611.02,525.37,639.78,874.86,773.08,414.81,550.75,272.55,697.80,560.35,686.29,430.36,875.72,769.69,491.90,509.24,500.79,614.71,325.66,507.10,600.40,822.58,421.11,468.13,600.12,573.43,434.75,639.93,326.60,681.38,466.41,414.99,676.80,628.70
1903,434.62,883.19,284.15,642.38,635.80,531.47,612.61,185.68,420.47,575.39,668.93,358.79,659.86,361.68,340.28,278.93,473.36,578.03,402.43,835.70,394.34,557.87,835.69,775.61,259.22,664.17,780.52,964.85,625.28,657.34,573.86,588.65,477.08,541.24,509.54,550.16,415.96,601.33,647.21,525.82,329.66,604.34,342.49,703.45,531.05,306.13,500.49,477.20,624.84,634.60,594.02,420.86,379.60,534.43,716.06,571.44,485.27,345.02,640.63,438.89,559.65,694.14,724.96,446.05,494.30,279.07,745.45,403.36,719.01,347.44,890.59,739.43,511.51,476.98,474.60,450.75,320.96,584.11,592.45,745.72,427.82,477.79,488.88,426.68,394.05,556.98,316.94,670.42,536.98,387.69,633.18,580.07
1904,425.32,772.71,310.15,435.27,452.09,522.07,614.93,209.38,433.45,470.32,541.05,418.89,657.15,370.51,343.24,276.54,588.03,609.65,399.08,799.83,412.18,583.79,797.34,692.81,262.02,569.03,765.72,879.85,605.11,503.55,560.80,493.15,535.84,640.31,549.39,647.66,433.75,621.08,564.99,491.43,318.57,501.08,364.19,594.34,510.98,312.58,597.64,592.93,607.33,628.61,507.28,378.80,377.39,613.31,589.56,407.12,366.96,335.00,545.38,559.39,612.62,742.78,600.64,379.18,549.15,261.98,735.14,441.29,603.99,411.93,863.50,584.33,452.37,494.77,531.67,507.45,320.64,502.40,550.09,650.68,403.09,479.55,545.82,520.18,445.43,574.55,306.60,632.21,455.18,409.32,597.58,727.78
1905,440.78,872.06,277.01,442.76,492.06,539.61,663.57,240.99,527.31,493.02,677.81,391.20,641.00,446.18,302.31,289.31,623.90,591.61,422.43,799.49,399.42,674.02,794.84,749.45,283.88,688.89,651.58,979.61,579.82,565.90,581.10,531.13,430.21,675.62,536.27,677.18,475.34,674.08,631.51,554.96,409.12,580.91,353.37,610.37,471.29,372.04,666.48,582.73,696.67,729.13,557.33,399.94,375.50,662.28,660.93,490.09,508.16,422.11,586.88,512.29,660.94,705.22,655.75,389.59,543.79,266.74,753.86,477.95,609.43,376.76,852.03,734.66,484.62,528.40,450.41,587.38,327.90,545.21,599.21,758.68,470.63,482.66,636.55,530.66,407.27,666.00,339.38,674.82,416.43,416.50,685.18,572.95
1906,435.61,898.05,433.26,498.50,474.04,552.50,534.15,263.29,418.20,579.20,780.14,520.31,657.19,389.02,425.80,285.44,486.47,600.22,422.90,813.35,433.82,562.10,801.11,728.40,306.75,751.33,763.33,945.31,514.17,494.21,579.72,484.60,471.35,482.51,468.57,559.90,424.43,537.94,729.91,532.33,373.01,648.68,364.55,614.81,530.19,335.75,463.71,506.27,675.46,693.18,485.23,450.77,371.91,522.14,626.99,408.50,384.46,366.73,676.23,484.98,568.42,641.30,671.80,488.47,524.20,279.83,740.22,439.82,623.54,424.00,883.04,771.95,486.71,488.28,481.29,436.06,341.50,501.08,658.56,697.00,423.80,480.21,441.74,471.72,584.90,586.23,390.69,590.89,500.89,422.18,617.09,558.27
1907,421.72,917.88,332.17,501.26,503.96,527.53,520.78,203.75,472.53,440.90,576.40,441.88,579.84,422.85,389.76,285.53,516.89,503.35,419.89,701.22,405.01,526.78,741.39,689.83,248.72,589.69,835.08,847.47,480.06,552.86,563.84,520.61,437.87,591.32,447.07,642.05,428.69,544.17,698.02,514.97,387.15,494.24,299.99,468.54,422.84,343.22,524.37,495.50,580.26,604.00,507.60,398.80,339.74,517.09,496.68,456.62,392.75,372.12,514.83,459.95,637.61,705.81,510.50,408.74,457.34,288.12,691.69,469.19,449.53,383.67,782.48,625.61,440.50,509.34,413.43,534.61,282.85,528.33,512.66,598.34,417.56,500.80,569.41,501.26,479.48,527.74,324.61,556.04,390.19,358.27,573.35,731.61
1908,432.52,843.80,421.57,524.30,567.48,560.03,543.16,231.35,490.05,438.40,632.87,429.87,584.23,444.38,416.08,282.08,481.50,540.99,432.81,701.32,375.83,615.90,703.81,689.06,276.13,689.33,775.30,825.80,482.37,587.36,579.61,529.68,531.76,565.04,471.92,607.22,456.22,591.92,649.87,557.91,437.99,483.55,331.63,552.07,407.31,351.61,521.72,441.96,701.21,740.79,504.10,417.62,345.87,555.28,700.94,501.88,535.76,347.49,517.69,393.99,629.81,674.56,667.21,451.86,466.21,251.85,796.54,377.24,537.47,332.89,765.73,766.50,438.53,564.59,381.16,473.54,259.99,595.97,547.48,825.39,591.75,477.85,549.30,397.44,449.47,605.99,346.84,622.27,396.66,396.06,682.89,593.36
1909,425.34,895.36,397.85,368.12,409.12,456.30,554.74,156.04,489.40,490.99,647.41,408.40,487.05,408.59,383.83,286.25,537.18,427.74,417.38,644.01,367.15,571.16,645.43,598.49,201.04,673.45,687.53,802.91,538.20,514.65,584.94,482.66,548.61,589.30,501.24,630.69,464.19,589.87,684.50,487.27,316.48,549.30,241.29,553.16,518.91,356.94,545.59,541.23,620.75,632.78,526.31,363.05,365.80,560.85,558.39,418.59,407.79,340.99,596.05,520.89,634.39,762.73,542.50,424.10,537.35,266.75,798.20,474.21,552.36,407.53,701.74,705.13,387.07,494.38,511.28,536.42,330.15,547.61,593.03,658.01,431.36,467.45,573.58,505.70,390.36,574.67,323.38,610.28,466.74,417.25,581.99,570.74
1910,420.21,845.50,354.01,445.84,466.46,520.68,545.91,182.76,462.09,590.71,718.16,416.57,592.05,403.43,377.25,269.80,490.59,520.99,403.37,723.17,375.63,557.68,649.97,714.69,231.72,737.81,814.85,787.39,541.33,533.62,534.04,492.56,451.57,559.12,478.71,649.08,446.63,537.82,678.03,464.74,322.55,673.50,300.44,591.87,552.61,358.41,509.94,499.55,654.65,657.60,527.24,379.16,368.72,539.78,659.12,428.79,382.63,317.48,702.82,454.51,692.87,747.91,638.90,412.42,534.86,279.82,733.09,397.49,613.59,350.53,752.40,758.23,415.35,526.48,480.26,485.53,290.67,541.15,654.70,718.92,382.18,473.08,580.24,436.81,419.15,583.51,300.82,551.56,490.07,389.71,557.56,590.94
1911,410.32,745.52,309.70,504.79,499.47,368.80,582.71,228.49,404.93,428.05,512.92,392.66,684.38,351.63,303.75,289.00,417.86,607.89,415.90,754.66,368.92,509.35,702.88,595.71,282.81,523.80,746.70,781.07,586.46,465.68,563.31,440.80,486.98,548.32,518.02,567.08,467.45,545.64,576.47,440.33,298.97,454.68,383.12,650.42,390.36,354.16,463.42,419.10,551.31,569.93,558.11,388.28,387.48,478.18,641.06,402.89,402.69,311.49,445.35,375.77,557.05,741.03,611.83,393.68,426.07,277.55,833.84,342.17,666.10,304.03,769.62,585.08,450.23,446.13,371.25,419.94,291.97,472.29,445.53,664.52,382.72,471.73,507.20,373.09,407.19,503.06,281.14,605.44,375.61,406.42,565.04,701.18
1912,438.66,1097.68,309.97,508.18,509.89,489.06,526.71,286.12,539.53,662.47,755.69,425.28,644.27,424.15,346.31,325.09,643.79,537.14,411.44,802.14,406.40,698.58,842.03,766.74,338.21,734.93,920.57,995.30,543.00,549.22,547.14,505.25,424.33,609.59,417.49,568.84,487.52,659.63,853.65,489.80,366.42,699.38,323.06,584.92,634.55,357.04,641.95,673.22,703.44,717.38,557.05,498.64,356.94,696.25,588.31,422.34,398.76,429.85,711.46,628.98,565.71,711.18,631.47,550.81,659.22,289.16,772.73,544.80,608.45,511.51,884.83,771.50,536.20,443.91,644.90,615.55,302.20,528.71,669.71,688.27,431.64,487.10,610.00,579.19,451.86,697.92,474.16,601.70,631.64,389.17,671.61,537.78
