Variable:,pr
,China,"Anhui Sheng","Beijing Shi","Chongqing Shi","Fujian Sheng","Gansu Sheng","Guangdong Sheng","Guangxi Zhuangzu Zizhiqu","Guizhou Sheng","Hainan Sheng","Hebei Sheng","Heilongjiang Sheng","Henan Sheng","Hubei Sheng","Hunan Sheng","Jiangsu Sheng","Jiangxi Sheng","Jilin Sheng","Liaoning Sheng","Nei Mongol Zizhiqu","Ningxia Huizu Zizhiqu","Qinghai Sheng","Shaanxi Sheng","Shandong Sheng","Shanghai Shi","Shanxi Sheng","Sichuan Sheng","Tianjin Shi","Xinjiang Uygur Zizhiqu","Xizang Zizhiqu","Yunnan Sheng","Zhejiang Sheng"
1901,561.73,1116.90,509.44,943.91,1381.49,278.01,1546.90,1250.93,1055.96,1984.05,498.08,435.93,784.28,1044.44,1281.92,877.06,1572.82,510.19,620.29,285.79,315.37,218.78,614.08,521.76,1026.92,511.47,753.97,536.89,115.66,522.50,1053.90,1318.57
1902,549.38,976.26,243.50,870.35,1328.17,277.91,1706.33,1208.84,1054.24,1949.58,328.39,507.03,657.40,695.64,1175.92,924.74,1330.47,587.42,646.13,286.89,315.37,218.78,602.02,619.90,1076.23,492.59,741.20,273.97,126.12,530.68,1075.69,1251.33
1903,616.98,1273.50,368.71,1386.97,2001.29,278.76,1974.01,1275.93,1291.09,1856.77,415.87,460.93,788.74,1110.23,1353.20,1095.42,1700.67,570.66,680.04,285.97,315.37,218.78,622.25,732.61,1296.20,496.24,926.40,435.92,121.03,519.33,1135.92,1583.37
1904,591.51,1024.44,518.10,1076.37,1417.54,278.06,1682.08,1504.46,1130.86,2268.54,518.95,575.36,762.14,1100.67,1369.05,863.25,1466.43,653.61,668.31,277.74,315.37,218.78,627.10,675.94,1069.97,512.25,779.20,580.25,113.82,522.11,1158.24,1273.66
1905,609.91,1346.45,438.46,1207.42,1799.67,278.26,1604.76,1375.65,1164.81,2367.07,458.32,508.82,781.48,1224.89,1402.19,1135.60,1787.08,618.68,618.05,278.87,315.37,218.78,636.63,617.73,1469.73,506.63,821.25,475.54,114.92,529.02,1131.55,1599.38
1906,593.91,1331.64,494.98,1151.69,1833.83,278.31,1800.33,1339.68,1107.11,1902.18,497.79,495.31,792.28,1112.19,1376.59,1260.60,1612.39,536.04,532.00,292.60,315.37,218.78,625.07,632.17,1532.97,519.94,799.85,520.27,115.93,523.96,874.65,1743.75
1907,615.89,1298.77,414.40,1239.83,1618.54,281.61,1892.39,1385.28,1194.62,1905.99,450.42,548.11,804.28,1195.12,1399.77,1098.35,1705.30,572.25,623.63,280.13,315.37,218.91,635.23,628.40,1404.42,502.39,894.63,483.64,124.28,520.97,1141.11,1616.49
1908,607.11,1228.80,532.48,1117.85,1579.81,274.66,1731.60,1440.68,1132.90,2168.47,525.92,504.32,832.10,1372.52,1463.70,935.78,1787.47,577.74,616.37,293.48,315.37,218.65,637.61,604.21,1174.07,520.50,727.43,567.87,123.87,517.62,1124.87,1564.72
1909,610.73,1302.16,422.30,1330.77,1535.24,280.23,1669.22,1374.99,1258.08,1869.29,448.62,447.00,836.92,1267.10,1364.24,1060.27,1676.21,591.23,683.52,276.63,315.37,218.86,635.64,654.11,1342.15,502.01,893.92,474.24,109.66,532.59,1217.53,1610.34
1910,592.42,1366.64,470.84,1054.43,1173.33,278.73,1265.59,1209.06,1094.62,1904.44,477.31,564.29,797.16,1241.57,1395.97,1128.06,1620.18,663.47,566.86,294.34,315.37,218.79,635.77,705.77,1302.49,507.78,773.14,519.28,114.25,535.66,1219.25,1559.22
1911,662.48,1468.51,612.93,1159.59,1707.08,278.72,1695.05,1485.25,1230.23,1803.29,603.62,549.95,801.85,1308.00,1715.36,1310.25,1900.34,754.86,930.62,305.35,315.37,218.80,628.52,893.01,1510.84,527.08,827.09,682.92,114.89,539.87,1380.55,1842.68
1912,592.93,1156.19,579.59,1046.64,1725.39,278.01,1661.51,1420.42,1103.27,1842.93,553.24,482.38,778.16,1182.67,1481.81,1022.77,1641.82,599.32,611.63,269.88,315.37,218.78,625.32,637.79,1305.72,518.23,758.47,613.22,108.99,528.38,1044.58,1626.43
1913,580.04,887.13,373.38,1122.14,1459.19,278.28,1841.02,1629.32,1200.94,2069.43,406.58,440.89,681.23,951.27,1342.90,706.98,1523.67,550.00,422.59,258.55,315.37,218.78,615.41,558.44,1072.00,502.47,825.08,403.74,119.52,540.76,1201.42,1356.72
1914,611.44,1135.74,478.37,973.85,1832.09,277.97,1930.11,1522.62,1099.97,1940.93,489.52,514.21,723.96,1045.94,1515.82,1022.21,1702.26,689.59,792.27,284.03,315.37,218.78,618.12,786.12,1229.05,483.43,750.67,557.60,113.25,536.31,1110.76,1600.00
1915,644.57,1434.28,502.99,1389.75,1615.72,278.73,1643.56,1443.17,1241.69,2119.44,506.70,667.14,823.34,1304.93,1413.33,1259.61,1628.26,767.17,731.06,311.11,315.37,218.78,646.65,658.82,1630.05,501.67,909.25,553.11,110.65,553.33,1202.79,1770.41
1916,583.41,1302.65,418.91,1478.55,1291.97,278.60,1470.02,1163.97,1210.96,1763.86,424.80,469.56,833.34,1260.59,1318.04,1189.13,1536.50,548.99,570.27,266.23,315.36,218.78,617.79,648.53,1350.05,397.77,908.81,459.86,104.58,526.10,1111.42,1440.27
1917,589.94,888.17,609.82,1253.10,1647.94,278.48,1652.52,1380.62,1238.11,1804.42,600.93,535.80,660.39,1009.53,1317.32,871.47,1457.50,588.91,621.18,285.25,315.38,218.78,657.19,628.60,1214.28,635.02,850.17,664.44,100.18,543.37,1078.40,1521.18
1918,637.03,1043.41,430.61,1175.64,1853.11,278.17,2098.28,1766.97,1350.61,2006.06,454.10,506.72,734.28,1250.87,1556.50,783.69,1768.65,685.43,736.79,274.49,315.37,218.78,616.14,563.02,1072.85,422.37,837.73,488.66,106.05,529.24,1445.55,1483.00
1919,578.85,983.86,430.24,1170.38,1769.51,278.16,1810.29,1305.82,1134.62,1942.46,421.04,456.76,629.56,1206.23,1408.84,874.54,1675.05,525.35,522.15,259.60,315.37,218.78,632.51,396.05,1378.82,452.13,799.52,452.31,114.59,524.10,1097.81,1569.32
1920,609.83,1040.65,233.55,1202.59,1841.11,278.30,2085.63,1791.03,1395.07,2072.80,292.17,485.00,593.21,1052.83,1689.56,873.53,1750.53,496.08,549.62,262.80,315.36,218.78,597.74,479.71,1195.51,349.12,850.36,298.85,120.30,509.40,1168.01,1575.71
1921,595.90,1277.03,364.82,1370.71,1480.77,277.07,1635.26,1478.22,1273.08,1686.60,406.37,404.84,784.39,1125.74,1199.14,1143.15,1401.93,562.90,639.76,255.57,315.05,218.78,585.94,707.01,1315.74,358.54,901.99,441.82,124.99,535.21,1306.95,1470.19
1922,586.66,826.40,527.95,1206.13,1823.62,272.03,1776.65,1513.87,1274.14,2141.40,485.51,501.83,473.13,817.91,1151.26,851.10,1403.16,680.13,747.97,300.47,310.67,218.78,536.08,573.95,1141.08,401.97,854.21,546.69,106.63,535.96,1244.51,1453.30
1923,589.45,1056.54,446.54,1000.40,1321.11,279.12,1783.34,1791.98,1238.19,2245.42,452.15,517.16,656.89,993.67,1307.83,933.72,1404.30,720.10,891.88,272.53,317.41,218.78,592.18,617.82,1125.43,398.59,763.03,514.37,111.41,525.19,1102.02,1340.65
1924,592.01,965.33,567.77,1084.70,1938.40,270.31,1806.81,1422.02,1175.34,1973.69,516.41,426.01,678.32,1029.66,1324.60,780.61,1634.14,481.34,574.36,281.17,313.77,218.57,561.11,605.55,1071.73,397.38,793.39,613.77,114.19,542.33,1309.02,1585.29
1925,570.24,831.50,602.98,1134.48,1443.88,292.75,1592.85,1328.98,1154.72,1729.56,561.95,441.61,665.50,890.07,1210.06,841.01,1333.12,578.81,579.38,261.33,333.62,218.72,704.89,639.41,1118.54,498.69,838.89,657.36,106.88,533.95,1279.48,1345.26
1926,604.92,1030.57,375.10,1106.80,1432.52,281.49,1957.60,1794.11,1309.17,2490.49,402.09,475.57,744.25,994.80,1425.04,1006.62,1470.82,587.51,624.86,251.23,321.31,218.71,627.20,775.52,1297.89,420.10,812.16,448.77,115.87,522.35,1238.63,1516.99
1927,587.43,922.34,365.46,1175.17,1627.03,283.23,2041.64,1505.54,1163.17,2032.31,377.49,522.71,691.59,1010.15,1274.05,846.18,1431.03,693.91,607.33,253.54,321.21,218.72,664.21,466.67,1167.91,416.89,788.52,406.68,119.64,535.05,1208.03,1368.84
1928,574.94,861.86,489.79,1107.99,1650.82,272.94,1569.41,1233.51,1126.80,2064.05,499.83,621.87,650.05,824.21,1027.09,794.76,1267.97,717.21,648.66,280.08,315.37,218.58,599.47,626.46,1096.24,481.58,818.65,572.46,127.41,529.01,1258.77,1429.56
1929,570.58,828.26,522.18,1173.75,1327.82,274.27,1445.94,1318.47,1248.33,1363.88,492.22,584.80,658.35,1173.17,1342.15,662.43,1310.10,649.22,699.63,320.75,315.35,218.66,572.80,504.05,899.81,318.69,750.25,605.58,113.29,527.37,1208.43,1211.59
1930,588.29,1180.41,435.73,1001.71,1512.79,273.00,1716.75,1451.33,1163.43,1862.06,459.99,543.96,654.40,1100.65,1391.29,1064.24,1592.57,660.25,661.75,267.23,315.37,218.59,598.37,620.57,1329.12,418.10,708.46,507.66,123.14,523.26,1130.93,1536.34
1931,620.55,1368.31,442.85,1135.99,1914.44,273.94,1874.20,1348.07,1199.19,1629.43,451.71,571.45,861.68,1298.52,1565.69,1235.00,1745.29,686.51,641.33,286.88,313.47,218.69,615.39,693.58,1470.60,445.03,789.30,507.25,114.50,529.45,1010.63,1744.96
1932,597.49,832.31,400.81,1208.15,1662.51,247.97,1763.35,1415.98,1330.85,1357.56,440.64,649.75,592.89,953.55,1337.25,727.70,1443.99,702.89,645.65,308.90,296.80,218.81,485.05,528.12,1158.32,548.84,901.21,436.85,111.29,521.60,1241.77,1663.09
1933,580.34,1073.75,483.14,1159.18,1379.66,257.79,1360.59,1268.44,1226.57,1585.20,494.65,482.88,713.48,1200.72,1388.49,914.49,1467.17,627.84,693.68,298.98,318.42,212.53,612.10,601.94,1313.32,563.74,775.24,495.94,107.48,533.19,1123.95,1674.78
1934,608.76,965.90,560.10,1212.38,1498.24,296.63,1721.72,1513.31,1318.57,1760.95,553.12,583.39,723.98,1088.25,1303.17,886.71,1342.82,716.98,719.52,334.61,336.17,224.13,604.58,767.61,1002.41,523.08,834.49,599.88,122.59,526.08,1148.42,1310.38
1935,599.45,921.82,307.95,1117.10,1795.86,241.12,1930.54,1700.60,1261.94,1677.96,351.17,540.01,728.81,1094.27,1788.71,781.22,1785.77,668.44,599.34,249.26,308.93,202.82,649.52,573.79,1075.37,451.08,776.78,353.78,113.83,516.84,1001.66,1529.68
1936,555.54,899.92,312.42,912.16,1560.42,258.69,1616.01,1434.51,982.72,1283.93,325.28,602.92,437.47,907.26,1412.31,786.85,1628.64,715.00,710.01,266.54,273.49,211.15,492.09,501.43,1019.20,308.77,755.24,355.04,112.89,563.59,919.41,1381.06
1937,628.36,1235.53,548.71,1244.55,1914.58,294.67,1738.57,1377.89,1034.19,1678.58,595.07,538.20,913.23,1447.78,1621.44,1011.70,1826.75,625.18,756.14,292.76,343.81,218.01,721.25,797.52,1293.93,615.06,850.76,655.72,120.74,504.46,936.98,1779.00
1938,612.36,1188.56,576.57,1220.50,1589.53,274.76,1472.20,1211.07,1076.06,1878.90,570.02,607.53,934.48,1269.83,1214.41,978.48,1500.67,686.44,813.04,313.49,306.60,211.80,727.38,678.34,1068.02,516.44,867.53,630.18,115.33,567.91,1203.18,1284.28
1939,578.12,1149.97,501.40,885.73,1677.02,230.51,1694.48,1364.92,1063.24,1783.38,502.51,519.04,832.68,1153.21,1295.91,959.03,1604.96,672.13,726.63,305.34,257.42,210.38,509.32,548.49,1159.64,529.00,679.03,502.74,108.43,512.59,1072.89,1445.80
1940,579.13,1064.37,387.44,1038.86,1695.36,284.00,1943.92,1449.36,1068.16,1908.21,405.33,550.74,660.74,905.58,1281.28,861.73,1513.83,598.76,632.22,278.65,349.52,200.42,656.62,554.97,986.95,524.33,754.78,420.46,116.69,525.25,1077.89,1343.12
1941,594.62,1100.90,347.00,1127.04,1879.31,208.86,2152.03,1626.16,1154.41,1616.08,344.57,540.21,614.34,969.07,1423.73,994.10,1680.37,644.95,604.93,283.45,216.45,192.17,413.92,458.21,1453.88,307.22,804.35,366.67,123.10,488.35,1251.18,1719.63
1942,581.24,1080.06,439.32,893.51,1589.42,259.66,1793.36,1498.34,1061.62,1780.28,462.34,531.47,639.43,990.06,1356.70,850.52,1672.54,612.04,705.37,286.15,283.51,218.00,487.82,515.79,1110.27,551.29,685.60,453.96,133.91,538.29,1078.38,1455.20
1943,576.76,1103.35,367.47,1063.50,1427.84,306.01,1673.79,1346.14,1106.66,1797.75,404.14,574.17,838.61,1206.49,1414.23,932.02,1418.11,621.07,574.35,288.11,360.80,229.88,638.28,565.05,1184.49,459.05,693.46,417.00,106.29,530.05,994.34,1389.57
1944,592.53,913.84,437.82,1132.31,1711.74,291.05,1911.51,1555.79,1300.82,1841.52,450.92,451.44,640.29,1059.28,1538.96,814.70,1707.14,518.03,577.52,267.40,338.64,229.38,599.41,544.07,1045.56,553.58,816.51,485.11,96.64,489.52,1221.61,1489.84
1945,578.58,1029.30,423.09,951.52,1598.03,251.96,1700.36,1370.01,943.56,1914.75,455.02,513.08,638.60,931.65,1194.30,1056.38,1447.64,626.39,681.08,295.25,330.32,191.16,577.59,652.13,1461.79,501.49,821.38,485.87,104.12,553.82,1176.66,1610.97
1946,612.53,1255.90,501.40,1079.55,1543.79,277.58,1706.05,1539.48,1212.63,1894.49,501.47,628.80,825.95,1150.93,1369.63,1064.58,1647.51,645.44,647.29,276.96,294.13,212.18,625.64,675.92,1437.60,483.55,801.74,555.84,124.43,515.71,1119.85,1775.59
1947,616.13,936.92,493.50,1150.83,1887.11,320.77,1975.59,1622.66,1138.57,2177.63,489.77,552.84,694.05,978.29,1220.61,877.98,1559.08,716.66,828.60,310.56,364.97,214.98,661.07,684.14,1145.89,471.14,910.79,536.54,119.69,527.93,1066.49,1554.56
1948,627.54,1189.94,477.71,1256.93,1432.55,297.11,1709.27,1561.98,1223.41,1265.60,484.93,585.69,803.25,1225.48,1535.29,1006.88,1637.14,639.43,688.03,306.79,314.60,222.97,626.79,697.96,1269.28,494.59,923.92,525.83,102.67,548.56,1234.16,1600.02
1949,641.88,1291.02,697.24,1092.13,1770.21,330.07,1680.55,1585.44,1204.07,1477.38,663.41,501.70,857.55,1102.21,1452.25,1111.86,1742.56,634.03,841.48,316.92,400.27,224.02,748.41,728.69,1379.51,590.39,918.99,742.57,120.84,539.87,1094.99,1888.70
1950,604.10,1156.62,604.10,1203.01,1885.24,264.08,1886.74,1510.59,1224.37,2249.30,575.25,438.35,771.85,1119.34,1309.14,1106.01,1573.36,599.31,737.76,260.85,291.13,219.16,571.65,750.56,1356.53,447.25,769.13,658.80,110.71,534.55,1103.04,1705.95
