Variable:,pr
,China,"Anhui Sheng","Beijing Shi","Chongqing Shi","Fujian Sheng","Gansu Sheng","Guangdong Sheng","Guangxi Zhuangzu Zizhiqu","Guizhou Sheng","Hainan Sheng","Hebei Sheng","Heilongjiang Sheng","Henan Sheng","Hubei Sheng","Hunan Sheng","Jiangsu Sheng","Jiangxi Sheng","Jilin Sheng","Liaoning Sheng","Nei Mongol Zizhiqu","Ningxia Huizu Zizhiqu","Qinghai Sheng","Shaanxi Sheng","Shandong Sheng","Shanghai Shi","Shanxi Sheng","Sichuan Sheng","Tianjin Shi","Xinjiang Uygur Zizhiqu","Xizang Zizhiqu","Yunnan Sheng","Zhejiang Sheng"
1951,618.63,1151.08,363.56,1058.77,1627.43,283.28,1948.24,1602.88,1133.33,2368.14,427.99,630.68,741.26,1078.05,1392.12,1020.51,1628.04,706.55,777.45,280.03,315.98,221.25,603.79,726.51,1307.11,492.70,821.16,420.52,119.78,543.58,1102.13,1536.17
1952,629.16,1156.60,421.42,1311.68,1786.32,288.47,1924.13,1562.87,1241.76,1931.03,434.02,528.43,792.04,1232.95,1534.39,1014.35,1679.82,556.08,509.76,285.24,311.35,223.38,685.02,638.43,1303.54,485.02,897.18,457.02,114.25,555.94,1185.30,1713.29
1953,615.93,1011.57,543.30,1008.38,1769.18,259.55,2018.27,1510.53,1089.46,2673.36,563.66,556.22,650.10,1029.90,1593.56,874.17,1881.97,716.15,896.87,300.98,311.92,207.95,571.65,752.89,1178.54,510.42,787.46,632.10,120.16,498.59,1064.50,1552.78
1954,675.91,1607.57,695.62,1384.36,1581.84,289.86,1549.16,1392.81,1480.02,1872.18,680.83,466.62,1015.39,1557.71,1653.31,1233.72,1930.89,728.02,824.25,325.02,308.09,221.89,686.31,731.30,1585.55,623.28,979.72,790.92,132.59,565.76,1144.40,1901.14
1955,584.50,1017.23,594.02,1042.66,1424.61,282.26,1688.13,1309.84,1113.37,1726.40,552.44,619.42,717.59,967.31,1334.60,840.68,1530.05,616.99,642.38,296.20,334.64,217.03,561.60,631.36,1106.27,468.20,807.67,630.62,97.04,534.40,1187.74,1366.24
1956,608.43,1363.26,651.58,1189.16,1569.40,246.05,1376.27,1281.88,1078.22,1870.41,664.44,617.58,931.77,1162.96,1281.48,1288.07,1482.18,799.81,801.53,318.34,319.20,160.71,687.13,804.44,1398.70,666.09,875.55,725.92,97.38,497.69,1095.73,1568.91
1957,592.26,1158.28,461.11,1081.02,1468.62,225.70,2029.66,1434.51,1196.67,1885.32,433.30,619.99,714.92,1039.88,1410.85,1061.94,1598.12,742.55,716.50,294.16,230.97,198.92,511.06,632.45,1357.95,417.03,801.00,396.54,97.61,470.87,1148.07,1491.93
1958,582.65,1041.44,500.01,1063.47,1495.63,308.49,1455.08,1215.90,1046.15,1886.98,519.12,506.49,891.40,1163.67,1350.64,1012.99,1382.07,499.97,517.04,334.84,348.24,224.13,764.09,694.52,1176.13,633.08,809.73,460.11,140.01,465.43,1028.38,1475.45
1959,641.62,1125.51,701.13,963.37,1862.46,276.77,2125.20,1697.57,1171.18,1716.01,639.66,655.58,653.00,1073.26,1424.19,1002.08,1629.67,705.41,849.67,375.51,356.60,206.69,558.76,702.72,1317.71,586.54,782.58,683.97,131.41,490.99,1224.57,1655.11
1960,587.45,1174.06,421.51,1019.69,1519.03,254.16,1793.24,1305.12,1005.59,2230.75,426.57,660.20,727.22,1093.56,1251.80,1151.04,1443.16,820.58,777.30,307.74,323.64,198.06,570.22,733.28,1276.40,436.62,803.43,455.85,112.51,494.79,966.86,1502.25
1961,640.33,1007.45,508.46,1021.12,1920.94,322.01,2175.14,1671.89,1263.81,1851.17,564.80,549.72,720.45,1012.89,1598.11,990.06,1786.33,657.89,649.91,321.72,453.01,217.93,719.41,804.65,1258.52,613.94,843.25,596.07,92.86,501.74,1255.22,1627.25
1962,604.35,1174.94,415.28,1139.06,1691.96,236.82,1610.48,1282.08,1078.62,1669.27,463.24,583.88,758.78,1126.31,1496.04,1188.84,1665.20,646.93,733.29,270.55,278.80,191.30,566.17,840.58,1272.89,484.39,807.18,515.80,106.60,605.50,1066.46,1620.69
1963,571.51,1141.88,469.50,1242.88,1256.03,260.59,1141.89,1120.53,1104.44,2018.87,509.41,630.26,895.60,1091.96,1148.45,1050.41,1093.26,673.68,688.61,285.69,258.18,226.05,666.06,791.19,1147.38,548.01,823.77,505.03,89.40,576.15,1084.91,1218.65
1964,637.12,1151.73,690.63,1232.50,1484.90,352.27,1793.19,1321.94,1205.19,2266.69,738.23,517.64,1081.14,1285.98,1390.11,1039.59,1400.70,709.72,945.94,317.84,468.57,226.66,851.61,1149.49,1023.75,751.13,834.11,862.58,118.58,484.68,1126.61,1272.14
1965,578.82,1092.66,350.12,1246.14,1522.03,218.05,1849.72,1554.96,1303.91,1966.15,343.16,535.56,668.00,1044.59,1371.53,1084.47,1485.10,601.16,510.53,219.13,228.15,188.48,525.27,636.92,1164.53,300.75,887.68,357.09,96.06,492.81,1265.01,1446.26
1966,566.84,855.93,511.77,903.89,1455.41,272.58,1705.77,1341.14,974.54,1603.97,487.80,555.81,526.89,785.16,1201.18,763.39,1403.55,700.46,725.66,273.38,281.14,199.37,556.95,563.15,1158.33,533.24,811.40,569.23,137.36,514.11,1253.60,1353.28
1967,591.39,998.43,557.40,1278.22,1219.01,349.83,1508.41,1483.19,1333.85,1820.09,551.14,484.31,887.79,1230.98,1424.60,828.58,1449.60,555.53,658.62,303.88,417.60,272.75,725.30,664.77,812.99,644.81,813.94,571.07,107.10,448.33,1112.99,1102.99
1968,585.68,933.99,381.53,1272.21,1610.14,285.49,1698.70,1620.58,1307.46,1404.99,391.26,514.91,744.06,1033.54,1400.89,784.78,1498.23,589.24,543.49,258.14,375.62,191.53,679.84,489.90,937.86,477.82,875.47,339.98,92.52,506.10,1290.77,1257.36
1969,605.21,1277.58,634.43,1139.88,1567.85,242.26,1660.45,1383.04,1197.14,1253.79,603.05,563.90,758.61,1247.20,1488.20,1036.48,1651.16,648.53,786.03,332.56,257.04,200.69,553.92,686.59,1097.09,546.13,755.61,728.72,135.65,509.94,993.70,1494.69
1970,627.36,1242.17,478.37,1169.67,1699.46,283.56,1918.42,1652.46,1226.03,2166.17,465.41,447.38,741.18,1211.58,1683.93,1123.46,1887.20,546.42,655.99,299.95,334.55,217.78,615.55,791.46,1200.33,450.47,782.94,504.08,115.49,509.02,1230.33,1572.35
1971,583.55,1077.82,449.54,1075.34,1150.28,260.80,1501.24,1453.92,1158.41,1760.71,510.70,563.04,842.78,1070.11,1161.30,969.76,1150.87,693.24,706.74,268.61,262.05,237.49,592.85,841.21,942.27,557.34,740.24,562.65,129.53,558.62,1236.13,1125.80
1972,576.38,1226.40,357.55,1097.66,1669.22,230.68,1963.83,1438.47,1165.11,2496.54,360.84,590.31,714.37,1055.80,1398.36,1082.04,1579.78,624.21,569.70,243.22,241.29,201.56,512.25,638.21,1142.07,351.41,685.63,381.78,137.44,450.73,1063.17,1475.09
1973,665.32,1198.47,635.41,1270.48,1912.37,304.84,2217.83,1653.58,1248.26,2388.55,628.93,518.02,817.28,1241.43,1633.42,939.03,1924.54,620.78,772.09,319.98,370.73,195.32,665.19,732.93,1305.87,619.28,882.29,655.75,111.05,540.23,1286.69,1824.02
1974,607.04,1224.63,486.06,1249.12,1505.83,249.24,1745.74,1369.26,1207.43,2067.73,488.30,547.95,764.28,1030.92,1238.90,1178.36,1437.55,626.30,706.19,286.59,259.43,227.62,605.34,840.73,1274.73,416.69,885.20,532.53,128.43,546.31,1162.85,1526.39
1975,630.45,1342.94,373.99,1200.59,2065.54,295.92,2327.96,1482.47,1091.23,2110.21,412.46,464.85,804.38,1225.47,1589.40,1112.64,2015.10,598.80,692.07,282.43,314.66,239.46,694.65,720.71,1385.52,518.33,804.65,433.37,93.30,497.89,1060.23,1803.68
1976,584.44,948.92,509.99,1058.25,1521.77,276.81,1829.09,1477.88,1267.40,1847.00,545.78,452.26,673.70,911.08,1364.01,900.12,1541.96,546.50,631.31,297.42,327.41,217.18,578.09,676.93,1301.24,564.11,775.25,564.38,115.00,493.93,1177.83,1449.66
1977,607.14,1288.69,582.42,1180.45,1483.68,271.39,1427.58,1377.18,1336.40,1380.44,614.50,500.49,772.09,1206.96,1465.51,1016.74,1637.81,586.43,702.30,329.55,370.68,210.44,555.31,640.74,1523.83,562.79,769.67,778.53,107.88,573.97,1087.31,1620.37
1978,564.52,666.90,549.80,967.65,1533.82,308.56,1892.09,1502.59,1147.70,2408.00,520.41,479.30,554.59,854.42,1189.39,584.14,1246.02,511.54,577.14,292.58,391.54,194.82,601.85,660.75,776.60,522.60,781.18,563.66,101.25,554.33,1159.60,1148.07
1979,582.89,1081.94,562.58,1155.42,1428.05,300.36,1746.90,1454.10,1164.39,1515.98,533.43,437.66,864.80,1118.69,1241.72,967.67,1322.33,568.77,674.11,328.72,330.62,216.70,580.51,696.53,1008.52,469.97,799.27,570.92,119.23,506.18,1094.50,1151.55
1980,606.20,1284.69,378.64,1322.01,1591.85,251.11,1694.69,1379.52,1200.42,2191.42,408.05,529.17,824.61,1374.24,1552.44,1041.96,1734.05,591.82,535.18,249.80,246.21,210.73,630.22,662.18,1336.16,447.40,850.27,435.53,99.40,574.65,1055.68,1490.77
1981,606.55,1104.55,386.52,1037.19,1554.04,306.79,1959.84,1609.57,995.24,2109.17,403.73,634.13,644.14,970.02,1404.31,899.44,1622.20,620.81,571.48,299.04,298.30,248.10,683.86,456.47,1233.87,451.82,842.48,438.40,148.25,502.97,1120.12,1490.75
1982,596.31,1114.67,449.95,1320.39,1578.71,235.06,1944.92,1543.10,1249.72,2231.81,463.38,491.21,851.14,1231.75,1563.88,953.10,1638.67,507.77,542.82,253.09,196.35,232.73,594.37,634.14,1197.29,502.29,795.05,452.49,119.69,477.26,1079.85,1418.12
1983,653.08,1361.37,441.71,1372.97,1827.91,313.73,2332.63,1585.96,1281.04,1871.27,443.36,581.10,916.32,1459.13,1465.82,1002.76,1864.75,673.53,630.31,301.38,351.97,236.46,811.77,548.69,1337.58,521.74,835.43,445.22,108.70,485.14,1231.87,1712.28
1984,596.61,1190.23,388.92,1164.44,1560.80,301.75,1646.92,1235.08,1118.25,1596.27,433.42,604.44,916.94,1104.29,1291.09,1011.88,1568.84,633.36,659.36,320.01,334.20,192.35,692.09,735.64,1218.15,468.86,836.70,511.33,120.84,495.24,1102.48,1466.07
1985,608.46,1122.40,551.76,1097.94,1548.07,284.82,1856.42,1407.89,1081.98,1887.21,545.65,579.31,748.16,1019.36,1179.93,1102.28,1427.33,698.56,853.88,306.83,358.49,234.93,635.35,760.99,1404.94,549.55,853.95,634.82,86.68,562.88,1199.00,1375.60
1986,549.69,983.99,494.93,1052.10,1411.34,226.34,1683.75,1382.53,1060.16,1931.74,444.98,475.86,548.89,972.67,1179.95,896.98,1303.05,776.45,764.83,265.94,228.72,207.43,469.32,473.08,1147.47,349.70,749.27,529.93,104.40,490.72,1210.40,1227.91
1987,612.72,1312.29,534.73,1132.56,1587.23,239.84,1862.11,1412.86,1051.39,1468.12,519.71,607.56,812.62,1225.85,1369.68,1170.34,1558.52,688.74,713.41,278.39,250.80,218.16,605.83,721.46,1412.48,470.09,795.06,612.47,166.57,523.47,1018.08,1635.46
1988,581.39,903.65,504.02,1012.48,1584.51,293.60,1659.50,1309.39,1057.94,1989.10,499.43,559.68,620.27,976.50,1275.45,746.35,1489.09,600.00,557.91,313.12,305.72,230.87,641.05,488.47,989.87,566.42,797.57,580.00,145.86,559.05,1009.72,1368.30
1989,587.55,1312.53,357.80,1272.43,1505.93,274.35,1550.45,1076.89,969.12,2050.81,389.46,498.53,852.83,1397.54,1425.27,1073.23,1600.48,589.09,529.00,267.47,313.30,288.43,655.45,487.18,1500.64,487.70,841.83,362.39,121.15,510.72,990.33,1776.73
1990,649.25,1193.40,589.48,1026.20,1771.40,295.70,1684.23,1457.98,1112.58,2309.61,612.23,590.93,813.80,1116.36,1440.19,1177.54,1610.14,709.93,738.28,354.41,355.91,190.96,649.73,947.63,1341.03,558.42,855.25,663.52,147.49,595.34,1203.14,1639.06
1991,589.95,1461.72,537.04,1119.78,1210.52,216.06,1335.08,1242.92,1147.47,1577.19,535.48,618.25,790.23,1166.55,1326.71,1305.86,1359.88,649.16,698.81,308.07,248.59,211.28,535.18,653.98,1435.73,448.18,786.75,604.03,118.58,537.85,1217.90,1341.13
1992,578.62,977.52,455.97,1034.04,1882.46,292.15,2062.93,1313.49,1033.40,1902.63,448.48,509.03,633.22,953.06,1343.60,858.02,1705.00,589.55,551.12,296.38,341.57,222.23,620.24,528.67,1187.72,481.64,766.94,440.10,140.13,458.03,958.38,1661.00
