Variable:,pr
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
1901,1229.78,1342.75,1253.61,1208.03,1236.54,1053.82,1156.95,1054.95,1034.37,1249.04,1515.76
1902,1151.91,1195.31,1185.73,1115.98,1067.65,925.26,1143.31,1039.66,1085.34,1103.94,1325.74
1903,1014.41,1037.87,1020.86,942.89,941.04,805.33,1010.11,953.78,996.72,971.68,1184.06
1904,972.32,984.18,1000.85,913.52,852.12,746.35,950.41,930.50,1003.72,915.68,1168.84
1905,1094.50,1100.59,1124.94,1021.38,985.52,831.06,1117.39,1002.05,1002.89,1094.47,1231.91
1906,1189.98,1254.89,1249.95,1165.68,1084.88,862.06,1147.23,1093.46,1148.26,1071.08,1461.44
1907,1050.00,1194.71,1097.68,1173.80,1118.09,1029.56,911.22,786.70,835.02,1089.96,1353.66
1908,1191.08,1261.26,1242.15,1210.05,1182.19,1020.54,1129.44,961.99,1022.04,1220.88,1427.71
1909,1330.53,1424.06,1399.65,1262.53,1272.19,1050.27,1292.51,1123.16,1248.41,1361.66,1459.22
1910,1396.66,1550.32,1463.47,1468.63,1476.28,1249.45,1270.10,1068.31,1105.70,1506.45,1677.01
1911,1215.68,1309.83,1286.23,1258.19,1160.08,1047.11,1120.91,946.53,1041.83,1155.79,1614.33
1912,1009.09,1064.56,1053.94,995.42,933.30,760.92,962.67,876.32,925.86,909.59,1314.98
1913,1135.65,1221.96,1147.52,1116.72,1132.50,909.12,1109.04,969.31,1070.60,1125.55,1269.55
1914,1066.52,1149.72,1128.36,1098.51,1053.26,914.31,985.83,853.87,893.39,1107.46,1310.12
1915,1187.96,1202.58,1229.46,1092.06,1095.29,1018.28,1160.43,1012.43,1104.07,1247.76,1397.20
1916,1320.92,1490.69,1351.16,1526.17,1401.92,1241.03,1196.51,1003.47,1038.26,1320.36,1660.60
1917,1519.57,1731.10,1544.83,1647.43,1662.44,1415.00,1378.38,1121.59,1158.84,1708.17,1785.18
1918,1240.92,1373.89,1251.73,1319.16,1283.78,1126.74,1174.87,1065.20,1110.02,1229.85,1407.52
1919,1050.34,1127.67,1062.99,1128.06,1075.55,995.91,974.69,854.66,955.95,1055.57,1267.37
1920,999.70,1036.20,1008.63,1018.22,939.37,842.02,956.92,944.68,946.39,932.76,1255.69
1921,1302.78,1426.92,1331.83,1330.35,1359.43,1154.61,1245.61,1016.16,1062.82,1416.29,1452.70
1922,1141.14,1266.83,1154.57,1189.14,1160.24,978.25,1048.67,994.20,1046.58,1120.52,1395.72
1923,1150.12,1293.12,1205.95,1238.11,1106.79,936.49,1043.40,956.16,989.65,1072.90,1515.40
1924,1175.62,1247.86,1181.04,1188.54,1254.71,1131.31,1088.83,1000.73,1025.55,1299.24,1357.58
1925,1315.60,1414.63,1374.70,1315.91,1250.46,1120.45,1280.34,1070.95,1207.83,1253.24,1526.28
1926,1143.60,1219.53,1219.88,1149.47,1051.88,908.93,1090.05,812.41,1023.29,1094.78,1455.47
1927,1175.26,1232.41,1272.14,1146.47,1058.47,869.58,1127.02,1014.17,1131.20,1059.19,1440.05
