Variable:,pr
,Ireland,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Munster,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
1901,1040.64,975.89,989.22,1054.63,1127.89,1335.07,875.34,1033.54,1251.68,776.32,915.20,828.59,1172.32,1040.63,940.35,879.74,1166.58,806.79,920.52,920.52,789.68,981.87,1175.64,975.84,1022.20,827.44,1014.01,912.50
1902,989.21,956.57,910.41,1006.27,1097.81,1206.14,863.87,974.70,1210.00,773.00,894.43,810.76,1064.94,1005.99,864.42,835.75,1062.53,771.63,851.41,851.41,772.84,918.31,1060.01,950.36,997.99,782.87,988.99,897.94
1903,1329.61,1268.14,1195.82,1378.74,1491.31,1622.47,1108.43,1336.04,1649.14,988.65,1193.30,1082.97,1420.27,1368.43,1149.17,1060.38,1457.39,986.73,1115.30,1115.30,1033.99,1241.66,1430.77,1281.55,1341.11,1039.40,1303.17,1167.63
1904,1053.29,963.55,955.19,1114.98,1213.52,1321.80,836.30,1058.54,1347.70,759.49,906.92,818.77,1134.02,1089.73,899.21,826.62,1172.43,772.95,892.95,892.95,779.70,974.04,1137.34,986.77,1035.54,800.47,996.73,886.42
1905,932.49,840.87,872.65,967.45,1041.61,1225.09,752.87,939.84,1162.61,676.87,797.56,723.59,1038.59,941.74,811.50,740.51,1046.16,695.80,811.18,811.18,692.39,874.01,1038.49,861.12,900.25,718.46,878.60,788.55
1906,993.11,889.39,974.72,997.97,1043.37,1366.14,809.06,1001.50,1172.89,706.61,824.35,765.06,1179.01,967.31,922.92,827.77,1188.90,750.35,910.18,910.18,744.14,984.79,1196.31,886.05,909.93,797.07,915.19,835.67
1907,1068.31,990.96,1018.77,1093.73,1147.18,1418.29,856.08,1075.55,1282.67,779.31,927.15,852.57,1213.90,1070.26,964.29,887.98,1214.97,805.35,962.18,962.18,818.17,1031.88,1224.21,991.37,1022.99,851.39,999.92,901.30
1908,1045.82,966.48,1012.52,1055.97,1105.52,1384.58,877.05,1047.36,1233.52,778.95,902.09,830.25,1205.03,1034.41,967.31,884.01,1207.30,814.66,935.30,935.30,800.89,1016.70,1209.32,964.30,1001.15,847.00,980.92,900.65
1909,965.32,902.87,959.24,937.22,1000.29,1336.93,836.29,948.31,1109.90,718.87,837.01,770.46,1138.95,922.83,901.55,859.58,1122.15,768.32,909.16,909.16,740.36,943.89,1147.50,878.42,909.86,787.48,916.03,850.41
1910,1141.84,1072.94,1083.14,1165.20,1238.30,1430.56,960.39,1161.38,1370.76,850.70,993.24,920.00,1281.53,1136.12,1042.48,959.16,1286.19,880.89,1010.22,1010.22,891.34,1103.23,1281.89,1059.86,1097.89,924.98,1082.76,995.00
1911,1034.58,993.39,907.51,1089.04,1195.82,1231.52,865.63,1026.88,1313.31,768.32,933.13,836.67,1068.22,1085.91,880.32,811.44,1114.53,770.86,826.39,826.39,788.21,928.89,1065.35,1010.56,1066.19,793.25,1035.37,922.97
1912,1095.92,1012.85,1034.48,1125.77,1207.25,1409.93,910.48,1091.68,1335.97,806.37,947.66,869.54,1222.02,1102.62,987.27,920.23,1236.53,841.00,968.72,968.72,835.22,1038.19,1222.42,1016.87,1060.13,870.87,1044.56,941.06
1913,1146.98,1088.00,1049.53,1200.34,1290.00,1358.54,941.75,1153.84,1447.89,838.68,1010.60,911.25,1252.82,1185.51,1020.06,907.82,1279.95,852.60,953.92,953.92,858.68,1078.20,1257.77,1082.13,1125.68,897.08,1110.15,1002.07
1914,1140.77,1041.40,1038.65,1206.95,1311.73,1421.39,910.29,1149.90,1474.34,803.59,970.13,881.61,1254.30,1184.94,990.43,906.57,1282.79,821.56,964.23,964.23,839.92,1056.34,1268.18,1054.05,1097.63,871.23,1044.52,951.42
1915,1112.00,1070.67,1024.47,1159.58,1245.52,1318.09,925.78,1121.11,1398.74,817.61,988.38,898.88,1219.55,1137.16,984.33,911.52,1216.30,833.64,952.36,952.36,851.42,1043.53,1225.15,1035.31,1074.79,876.92,1092.87,984.58
1916,1262.47,1187.27,1239.22,1278.34,1325.51,1604.74,1042.73,1302.72,1497.03,945.47,1080.27,1008.18,1478.16,1234.89,1179.55,1081.44,1450.06,982.42,1152.48,1152.48,980.49,1238.56,1481.23,1136.00,1163.93,1035.34,1170.34,1090.70
1917,1008.58,909.27,1045.41,983.82,997.03,1472.55,841.92,1030.00,1120.42,759.34,838.68,789.09,1240.42,928.04,973.47,913.12,1205.33,813.38,982.86,982.86,775.77,1030.46,1236.70,866.36,890.66,840.50,921.39,857.09
1918,1183.21,1097.27,1088.13,1231.75,1318.94,1473.07,963.89,1196.42,1471.12,856.59,1027.60,932.90,1300.16,1216.24,1054.10,974.72,1330.76,881.89,997.26,997.26,890.93,1117.53,1311.14,1115.78,1160.71,928.69,1112.37,1002.84
1919,934.75,861.48,945.89,916.86,955.18,1298.93,815.11,936.50,1072.86,700.99,787.07,732.91,1125.02,889.84,890.89,833.86,1089.92,746.77,873.87,873.87,713.06,927.33,1118.60,824.47,849.68,769.81,876.32,822.73
1920,1227.33,1184.55,1138.14,1251.52,1361.96,1519.80,1049.79,1210.40,1508.66,913.23,1105.48,997.14,1337.51,1245.68,1085.68,1025.50,1334.13,937.29,1060.68,1060.68,939.32,1146.21,1332.78,1167.54,1216.76,967.26,1235.31,1104.78
1921,926.99,872.75,927.87,904.13,954.88,1304.97,784.09,915.16,1062.74,692.64,801.54,745.83,1105.91,883.31,878.27,817.93,1076.65,738.22,858.50,858.50,723.21,906.56,1107.84,837.12,863.77,767.29,850.70,798.74
1922,979.14,878.95,912.79,1024.57,1103.64,1282.25,776.02,978.00,1224.25,696.56,831.43,754.29,1083.07,1002.05,859.70,814.86,1099.73,731.95,853.29,853.29,721.25,910.22,1084.09,912.71,952.11,755.73,925.22,812.75
1923,1195.98,1076.40,1172.74,1200.39,1273.30,1684.65,964.26,1197.77,1421.61,854.30,1003.12,922.89,1403.46,1167.67,1092.91,1016.40,1398.47,908.53,1096.11,1096.11,892.27,1159.30,1411.63,1075.95,1116.42,950.68,1094.36,994.47
1924,1338.18,1277.87,1239.57,1384.72,1466.38,1618.26,1100.68,1345.97,1621.74,1014.29,1197.26,1090.49,1467.69,1361.99,1188.79,1098.81,1473.07,1027.04,1140.97,1140.97,1041.46,1270.89,1472.99,1280.54,1331.82,1066.99,1324.99,1177.14
1925,1067.39,1026.47,1003.42,1084.09,1177.51,1340.07,891.68,1059.18,1297.68,797.74,946.50,862.98,1190.60,1081.21,953.59,880.98,1171.50,812.42,926.92,926.92,823.29,999.21,1190.15,1011.40,1050.84,850.46,1039.35,943.90
1926,1040.19,962.15,1020.40,1030.79,1102.84,1454.07,852.01,1026.29,1226.45,763.66,891.27,820.74,1215.62,1019.59,956.21,882.69,1183.77,802.32,944.70,944.70,793.11,997.93,1216.54,951.93,985.41,838.41,989.82,892.03
1927,1185.43,1145.73,1109.30,1198.07,1289.34,1498.22,993.28,1185.01,1420.12,891.60,1065.06,971.17,1313.19,1187.73,1057.49,1000.41,1307.51,909.51,1036.42,1036.42,925.73,1121.42,1317.39,1123.99,1173.29,948.64,1166.87,1049.03
1928,1356.59,1261.15,1232.37,1422.17,1531.94,1728.54,1079.40,1348.84,1711.95,973.06,1199.80,1071.95,1471.69,1405.84,1166.17,1101.44,1491.53,988.03,1149.54,1149.54,1008.36,1251.88,1479.80,1294.73,1358.26,1033.94,1314.22,1146.75
