Variable:,pr
,Georgia,"Abkhazia Aut. Rep.","Adjara Aut. Rep.",Guria,Imereti,Kakheti,"Kvemo Kartli",Mtskheta-Mtianeti,"Racha-Lechkhumi and Kvemo (lower) Svaneti","Samergelo and Zemo (upper) Svaneti",Samtskhe-Javakheti,"Shida Kartli",Tbilisi
1901,1024.74,1367.46,1372.31,1414.37,1092.26,760.10,722.57,946.60,1032.93,1381.05,816.23,882.97,689.00
1902,1000.59,1312.27,1382.21,1429.84,1109.54,702.06,644.99,872.85,1095.02,1435.24,793.24,829.28,626.30
1903,951.80,1265.35,1210.66,1276.18,968.05,739.50,656.51,964.32,966.74,1276.20,727.15,812.84,619.80
1904,993.77,1207.87,1334.41,1321.13,1043.14,813.04,750.16,975.35,984.99,1259.20,806.73,883.22,722.60
1905,925.08,1298.11,1128.24,1184.61,930.65,750.01,651.71,902.11,943.17,1222.15,681.72,763.41,634.20
1906,979.45,1286.13,1278.44,1301.15,995.04,776.23,715.38,981.02,959.32,1270.71,763.03,854.98,684.00
1907,898.26,1174.15,1240.56,1277.53,972.39,668.86,621.99,845.94,907.72,1222.59,692.39,759.17,593.20
1908,866.42,1119.04,1155.93,1191.81,924.32,677.56,608.03,843.93,859.41,1144.50,667.67,755.41,583.20
1909,834.08,1110.99,1065.75,1110.22,847.59,666.59,643.13,789.85,807.99,1088.25,662.32,705.25,612.50
1910,814.09,1052.43,1028.04,1062.78,816.96,683.36,603.13,837.62,780.93,1017.44,644.99,712.59,570.60
1911,799.28,999.46,995.10,1033.09,802.49,719.42,566.45,842.81,775.59,1010.79,598.04,685.30,570.40
1912,988.98,1313.66,1346.86,1364.66,1058.35,721.54,703.99,959.36,994.74,1305.15,779.45,856.93,684.00
1913,824.15,1179.68,1154.62,1197.20,902.50,547.04,519.27,744.42,851.53,1169.94,622.22,687.80,478.60
1914,1020.08,1301.77,1249.36,1294.89,1013.97,866.27,715.79,1077.74,1049.60,1313.46,771.63,880.65,693.90
1915,1150.79,1506.00,1458.24,1505.45,1170.05,891.45,843.60,1159.36,1157.89,1496.54,919.39,1016.24,824.70
1916,791.43,1052.46,959.32,990.98,767.99,683.83,584.18,798.13,783.98,1021.68,593.67,676.31,557.50
1917,847.94,1188.89,1070.00,1142.38,901.21,600.63,551.82,811.47,910.61,1183.07,625.91,728.14,547.80
1918,804.16,930.41,970.01,997.17,796.32,751.50,620.54,875.37,775.91,969.80,628.85,725.85,606.20
1919,1061.37,1405.80,1365.76,1415.64,1119.08,789.11,743.79,1031.51,1109.10,1418.66,833.22,925.09,713.50
1920,1059.75,1166.27,1391.81,1409.06,1111.22,903.63,860.68,1067.17,1026.60,1297.87,915.95,970.40,806.60
1921,931.15,1219.04,1238.77,1284.87,994.47,736.57,636.49,908.81,933.37,1242.44,692.63,790.90,621.20
1922,1110.99,1366.62,1473.22,1513.52,1177.96,885.44,813.14,1101.11,1114.27,1439.31,889.68,971.86,786.20
1923,894.38,1185.90,1110.05,1165.32,925.04,702.01,639.71,886.84,903.94,1185.63,685.77,778.25,618.20
1924,843.60,1127.43,1120.07,1169.57,913.01,667.79,542.28,785.09,865.20,1149.52,623.49,710.26,527.80
1925,820.08,1169.15,1054.17,1078.54,866.27,609.03,529.08,788.93,862.85,1100.83,615.16,692.61,540.00
1926,977.25,1268.67,1221.77,1295.19,1028.12,767.36,659.03,972.27,1033.92,1322.81,738.57,832.38,635.40
1927,999.27,1339.14,1378.92,1431.55,1093.82,711.39,657.21,927.83,1028.00,1395.55,777.18,827.91,618.40
1928,904.73,1085.75,1223.92,1244.90,947.72,730.18,671.99,924.89,875.22,1168.77,728.74,790.60,638.00
1929,780.47,1016.94,978.86,1000.68,756.53,656.39,587.72,800.37,764.20,997.09,608.75,670.72,543.60
1930,910.36,1088.73,1181.39,1203.78,969.79,722.75,681.85,936.51,912.84,1147.34,739.22,839.77,649.60
1931,1089.42,1406.40,1395.82,1405.29,1114.03,850.98,807.32,1111.09,1095.95,1398.88,863.05,971.61,750.70
1932,916.47,1228.68,1112.93,1142.94,914.56,720.18,617.49,990.38,979.33,1212.40,666.16,792.90,610.40
