Variable:,pr
,Croatia,Bjelovar-bilogora,Dubrovnik-neretva,"Grad Zagreb",Istra,Karlovac,Koprivnica-krizevci,Krapina-zagorje,Lika-senj,Medimurje,Osijek-baranja,Pozega-slavonija,"Primorje-gorski Kota",Sibenik,Sisak-moslavina,"Slavonski Brod-posav",Split-dalmatija,Varazdin,Virovitica-podravina,Vukovar-srijem,Zadar-knin,Zagreb
1901,1135.65,864.82,1179.97,1128.17,1371.03,1488.33,820.55,1106.78,1505.45,881.28,695.46,897.87,1647.28,1179.11,1119.26,888.70,1153.83,951.86,776.77,742.67,1266.21,1109.13
1902,1124.08,933.82,1254.14,1041.99,1190.28,1440.57,864.28,1035.67,1477.13,902.02,735.04,946.20,1521.03,1179.78,1113.71,929.89,1203.24,955.61,854.45,761.99,1220.33,1039.76
1903,1110.02,962.28,998.84,1140.16,1302.73,1492.67,933.13,1153.38,1445.89,990.64,710.52,921.97,1605.57,1024.36,1118.11,895.96,976.20,1050.09,859.61,704.49,1131.25,1132.94
1904,1062.41,896.81,995.76,1060.54,1214.21,1385.05,906.27,1108.43,1442.06,964.40,650.36,846.03,1482.88,1054.06,1063.85,826.07,978.02,1010.97,783.39,634.18,1179.04,1054.05
1905,1267.45,1014.27,1169.92,1206.26,1582.97,1711.61,977.59,1224.36,1762.14,1050.52,755.78,999.95,1947.57,1238.80,1232.81,971.98,1162.11,1122.81,910.88,740.20,1415.69,1200.46
1906,1211.65,1069.53,1139.71,1146.69,1371.39,1558.12,984.08,1155.26,1594.67,1012.92,835.69,1074.00,1693.91,1133.59,1210.08,1053.40,1107.61,1061.80,986.97,830.93,1277.97,1147.10
1907,1002.29,705.39,1074.08,881.83,1270.21,1335.20,708.88,930.87,1463.88,764.61,532.51,701.66,1544.60,1144.18,898.93,691.10,1078.60,809.89,635.34,550.37,1234.31,876.23
1908,961.75,806.10,1075.30,890.64,948.97,1201.93,723.19,890.53,1285.70,754.50,614.75,822.01,1233.88,1061.79,942.74,805.85,1049.32,808.88,732.57,627.57,1115.59,887.13
1909,1160.96,930.87,1273.52,1060.70,1284.32,1442.73,818.03,1026.69,1529.80,843.69,741.48,979.13,1573.19,1291.27,1150.69,968.84,1274.92,905.04,847.73,780.60,1331.17,1057.02
1910,1405.20,1113.03,1463.01,1298.22,1665.66,1809.14,1033.58,1320.05,1907.95,1085.56,845.09,1102.68,2061.66,1515.98,1349.47,1085.38,1472.62,1162.74,991.04,877.99,1604.27,1289.61
1911,932.46,728.64,973.12,861.36,1165.13,1149.32,689.09,838.32,1207.36,713.33,627.90,814.07,1342.79,966.72,892.90,808.25,956.52,747.36,703.09,653.00,1032.51,852.41
1912,1204.80,1008.54,1108.87,1166.76,1348.51,1591.90,933.95,1178.71,1593.37,980.59,804.76,1050.85,1655.72,1161.99,1250.84,1030.35,1098.70,1044.63,925.64,837.93,1271.87,1161.20
1913,1094.69,886.79,998.83,1016.73,1251.56,1425.65,836.90,1010.82,1470.52,882.36,740.03,927.72,1532.44,1085.93,1106.50,920.58,1024.53,928.69,819.99,799.83,1197.95,1013.75
1914,1109.10,878.22,1132.82,1037.37,1347.04,1378.72,852.24,1045.06,1466.47,897.84,719.53,904.22,1568.93,1188.64,1053.14,890.49,1142.45,943.94,813.89,750.23,1263.95,1028.77
1915,1569.78,1255.09,1732.27,1450.52,1691.96,1951.30,1137.77,1398.00,2091.87,1192.32,1010.52,1327.83,2108.01,1726.49,1528.89,1311.50,1711.62,1273.63,1171.71,1046.41,1804.97,1438.08
1916,1263.80,922.70,1229.63,1164.60,1680.03,1688.87,912.28,1190.25,1782.55,975.41,699.26,928.40,2002.88,1331.22,1192.01,912.46,1268.00,1034.10,817.12,721.36,1477.55,1152.59
1917,1142.25,898.22,1073.37,1158.75,1333.82,1604.15,853.85,1158.19,1598.86,924.02,619.21,868.81,1723.78,1141.61,1179.45,845.68,1063.81,1005.04,768.25,613.69,1242.36,1141.31
1918,1003.16,847.89,933.00,956.89,1281.05,1254.23,852.57,1035.30,1300.47,903.78,641.85,848.22,1480.14,984.47,952.44,828.94,945.99,943.36,779.02,627.98,1103.71,953.59
1919,1323.15,1122.54,1281.31,1283.85,1601.80,1723.56,1007.80,1256.17,1703.70,1043.73,892.04,1179.71,1987.28,1219.35,1284.27,1162.42,1225.68,1119.70,1045.00,923.97,1378.72,1274.34
1920,946.30,771.43,1037.02,824.12,999.60,1130.64,711.04,892.84,1299.81,740.34,597.99,763.83,1221.03,1126.25,861.19,749.80,1101.98,790.48,704.09,609.62,1159.76,827.84
1921,819.94,679.28,868.26,758.86,793.25,1067.13,626.69,760.45,1081.86,654.73,562.05,718.10,1040.76,851.34,867.99,711.77,819.73,692.65,627.28,610.55,883.83,760.07
1922,1169.45,962.16,1199.94,1118.17,1259.34,1562.34,889.02,1110.74,1569.66,937.76,745.29,964.21,1606.74,1194.09,1177.84,946.23,1164.32,1003.08,876.45,767.70,1267.30,1111.42
1923,1227.13,961.39,1269.22,1154.30,1295.51,1637.18,937.75,1184.84,1721.28,994.76,694.27,937.17,1652.75,1387.69,1219.78,917.50,1294.03,1054.83,848.75,680.13,1444.58,1148.38
1924,1065.15,820.57,1166.16,961.31,1225.95,1337.47,727.87,927.31,1452.47,756.40,687.22,870.19,1484.55,1177.95,1009.54,860.15,1155.26,811.67,765.77,742.08,1244.64,954.04
1925,1302.93,1104.40,1277.17,1289.23,1377.68,1736.98,987.83,1239.87,1701.59,1032.14,864.14,1135.30,1750.91,1271.91,1365.99,1115.90,1245.76,1106.30,1012.45,893.14,1358.02,1279.10
1926,1310.06,1067.47,1187.63,1301.99,1569.15,1758.09,1017.07,1317.80,1755.20,1089.78,797.65,1062.68,1948.40,1273.26,1317.97,1042.58,1230.97,1171.74,947.04,823.46,1388.33,1291.04
1927,1002.35,819.79,1126.68,924.03,1156.90,1224.15,779.20,989.30,1272.32,818.78,694.07,860.14,1378.07,1043.17,934.33,852.61,1075.06,864.29,763.21,746.81,1079.17,920.13
1928,1068.69,852.85,1027.64,1002.83,1393.00,1401.12,813.39,1032.16,1482.19,872.99,592.91,806.30,1666.64,1111.23,1014.05,778.82,1055.32,935.66,744.15,569.63,1237.09,996.63
1929,1001.42,834.81,1113.18,933.48,1049.10,1221.52,784.05,958.84,1299.91,826.60,671.32,852.81,1309.93,1064.58,988.77,842.46,1069.87,872.93,769.49,706.40,1125.36,929.48
1930,1249.55,976.47,1162.32,1196.75,1593.61,1715.30,983.23,1218.85,1753.79,1055.58,682.53,922.46,1957.25,1258.60,1225.99,895.13,1191.91,1117.19,851.05,660.00,1401.32,1187.99
1931,1049.38,835.79,1104.06,944.61,1228.83,1383.70,778.56,966.99,1438.88,814.11,661.06,837.54,1510.09,1107.46,998.58,826.33,1074.53,861.09,771.81,689.97,1161.64,943.83
1932,1050.62,785.04,1036.86,882.47,1333.50,1339.83,677.90,858.35,1484.47,699.40,672.82,850.50,1623.36,1137.93,957.56,840.62,1073.11,755.18,752.71,737.77,1259.43,880.97
1933,1268.36,1045.05,1209.53,1279.10,1587.62,1704.79,1008.03,1282.52,1687.44,1075.70,750.60,981.91,1961.31,1235.38,1239.18,952.62,1187.46,1148.22,918.88,755.68,1331.48,1261.58
1934,1134.74,894.92,1083.46,1086.11,1447.56,1534.53,821.99,1082.33,1555.22,868.50,684.33,879.89,1762.98,1122.61,1092.85,863.48,1093.90,932.15,806.16,716.69,1226.77,1078.26
1935,999.27,812.42,1015.77,984.98,1214.44,1284.85,811.29,997.14,1331.11,857.95,599.16,783.00,1454.80,1024.35,963.06,766.86,997.23,900.20,717.67,601.78,1106.78,973.10
1936,1137.63,969.80,1155.38,1095.88,1285.75,1429.56,908.26,1116.03,1480.09,950.46,750.76,965.90,1565.43,1150.15,1117.81,947.91,1148.85,1008.51,884.20,765.61,1213.09,1090.84
1937,1595.22,1329.85,1513.76,1566.71,1882.97,2080.81,1242.39,1544.76,2124.23,1305.32,985.49,1322.99,2269.97,1592.38,1591.66,1292.96,1547.71,1391.62,1192.04,996.57,1746.13,1551.67
1938,918.55,769.91,873.17,874.53,1065.80,1139.69,728.98,907.10,1204.02,772.43,635.69,806.11,1276.11,908.02,888.12,793.04,868.03,820.08,726.86,658.20,1016.42,867.72
1939,1101.24,844.33,1223.38,1004.94,1201.65,1361.06,792.87,1002.17,1502.03,841.42,685.08,885.48,1476.20,1269.34,1052.27,869.32,1227.93,899.19,781.89,718.14,1339.01,995.17
1940,1321.44,1164.29,1276.00,1219.18,1371.47,1687.60,1040.41,1235.59,1758.12,1083.69,900.52,1163.71,1742.44,1330.47,1354.74,1143.91,1274.49,1156.80,1062.92,918.10,1431.43,1226.39
1941,1187.46,945.00,1279.26,1070.32,1378.21,1529.08,868.27,1065.95,1591.53,898.07,766.05,975.17,1714.51,1245.99,1124.51,958.77,1249.04,946.86,873.95,834.19,1325.21,1064.98
