Variable:,pr
,Guam,"Administrative unit not available"
1901,7691.77,7691.72
1902,7691.77,7691.72
1903,7691.77,7691.72
1904,7691.77,7691.72
1905,8177.34,8177.29
1906,5110.78,5110.81
1907,6741.17,6741.15
1908,6467.82,6467.78
1909,7954.71,7954.70
1910,6582.70,6582.67
1911,9106.78,9106.70
1912,7105.39,7105.47
1913,7149.64,7149.72
1914,7346.62,7346.65
1915,7316.19,7316.21
1916,9983.19,9983.21
1917,8429.08,8429.15
1918,6835.36,6835.26
1919,7293.95,7294.06
1920,8141.34,8141.35
1921,7180.16,7180.15
1922,7352.17,7352.18
1923,7768.97,7768.88
1924,7726.38,7726.43
1925,7611.62,7611.65
1926,5175.59,5175.61
1927,7554.55,7554.52
1928,9208.23,9208.22
1929,7696.71,7696.69
1930,6887.48,6887.49
1931,7473.03,7473.09
1932,5424.49,5424.48
1933,8185.34,8185.34
1934,8537.15,8537.12
1935,9204.31,9204.09
1936,5109.95,5109.97
1937,5741.70,5741.73
1938,8803.08,8803.12
1939,7129.05,7129.07
1940,6047.42,6047.45
1941,7691.77,7691.72
1942,7691.77,7691.72
1943,7691.77,7691.72
1944,7691.77,7691.72
1945,7274.53,7274.47
1946,7441.56,7441.55
1947,7358.78,7358.73
1948,7251.95,7251.90
1949,5345.15,5345.14
1950,7742.97,7743.01
1951,6699.31,6699.22
1952,6443.75,6443.78
1953,8530.69,8530.72
1954,6442.88,6442.92
1955,6266.78,6266.73
1956,6051.95,6051.80
1957,6234.19,6233.77
1958,6425.97,6425.66
1959,5676.69,5676.64
1960,6328.46,6328.57
1961,7579.18,7579.13
1962,9505.71,9505.59
1963,10262.97,10262.91
1964,7864.11,7863.90
1965,5848.68,5848.66
1966,5812.51,5812.61
1967,9487.53,9487.50
1968,7408.24,7408.24
1969,6542.05,6542.03
1970,6035.82,6035.61
1971,9011.94,9011.69
1972,7310.84,7310.57
1973,5393.25,5393.51
1974,9237.96,9237.70
1975,6969.71,6969.84
1976,9971.58,9971.84
1977,6221.01,6220.90
1978,7321.39,7321.51
1979,7194.66,7194.58
1980,9036.24,9036.28
1981,8518.55,8518.43
1982,8146.86,8146.88
1983,5009.43,5009.37
1984,7523.85,7523.77
1985,9017.00,9017.00
1986,9460.68,9460.63
1987,6176.54,6176.36
1988,6188.91,6188.92
1989,8199.92,8199.87
1990,8816.23,8816.04
1991,7736.10,7736.03
1992,7839.81,7839.72
1993,5527.11,5527.00
1994,6689.05,6689.00
1995,6805.08,6805.15
1996,8267.18,8267.07
1997,8946.81,8946.76
1998,4460.96,4461.10
1999,6302.04,6302.52
2000,6444.28,6444.77
2001,8027.89,8028.10
2002,7228.43,7228.86
2003,8973.86,8973.85
2004,6943.89,6943.84
2005,7473.60,7473.58
2006,7691.77,7691.72
2007,7240.15,7240.19
2008,5887.63,5887.56
2009,7730.16,7730.18
2010,6509.64,6509.61
2011,9643.44,9643.30
2012,8404.11,8404.10
2013,7709.87,7709.88
2014,8847.06,8846.87
2015,8740.61,8740.58
2016,8096.38,8096.42
2017,8155.21,8155.09
2018,9231.18,9231.21
2019,7872.45,7872.48
2020,7574.91,7574.90
