Variable:,pr
,Poland,Dolnoslaskie,Kujawsko-Pomorskie,Lodzkie,Lubeiskie,Lubuskie,Malopolske,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Slaskie,Swietokrzyskie,Warminsko-Mazurskie,Wielkopolskie,Zachodnio-Pomorskie
1901,594.64,615.14,511.68,541.03,566.75,493.98,854.72,532.41,622.49,729.23,578.47,590.28,759.64,657.48,644.64,485.72,559.93
1902,602.45,630.51,512.55,552.64,575.81,530.35,892.31,532.48,637.01,750.13,571.52,571.88,796.63,669.68,616.00,505.70,561.69
1903,655.14,739.86,588.19,603.87,591.28,589.21,896.45,568.09,766.01,693.66,626.95,653.60,908.23,689.24,688.14,570.28,619.47
1904,533.02,591.22,493.05,480.70,439.21,512.42,652.69,469.14,576.36,532.65,517.31,597.48,669.04,499.64,610.08,477.18,564.70
1905,649.01,655.27,617.48,597.80,600.19,584.42,834.83,578.83,656.19,733.44,612.24,696.47,785.43,671.66,681.46,585.52,669.29
1906,639.17,711.12,553.52,596.29,590.10,558.01,911.59,563.72,725.62,743.71,595.64,624.74,848.83,666.45,654.56,549.63,610.25
1907,604.97,678.41,563.95,586.32,524.84,573.69,788.45,543.10,668.14,620.36,542.59,615.63,788.18,643.24,642.34,548.10,583.81
1908,600.34,590.98,545.68,583.44,584.32,511.61,781.69,557.05,621.44,716.46,559.12,613.39,738.48,656.20,632.42,518.45,571.93
1909,607.86,742.66,526.05,593.42,530.16,589.75,863.75,508.65,748.19,674.95,487.61,585.21,869.62,658.30,551.36,554.05,608.04
1910,646.14,777.46,556.44,596.59,561.38,601.99,897.16,539.77,800.89,688.81,573.44,651.90,919.26,655.91,638.78,565.92,667.32
1911,534.13,574.99,500.77,509.52,490.92,493.90,697.25,471.57,570.66,595.79,453.82,569.21,675.19,555.99,555.21,477.03,541.13
1912,684.83,730.95,578.75,625.47,682.94,594.81,997.47,599.93,770.02,850.61,637.41,655.17,929.45,755.95,688.04,560.94,632.16
1913,649.63,662.43,589.41,617.85,629.49,544.06,871.51,602.81,681.92,769.91,605.11,654.45,806.96,695.87,728.25,552.37,576.66
1914,599.37,658.27,554.82,539.04,509.56,575.21,845.47,502.54,641.58,657.35,520.79,643.27,779.78,586.83,639.98,546.16,630.06
1915,645.94,772.43,567.02,601.58,556.65,612.25,984.41,533.44,764.60,759.09,539.55,618.81,918.28,686.12,618.80,576.33,614.34
1916,673.18,750.58,602.47,604.65,599.92,612.59,896.75,580.80,747.81,745.16,644.99,703.95,885.16,684.61,722.03,577.72,682.01
1917,551.81,581.79,510.18,530.96,490.11,503.30,660.11,506.26,564.55,566.31,559.95,577.44,662.02,567.79,626.91,491.21,552.53
1918,608.61,683.64,533.30,580.52,564.37,554.68,870.15,526.42,696.27,702.00,527.22,572.80,844.50,661.28,585.23,539.56,598.86
1919,652.58,742.99,590.07,609.17,610.69,586.41,873.31,581.44,746.59,733.51,578.09,657.81,865.99,697.39,667.30,562.34,617.06
1920,587.99,689.18,512.92,542.04,509.33,575.17,865.24,484.64,678.96,678.93,494.06,569.48,817.00,624.25,564.95,525.66,605.37
1921,517.30,532.89,487.57,453.43,466.71,503.59,613.21,459.62,495.93,553.34,520.13,560.18,583.09,503.49,589.55,468.92,565.77
1922,619.55,726.14,532.57,541.12,592.53,594.60,856.59,504.22,686.58,783.80,553.86,605.59,791.59,641.15,591.58,550.41,637.66
1923,606.76,657.59,569.85,553.29,515.16,557.44,753.80,544.12,639.47,620.33,601.02,669.78,750.27,585.60,702.21,533.13,615.87
1924,596.86,603.89,547.83,559.83,519.16,529.72,800.86,559.68,606.30,625.09,612.05,625.83,733.79,615.49,683.29,514.06,572.94
1925,687.17,759.28,620.00,643.29,594.08,594.35,975.71,589.72,789.58,788.10,612.20,718.21,933.57,733.01,721.09,593.96,668.36
1926,696.60,798.08,642.91,637.16,592.72,683.30,942.79,591.97,767.19,750.24,610.62,721.23,905.09,716.33,710.34,642.36,726.33
1927,687.85,741.83,675.50,642.85,551.19,685.39,870.52,590.31,695.64,705.13,596.30,774.78,836.53,695.69,733.19,652.07,772.25
1928,570.06,640.30,543.75,528.91,458.69,529.55,666.70,505.96,618.98,557.91,556.89,649.63,700.30,542.76,659.72,510.73,601.45
1929,545.10,600.35,472.04,517.51,510.03,468.96,745.07,503.71,606.77,623.66,539.49,519.42,701.22,576.15,591.43,456.03,487.54
1930,672.10,707.59,611.74,620.93,591.14,602.85,896.65,606.45,709.46,714.03,663.45,689.02,871.68,689.14,729.12,589.05,681.40
1931,662.28,716.26,635.20,624.21,565.98,639.64,844.74,577.08,697.89,698.11,586.06,712.01,823.08,682.03,680.07,618.51,715.92
1932,551.37,549.57,511.49,494.21,510.20,484.42,664.88,518.63,533.75,581.08,595.98,591.42,611.92,540.68,666.27,475.68,550.62
1933,595.15,559.02,512.95,525.86,606.97,466.24,825.73,555.42,588.89,750.38,621.24,597.45,727.83,631.46,670.46,472.45,560.49
1934,586.88,625.57,542.46,572.63,520.97,526.46,775.78,528.80,633.38,636.64,532.75,617.52,735.63,624.92,606.71,522.63,594.21
1935,634.18,654.58,576.02,583.32,569.71,566.37,811.18,581.11,649.37,661.30,651.01,665.38,782.18,651.94,696.26,552.50,658.09
1936,639.89,647.38,551.96,593.54,619.06,519.47,943.37,586.05,687.91,778.34,618.50,626.12,844.70,708.94,679.94,519.33,578.39
1937,646.57,743.21,589.09,611.82,529.89,591.42,936.18,560.04,759.62,663.72,555.71,665.69,920.01,652.60,659.92,579.02,655.50
1938,639.53,740.29,566.26,615.77,577.99,592.66,872.97,567.76,736.56,737.51,557.35,611.15,844.89,689.79,649.46,565.80,594.60
1939,683.97,866.67,626.41,635.90,546.07,717.22,933.38,563.83,815.38,683.23,564.79,689.23,924.47,673.39,648.69,658.32,738.54
1940,651.41,701.62,564.69,595.39,595.80,577.86,942.66,588.55,699.78,769.18,625.10,637.92,841.34,681.90,708.10,549.15,597.19
1941,695.61,866.78,602.64,675.26,656.13,677.90,969.14,579.56,833.96,859.01,559.79,611.02,960.49,788.32,623.42,635.86,633.54
1942,533.96,582.21,510.72,484.21,441.22,502.07,691.33,458.59,570.78,554.14,477.45,605.48,664.73,514.38,570.96,493.67,592.56
1943,526.34,484.62,471.54,468.91,503.08,417.37,664.74,508.51,524.99,570.32,596.77,559.71,648.16,525.73,637.03,420.23,509.10
1944,597.36,728.82,527.30,534.72,505.68,585.70,858.54,492.04,709.60,664.47,536.76,590.73,839.21,596.99,589.70,531.84,593.06
1945,680.39,744.12,632.54,650.42,607.14,624.75,820.96,632.56,721.60,675.53,688.21,703.65,819.75,705.47,755.79,607.12,661.78
1946,612.17,723.85,601.31,585.55,470.84,604.72,723.13,537.83,707.80,535.01,547.05,695.77,781.08,570.38,657.18,582.50,670.67
1947,574.25,610.06,530.67,548.25,528.46,527.64,679.40,528.62,588.45,632.43,568.96,578.70,683.23,589.14,628.70,519.76,566.37
1948,643.84,651.21,593.00,595.89,604.23,560.74,827.51,619.70,636.34,689.95,666.34,649.33,770.40,679.45,733.13,548.46,604.46
1949,601.87,621.91,552.67,570.25,532.42,521.12,781.61,553.75,639.66,658.00,579.71,638.61,743.17,626.10,680.51,515.08,594.48
1950,635.64,681.65,572.26,549.22,544.23,584.09,754.33,590.35,653.69,621.33,711.14,683.45,750.19,592.07,788.47,542.28,651.04
1951,497.94,537.47,419.55,449.88,461.44,467.75,726.39,419.75,564.43,599.43,455.27,486.62,671.64,537.68,470.10,427.90,529.83
1952,656.07,674.79,567.92,602.68,633.80,547.75,873.67,611.63,687.56,758.38,679.02,660.11,825.89,714.96,715.35,535.49,612.97
1953,494.02,494.38,467.03,464.22,462.26,448.90,702.94,424.13,502.84,613.66,404.05,509.12,633.48,557.40,497.00,441.37,493.27
1954,565.34,633.41,486.63,516.56,523.98,572.93,683.23,491.27,597.84,603.19,570.84,576.82,674.16,559.84,626.28,487.58,601.21
1955,590.10,667.14,475.64,533.47,585.56,583.05,822.71,504.98,651.95,754.71,530.03,545.99,775.74,637.94,563.45,503.42,581.52
1956,611.74,706.34,558.19,560.14,551.15,616.51,669.57,561.85,659.50,544.33,640.46,659.98,692.26,561.27,685.89,555.94,652.96
1957,599.00,650.53,568.23,566.08,513.25,551.41,713.38,545.52,627.20,592.66,618.48,635.52,708.38,568.92,703.22,547.25,589.27
