Variable:,pr
,"Trinidad and Tobago",Arima,Chaguanas,Couva/Tabaquite/Talparo,"Diego Martin",Penal/Debe,"Point Fortin","Port Of Spain","Princes Town","Rio Claro/Mayaro","San Fernando","San Juan/Laventille","Sangre Grande",Siparia,Tobago,Tunapuna/Piarco
1901,1817.85,1775.00,1776.94,1832.46,1484.51,1840.94,1428.00,1504.17,1848.00,1848.00,1847.99,1765.17,1781.88,1438.54,1724.00,1775.00
1902,1819.21,1778.30,1780.16,1833.17,1486.01,1840.94,1428.00,1505.79,1848.00,1848.00,1847.99,1768.41,1784.87,1438.54,1758.00,1778.30
1903,1818.55,1776.70,1778.60,1832.83,1485.21,1840.94,1428.00,1504.94,1848.00,1848.00,1847.99,1766.84,1783.42,1438.54,1738.50,1776.70
1904,1816.61,1772.00,1774.02,1831.83,1483.11,1840.94,1428.00,1502.66,1848.00,1848.00,1847.99,1762.22,1779.16,1438.54,1694.60,1772.00
1905,1817.07,1773.10,1775.09,1832.06,1483.51,1840.94,1428.00,1503.11,1848.00,1848.00,1847.99,1763.30,1780.16,1438.54,1699.80,1773.10
1906,1817.97,1775.30,1777.24,1832.53,1484.51,1840.94,1428.00,1504.19,1848.00,1848.00,1847.99,1765.46,1782.15,1438.54,1721.30,1775.30
1907,1816.32,1771.30,1773.34,1831.68,1482.91,1840.94,1428.00,1502.42,1848.00,1848.00,1847.99,1761.54,1778.53,1438.54,1683.10,1771.30
1908,1816.32,1771.30,1773.34,1831.68,1483.11,1840.94,1428.00,1502.61,1848.00,1848.00,1847.99,1761.55,1778.53,1438.54,1682.30,1771.30
1909,1817.85,1775.00,1776.94,1832.46,1484.51,1840.94,1428.00,1504.17,1848.00,1848.00,1847.99,1765.17,1781.88,1438.54,1724.00,1775.00
1910,1817.31,1773.70,1775.68,1832.19,1483.91,1840.94,1428.00,1503.52,1848.00,1848.00,1847.99,1763.89,1780.70,1438.54,1711.80,1773.70
1911,1817.85,1775.00,1776.94,1832.46,1484.51,1840.94,1428.00,1504.17,1848.00,1848.00,1847.99,1765.17,1781.88,1438.54,1724.00,1775.00
1912,1817.85,1775.00,1776.94,1832.46,1484.51,1840.94,1428.00,1504.17,1848.00,1848.00,1847.99,1765.17,1781.88,1438.54,1724.00,1775.00
1913,1817.85,1775.00,1776.94,1832.46,1484.51,1840.94,1428.00,1504.17,1848.00,1848.00,1847.99,1765.17,1781.88,1438.54,1724.00,1775.00
1914,1817.85,1775.00,1776.94,1832.46,1484.51,1840.94,1428.00,1504.17,1848.00,1848.00,1847.99,1765.17,1781.88,1438.54,1724.00,1775.00
1915,1817.85,1775.00,1776.94,1832.46,1484.51,1840.94,1428.00,1504.17,1848.00,1848.00,1847.99,1765.17,1781.88,1438.54,1724.00,1775.00
1916,1817.85,1775.00,1776.94,1832.46,1484.51,1840.94,1428.00,1504.17,1848.00,1848.00,1847.99,1765.17,1781.88,1438.54,1724.00,1775.00
1917,1817.85,1775.00,1776.94,1832.46,1484.51,1840.94,1428.00,1504.17,1848.00,1848.00,1847.99,1765.17,1781.88,1438.54,1724.00,1775.00
1918,1817.85,1775.00,1776.94,1832.46,1484.51,1840.94,1428.00,1504.17,1848.00,1848.00,1847.99,1765.17,1781.88,1438.54,1724.00,1775.00
1919,1817.85,1775.00,1776.94,1832.46,1484.51,1840.94,1428.00,1504.17,1848.00,1848.00,1847.99,1765.17,1781.88,1438.54,1724.00,1775.00
1920,1817.85,1775.00,1776.94,1832.46,1484.51,1840.94,1428.00,1504.17,1848.00,1848.00,1847.99,1765.17,1781.88,1438.54,1724.00,1775.00
1921,2079.89,2059.40,2060.33,2086.87,1686.25,2085.78,1587.70,1711.51,2094.30,2094.30,2094.29,2046.77,2062.69,1600.42,1919.90,2059.40
1922,1576.34,1542.00,1543.56,1588.05,1318.89,1594.95,1270.40,1333.99,1600.50,1600.50,1600.49,1534.45,1547.51,1278.69,1572.00,1542.00
1923,1806.82,1800.60,1800.88,1808.94,1495.54,1804.12,1389.80,1516.18,1811.20,1811.20,1811.19,1790.28,1801.60,1400.38,1752.80,1800.60
1924,1372.14,1351.60,1352.53,1379.15,1073.69,1380.67,1033.70,1092.50,1386.60,1386.60,1386.59,1342.19,1354.90,1042.56,1454.70,1351.60
1925,1434.88,1406.00,1407.31,1444.73,1140.77,1449.36,1108.10,1158.72,1455.20,1455.20,1455.19,1397.02,1410.64,1116.81,1487.40,1406.00
