Variable:,pr
,Nauru,"Administrative unit not available"
1901,2382.00,2382.00
1902,2382.00,2382.00
1903,2382.00,2382.00
1904,2382.00,2382.00
1905,3292.70,3292.70
1906,2109.10,2109.10
1907,2235.10,2235.10
1908,2108.70,2108.70
1909,1765.20,1765.20
1910,1866.50,1866.50
1911,3228.50,3228.50
1912,2990.30,2990.30
1913,2386.30,2386.30
1914,3326.60,3326.60
1915,2379.50,2379.50
1916,1675.40,1675.40
1917,1702.30,1702.30
1918,2806.50,2806.50
1919,3590.50,3590.50
1920,2392.20,2392.20
1921,2043.60,2043.60
1922,2130.30,2130.30
1923,2706.20,2706.20
1924,2070.10,2070.10
1925,2153.40,2153.40
1926,2663.00,2663.00
1927,1992.00,1992.00
1928,1975.80,1975.80
1929,2544.20,2544.20
1930,3031.20,3031.20
1931,2466.40,2466.40
1932,1842.30,1842.30
1933,1823.10,1823.10
1934,1125.00,1125.00
1935,2172.60,2172.60
1936,2379.10,2379.10
1937,1635.20,1635.20
1938,995.00,995.00
1939,2289.60,2289.60
1940,3272.90,3272.90
1941,2989.40,2989.40
1942,2382.00,2382.00
1943,2382.00,2382.00
1944,1530.20,1530.20
1945,1396.00,1396.00
1946,3721.90,3721.90
1947,1270.40,1270.40
1948,3968.30,3968.30
1949,1787.70,1787.70
1950,1373.90,1373.90
1951,2899.80,2899.80
1952,1987.10,1987.10
1953,3254.90,3254.90
1954,885.00,885.00
1955,979.80,979.80
1956,891.80,891.80
1957,2988.20,2988.20
1958,3149.00,3149.00
1959,2072.10,2072.10
1960,1644.20,1644.20
1961,2308.30,2308.30
1962,961.40,961.40
1963,1984.20,1984.20
1964,1624.20,1624.20
1965,3535.10,3535.10
1966,2833.40,2833.40
1967,1404.40,1404.40
1968,1550.80,1550.80
1969,2679.80,2679.80
1970,936.40,936.40
1971,1187.50,1187.50
1972,3832.50,3832.50
1973,1914.50,1914.50
1974,1370.70,1370.70
1975,1743.20,1743.20
1976,3200.20,3200.20
1977,3844.10,3844.10
1978,2218.90,2218.90
1979,3104.60,3104.60
1980,2924.40,2924.40
1981,2627.50,2627.50
1982,3414.50,3414.50
1983,1941.80,1941.80
1984,1201.50,1201.50
1985,1505.90,1505.90
1986,3471.10,3471.10
1987,5435.30,5435.30
1988,2015.20,2015.20
1989,1911.80,1911.80
1990,2834.20,2834.20
1991,2538.70,2538.70
1992,3093.30,3093.30
1993,3285.30,3285.30
1994,3197.60,3197.60
1995,2047.80,2047.80
1996,1730.10,1730.10
1997,2795.50,2795.50
1998,1962.10,1962.10
1999,2382.00,2382.00
2000,2382.00,2382.00
2001,2382.00,2382.00
2002,2382.00,2382.00
2003,2382.00,2382.00
2004,2382.00,2382.00
2005,2382.00,2382.00
2006,2382.00,2382.00
2007,2382.00,2382.00
2008,2382.00,2382.00
2009,2382.00,2382.00
2010,2382.00,2382.00
2011,2382.00,2382.00
2012,2382.00,2382.00
2013,2382.00,2382.00
2014,2382.00,2382.00
2015,2382.00,2382.00
2016,2382.00,2382.00
2017,2382.00,2382.00
2018,2382.00,2382.00
2019,2382.00,2382.00
2020,2382.00,2382.00
