Variable:,pr
,Uzbekistan,Andijan,Bukhara,Fergana,Karakalpakstan,Kashkadarya,Khorezm,Namangan,Samarkand,Surkhandarya,Sirdarya,Tashkent,Jizzakh,Navoiy,"Tashkent city"
1901,179.19,390.11,99.68,377.40,122.98,197.46,94.52,489.27,223.24,251.08,329.95,523.92,320.58,147.48,423.50
1902,215.21,502.29,140.76,512.72,128.70,278.99,118.43,613.37,304.67,343.24,445.06,668.61,415.17,155.76,554.50
1903,178.85,328.61,127.27,341.90,99.10,291.00,78.24,385.91,295.94,379.07,340.01,430.86,361.89,133.57,351.90
1904,173.26,317.39,115.34,326.43,102.61,268.22,78.46,372.92,273.29,352.02,319.43,418.47,342.57,132.42,349.00
1905,168.79,295.89,118.50,313.05,125.11,195.61,117.26,372.58,214.66,242.54,295.99,422.69,289.75,136.15,340.50
1906,200.21,282.47,156.61,309.53,127.83,305.51,118.88,348.47,318.84,374.93,335.52,411.11,361.98,166.58,357.70
1907,215.75,391.41,163.73,377.79,119.43,370.71,97.37,465.26,366.20,455.36,382.34,518.39,415.59,159.37,422.50
1908,193.21,359.78,125.36,386.77,98.00,311.43,60.48,454.20,328.90,399.30,431.77,546.01,437.75,137.16,479.10
1909,144.02,243.20,100.49,249.05,91.47,226.05,45.25,279.26,223.28,282.94,250.93,319.90,268.84,113.62,271.20
1910,155.38,341.54,89.25,364.21,83.55,237.83,29.18,417.86,244.44,319.52,322.74,455.99,320.68,111.04,384.10
1911,204.12,331.78,156.53,371.83,108.98,326.72,80.22,438.40,352.44,379.75,417.07,519.87,423.04,158.87,452.80
1912,160.32,299.26,99.82,323.06,85.16,279.44,41.10,382.06,268.22,370.90,307.90,431.47,317.55,112.37,344.80
1913,185.26,279.31,153.14,310.17,94.03,314.24,82.09,364.34,329.10,365.08,346.70,445.18,369.11,150.35,401.30
1914,203.77,326.95,155.55,350.13,118.26,317.82,103.52,421.89,333.35,382.97,339.38,498.90,371.26,165.81,433.70
1915,161.15,258.66,110.55,253.74,137.03,216.18,111.82,302.54,216.33,265.70,231.78,324.38,243.47,117.33,252.40
1916,160.36,216.04,126.57,221.63,106.37,249.58,95.29,262.81,253.60,296.44,256.93,325.51,277.55,133.22,302.70
1917,83.22,108.52,38.65,105.40,79.65,69.32,48.13,129.80,68.81,88.81,100.22,150.82,100.92,90.66,138.40
1918,174.51,267.75,143.56,290.02,113.07,276.79,112.08,340.16,263.58,339.52,293.14,396.62,300.01,130.69,337.30
1919,181.64,218.74,130.66,257.49,115.39,305.34,105.80,291.38,300.16,395.75,299.56,364.23,327.31,144.14,322.70
1920,210.53,384.10,142.23,417.89,124.60,315.42,107.28,474.59,335.12,408.39,407.69,536.61,415.21,158.13,460.10
1921,199.60,424.84,124.06,457.25,113.92,275.46,86.67,544.07,299.58,363.95,394.17,605.02,399.35,145.66,481.70
1922,187.88,322.91,143.76,337.04,114.90,285.62,104.45,395.36,285.81,361.41,321.84,448.34,340.02,147.38,366.10
1923,212.31,346.57,156.42,380.48,112.10,367.37,85.32,446.10,365.40,455.22,403.46,528.00,426.17,159.00,438.40
1924,218.20,332.81,180.91,360.17,124.37,371.84,124.80,418.62,368.55,443.26,381.18,491.09,406.96,168.01,413.10
1925,145.47,224.62,105.08,233.20,104.04,204.57,74.73,274.96,216.44,252.61,233.57,309.84,245.52,117.96,258.00
1926,187.75,238.52,153.49,242.92,124.52,283.49,127.81,297.53,291.15,339.50,291.79,356.82,323.96,163.50,292.40
1927,137.04,189.81,94.79,198.93,99.66,198.68,58.54,233.88,194.54,253.47,223.82,283.79,234.82,111.88,249.50
1928,180.69,420.40,112.13,436.88,108.20,221.72,87.00,506.60,260.93,263.41,375.98,541.66,350.49,142.24,443.40
1929,154.41,309.01,107.48,305.34,86.42,239.30,49.86,356.79,256.80,291.39,308.72,373.52,309.81,121.08,302.50
1930,162.59,273.07,119.22,280.75,97.76,219.22,94.23,340.81,237.47,285.58,311.65,402.82,314.43,137.73,324.20
1931,222.98,369.45,189.04,359.95,129.57,373.57,119.33,440.88,379.43,442.55,370.67,455.12,420.36,174.90,346.30
1932,186.26,323.06,143.43,352.17,112.08,241.52,116.10,416.04,263.26,307.08,381.14,476.47,368.06,153.94,394.50
1933,213.05,312.43,187.49,310.87,127.77,321.13,133.28,398.32,326.00,402.13,372.05,496.51,404.19,170.33,406.70
1934,208.62,391.89,139.02,379.01,116.04,344.18,98.81,449.62,355.55,448.90,390.39,511.95,419.46,154.19,426.20
1935,168.15,387.04,113.08,414.03,91.89,253.17,78.54,472.14,249.01,357.25,322.89,433.38,316.16,123.55,358.70
1936,144.76,279.94,104.01,275.23,92.30,206.02,82.49,297.54,208.60,276.93,274.65,352.40,260.16,112.09,311.50
1937,154.52,352.15,104.08,351.89,78.60,262.68,64.65,389.16,248.97,356.58,287.80,406.89,294.31,110.42,328.50
1938,176.90,250.29,143.77,277.41,109.26,286.40,95.70,313.74,286.36,371.41,274.36,342.04,308.68,145.19,289.60
1939,186.67,234.96,174.04,227.65,118.58,327.17,124.19,281.82,288.98,378.06,259.46,342.24,286.05,156.87,321.60
1940,207.09,279.31,152.20,270.75,163.04,290.09,148.22,345.99,275.17,360.99,289.81,418.79,311.12,167.90,353.30
1941,203.91,331.79,141.19,364.43,109.59,360.75,93.73,441.37,336.76,467.06,381.38,527.05,389.62,147.56,455.40
1942,192.29,375.46,119.46,397.97,94.53,333.13,69.75,474.23,346.56,440.00,409.53,539.85,416.12,128.84,456.10
1943,202.00,391.01,149.65,407.95,92.26,360.94,77.98,488.34,378.06,432.09,406.15,544.13,423.47,145.67,453.30
1944,118.14,236.10,87.11,245.43,62.96,187.82,59.52,254.00,195.02,231.71,191.03,265.79,210.66,102.62,222.70
1945,217.60,394.28,169.56,408.50,117.71,331.12,105.33,485.55,352.07,429.55,381.49,549.85,394.76,178.73,447.70
1946,134.34,255.80,102.14,266.76,81.40,184.90,68.41,302.86,191.77,235.08,239.69,347.37,242.48,109.73,287.90
1947,165.07,281.27,104.31,300.80,97.51,234.06,78.57,391.47,265.06,283.59,323.40,478.24,325.42,128.40,385.90
1948,160.94,325.38,122.26,311.18,87.81,242.62,78.09,376.88,248.23,337.54,288.90,413.36,294.18,126.71,337.00
1949,210.23,388.26,174.04,377.55,109.04,338.22,101.09,474.61,353.04,370.58,378.50,541.14,387.66,174.56,442.70
