Variable:,pr
,Belarus,Brest,Gomel,Grodno,Minsk,"Minsk City",Mogilev,Vitebsk
1901,602.44,559.66,591.77,611.07,618.45,624.80,622.41,610.79
1902,656.34,592.38,629.45,634.19,661.73,650.50,666.29,734.72
1903,725.60,650.92,697.70,704.74,749.99,746.50,751.84,781.02
1904,571.02,506.43,554.71,579.24,600.89,597.10,562.62,609.67
1905,670.15,614.47,685.22,652.77,675.66,677.80,675.75,700.96
1906,763.99,682.35,807.76,712.33,789.74,806.20,803.87,761.64
1907,578.93,531.00,574.62,564.00,594.90,602.90,602.56,597.08
1908,660.04,596.17,646.56,623.59,681.04,687.40,681.43,709.42
1909,603.21,531.49,594.67,554.61,630.02,638.50,661.58,628.90
1910,677.64,611.52,667.05,650.28,707.27,711.70,710.79,703.19
1911,517.03,475.44,560.32,468.97,515.48,515.00,521.59,535.06
1912,753.77,709.04,764.09,719.12,784.78,796.80,784.46,746.63
1913,656.79,616.98,676.38,651.57,665.02,670.80,655.15,664.17
1914,560.73,532.15,587.07,562.36,574.35,577.30,558.49,543.82
1915,660.76,561.58,687.40,607.89,671.81,674.10,719.68,691.47
1916,765.30,673.54,773.92,736.55,808.87,816.90,791.50,783.89
1917,670.72,588.45,651.87,645.11,709.45,724.80,698.78,711.12
1918,586.21,557.67,595.61,543.52,593.22,601.40,605.52,604.80
1919,613.26,581.69,677.57,587.50,590.85,576.00,630.40,599.18
1920,490.35,494.05,437.07,532.59,527.14,527.70,442.86,512.01
1921,577.88,540.33,530.64,584.44,602.38,600.70,561.45,637.83
1922,741.71,671.13,785.57,672.96,773.95,772.10,741.25,765.14
1923,683.69,611.86,685.28,675.18,697.59,691.10,685.02,728.45
1924,587.02,557.87,561.68,624.30,611.27,611.90,552.97,613.17
1925,688.38,593.91,685.30,643.95,700.27,707.00,717.85,760.81
1926,640.70,594.44,619.71,636.71,657.88,656.60,648.87,677.01
1927,698.59,578.64,668.41,627.55,734.32,740.80,752.90,792.16
1928,642.22,535.03,643.00,600.19,660.52,659.80,669.70,714.27
1929,563.07,529.96,544.12,570.30,574.96,569.80,552.45,599.82
1930,697.25,639.08,678.33,707.33,713.71,710.10,692.10,743.48
1931,670.23,614.56,688.83,634.60,697.89,720.90,693.08,673.14
1932,655.96,580.06,666.25,638.88,662.13,655.70,677.43,694.99
1933,754.80,667.64,807.33,698.54,755.30,770.00,821.64,756.71
1934,555.20,511.13,526.52,550.05,565.81,561.70,565.26,603.82
1935,683.82,616.24,665.26,684.38,699.69,711.10,702.91,726.18
1936,621.24,605.25,618.22,650.36,634.17,632.50,604.47,618.50
1937,650.62,566.44,726.22,588.86,649.67,645.70,705.17,641.74
1938,583.05,561.92,612.03,568.85,589.34,589.00,590.48,567.64
1939,587.88,594.28,589.67,619.86,598.12,588.70,566.41,566.36
1940,623.58,588.65,614.15,634.11,631.14,619.40,621.02,648.67
1941,588.43,589.32,682.77,545.15,553.80,543.60,605.38,542.59
1942,514.64,473.18,479.51,504.03,518.72,513.20,556.21,554.30
1943,625.95,582.38,554.11,665.09,667.01,681.60,605.22,682.07
1944,583.07,550.72,574.01,600.79,601.76,609.60,564.39,601.78
