Variable:,pr
,Somalia,Awdal,Bakool,Bari,Bay,Banadir,Galgaduud,Gedo,Hiraan,"Juba Hoose","Shabelle Hoose","Juba Dhexe","Shabelle Dhexe",Mudug,Nugaal,Sanaag,Sool,Togdheer,"Woqooyi Galbeed"
1901,311.71,255.00,389.99,110.58,487.36,498.15,235.26,406.94,337.01,596.57,501.06,563.60,401.29,183.11,148.79,170.20,164.46,259.14,367.22
1902,305.73,89.00,389.99,110.58,548.56,502.90,235.26,443.14,337.01,663.47,564.83,663.77,401.50,183.11,148.79,168.91,163.68,216.35,130.81
1903,252.25,168.40,389.99,110.58,403.93,487.48,235.26,337.50,337.01,199.89,357.07,210.01,400.83,183.11,148.79,171.08,164.82,271.96,365.05
1904,261.43,251.50,389.99,110.58,414.07,489.10,235.26,338.97,337.01,314.23,385.03,256.66,400.90,183.11,148.79,170.28,164.48,257.18,320.64
1905,321.01,302.70,389.99,110.58,497.55,496.21,235.26,432.12,337.01,581.33,479.09,537.08,401.21,183.11,148.79,172.29,165.44,301.39,483.36
1906,320.30,166.10,389.99,110.58,548.20,501.47,235.26,441.38,337.01,759.75,582.70,683.29,401.44,183.11,148.79,169.15,163.84,225.71,187.66
1907,310.64,70.40,389.99,110.58,531.23,501.04,235.26,434.81,337.01,707.80,553.83,660.40,401.42,183.11,148.79,169.16,163.80,223.54,174.69
1908,263.26,86.40,389.99,110.58,443.28,491.66,235.26,364.56,337.01,409.74,420.55,347.79,401.01,183.11,148.79,169.58,164.01,231.06,187.19
1909,252.38,103.80,389.99,110.58,416.13,489.02,235.26,347.34,337.01,306.37,377.11,263.62,400.90,183.11,148.79,168.95,163.77,227.01,224.61
1910,264.94,80.00,398.04,110.58,446.46,511.81,237.40,365.72,347.24,388.02,430.55,359.96,415.72,183.15,148.79,169.02,163.75,223.25,189.82
1911,259.67,404.10,309.50,110.58,332.85,300.62,212.56,349.79,240.11,296.94,297.25,306.88,239.61,182.61,148.79,172.55,165.67,312.43,552.45
1912,288.68,161.10,439.35,110.58,539.04,419.10,233.02,432.30,357.78,417.17,467.58,504.42,360.53,182.92,148.79,169.67,164.06,235.59,230.96
1913,331.36,158.60,521.87,110.58,653.96,649.96,262.17,434.74,492.45,493.38,608.75,540.29,581.07,183.49,148.79,170.31,164.34,247.61,264.83
1914,231.65,199.50,257.62,110.58,256.59,207.08,202.61,330.68,189.02,364.14,230.10,286.72,173.20,182.44,148.79,171.04,164.87,274.79,393.44
1915,197.54,77.10,206.14,110.58,177.67,65.51,190.57,292.52,138.47,406.27,148.41,274.37,69.10,182.20,148.79,169.45,163.95,233.35,219.85
1916,216.02,222.40,218.48,110.58,220.64,193.33,194.76,361.79,147.66,373.64,224.47,319.19,135.44,182.29,148.79,169.53,164.06,235.96,255.89
1917,239.62,99.20,290.55,110.58,325.11,271.01,209.84,363.91,223.44,398.05,299.74,371.43,216.84,182.56,148.79,169.37,163.99,237.65,263.70
1918,225.23,16.10,389.23,110.58,394.23,486.29,235.26,286.03,337.01,218.15,342.03,205.69,400.78,183.11,148.79,168.69,163.53,210.69,115.28
1919,250.68,157.20,367.78,110.58,412.63,422.47,230.19,311.93,310.38,338.84,379.47,321.11,351.83,183.01,148.79,169.36,163.94,232.10,233.68
1920,296.99,134.60,461.11,110.58,560.12,686.37,260.17,371.12,411.79,386.40,547.11,396.37,551.45,183.83,148.79,169.58,164.08,238.88,254.52
1921,220.03,70.00,333.80,110.52,344.64,330.26,218.27,334.38,271.91,236.94,303.40,264.68,282.47,182.26,147.81,161.31,153.19,192.07,181.23
1922,285.01,167.60,431.36,110.81,506.93,541.22,245.56,290.60,389.15,382.38,505.07,399.44,445.30,184.46,152.36,183.84,169.59,249.04,311.27
1923,401.49,248.10,783.06,110.52,878.16,849.63,282.56,597.88,605.61,532.12,787.82,650.88,699.77,183.55,147.81,168.23,159.91,257.61,348.40
1924,249.08,131.80,290.35,110.51,384.37,466.35,218.74,344.48,259.25,401.64,411.20,385.96,323.78,182.25,147.43,165.12,160.80,227.43,224.92
1925,283.16,173.00,431.37,110.51,495.68,490.11,222.61,459.56,343.99,403.55,452.62,447.61,376.53,182.06,147.43,163.68,159.95,234.55,250.18
1926,325.57,316.50,387.02,110.87,535.93,578.71,189.67,436.49,297.24,548.90,546.06,534.76,406.05,174.77,153.32,210.39,207.10,413.01,453.28
1927,279.12,122.40,270.10,110.51,407.98,443.56,196.72,309.50,238.73,668.58,500.87,582.02,308.99,178.38,147.44,163.00,157.94,243.87,295.82
1928,249.46,154.00,399.35,110.51,450.59,507.38,211.19,354.40,330.46,302.54,447.53,356.12,399.69,180.38,147.43,158.19,150.75,178.45,165.63
1929,266.97,165.50,329.51,110.62,396.93,495.18,223.96,322.92,286.83,457.23,428.93,400.71,375.65,180.06,150.57,176.97,165.66,260.67,296.89
1930,268.93,205.20,377.12,110.57,456.27,405.57,207.16,402.35,302.54,395.33,408.18,401.25,337.81,174.58,148.67,172.46,165.16,246.86,276.06
1931,232.83,127.00,280.24,110.51,320.88,304.73,202.76,264.75,270.25,336.91,313.02,304.10,292.09,178.27,147.52,172.32,168.77,267.66,292.64
1932,245.33,215.60,262.37,110.64,348.76,414.28,194.82,278.92,244.88,433.71,382.57,368.21,330.65,179.27,150.13,169.55,154.00,216.43,302.44
1933,248.42,87.60,252.67,112.20,363.33,387.93,224.94,295.07,253.07,430.25,403.54,421.72,309.55,218.87,189.66,163.25,191.51,213.17,189.36
1934,240.56,83.50,340.12,109.51,426.00,427.13,183.10,319.23,283.65,378.65,430.85,374.37,313.79,141.89,132.73,158.95,147.81,192.14,216.92
1935,270.35,167.50,342.24,111.37,391.92,391.82,231.83,332.76,306.54,410.92,381.80,369.73,323.66,219.71,176.95,170.58,192.54,303.54,316.61
1936,299.35,188.90,356.81,114.28,437.75,537.16,271.71,342.66,315.56,527.87,481.67,444.96,406.82,259.59,205.72,173.79,197.80,263.64,286.89
1937,305.13,220.30,456.97,110.95,516.63,458.71,257.38,445.15,376.46,471.55,467.52,446.66,389.88,210.19,163.64,168.28,172.11,253.75,307.96
1938,218.24,89.90,273.08,106.16,405.30,386.85,128.58,280.66,227.92,457.47,449.81,470.33,299.44,78.90,72.26,150.13,90.73,151.94,176.94
1939,170.54,147.70,220.01,107.35,216.20,212.47,138.25,221.19,180.48,228.53,217.65,201.15,194.28,97.06,94.74,158.88,113.23,202.13,238.78
1940,241.65,84.10,348.29,107.99,402.37,408.51,214.07,354.88,281.01,454.34,404.72,394.10,333.21,132.72,103.15,160.33,117.48,187.79,162.66
1941,301.38,175.30,353.62,114.13,441.59,474.80,307.90,407.84,322.49,486.74,438.01,454.25,377.26,307.36,211.04,176.48,185.91,265.99,245.21
1942,227.13,52.30,332.01,108.95,373.21,371.92,211.83,262.12,324.11,339.65,356.87,344.32,346.33,166.13,126.62,160.13,129.43,194.07,161.41
1943,168.16,109.90,149.70,110.48,174.59,253.21,172.06,120.12,179.47,201.46,209.79,151.02,232.20,163.15,149.38,178.15,198.90,257.97,144.71
1944,231.63,98.40,297.16,108.02,390.10,451.61,154.91,335.96,202.38,473.84,408.80,460.04,325.97,122.96,105.61,156.24,114.41,163.92,186.36
1945,191.73,91.00,204.24,108.46,311.04,228.34,103.47,249.25,125.17,374.06,312.91,352.39,152.55,106.43,115.12,159.44,145.84,212.27,199.07
1946,201.72,217.70,212.43,109.20,258.11,253.88,156.45,201.71,171.52,313.37,286.55,281.11,191.90,121.13,121.13,165.75,154.30,270.46,336.58
1947,227.71,134.30,268.27,108.36,353.26,388.88,163.39,268.90,237.61,405.20,398.27,377.08,309.13,123.51,114.50,161.89,134.59,215.75,270.75
1948,210.35,107.70,253.79,109.48,298.75,304.06,186.15,315.20,210.18,290.37,279.30,290.35,254.65,159.66,137.43,161.22,155.30,225.95,212.57
1949,168.73,141.70,229.50,106.29,265.33,284.65,108.64,225.63,157.21,277.60,258.57,249.17,222.64,69.42,73.19,158.94,94.08,153.16,195.06
1950,191.49,92.60,253.81,107.78,303.01,372.53,168.22,220.17,258.88,213.40,314.88,250.85,303.08,112.81,102.21,151.90,115.39,172.95,228.85
1951,405.29,225.40,683.84,110.42,816.32,915.23,276.50,670.65,537.35,619.67,782.95,655.63,707.55,193.85,151.05,174.22,167.63,294.49,378.66
1952,189.64,76.40,271.19,106.21,332.68,309.95,126.26,291.55,244.48,301.75,324.11,337.17,278.11,64.71,69.66,148.41,84.75,131.70,174.42
1953,236.06,133.60,265.95,108.98,392.99,430.96,151.64,335.19,221.85,438.76,418.04,415.05,321.67,126.77,124.45,164.98,146.14,197.88,221.51
1954,206.91,206.10,296.64,106.08,357.50,342.44,109.04,304.75,223.49,296.13,336.41,301.15,278.16,62.11,69.45,158.04,97.15,204.92,322.16
1955,160.19,117.40,167.07,106.99,216.98,191.07,97.88,195.14,124.30,339.98,230.40,251.71,161.33,68.05,81.94,149.14,102.87,150.73,196.36
1956,220.73,161.70,272.75,108.62,334.71,339.65,172.55,277.93,250.41,328.88,333.17,347.05,286.07,128.44,116.94,160.61,142.24,225.83,266.37
1957,313.68,233.60,380.56,112.33,460.77,565.69,275.67,457.95,354.49,447.02,460.15,413.22,439.08,269.64,197.64,174.30,191.98,301.22,383.80
1958,201.07,133.10,261.40,107.73,333.49,425.10,142.39,273.14,228.19,280.11,367.20,303.81,320.51,102.85,95.12,154.59,107.88,163.66,219.86
1959,213.04,103.70,239.91,110.11,282.01,328.85,187.62,255.56,199.23,411.61,317.30,313.55,252.69,152.77,133.88,165.28,151.69,200.13,192.87
1960,290.31,158.70,455.86,107.30,605.08,486.96,186.65,487.35,358.42,519.22,534.79,538.96,404.12,94.89,88.37,162.41,121.39,194.16,222.60
1961,380.76,218.70,572.81,108.01,743.49,981.75,318.89,557.43,529.01,681.76,793.58,713.69,736.71,160.85,108.21,164.23,132.16,215.62,268.07
1962,237.06,136.00,370.41,108.65,401.09,380.57,209.49,337.17,302.49,349.54,372.54,358.24,328.50,143.33,121.48,154.68,129.01,168.14,209.94
1963,338.82,167.50,495.83,111.82,572.17,627.68,305.86,470.61,438.79,546.14,565.52,533.99,502.55,230.35,171.84,175.49,187.38,285.29,295.72
1964,279.96,206.30,366.38,108.65,465.76,527.52,188.03,378.28,311.60,522.11,509.36,505.01,404.11,134.80,110.98,159.27,114.80,224.01,347.84
1965,296.99,84.50,427.54,111.53,560.89,576.27,277.88,387.12,409.55,460.75,559.43,505.56,460.54,198.22,167.22,160.24,173.22,194.17,161.49
1966,274.27,100.30,348.50,112.62,464.90,384.06,215.36,381.14,292.07,470.38,427.28,437.45,327.65,213.23,188.60,166.99,186.18,233.53,216.62
1967,422.40,277.10,675.72,111.88,748.62,806.22,378.40,571.31,611.05,717.64,734.96,666.77,662.40,268.40,172.79,186.17,163.26,309.94,414.07
1968,409.30,272.00,635.98,111.87,748.23,738.24,347.02,606.82,538.25,704.20,673.94,636.60,609.04,229.31,165.20,192.69,207.16,334.09,376.92
1969,266.21,172.10,319.64,112.40,419.45,472.40,233.53,336.35,296.95,364.73,421.03,375.61,386.15,241.14,188.83,172.84,178.89,239.71,248.13
1970,226.80,150.60,394.97,108.35,351.47,334.19,216.47,275.44,317.93,332.74,330.00,281.33,305.77,128.80,109.67,156.87,124.94,175.53,242.80
1971,239.97,154.40,309.36,109.70,329.82,284.76,211.11,319.19,266.09,415.55,295.68,313.82,253.95,180.59,142.79,159.65,150.02,257.02,285.09
1972,355.92,191.40,559.97,110.69,689.80,695.74,294.17,507.52,481.18,509.13,641.59,603.20,562.05,210.06,160.35,163.10,164.64,268.27,348.65
1973,220.38,107.50,277.47,112.62,283.65,336.67,236.42,202.02,264.02,276.69,299.07,245.19,274.60,237.29,200.73,165.06,200.60,221.53,195.36
1974,201.71,154.90,199.31,108.02,291.75,275.08,128.00,252.62,183.30,373.43,308.82,368.55,233.97,106.16,108.95,153.37,122.73,197.46,275.35
1975,204.80,141.50,199.57,107.90,283.70,363.41,132.22,243.51,164.20,432.89,330.95,355.41,263.01,110.15,100.43,154.20,112.77,202.90,270.96
1976,276.93,200.60,371.97,111.99,420.84,503.33,248.71,326.22,310.22,262.22,397.91,316.29,388.51,196.02,170.38,184.85,216.13,403.71,426.97
1977,345.68,178.40,657.57,104.85,733.63,765.75,248.05,577.48,508.58,482.21,652.34,544.96,629.79,70.54,45.41,167.68,104.27,304.03,385.89
1978,269.40,181.80,426.42,107.05,471.65,373.66,195.55,448.96,331.04,506.74,393.33,451.06,344.73,109.97,89.73,157.51,118.86,213.76,261.52
1979,290.39,142.80,299.60,114.40,432.00,572.42,218.79,372.52,283.67,531.74,488.96,426.70,405.96,192.74,198.74,189.57,262.16,331.04,236.35
1980,186.88,78.10,209.54,106.17,341.59,463.39,106.88,220.22,192.40,336.36,438.79,360.35,308.41,66.01,72.19,144.38,88.01,136.63,167.09
1981,330.24,148.40,515.71,109.53,654.68,654.26,269.98,553.27,417.75,558.05,631.91,627.23,517.35,159.59,122.28,163.63,134.66,180.74,206.39
1982,363.00,295.30,460.95,115.01,581.00,592.89,344.99,481.83,428.53,519.71,538.99,488.48,486.51,338.33,247.33,190.81,248.65,361.62,342.69
1983,212.60,202.60,254.40,106.83,281.70,370.89,161.42,208.63,238.99,396.37,322.04,295.37,327.55,69.93,73.75,162.65,114.67,260.81,355.60
1984,235.27,92.80,246.27,112.57,365.22,350.02,164.39,285.18,212.74,448.37,395.78,409.86,257.28,193.32,165.85,165.87,169.55,208.82,189.18
1985,236.17,143.90,303.17,108.18,362.50,374.99,177.01,308.42,256.72,378.99,357.49,343.20,309.68,125.31,109.95,177.62,151.74,270.02,285.66
1986,255.04,192.80,277.26,109.81,383.52,298.31,163.74,394.18,221.21,563.30,351.36,497.00,236.89,131.68,133.55,178.12,154.12,228.45,269.04
1987,281.17,155.50,410.80,109.49,434.76,490.37,264.89,356.44,386.33,414.50,421.47,369.53,418.76,191.51,138.92,178.36,165.42,276.85,296.33
1988,276.80,147.80,304.36,111.19,437.06,462.77,204.18,341.98,271.34,515.53,471.72,467.63,345.90,166.73,159.06,176.38,198.85,277.42,292.58
1989,349.71,253.10,486.80,115.53,554.51,534.60,349.04,496.29,424.38,488.07,513.84,517.08,433.03,342.91,242.56,178.46,222.72,282.15,282.42
1990,279.29,125.00,401.57,111.33,488.78,448.76,246.82,450.22,317.48,421.00,436.25,442.72,355.03,192.02,157.78,175.98,169.79,210.49,200.05
1991,231.61,178.00,260.53,110.58,360.55,403.67,178.10,289.13,200.36,367.80,398.88,382.63,300.41,177.44,148.79,169.30,163.69,220.88,210.92
1992,239.15,212.20,168.47,110.58,328.27,396.80,135.19,322.03,132.70,460.27,391.28,436.38,269.30,171.67,148.79,170.77,164.69,263.59,336.33
1993,260.51,221.60,232.91,110.58,409.14,455.36,150.04,351.00,182.59,508.69,440.32,468.39,316.69,172.75,148.79,172.00,164.59,263.84,328.61
1994,298.00,150.60,418.24,110.58,480.43,500.11,252.48,386.12,381.47,603.42,468.58,452.94,417.54,185.13,148.79,169.34,163.63,228.45,242.80
1995,270.83,182.50,288.92,110.58,450.49,429.13,182.09,420.82,234.17,481.77,435.48,537.86,323.49,176.29,148.79,170.37,164.00,237.27,267.81
1996,235.82,179.30,199.43,110.58,306.32,421.58,181.42,242.80,211.69,381.66,396.21,374.32,316.07,176.85,148.79,171.68,165.01,276.15,350.46
1997,349.70,192.50,465.04,110.58,566.44,547.30,275.91,610.64,411.54,768.42,503.41,631.22,460.16,189.27,148.79,169.62,164.69,258.05,273.94
1998,265.83,208.10,334.05,110.58,391.31,458.37,221.06,285.35,302.30,520.26,430.80,392.39,362.64,182.29,148.79,170.58,163.91,240.06,269.91
1999,260.22,246.70,250.25,110.58,367.03,409.71,189.30,280.62,223.21,482.81,408.48,435.51,314.53,178.31,148.79,172.70,164.97,278.20,390.18
2000,276.66,213.50,388.92,110.58,474.07,495.16,235.26,338.15,336.90,329.17,467.83,417.94,401.14,183.11,148.79,172.18,165.34,276.02,342.52
2001,251.46,162.20,219.93,110.58,327.42,492.38,235.26,250.93,314.88,408.08,439.51,397.15,398.79,183.11,148.79,170.49,164.49,252.41,294.14
2002,289.57,135.50,419.82,110.58,484.15,493.22,235.26,427.42,339.25,505.14,455.56,465.46,400.98,183.11,148.79,170.49,164.49,247.00,239.96
2003,281.85,129.40,388.25,110.58,473.96,495.16,235.26,382.04,336.86,457.50,467.78,452.04,401.13,183.11,148.79,170.49,164.49,248.22,254.68
2004,286.98,207.20,389.99,110.58,476.05,495.16,235.26,389.53,337.01,461.26,468.13,449.31,401.16,183.11,148.79,170.49,164.49,258.57,298.85
2005,277.12,129.10,389.98,110.58,475.82,495.16,235.26,372.24,337.01,410.42,468.11,433.54,401.16,183.11,148.79,170.49,164.49,247.82,253.09
2006,291.92,215.70,389.97,110.58,475.86,495.16,235.26,367.66,337.01,541.43,468.16,460.80,401.16,183.11,148.79,170.49,164.49,252.53,291.27
2007,299.15,135.10,472.73,110.58,542.07,494.99,235.26,467.73,347.72,447.91,472.27,461.54,401.98,183.11,148.79,170.49,164.49,254.16,290.18
2008,272.10,144.50,375.16,110.58,450.68,494.07,235.26,350.00,335.67,385.31,459.70,423.57,400.79,183.11,148.79,170.49,164.49,253.88,274.01
2009,266.78,160.60,297.20,110.58,377.01,492.55,235.26,285.56,325.03,520.83,444.38,426.38,399.62,183.11,148.79,170.49,164.49,250.42,251.74
2010,263.20,194.70,313.59,110.58,382.34,492.13,235.26,278.77,325.83,420.89,443.83,394.38,399.51,183.11,148.79,170.49,164.49,254.42,296.97
2011,296.09,167.40,396.05,110.58,515.15,498.36,235.26,454.80,340.20,474.99,487.09,495.34,402.26,183.11,148.79,170.49,164.49,251.24,276.00
2012,266.68,155.80,323.57,110.58,400.19,492.97,235.26,314.33,327.48,436.64,449.82,407.56,399.87,183.11,148.79,170.49,164.49,251.34,270.66
2013,293.81,282.80,378.43,110.58,482.67,495.84,235.26,414.83,335.15,404.44,469.00,438.20,401.32,183.11,148.79,170.49,164.49,279.41,413.27
2014,270.69,183.80,321.16,110.58,404.87,493.64,235.26,303.79,328.61,410.87,452.88,414.51,400.14,183.11,148.79,170.49,164.49,265.29,347.84
2015,303.25,137.90,486.83,110.58,566.41,496.59,235.26,460.02,349.98,466.70,483.63,472.96,402.54,183.11,148.79,170.49,164.49,254.94,289.93
2016,287.37,193.90,376.93,110.58,498.86,497.61,235.26,432.88,333.99,369.50,477.37,454.16,401.70,183.11,148.79,170.49,164.49,260.06,330.74
2017,354.11,186.40,619.58,110.58,691.15,497.94,235.26,682.56,363.85,601.36,503.21,565.72,403.93,183.11,148.79,170.49,164.49,265.28,360.75
2018,306.31,217.10,433.88,110.58,510.32,494.74,235.26,440.27,342.15,580.08,465.20,471.65,401.52,183.11,148.79,170.49,164.49,255.82,311.72
2019,341.26,193.80,570.19,110.58,704.89,503.59,235.26,637.86,362.10,525.52,529.23,570.06,405.33,183.11,148.79,170.49,164.49,256.84,308.85
2020,264.14,175.10,350.94,110.58,403.40,491.12,235.26,335.06,330.37,344.39,438.06,389.75,399.65,183.11,148.79,170.49,164.49,252.78,296.21
