Variable:,pr
,Iran,Kermanshah,Bushehr,"Chaharmahal-o bakhtiyar","East Azarbayejan",Esfahan,Fars,Gilan,Hamedan,Khorasan,Hormozgan,Ilam,Kerman,Khuzestan,"Kohgiluyeh va boyerahma",Kordestan,"Administrative unit not available",Lorestan,Markazi,Mazandaran,Semnan,"Sistan-o baluchestan",Tehran,"West Azarbayejan",Yazd,Zanjan,Ardebil,Golestan,Ghazvin,Ghom
1901,200.60,465.41,115.60,307.77,403.15,145.50,222.19,250.54,334.96,149.39,173.17,391.25,164.50,214.82,218.74,421.81,174.18,462.85,286.92,227.71,122.32,106.54,241.69,428.63,121.17,315.27,396.54,190.77,254.92,148.54
1902,233.36,475.52,211.52,372.35,398.39,184.51,285.04,312.66,424.06,194.47,161.95,396.58,164.50,306.95,369.02,451.76,217.30,501.96,380.39,283.56,148.44,103.82,330.71,388.57,134.21,392.63,418.52,208.53,360.41,245.66
1903,214.16,476.36,123.58,291.78,371.68,145.38,230.61,299.98,421.02,194.46,162.91,387.74,164.04,197.22,227.83,451.05,211.51,455.75,341.02,286.63,146.57,103.61,324.12,385.52,114.03,382.65,374.51,186.11,361.07,202.75
1904,233.96,471.67,172.70,301.59,494.03,161.60,254.70,335.87,400.80,222.97,164.43,395.14,164.33,265.14,266.30,466.17,226.16,476.79,338.99,240.38,144.71,103.78,275.19,488.26,127.30,418.60,490.75,188.22,349.44,221.55
1905,208.52,469.93,153.58,285.51,407.45,130.18,262.61,276.58,370.49,151.98,196.72,391.88,165.59,230.48,264.65,440.68,191.68,429.85,275.70,234.83,131.90,113.48,260.50,400.98,120.49,354.77,424.36,189.71,300.53,168.72
1906,258.16,480.24,222.51,543.64,374.86,263.79,308.08,318.20,478.58,206.68,193.01,405.94,166.47,354.28,396.49,451.34,229.87,601.71,495.98,325.40,173.88,112.35,393.66,378.93,165.73,396.54,403.53,241.28,392.98,323.59
1907,233.30,472.16,182.72,440.53,366.28,209.13,290.20,274.85,411.22,194.82,183.51,398.33,165.84,289.09,334.95,438.60,197.30,527.13,390.46,241.71,149.11,109.84,291.74,381.39,151.88,350.48,368.65,208.08,318.51,247.72
1908,226.41,471.29,167.56,399.79,421.43,199.09,266.36,301.10,405.06,167.64,162.53,401.40,164.93,308.06,320.37,449.85,216.32,513.01,367.09,230.80,139.19,104.03,275.32,415.07,150.61,377.25,422.40,193.03,326.07,244.30
1909,229.08,467.22,339.66,442.25,365.01,194.91,364.31,247.55,366.86,151.13,197.64,399.49,166.51,336.51,421.50,434.50,166.61,495.51,327.04,205.66,125.97,115.19,245.45,374.81,153.45,339.15,341.40,161.29,285.29,205.66
1910,224.91,467.34,231.21,435.66,347.44,197.25,316.47,240.96,369.86,182.29,177.00,397.53,165.65,295.94,369.71,431.86,166.64,494.65,330.23,196.63,132.43,107.82,242.30,366.16,152.42,324.25,332.13,157.56,275.11,215.80
