Variable:,pr
,Montserrat,Brodericks,Central,East,North,Plymouth,Salem,South
1901,2576.60,2576.60,2576.60,2576.60,2576.60,2576.60,2576.60,2576.60
1902,2720.50,2720.50,2720.50,2720.50,2720.50,2720.50,2720.50,2720.50
1903,2613.10,2613.10,2613.10,2613.10,2613.10,2613.10,2613.10,2613.10
1904,2417.60,2417.60,2417.60,2417.60,2417.60,2417.60,2417.60,2417.60
1905,2446.40,2446.40,2446.40,2446.40,2446.40,2446.40,2446.40,2446.40
1906,2517.40,2517.40,2517.40,2517.40,2517.40,2517.40,2517.40,2517.40
1907,2300.10,2300.10,2300.10,2300.10,2300.10,2300.10,2300.10,2300.10
1908,2222.70,2222.70,2222.70,2222.70,2222.70,2222.70,2222.70,2222.70
1909,2569.50,2569.50,2569.50,2569.50,2569.50,2569.50,2569.50,2569.50
1910,2499.60,2499.60,2499.60,2499.60,2499.60,2499.60,2499.60,2499.60
1911,2559.40,2559.40,2559.40,2559.40,2559.40,2559.40,2559.40,2559.40
1912,2524.80,2524.80,2524.80,2524.80,2524.80,2524.80,2524.80,2524.80
1913,2541.80,2541.80,2541.80,2541.80,2541.80,2541.80,2541.80,2541.80
1914,2544.10,2544.10,2544.10,2544.10,2544.10,2544.10,2544.10,2544.10
1915,2555.30,2555.30,2555.30,2555.30,2555.30,2555.30,2555.30,2555.30
1916,2571.90,2571.90,2571.90,2571.90,2571.90,2571.90,2571.90,2571.90
1917,2536.80,2536.80,2536.80,2536.80,2536.80,2536.80,2536.80,2536.80
1918,2522.90,2522.90,2522.90,2522.90,2522.90,2522.90,2522.90,2522.90
1919,2561.60,2561.60,2561.60,2561.60,2561.60,2561.60,2561.60,2561.60
1920,2530.60,2530.60,2530.60,2530.60,2530.60,2530.60,2530.60,2530.60
1921,2551.30,2551.30,2551.30,2551.30,2551.30,2551.30,2551.30,2551.30
1922,2534.40,2534.40,2534.40,2534.40,2534.40,2534.40,2534.40,2534.40
1923,2519.60,2519.60,2519.60,2519.60,2519.60,2519.60,2519.60,2519.60
1924,2534.30,2534.30,2534.30,2534.30,2534.30,2534.30,2534.30,2534.30
1925,2527.10,2527.10,2527.10,2527.10,2527.10,2527.10,2527.10,2527.10
1926,2519.50,2519.50,2519.50,2519.50,2519.50,2519.50,2519.50,2519.50
1927,2563.30,2563.30,2563.30,2563.30,2563.30,2563.30,2563.30,2563.30
1928,2567.00,2567.00,2567.00,2567.00,2567.00,2567.00,2567.00,2567.00
1929,2535.70,2535.70,2535.70,2535.70,2535.70,2535.70,2535.70,2535.70
1930,2533.80,2533.80,2533.80,2533.80,2533.80,2533.80,2533.80,2533.80
1931,2617.80,2617.80,2617.80,2617.80,2617.80,2617.80,2617.80,2617.80
1932,2626.00,2626.00,2626.00,2626.00,2626.00,2626.00,2626.00,2626.00
1933,2739.10,2739.10,2739.10,2739.10,2739.10,2739.10,2739.10,2739.10
1934,2121.10,2121.10,2121.10,2121.10,2121.10,2121.10,2121.10,2121.10
1935,2393.10,2393.10,2393.10,2393.10,2393.10,2393.10,2393.10,2393.10
1936,2731.60,2731.60,2731.60,2731.60,2731.60,2731.60,2731.60,2731.60
1937,2120.50,2120.50,2120.50,2120.50,2120.50,2120.50,2120.50,2120.50
1938,2615.80,2615.80,2615.80,2615.80,2615.80,2615.80,2615.80,2615.80
1939,2179.70,2179.70,2179.70,2179.70,2179.70,2179.70,2179.70,2179.70
1940,2141.20,2141.20,2141.20,2141.20,2141.20,2141.20,2141.20,2141.20
1941,2372.20,2372.20,2372.20,2372.20,2372.20,2372.20,2372.20,2372.20
1942,2725.50,2725.50,2725.50,2725.50,2725.50,2725.50,2725.50,2725.50
