Variable:,pr
,"Kyrgyz Republic",Batken,Chuy,Jalal-Abad,Naryn,Osh,Talas,Ysyk-Kol,Bishkek
1901,486.19,534.46,533.26,615.47,425.06,473.59,628.01,377.08,536.57
1902,560.43,756.78,552.21,716.41,446.97,672.86,707.51,365.88,539.32
1903,395.27,513.30,399.69,456.35,335.71,451.50,444.58,308.39,393.57
1904,387.67,481.75,394.94,450.34,344.34,430.79,433.44,300.49,393.75
1905,396.05,491.39,410.48,448.06,339.66,430.04,440.03,334.20,408.51
1906,365.15,459.43,377.66,405.15,317.73,370.79,402.63,324.54,376.58
1907,478.22,556.47,507.17,583.03,421.56,526.51,568.24,352.84,506.32
1908,416.36,587.38,412.26,502.30,325.43,469.43,493.77,320.61,410.91
1909,316.52,372.33,323.63,338.46,270.31,362.74,332.23,287.21,324.37
1910,383.90,555.40,374.33,481.83,307.39,461.49,462.87,247.98,373.15
1911,384.03,562.32,404.04,479.38,297.58,414.75,468.77,273.82,398.18
1912,337.56,491.26,341.20,434.64,264.06,385.17,428.34,217.21,319.05
1913,333.58,486.99,325.59,405.51,269.11,384.87,396.10,234.47,324.17
1914,374.39,535.34,388.23,484.37,284.08,422.16,491.85,246.87,361.55
1915,331.66,360.97,374.72,391.20,293.30,332.31,386.22,277.75,378.09
1916,278.64,368.63,301.13,321.15,231.59,271.21,322.08,239.66,305.40
1917,156.06,156.34,166.68,164.83,140.65,149.67,164.27,162.57,165.65
1918,323.08,440.88,327.66,384.26,262.20,365.76,375.39,246.17,331.48
1919,273.77,419.39,268.19,319.15,213.58,297.68,317.28,216.11,272.86
1920,441.56,635.93,420.64,522.98,356.00,517.10,491.16,333.42,405.58
1921,466.68,679.48,443.41,594.09,344.26,550.39,591.04,329.98,431.42
1922,367.18,518.28,366.81,459.95,291.09,438.49,453.16,241.80,360.43
1923,398.96,593.94,385.26,490.40,309.63,459.78,480.12,284.74,376.02
1924,386.24,571.71,373.90,470.41,302.27,475.65,456.02,260.00,366.20
1925,282.18,356.78,295.58,332.26,243.37,316.50,322.43,213.20,298.55
1926,317.19,361.10,336.43,370.83,275.65,311.28,405.11,271.86,339.36
1927,279.92,319.87,277.55,284.92,241.83,334.67,284.76,264.77,284.27
1928,469.42,640.44,427.32,560.26,356.50,583.70,534.52,373.09,411.88
1929,341.11,453.58,317.83,409.97,269.81,435.24,390.86,251.32,302.82
1930,324.74,419.17,311.20,404.93,245.14,401.99,412.99,239.12,292.69
1931,401.08,536.43,384.39,515.42,308.00,493.47,512.34,270.66,375.16
1932,372.56,551.27,355.28,446.23,297.16,430.68,415.65,277.94,347.85
1933,363.39,472.37,349.26,456.43,297.07,427.62,441.77,259.49,348.26
1934,431.11,508.21,462.63,532.22,363.79,439.43,523.41,345.44,461.42
1935,417.77,573.04,402.30,517.63,349.17,459.92,456.39,315.76,396.76
1936,322.42,393.66,322.16,371.22,270.77,355.37,349.16,279.35,318.68
1937,396.61,491.29,400.14,473.78,331.33,457.47,444.65,310.02,402.68
