Variable:,pr
,Kuwait,"Al Farwaniyah","Al Ahmadi","Al Jahrah","Al Kuwayt",Hawalli
1901,90.85,83.13,82.98,94.20,82.16,92.17
1902,117.82,120.36,117.39,120.83,119.45,128.98
1903,94.86,88.28,89.55,97.18,87.35,96.98
1904,99.75,95.63,96.25,102.15,93.51,115.59
1905,99.67,92.63,93.85,102.57,92.17,96.89
1906,112.60,113.11,112.41,114.17,111.07,132.31
1907,107.41,106.66,104.91,109.27,104.30,128.93
1908,98.18,93.79,91.20,101.83,92.56,105.30
1909,134.69,141.19,149.41,130.96,136.27,187.51
1910,109.94,108.86,109.88,111.31,105.27,142.73
1911,135.47,141.70,146.58,134.02,136.77,188.11
1912,95.42,86.74,95.99,95.14,84.75,105.42
1913,111.76,112.16,113.00,113.02,109.07,141.25
1914,120.28,121.96,125.88,119.76,119.45,145.59
1915,124.07,124.34,132.54,121.67,120.98,155.99
1916,103.07,100.30,100.93,104.66,97.69,124.87
1917,97.94,94.56,93.18,100.60,91.91,119.56
1918,108.31,105.63,108.74,109.16,103.07,129.68
1919,112.68,111.14,114.91,112.54,109.37,127.77
1920,118.05,122.10,123.15,117.74,116.67,173.29
1921,96.05,90.59,90.29,99.11,89.36,102.10
1922,76.33,64.89,61.19,82.02,65.19,62.07
1923,138.71,146.13,153.03,135.87,141.61,188.61
1924,111.76,113.21,112.45,113.01,109.36,149.47
1925,101.68,96.59,96.08,105.16,96.81,94.45
1926,106.27,104.55,105.23,107.90,101.47,133.56
1927,93.05,87.18,86.83,96.25,85.53,102.70
1928,101.48,98.29,97.96,104.18,96.63,113.90
1929,124.45,131.60,131.22,124.07,125.51,188.93
1930,100.83,97.89,97.70,102.97,95.00,125.10
1931,98.97,94.74,96.62,100.24,91.96,120.93
1932,90.96,80.81,89.53,91.62,79.21,95.91
1933,97.03,92.15,91.07,99.88,90.30,109.55
1934,120.67,122.04,128.96,119.40,117.95,160.51
1935,127.27,131.45,134.70,127.02,127.86,165.23
1936,127.98,125.79,123.22,131.85,123.77,144.81
1937,114.88,110.96,106.75,119.48,110.12,118.90
1938,114.52,116.93,117.78,115.06,112.49,158.73
1939,170.63,168.43,170.21,171.77,166.09,190.44
1940,107.45,106.56,105.10,110.25,105.00,121.32
1941,137.99,140.88,136.97,139.80,137.49,172.78
1942,107.71,106.83,105.28,109.98,104.56,128.15
1943,139.77,141.63,137.21,142.69,136.68,188.21
1944,75.09,70.83,85.79,70.56,69.72,81.23
1945,143.55,147.54,136.96,149.15,145.63,165.54
1946,175.39,176.96,163.12,181.89,174.24,202.64
1947,97.71,96.29,103.71,96.06,93.91,118.72
1948,95.18,95.19,101.89,93.16,91.79,127.18
1949,112.67,113.01,122.63,110.48,107.86,161.56
1950,85.59,83.40,82.20,88.07,82.46,92.27
1951,94.41,96.08,98.55,93.82,92.25,132.08
1952,101.31,101.90,99.50,103.39,99.87,121.01
1953,105.19,102.21,100.33,108.36,99.81,124.82
1954,190.67,195.31,191.27,193.57,191.90,227.48
1955,85.50,83.96,102.39,79.38,80.15,119.88
1956,83.19,87.45,87.14,82.23,84.44,115.77
1957,121.36,119.98,125.16,121.36,117.82,140.28
1958,90.30,91.15,100.66,87.45,87.71,123.57
1959,97.50,98.03,100.71,97.18,95.33,123.45
1960,54.67,53.58,48.59,58.19,52.65,62.28
1961,178.54,175.70,182.04,178.51,172.44,206.41
1962,91.78,92.21,88.63,94.20,91.48,99.12
1963,83.09,75.41,81.39,84.08,76.13,68.67
1964,40.80,40.15,55.65,35.26,37.43,65.74
1965,84.52,85.29,79.40,88.14,83.56,101.58
1966,68.11,68.94,64.06,70.38,66.74,89.67
1967,125.77,125.35,115.06,132.20,126.18,117.50
1968,102.37,98.69,102.32,103.22,97.75,107.47
1969,142.68,137.08,147.63,141.62,136.22,145.09
1970,88.85,92.33,83.22,92.79,89.48,119.11
1971,114.81,112.55,111.69,117.15,111.50,122.45
1972,204.14,200.30,201.08,206.59,195.52,245.35
1973,41.59,41.09,41.88,42.26,39.50,56.02
1974,153.94,159.19,154.53,156.33,152.75,219.85
1975,149.28,149.85,145.45,152.00,147.42,172.71
1976,178.86,174.34,191.78,173.97,170.25,212.81
1977,108.29,109.63,110.48,109.51,107.14,133.00
1978,96.38,97.13,94.14,98.56,94.50,121.87
1979,114.21,108.48,114.98,115.44,105.38,137.65
1980,131.42,136.35,130.87,133.24,130.81,188.56
1981,85.18,86.71,80.22,88.75,84.24,110.00
1982,147.92,148.16,150.00,149.31,145.07,177.25
1983,83.99,81.88,85.96,83.63,80.15,98.08
1984,101.18,100.46,96.67,104.98,99.62,108.40
1985,82.50,81.08,88.44,81.21,79.28,97.97
1986,164.10,164.01,163.02,166.06,162.19,181.16
1987,84.41,82.38,80.63,87.41,80.07,104.04
1988,85.36,88.14,90.80,84.13,83.98,127.30
1989,83.16,83.41,87.67,83.01,81.16,104.66
1990,75.48,75.41,79.95,74.51,73.16,96.66
1991,148.36,148.50,147.58,149.79,143.86,192.18
1992,115.04,114.00,112.22,118.04,111.17,140.62
1993,144.29,139.51,139.04,146.67,137.98,153.93
1994,128.75,126.82,124.27,133.02,127.39,121.54
1995,119.60,120.24,128.18,116.74,115.79,162.13
1996,147.82,149.86,145.79,149.60,145.69,189.19
1997,160.97,161.44,162.73,162.33,158.44,189.68
1998,96.95,96.94,98.47,97.61,92.56,138.14
1999,145.04,148.96,147.99,145.49,142.83,206.72
2000,94.42,98.45,96.06,95.95,95.95,122.00
2001,114.33,119.05,113.78,116.72,115.54,152.15
2002,131.00,133.43,140.28,128.93,130.00,165.67
2003,118.47,120.18,119.23,119.88,116.28,156.86
2004,141.81,148.81,145.40,142.70,143.66,197.36
2005,134.73,137.61,137.95,135.51,133.62,175.24
2006,122.95,125.66,125.28,123.86,121.85,161.58
2007,99.61,100.24,97.27,101.24,97.75,123.70
2008,53.31,54.00,51.75,54.92,53.57,58.10
2009,89.97,85.99,92.11,90.75,84.62,98.87
2010,53.60,36.90,46.29,56.12,37.41,32.12
2011,83.15,83.23,88.49,81.79,80.60,107.97
2012,96.66,96.38,100.14,96.99,94.65,112.58
2013,78.68,77.84,78.80,80.37,77.67,79.46
2014,71.56,69.16,82.64,67.46,66.51,94.16
2015,88.27,87.70,91.52,88.50,84.87,114.32
2016,118.98,117.55,114.25,121.71,115.12,140.41
2017,88.55,86.55,90.69,88.63,83.18,118.29
2018,142.51,138.92,136.20,146.63,140.28,126.13
2019,78.81,74.45,92.95,74.10,72.10,96.63
2020,111.96,112.60,111.47,114.54,111.73,120.79
