Variable:,pr
,Ethiopia,"Addis Ababa",Afar,Amhara,"Beneshangul Gumu","Dire Dawa",Gambela,Hareri,Oromia,SNNPR,Somali,Tigray
1901,852.05,1226.19,464.05,1107.86,1231.66,893.74,1110.59,1011.00,1101.54,1138.24,463.30,460.64
1902,750.96,970.86,221.70,980.00,1202.79,306.51,1119.85,432.30,993.57,1097.42,381.41,379.84
1903,923.36,1424.23,362.92,1212.73,1373.61,724.25,1124.72,960.70,1264.05,1252.37,444.84,601.97
1904,803.59,1100.30,332.32,1065.82,1333.61,667.70,1119.56,817.30,1025.59,1075.50,435.90,445.64
1905,868.05,1093.01,370.66,1098.25,1430.36,889.42,1316.66,1059.80,1109.23,1193.03,472.08,480.09
1906,893.42,1515.06,351.92,1222.74,1363.53,510.63,1134.10,595.40,1214.93,1253.13,408.44,473.93
1907,826.25,1036.45,301.96,1111.30,1245.24,421.86,1127.45,557.20,1077.37,1172.69,397.02,655.52
1908,816.28,1158.97,302.65,1158.41,1335.94,418.96,1117.93,574.40,1049.68,1097.05,398.30,535.48
1909,913.52,1404.33,439.67,1311.70,1353.94,663.59,1268.93,785.20,1163.93,1234.86,426.70,654.04
1910,832.93,1194.99,358.22,1162.10,1289.91,522.60,1043.15,664.60,1069.32,1096.81,407.60,692.90
1911,852.10,1234.82,480.77,1202.06,1170.53,994.54,977.18,1202.50,1060.03,1029.38,492.57,594.58
1912,800.08,1357.42,379.36,1228.96,1054.51,572.28,954.52,697.40,1016.04,973.86,417.45,546.36
1913,730.80,990.48,299.95,901.36,925.82,539.38,815.65,688.50,969.68,989.39,417.70,631.19
1914,946.79,1459.31,492.67,1364.97,1309.88,842.97,1229.43,1037.20,1231.79,1186.31,461.89,650.08
1915,846.27,1337.89,296.66,1150.78,1283.49,576.87,1188.17,742.50,1150.38,1165.23,394.31,479.07
1916,984.74,1464.76,489.51,1376.70,1440.40,712.09,1306.33,797.00,1270.49,1262.60,438.12,1018.75
1917,928.76,1487.99,407.80,1294.91,1390.01,660.42,1259.11,814.80,1239.91,1180.46,429.54,687.92
1918,734.38,982.04,226.83,991.67,1161.18,274.59,1086.06,409.20,937.89,1082.43,362.56,526.90
1919,756.93,996.84,357.30,1033.24,1192.45,592.07,1120.11,702.90,923.16,1003.11,403.10,606.82
1920,833.09,1048.10,394.37,1125.42,1282.64,612.33,1218.47,750.60,1008.17,1169.55,420.42,794.31
1921,759.19,996.70,280.67,1031.92,1342.21,453.89,1159.74,619.90,974.20,1000.65,362.65,564.98
1922,776.84,1032.46,374.45,1070.39,1228.47,652.23,1089.42,830.20,967.04,999.42,395.34,658.21
1923,926.30,1183.64,379.07,1151.37,1369.63,737.73,1274.46,919.50,1200.62,1257.35,528.69,615.19
1924,816.65,1216.41,331.30,1248.12,1331.06,521.92,1063.80,679.20,1019.22,1054.71,380.54,640.44
1925,863.09,1171.83,345.80,1129.72,1237.26,579.21,1128.92,746.80,1151.23,1143.54,446.48,624.32
1926,949.20,1499.28,385.72,1242.07,1287.26,873.92,1123.57,1148.70,1282.38,1228.00,524.14,572.61
1927,758.71,1223.57,318.68,1123.19,1214.76,633.12,884.31,806.80,974.70,946.97,378.06,509.02
1928,834.75,1339.98,297.85,1271.37,1327.81,391.80,1088.81,474.40,1086.45,1120.42,359.89,585.56
1929,879.40,1233.68,349.12,1299.35,1411.33,602.42,1194.88,824.90,1105.23,1134.21,418.48,729.73
1930,867.08,1408.25,343.85,1162.16,1223.42,628.18,1061.52,805.30,1189.90,1189.40,423.48,470.61
1931,798.66,1087.28,310.28,1095.85,1293.94,654.54,1043.72,906.80,1042.27,1017.16,406.94,563.77
1932,830.30,1001.93,410.36,1154.00,1360.73,747.51,1257.52,904.20,1006.61,1104.71,384.73,874.30
1933,765.61,1109.74,262.28,1148.48,1383.21,421.72,1106.01,585.80,975.31,973.86,334.59,599.17
1934,796.00,1125.90,339.22,1141.26,1345.26,525.32,1125.95,761.70,1006.61,1045.37,362.81,650.93
1935,918.32,1192.69,326.32,1209.10,1440.75,557.92,1227.33,762.50,1195.11,1301.94,439.63,808.64
1936,919.09,1360.18,369.33,1213.24,1405.44,677.44,1281.31,817.50,1192.39,1370.26,431.84,654.17
1937,860.84,1054.64,347.81,1182.08,1356.13,676.97,1147.31,827.80,1080.85,1080.82,475.52,682.46
1938,795.27,1080.82,352.76,1201.20,1456.43,412.88,1282.59,527.50,950.19,1189.67,266.10,867.48
1939,762.97,1069.61,277.51,1001.54,1294.66,488.70,1162.24,622.00,1031.23,1072.07,329.49,482.82
1940,793.45,1015.82,303.22,1043.27,1246.10,457.62,1127.75,579.10,1028.73,1155.41,384.11,559.16
1941,808.38,1080.60,276.59,1061.20,1258.41,471.64,1136.50,645.60,1047.77,1134.78,428.90,514.74
1942,780.18,1128.27,299.98,1103.35,1257.90,386.24,1105.19,523.70,1004.32,1088.53,332.73,699.54
1943,725.50,1049.03,274.07,1066.95,1169.94,319.37,1010.33,477.30,931.61,1026.27,280.58,705.57
1944,796.48,1064.61,309.01,1063.82,1230.31,478.44,1168.14,593.90,1052.76,1163.15,353.14,562.67
1945,778.37,1008.62,222.40,1058.65,1322.89,435.28,1354.53,582.40,1011.25,1269.54,294.12,536.97
1946,880.92,1324.50,370.84,1255.76,1516.53,671.54,1353.77,866.00,1142.07,1152.87,375.09,648.27
1947,868.53,1393.45,308.25,1163.10,1399.35,635.80,1318.59,785.30,1163.23,1370.21,350.72,470.23
1948,792.36,1278.58,255.39,1128.90,1239.68,418.79,1144.87,577.60,1062.91,1073.33,348.92,530.31
1949,803.70,1333.21,309.17,1153.82,1313.51,466.17,1221.74,609.70,1100.21,1123.12,287.70,516.64
1950,912.66,1702.76,578.85,1682.60,1362.86,612.31,1082.02,741.10,1097.01,1025.84,324.71,838.74
1951,801.68,722.39,251.82,807.66,1243.67,644.38,1220.43,848.90,1030.51,1144.68,543.42,534.43
1952,706.23,1065.18,280.17,1007.90,1191.25,472.61,1038.00,570.90,921.21,967.09,292.43,527.56
1953,755.28,773.38,353.03,1078.39,1294.80,509.90,1105.28,691.60,924.64,974.08,352.48,712.68
1954,841.14,1157.73,458.64,1304.25,1459.20,688.46,1232.69,845.00,1009.33,1086.63,355.24,690.73
1955,749.73,1092.97,353.96,1136.12,1325.55,518.57,1178.26,639.50,936.74,1053.82,273.36,578.10
1956,747.97,883.59,377.47,1038.79,1215.18,638.48,1164.50,764.80,908.28,1037.55,342.57,694.23
1957,832.64,1049.13,415.29,1118.71,1056.92,761.43,1061.15,886.00,1039.40,1105.45,470.90,708.68
1958,859.56,1533.06,366.95,1244.51,1453.49,627.44,1242.34,795.10,1150.02,1219.86,306.93,574.96
1959,771.22,1083.19,326.44,1089.69,1206.29,472.68,1134.29,596.80,992.41,1073.11,325.56,675.66
1960,741.85,1024.62,339.25,1012.56,1061.57,519.66,1089.41,672.30,959.82,998.42,366.02,525.80
1961,1031.40,1222.06,541.70,1163.15,1668.01,651.35,1497.92,793.40,1363.15,1613.46,486.11,653.99
1962,765.39,912.11,348.61,984.60,1255.30,517.19,1219.86,591.30,956.77,1161.83,363.03,537.74
1963,910.08,1314.61,392.44,1034.35,1142.79,643.60,1271.89,809.80,1216.08,1328.39,516.11,643.21
1964,943.97,1330.69,499.49,1385.95,1314.59,821.23,1239.03,988.40,1189.69,1226.28,424.43,907.81
1965,749.42,1034.45,285.78,1056.44,1174.81,408.65,1042.80,511.50,970.90,976.41,373.90,507.78
1966,847.97,1392.81,303.20,1011.75,1347.13,486.07,1245.42,664.80,1179.61,1247.34,397.40,454.59
1967,1082.36,1304.63,489.37,1452.54,1646.27,830.27,1362.09,1027.30,1376.03,1388.14,631.22,604.46
1968,892.22,1153.12,365.73,1058.95,1321.12,846.18,1101.73,994.90,1167.80,1102.01,588.55,491.44
1969,777.65,1209.29,361.63,1069.77,1181.80,621.31,1065.87,754.70,1022.32,982.34,395.18,455.20
1970,817.73,1153.99,388.85,1092.56,1333.41,624.18,1240.07,722.50,1062.08,1083.92,394.31,505.02
1971,821.90,1232.62,335.80,1291.60,1045.25,599.88,1042.61,797.90,1053.91,1013.92,425.78,500.90
1972,842.86,1139.13,331.16,1212.21,1124.48,646.98,961.71,754.40,1072.97,1049.02,500.25,534.76
1973,755.97,944.52,284.19,1276.71,1197.74,423.04,1053.09,597.90,917.03,958.62,335.01,572.86
1974,794.31,1126.95,301.07,1174.67,1463.31,590.43,1146.36,779.20,1041.17,1049.19,311.00,545.81
1975,901.29,1262.20,406.17,1372.67,1586.63,634.64,1205.10,903.20,1150.73,1171.14,338.53,828.41
1976,896.37,1056.81,311.54,1173.57,1404.94,823.24,1167.73,1115.80,1149.31,1092.51,549.36,588.55
1977,964.92,1379.63,377.90,1154.85,1094.99,709.71,1044.20,985.70,1319.95,1297.24,571.44,768.00
1978,772.47,1023.08,280.52,852.89,1032.19,552.48,1224.01,699.50,1017.87,1213.68,408.59,659.41
1979,772.21,1117.61,325.95,1079.18,1168.02,581.09,906.15,799.20,1003.96,993.48,384.20,639.00
