Variable:,pr
,Chile,"Los Rios","Aisen del Gral. Carlos Ibañez del Campo",Antofagasta,Araucania,"Arica y Painacota",Atacama,Biobio,Coquimbo,"Libertador Gral. Bernardo O'Higgins","Los Lagos","Magallanes y Antartica chilena",Maule,Metropolitana,Tarapaca,Valparaiso
1901,648.65,2031.68,1214.58,60.84,1508.60,88.47,66.42,1344.89,216.44,751.86,1739.48,666.04,954.57,488.27,37.00,419.82
1902,643.06,1928.23,1255.22,64.89,1360.61,109.10,68.68,1171.50,234.16,888.64,1839.16,580.06,1034.77,576.54,37.52,488.88
1903,485.49,1117.17,1175.79,77.38,735.71,106.65,50.90,590.34,130.28,523.91,1273.34,663.66,548.26,373.80,39.21,301.85
1904,704.48,1969.78,1212.35,44.81,1596.16,70.61,72.43,1603.76,279.91,1095.06,1694.00,747.88,1343.22,710.73,22.37,589.26
1905,633.63,1776.69,1142.55,45.26,1379.96,79.06,61.68,1289.78,263.39,1204.37,1445.48,609.42,1236.57,869.59,24.12,684.94
1906,555.43,1535.02,1084.68,48.79,1273.19,67.53,51.26,1253.57,169.19,688.67,1141.32,685.19,905.41,465.50,21.75,377.95
1907,548.53,1544.08,1121.25,50.09,1108.07,124.46,62.93,951.06,210.35,733.24,1375.54,623.01,824.37,528.33,25.04,418.10
1908,452.94,1137.87,1010.24,48.34,924.27,82.52,53.61,828.24,118.92,543.02,919.76,623.73,665.06,350.88,21.92,270.87
1909,449.59,1208.20,1041.16,45.99,886.13,77.41,45.48,725.09,119.82,462.16,1012.87,620.66,559.83,326.83,22.59,269.06
1910,526.56,1515.12,1170.95,56.15,1061.69,71.29,50.34,987.24,126.09,600.99,1441.90,524.28,766.61,369.69,22.46,296.35
1911,526.19,1356.26,1168.44,67.69,1072.08,121.91,49.61,968.22,113.77,530.42,1213.83,691.23,688.28,362.09,40.30,264.72
1912,544.85,1392.03,1121.26,67.28,978.98,101.82,56.97,863.76,178.02,690.62,1303.48,774.23,773.00,475.04,37.84,387.65
1913,603.42,1776.95,1211.72,64.71,1256.94,112.88,49.74,1071.48,118.34,579.70,1638.10,794.45,762.35,391.24,38.77,296.65
1914,730.48,1948.37,1348.85,60.49,1444.81,108.90,60.27,1388.40,318.56,1435.98,1591.25,808.82,1353.75,1058.27,37.94,817.30
1915,644.12,2155.80,1130.20,61.78,1337.56,105.38,58.94,1089.28,180.21,661.18,2137.12,753.28,824.12,443.02,37.47,358.17
1916,528.88,1810.30,918.44,59.23,1210.00,105.40,43.83,1021.05,75.53,482.32,1491.23,730.18,676.34,284.26,37.01,210.23
1917,495.46,1453.60,912.05,65.12,949.88,130.93,47.87,804.43,137.97,532.63,1299.12,763.19,652.95,360.71,38.03,298.41
1918,635.26,2121.84,1086.38,77.05,1408.62,121.86,53.47,1154.76,153.38,734.86,1763.28,810.40,904.80,489.23,39.14,378.77
1919,662.56,2100.74,1049.32,72.81,1478.49,119.25,63.06,1400.43,269.15,1149.39,1758.39,594.89,1262.45,785.66,37.86,634.74
1920,612.11,1957.93,1253.86,71.30,1263.38,157.60,53.93,972.95,121.75,564.48,1859.24,705.39,733.97,389.53,40.26,300.89
1921,598.09,1991.09,1235.54,75.42,1216.34,142.46,54.27,862.77,117.58,581.79,1962.72,616.84,683.49,415.39,39.63,329.21
1922,617.18,1856.71,1069.81,69.25,1279.29,142.86,72.59,1199.89,286.96,942.98,1665.26,610.28,978.77,714.97,38.99,591.90
1923,531.68,1507.99,1024.16,67.58,1033.83,113.03,60.05,978.34,192.90,684.05,1464.99,577.64,768.25,472.30,36.84,404.88
1924,496.36,1442.46,1277.29,60.83,823.45,78.40,43.48,597.23,53.26,197.03,1554.86,668.59,382.00,129.36,36.04,99.82
1925,562.68,1748.48,1203.42,66.13,1125.60,144.48,49.39,969.65,112.71,531.10,1569.76,632.95,747.59,377.26,37.74,277.51
1926,633.72,1914.53,984.43,61.66,1369.32,103.63,78.49,1315.90,349.39,1128.30,1506.74,667.24,1235.52,761.11,37.75,660.49
1927,609.95,1720.80,1091.55,72.50,1287.86,119.75,57.07,1244.96,220.68,876.75,1409.60,727.31,1000.98,696.51,39.07,546.60
1928,565.69,1743.64,1066.26,69.15,1129.55,116.74,64.13,911.88,233.19,785.57,1596.42,584.43,820.39,579.13,39.01,475.27
1929,588.02,1669.09,1217.24,66.47,1081.58,131.65,55.32,933.23,209.56,730.25,1628.68,681.61,783.19,562.30,39.93,453.89
1930,660.01,1998.56,1004.74,66.02,1452.69,115.30,96.49,1431.20,376.96,1026.29,1686.49,623.00,1224.44,766.76,37.55,719.91
1931,525.78,1425.10,1042.57,67.99,1071.11,84.26,48.63,1038.68,209.02,693.31,1223.11,588.13,825.24,524.79,23.10,461.50
1932,674.54,2007.65,1378.30,52.38,1306.57,93.20,56.04,1257.03,264.17,735.69,1907.84,714.20,929.82,588.66,21.14,526.06
1933,590.67,1596.39,1419.42,54.76,1065.29,84.71,46.28,964.45,115.72,559.20,1520.78,721.85,737.54,419.29,27.52,311.44
1934,578.84,1491.19,1232.08,46.45,1039.65,179.31,67.17,950.68,232.81,725.68,1424.26,715.82,806.35,570.56,56.86,480.58
1935,619.89,1684.06,1481.00,57.06,1258.08,110.16,47.99,1114.11,130.64,463.94,1489.16,784.39,726.47,373.98,37.16,307.80
1936,565.58,1811.56,1156.97,54.15,1295.90,107.69,58.45,1152.71,185.86,614.74,1455.59,505.05,794.86,546.85,33.46,467.09
1937,611.71,1761.19,1406.50,53.75,1158.80,149.13,42.89,1009.54,162.85,693.14,1566.76,660.18,825.66,529.45,50.87,420.05
1938,594.42,1556.95,1488.81,51.83,1046.84,56.35,48.36,936.88,132.74,501.33,1450.63,780.89,739.04,322.17,18.88,285.71
1939,616.96,1766.15,1368.94,56.36,1194.01,111.04,49.02,1071.48,135.69,569.88,1714.15,731.99,693.53,473.12,38.44,374.19
1940,692.17,2178.97,1313.04,45.86,1569.87,36.24,73.78,1411.02,311.05,709.74,1902.07,710.78,1065.66,532.92,13.98,467.56
1941,681.66,1839.13,1195.51,47.75,1385.25,65.25,86.88,1324.25,398.71,1087.13,1674.96,729.54,1135.96,958.94,21.65,827.56
1942,542.17,1414.74,1172.41,57.58,953.95,50.15,67.31,864.19,283.73,546.49,1284.93,733.35,690.19,518.98,19.11,494.11
1943,482.19,1270.19,1021.77,58.13,826.24,93.09,60.44,795.85,168.58,494.99,1197.79,682.11,636.51,376.95,31.02,297.66
1944,647.52,1938.93,1261.53,76.32,1184.99,234.91,74.90,1012.99,322.88,746.00,1968.02,614.22,846.90,670.12,76.35,602.38
1945,673.63,2045.91,1601.86,63.87,1286.73,68.71,45.83,1041.29,69.01,379.41,2183.24,778.78,670.68,246.35,24.90,186.13
1946,575.81,1613.57,1351.54,52.30,1106.11,87.11,54.65,903.95,159.09,371.44,1705.15,701.87,594.37,242.76,27.45,214.42
1947,551.12,1526.65,1253.29,61.24,1113.67,86.30,47.50,868.24,134.58,496.24,1339.71,769.84,594.15,366.00,30.58,319.65
1948,585.16,1619.42,1202.58,59.79,1154.25,97.31,53.27,1040.53,195.03,740.14,1463.85,671.75,889.06,551.32,33.32,475.66
1949,616.75,1760.13,1360.95,76.17,1172.67,105.70,57.07,892.96,197.16,518.37,1732.07,796.37,621.02,433.62,43.53,345.00
1950,656.74,2018.46,1175.73,59.19,1427.14,48.23,48.75,1306.50,197.41,686.81,1822.35,809.48,981.76,503.07,18.86,419.68
1951,618.75,1917.79,1198.99,52.59,1382.04,99.22,37.03,1238.63,146.97,747.35,1780.27,593.33,943.96,523.48,31.62,450.45
1952,446.79,1128.84,824.30,50.42,817.12,71.52,61.49,728.93,270.97,564.68,1093.92,650.85,594.45,475.60,26.72,410.99
1953,702.12,2044.67,1553.78,51.57,1447.87,83.29,52.75,1339.52,229.00,864.23,1890.42,618.67,970.05,773.06,26.17,629.69
1954,531.03,1723.21,935.27,62.99,1315.17,107.89,41.82,1114.09,191.81,567.18,1397.47,576.08,736.39,456.22,33.47,377.75
1955,537.55,1337.72,1265.36,62.16,820.31,157.13,39.54,744.45,133.01,445.25,1423.75,799.79,614.28,335.79,51.92,302.15
1956,481.60,1250.73,922.03,52.00,938.89,58.86,42.42,855.51,122.17,560.73,1237.97,718.63,696.00,405.34,21.83,276.51
1957,535.63,1587.21,1090.38,49.41,1097.30,75.75,45.10,927.64,190.25,538.17,1470.95,669.90,598.60,477.11,24.97,383.14
1958,565.46,1578.76,1203.92,52.27,1137.89,101.82,47.70,1042.60,180.75,586.17,1558.00,636.92,656.84,509.84,36.28,385.92
1959,572.16,1601.47,1188.45,54.02,1208.87,89.66,49.98,1159.36,171.47,741.58,1480.39,564.87,908.19,529.22,23.57,368.83
1960,494.31,1484.06,1061.16,56.08,1130.76,63.41,32.06,887.90,72.08,434.09,1475.44,525.24,571.10,339.83,16.06,276.24
1961,574.96,1837.20,1016.11,72.09,1334.18,90.32,58.07,1029.61,261.79,650.29,1620.97,623.60,821.23,468.15,32.78,396.60
1962,446.71,1238.16,1012.77,38.16,805.90,151.10,46.58,592.28,104.04,392.80,1327.32,583.39,393.93,369.92,41.04,301.61
1963,651.25,1818.92,1421.81,64.57,1245.14,126.36,67.19,1154.73,286.14,861.87,1542.82,678.61,921.32,681.07,38.94,551.22
1964,485.15,1513.04,1125.96,33.54,957.67,92.26,37.65,691.59,110.27,370.79,1594.24,531.68,453.77,258.47,24.37,210.33
1965,704.59,1924.06,1445.78,39.80,1403.83,48.74,81.93,1281.25,364.12,952.65,1866.13,710.39,1079.86,676.39,14.88,607.73
1966,603.62,1763.92,1283.45,30.81,1162.96,46.70,37.90,1067.46,211.40,773.88,1753.59,618.40,871.33,505.62,10.71,449.90
1967,551.78,1722.09,1274.99,45.33,1087.62,105.66,38.16,827.29,137.68,401.32,1739.84,628.54,517.09,244.14,33.68,233.62
1968,476.14,1459.74,1196.58,78.23,886.58,124.18,21.41,618.14,52.97,194.83,1485.76,601.21,330.99,120.59,44.64,105.72
1969,585.37,1930.72,1267.33,37.81,1173.66,85.91,36.01,1057.95,54.10,546.92,1756.40,673.81,704.58,324.20,32.37,215.03
1970,565.19,1711.04,1235.01,47.43,1067.90,68.57,28.00,847.66,106.01,512.82,1821.61,663.99,645.47,377.21,26.09,356.55
1971,588.95,1778.49,1276.81,62.36,1106.36,143.01,42.55,967.88,121.81,501.68,1797.72,693.27,655.10,340.78,51.19,240.29
1972,705.39,1799.01,1428.80,77.99,1396.09,164.45,83.02,1337.01,324.01,1164.66,1572.61,672.24,1235.58,844.82,68.77,629.95
1973,537.17,1509.16,1304.35,70.46,1053.30,131.26,26.91,742.09,100.78,509.26,1381.03,657.81,611.58,327.97,60.39,257.45
1974,524.17,1410.68,1208.09,45.16,989.17,123.00,30.44,862.26,117.28,696.15,1370.95,533.36,807.30,516.31,51.21,414.02
1975,590.81,1484.19,1319.40,82.23,1075.11,177.34,67.36,1011.14,173.92,596.58,1717.06,595.09,867.88,333.32,69.17,275.51
1976,569.49,1438.64,1294.68,136.25,925.14,143.61,72.78,769.69,172.08,472.60,1480.38,769.31,586.90,340.72,59.15,282.61
1977,709.28,1819.94,1621.76,91.78,1390.04,164.57,49.78,1198.60,196.18,889.80,1943.90,652.54,984.67,622.81,69.75,502.57
1978,589.63,1740.40,1172.84,51.85,1243.65,68.40,28.37,1044.97,164.08,833.87,1608.39,659.81,881.63,580.37,22.85,408.95
1979,592.83,1655.65,1351.25,62.01,1133.47,95.91,39.14,994.35,44.06,630.95,1616.90,726.47,792.36,395.77,32.20,262.50
1980,679.49,1903.87,1409.27,40.27,1449.04,50.20,66.46,1292.96,173.09,889.25,1825.27,736.63,1034.83,597.17,15.68,466.91
1981,581.55,1616.54,1215.56,62.59,1133.98,109.20,52.14,988.30,151.59,550.55,1664.11,721.13,676.93,425.21,36.59,354.92
1982,667.09,1729.22,1214.05,36.84,1365.06,103.53,47.88,1374.31,266.94,1287.63,1627.05,657.27,1251.40,985.20,30.46,737.07
1983,493.88,1217.02,1078.69,42.66,936.92,25.72,82.90,812.00,252.52,538.97,1237.78,592.50,632.47,495.78,9.09,454.97
1984,611.51,1722.65,1025.70,74.23,1302.21,169.71,121.37,1200.69,304.11,937.29,1579.36,571.28,1055.60,733.87,59.02,625.67
1985,542.15,1518.46,1230.57,88.17,1072.28,143.03,39.46,873.90,67.27,391.54,1557.23,674.73,571.44,301.24,40.48,205.67
1986,611.62,1826.48,1223.58,98.23,1275.66,152.51,64.27,1232.30,195.96,818.72,1401.39,600.58,985.39,611.00,51.14,481.45
1987,615.14,1547.01,1089.22,143.57,1056.12,60.30,190.18,1014.43,457.67,994.97,1362.16,584.36,900.44,1020.29,33.45,899.84
