Variable:,pr
,Tokelau,"Administrative unit not available"
1901,2732.00,2682.45
1902,2732.00,2682.45
1903,2732.00,2682.45
1904,2732.00,2682.45
1905,2732.00,2682.45
1906,2732.00,2682.45
1907,2732.00,2682.45
1908,2732.00,2682.45
1909,2732.00,2682.45
1910,2732.00,2682.45
1911,2732.00,2682.45
1912,2732.00,2682.45
1913,2732.00,2682.45
1914,2732.00,2682.45
1915,2732.00,2682.45
1916,2732.00,2682.45
1917,2732.00,2682.45
1918,2732.00,2682.45
1919,2732.00,2682.45
1920,2732.00,2682.45
1921,2732.00,2682.45
1922,2732.00,2682.45
1923,2732.00,2682.45
1924,2732.00,2682.45
1925,2732.00,2682.45
1926,2732.00,2682.45
1927,2732.00,2682.45
1928,2732.00,2682.45
1929,2732.00,2682.45
1930,2732.00,2682.45
1931,2732.00,2682.45
1932,2732.00,2682.45
1933,2732.00,2682.45
1934,2732.00,2682.45
1935,2732.00,2682.45
1936,2732.00,2682.45
1937,2732.00,2682.45
1938,2732.00,2682.45
1939,2732.00,2682.45
1940,3868.20,3824.37
1941,3252.90,3222.43
1942,3821.30,3777.56
1943,3239.70,3190.04
1944,3217.40,3173.52
1945,2435.00,2377.03
1946,2750.40,2704.27
1947,2732.00,2682.45
1948,2732.00,2682.45
1949,2570.60,2526.24
1950,2231.90,2176.50
1951,2599.70,2553.84
1952,3008.40,2962.43
1953,3764.50,3714.01
1954,3125.80,3058.09
1955,2620.90,2567.93
1956,2822.40,2763.22
1957,3022.80,2975.77
1958,3720.00,3659.63
1959,2721.10,2666.40
1960,2717.10,2664.74
1961,3018.40,2957.87
1962,2379.50,2343.11
1963,2388.30,2344.96
1964,3570.50,3495.79
1965,3000.10,2953.49
1966,3710.40,3640.75
1967,2947.00,2891.51
1968,2723.10,2665.90
1969,2865.80,2821.37
1970,3219.00,3163.75
1971,1936.00,1901.64
1972,2529.20,2479.44
1973,3046.30,2995.13
1974,2173.50,2125.07
1975,2381.30,2325.75
1976,1455.00,1423.93
1977,3945.40,3898.57
1978,2613.60,2562.05
1979,2368.10,2327.44
1980,2650.30,2617.59
1981,2573.50,2539.68
1982,1909.60,1884.60
1983,3073.60,3004.89
1984,3005.80,2970.03
1985,2440.80,2396.37
1986,3108.30,3039.31
1987,3002.90,2962.61
1988,3109.20,3041.18
1989,2738.10,2681.06
1990,2239.00,2185.62
1991,2792.40,2739.75
1992,3037.70,2981.14
1993,3207.00,3158.31
1994,2880.90,2839.95
1995,3431.00,3374.10
1996,2535.30,2494.13
1997,2732.00,2682.45
1998,2732.00,2682.45
1999,2732.00,2682.45
2000,2732.00,2682.45
2001,2732.00,2682.45
2002,2732.00,2682.45
2003,2732.00,2682.45
2004,2732.00,2682.45
2005,2732.00,2682.45
2006,2732.00,2682.45
2007,2732.00,2682.45
2008,2732.00,2682.45
2009,2732.00,2682.45
2010,2732.00,2682.45
2011,2732.00,2682.45
2012,2732.00,2682.45
2013,2732.00,2682.45
2014,2732.00,2682.45
2015,2732.00,2682.45
2016,2732.00,2682.45
2017,2732.00,2682.45
2018,2732.00,2682.45
2019,2732.00,2682.45
2020,2732.00,2682.45
