Variable:,pr
,Norway,Akershus,Aust-agder,Buskerud,Finnmark,Hedmark,Hordaland,"Moere Og Romsdal",Nord-troendelag,Nordland,Oestfold,Oppland,Oslo,Rogaland,Soer-Troendelag,"Sogn og Fjordane",Telemark,Troms,Vest-Agder,Vestfold
1901,886.26,620.75,987.64,662.76,486.38,527.25,1510.33,1156.59,943.48,1341.87,588.86,645.85,678.44,1427.93,769.40,1308.06,760.11,736.28,1348.51,735.31
1902,905.97,589.17,896.74,550.02,561.20,529.03,1474.01,1361.69,1045.38,1296.06,657.55,618.72,606.38,1297.64,902.22,1423.07,655.91,813.34,1211.85,692.19
1903,1056.68,818.95,1398.13,824.75,572.71,654.17,1962.00,1327.35,1135.42,1302.21,857.53,760.62,880.23,1955.87,895.79,1589.35,1017.28,756.66,1922.87,1028.58
1904,819.89,537.50,982.83,513.49,486.28,444.69,1486.65,1011.19,972.27,1176.08,600.06,496.60,571.75,1446.37,734.93,1190.44,677.00,685.71,1385.51,676.86
1905,1022.31,614.59,1085.31,627.70,582.24,564.72,1835.10,1716.48,1161.32,1257.61,634.93,726.98,652.41,1598.29,1037.67,1811.43,792.72,810.84,1497.97,751.62
1906,1021.10,672.77,1187.11,701.73,529.54,603.90,1837.91,1616.32,1123.10,1249.32,692.74,773.06,722.42,1703.95,993.98,1756.03,845.44,747.96,1650.51,819.54
1907,1005.90,846.00,1222.15,794.17,556.41,669.11,1706.92,1358.00,1106.79,1240.03,870.16,757.56,893.75,1687.32,921.71,1475.75,914.04,786.95,1661.99,984.43
1908,940.39,660.04,1096.74,703.63,545.65,540.60,1690.98,1306.42,976.91,1234.25,636.96,674.37,729.32,1540.54,832.17,1470.30,826.02,822.32,1488.29,806.12
1909,1063.80,921.37,1197.52,844.95,555.43,722.46,1761.91,1482.04,1163.66,1374.80,950.67,836.69,986.74,1627.95,992.37,1613.03,944.40,853.49,1575.56,1045.87
1910,936.73,860.35,1339.69,853.78,495.32,632.77,1614.87,1109.34,945.50,1114.62,844.43,726.93,940.80,1733.67,771.14,1270.99,985.56,696.80,1805.73,1056.43
1911,956.59,592.00,1128.35,602.82,569.81,474.16,1721.38,1392.57,1055.50,1302.19,672.35,600.83,635.27,1654.63,890.21,1466.59,786.55,854.42,1591.99,778.84
1912,947.23,842.39,1260.64,812.66,534.34,705.23,1698.01,1066.97,1022.86,1080.68,864.18,720.91,901.93,1740.95,815.70,1282.89,928.68,702.09,1720.42,973.30
1913,966.01,616.09,1066.02,668.71,484.50,558.27,1787.12,1462.83,1074.89,1310.06,621.69,704.24,667.29,1607.70,914.11,1604.38,772.90,739.29,1470.59,751.49
1914,1000.45,616.96,1321.54,685.76,549.96,497.19,1932.82,1407.73,1052.67,1302.50,614.03,668.59,683.45,1884.66,846.66,1620.26,909.83,752.05,1852.11,859.24
1915,844.71,708.21,893.96,672.57,474.90,620.78,1238.14,1184.98,1047.74,1077.90,695.90,698.72,761.45,1165.11,883.30,1168.62,713.03,675.19,1175.85,774.65
1916,1024.72,894.22,1493.98,910.93,457.76,732.98,1969.94,1298.20,1061.02,1057.53,872.77,835.18,972.10,2045.33,921.21,1518.96,1069.91,652.17,2064.05,1089.61
1917,1018.80,622.84,1165.29,626.31,570.00,514.84,1875.73,1626.67,1119.84,1338.47,703.49,679.87,658.66,1731.76,958.44,1744.93,820.42,807.66,1598.65,815.55
1918,960.10,689.08,1101.34,721.15,494.10,598.19,1789.42,1308.10,1031.74,1259.52,710.25,716.73,733.10,1577.66,855.34,1555.41,848.02,759.75,1472.68,820.17
1919,852.57,602.62,899.14,603.23,494.16,518.88,1416.00,1153.95,1026.91,1187.79,634.15,628.53,644.65,1260.81,783.24,1303.29,683.26,720.68,1214.67,683.47
1920,1078.22,849.48,1381.29,822.56,601.39,650.72,1970.93,1266.31,1128.94,1506.90,849.73,735.10,911.48,1931.54,838.37,1520.02,1024.62,888.07,1868.19,1026.21
1921,1211.23,512.96,983.04,558.84,701.77,563.36,2309.97,2061.01,1511.28,1786.70,564.71,780.70,541.42,1734.82,1236.96,2240.89,698.18,1072.16,1393.99,589.52
1922,965.02,635.89,1079.77,687.34,542.27,581.84,1570.83,1571.74,1044.67,1217.98,598.61,778.67,692.16,1504.89,961.27,1582.98,800.78,725.71,1479.58,746.14
1923,1005.36,764.95,1366.03,753.78,530.49,602.64,2012.92,1382.05,1034.62,1088.81,851.07,711.90,809.76,1935.98,887.16,1658.61,962.24,712.96,1875.23,959.14
1924,1058.41,953.08,1339.69,917.79,506.17,775.83,1860.76,1267.83,1134.44,1358.45,959.38,818.86,1014.84,1801.19,904.42,1526.22,1048.73,780.32,1778.64,1114.98
1925,1096.94,719.95,1188.83,741.43,531.05,637.26,1845.05,1908.33,1259.70,1434.55,703.48,851.91,778.52,1673.94,1117.38,1885.03,871.07,796.86,1627.37,862.37
1926,1042.47,839.10,1255.64,871.04,564.78,715.69,1718.76,1448.32,1100.88,1289.70,792.65,856.46,908.54,1700.01,952.64,1545.41,964.39,796.67,1691.38,974.51
1927,1028.55,1026.27,1470.03,949.09,506.90,762.49,1698.05,1255.92,1132.46,1154.11,1066.45,827.46,1100.41,1852.30,914.80,1375.56,1119.37,668.21,1934.96,1237.97
1928,986.18,786.49,1279.65,775.83,504.86,644.53,1882.40,1232.90,1060.06,1188.26,814.55,730.32,840.29,1819.01,854.97,1486.69,936.24,724.60,1766.23,940.65
1929,1065.36,804.64,1284.65,788.71,589.86,691.28,1943.63,1346.25,1197.76,1357.64,849.15,765.04,858.03,1856.16,963.62,1577.03,943.35,826.16,1774.03,958.13
1930,997.76,881.17,1363.29,846.67,468.77,669.04,1715.58,1220.43,1026.27,1323.57,868.68,767.23,952.47,1800.81,811.09,1411.36,1010.44,746.08,1854.01,1054.38
1931,976.53,634.19,1138.09,666.94,591.96,584.79,1607.51,1389.00,1095.73,1300.37,653.62,697.48,675.35,1587.53,926.43,1433.13,821.52,838.58,1570.78,783.93
1932,1108.66,725.07,1212.31,695.19,756.22,555.51,1813.10,1508.75,1150.79,1689.66,801.33,698.26,778.56,1736.16,937.93,1593.80,883.77,1099.34,1654.37,925.76
1933,861.58,577.83,855.07,577.25,529.12,512.23,1277.78,1270.80,1012.35,1279.18,595.18,637.52,623.15,1138.53,853.25,1262.55,662.62,784.14,1139.85,692.35
1934,1157.79,936.78,1486.92,945.26,552.99,767.83,2227.54,1500.83,1221.11,1390.94,944.24,887.25,1011.31,2084.84,1021.77,1825.76,1110.40,793.54,2009.49,1122.78
