Variable:,pr
,"Solomon Islands","Administrative unit not available"
1901,2962.56,3044.17
1902,2962.56,3044.17
1903,2962.56,3044.17
1904,2962.56,3044.17
1905,2962.56,3044.17
1906,2962.56,3044.17
1907,2962.56,3044.17
1908,2962.56,3044.17
1909,2962.56,3044.17
1910,2962.56,3044.17
1911,2962.56,3044.17
1912,2962.56,3044.17
1913,2962.56,3044.17
1914,2962.56,3044.17
1915,2962.56,3044.17
1916,2962.56,3044.17
1917,2962.56,3044.17
1918,2962.56,3044.17
1919,2962.56,3044.17
1920,2962.56,3044.17
1921,2962.56,3044.17
1922,2962.56,3044.17
1923,2962.56,3044.17
1924,2962.56,3044.17
1925,2962.56,3044.17
1926,2962.56,3044.17
1927,2962.56,3044.17
1928,2962.56,3044.17
1929,2962.56,3044.17
1930,2962.56,3044.17
1931,2962.56,3044.17
1932,2962.56,3044.17
1933,2962.56,3044.17
1934,2962.56,3044.17
1935,2962.56,3044.17
1936,2962.56,3044.17
1937,2962.56,3044.17
1938,2962.56,3044.17
1939,2962.56,3044.17
1940,2962.56,3044.17
1941,2962.56,3044.17
1942,2962.56,3044.17
1943,2962.56,3044.17
1944,2962.56,3044.17
1945,2962.56,3044.17
1946,2962.56,3044.17
1947,2962.56,3044.17
1948,2962.56,3044.17
1949,2962.56,3044.17
1950,2962.56,3044.17
1951,2962.56,3044.20
1952,2962.56,3044.24
1953,2962.56,3044.09
1954,2962.56,3044.25
1955,2963.70,3045.62
1956,2943.61,3022.28
1957,2975.97,3059.88
1958,2963.59,3045.44
1959,2981.72,3067.12
1960,2962.56,3044.24
1961,3049.42,3122.33
1962,3253.93,3307.69
1963,2938.75,2997.66
1964,2444.41,2553.41
1965,3564.79,3666.49
1966,2406.24,2553.33
1967,3877.75,3898.95
1968,3036.36,3135.83
1969,3137.79,3241.52
1970,3398.28,3416.54
1971,3086.91,3106.53
1972,3795.25,3815.70
1973,2714.81,2824.34
1974,2670.84,2704.93
1975,2998.80,3087.19
1976,3119.87,3248.82
1977,3136.29,3273.46
1978,2961.81,3041.00
1979,2886.16,3027.87
1980,2897.03,3046.92
1981,2227.60,2393.33
1982,3261.57,3340.32
1983,2578.92,2694.59
1984,2651.33,2696.71
1985,3332.64,3333.66
1986,2754.70,2795.38
1987,2020.54,2127.76
1988,3465.05,3490.47
1989,2632.30,2675.09
1990,2748.32,2915.58
1991,2795.27,2899.79
1992,2962.56,3044.00
1993,2962.56,3043.88
1994,2962.56,3043.97
1995,2962.56,3044.00
1996,2962.56,3044.02
1997,2962.56,3044.05
1998,2962.56,3044.12
1999,2962.56,3044.19
2000,2962.56,3044.15
2001,2962.56,3044.19
2002,2962.56,3044.12
2003,2962.56,3044.15
2004,2962.56,3044.00
2005,2962.56,3044.16
2006,2962.56,3044.20
2007,2962.56,3044.24
2008,2962.56,3044.17
2009,2962.56,3044.08
2010,2962.56,3044.12
2011,2962.56,3044.17
2012,2962.56,3044.17
2013,2962.56,3044.17
2014,2962.56,3044.17
2015,2962.56,3044.17
2016,2962.56,3044.17
2017,2962.56,3044.17
2018,2962.56,3044.17
2019,2962.56,3044.17
2020,2962.56,3044.17
