Variable:,pr
,Djibouti,"Ali Sabieh",Dikhil,Djibouti,Obock,Tadjourah
1901,424.42,469.53,514.55,380.99,278.10,419.23
1902,71.73,86.49,76.88,64.90,58.12,74.09
1903,238.20,299.41,280.72,229.63,154.27,231.35
1904,294.19,360.46,336.75,278.14,203.97,293.06
1905,383.77,478.57,449.12,378.16,255.80,369.56
1906,198.03,221.10,230.07,177.10,141.46,199.92
1907,109.22,120.21,130.29,97.62,74.92,108.84
1908,112.57,127.21,136.02,98.57,75.93,111.38
1909,247.76,255.71,318.31,211.04,145.82,242.98
1910,175.96,181.42,219.46,152.26,111.08,174.59
1911,494.93,604.91,552.27,491.31,358.92,490.21
1912,224.44,252.22,265.44,202.85,153.22,224.68
1913,199.49,234.57,234.13,192.68,135.90,194.64
1914,343.03,389.90,412.89,317.43,222.17,337.49
1915,143.10,165.62,187.05,123.96,77.71,136.50
1916,338.75,363.82,399.78,300.93,235.40,342.37
1917,223.07,240.35,282.13,196.91,135.82,216.47
1918,20.22,20.45,27.10,16.30,13.49,18.47
1919,257.70,275.46,314.93,228.35,168.27,255.52
1920,239.60,259.12,296.46,211.00,153.69,235.08
1921,120.17,136.66,145.71,110.17,79.36,116.49
1922,278.36,300.44,336.43,252.61,183.89,276.43
1923,314.73,385.20,367.74,301.26,209.12,309.74
1924,188.41,212.41,220.57,170.40,131.72,188.56
1925,227.26,263.23,267.17,209.89,155.74,224.83
1926,334.77,422.04,377.26,333.80,239.31,326.25
1927,196.34,239.75,237.05,188.51,124.75,187.77
1928,146.28,184.30,162.00,143.54,108.47,144.48
1929,222.21,268.21,252.50,209.75,155.76,223.52
1930,228.34,288.87,268.28,224.94,149.70,220.10
1931,179.75,221.95,226.82,178.19,105.28,163.75
1932,306.23,360.58,369.61,286.53,194.99,298.24
1933,113.55,139.38,141.35,107.40,69.76,105.99
1934,164.61,176.09,202.47,144.52,105.59,163.37
1935,194.88,240.64,223.27,194.97,138.33,187.66
1936,234.58,289.26,277.14,226.48,155.95,225.97
1937,256.39,316.30,301.72,242.82,171.42,249.56
1938,168.24,177.59,203.22,147.59,112.47,169.05
1939,191.77,221.31,224.53,177.74,133.56,189.53
1940,121.76,135.57,159.47,105.03,70.32,114.72
