Variable:,pr
,"Czech Republic",Jihocesky,Jihomoravsky,Praha,Severocesky,Severomoravsky,Stredocesky,Vychodocesky,Zapadocesky
1901,650.85,652.93,598.13,557.18,619.93,777.17,591.78,701.34,631.02
1902,651.32,634.44,618.73,523.48,620.26,823.13,562.70,694.31,616.09
1903,775.10,749.05,799.96,622.27,688.45,1004.41,666.68,851.42,643.05
1904,618.27,605.63,614.60,497.45,586.92,749.83,538.14,661.06,571.10
1905,659.02,650.58,614.03,537.23,634.54,815.91,570.38,704.96,638.19
1906,778.44,818.05,761.65,639.35,690.41,931.42,685.54,826.74,722.73
1907,683.31,664.57,618.74,570.64,685.38,826.54,609.84,752.70,658.35
1908,567.50,546.20,507.14,471.32,566.16,723.90,500.90,608.67,548.67
1909,773.50,763.12,737.59,639.01,729.07,953.94,682.15,852.58,706.72
1910,872.19,917.83,883.09,710.03,761.48,1050.64,764.16,937.07,763.84
1911,599.48,583.34,599.11,485.92,556.12,733.06,526.39,671.11,523.46
1912,789.46,796.04,755.32,644.81,725.72,989.72,685.85,834.27,741.47
1913,688.10,704.45,643.81,574.86,629.40,826.42,608.13,727.61,681.17
1914,674.66,681.34,627.33,551.68,654.22,809.64,592.93,710.56,662.86
1915,830.58,837.55,807.07,667.29,752.79,1011.53,722.16,916.70,761.52
1916,805.31,803.61,773.10,655.94,740.97,980.80,706.14,875.33,759.89
1917,568.70,534.61,510.70,469.42,586.48,679.11,502.40,637.07,564.75
1918,728.97,730.08,736.88,571.73,659.10,906.08,622.81,794.41,639.29
1919,800.11,802.98,775.65,662.00,728.44,967.39,711.39,888.29,725.65
1920,731.59,719.07,714.83,595.33,683.94,890.88,643.37,800.91,669.60
1921,554.33,585.76,532.57,438.55,532.46,640.68,479.08,597.48,518.68
1922,776.80,803.88,686.17,656.68,742.04,884.41,701.30,846.62,803.44
1923,692.90,691.97,659.87,553.93,663.38,824.13,604.77,756.53,662.59
1924,608.25,592.40,544.35,514.67,614.55,733.64,541.14,631.93,628.76
1925,776.80,758.39,761.68,645.54,703.02,983.69,686.40,857.20,680.07
1926,816.24,839.55,771.25,677.15,776.14,976.33,726.62,892.01,745.20
1927,675.55,611.51,581.77,577.56,742.73,830.64,605.55,755.08,663.13
1928,679.31,710.39,645.62,569.81,627.40,780.76,613.10,759.24,624.14
1929,621.29,603.95,593.00,515.75,586.92,751.63,553.83,698.54,570.92
1930,754.71,776.69,716.22,609.18,710.92,909.01,656.52,805.86,715.86
1931,685.61,655.37,611.71,558.87,708.05,844.63,597.24,756.26,667.21
1932,555.73,591.27,473.35,492.42,549.48,616.66,517.34,596.24,575.98
1933,623.16,668.36,617.54,484.68,538.35,766.03,524.61,643.04,584.75
1934,603.48,580.52,569.39,490.43,588.18,747.95,530.55,666.93,557.63
1935,655.66,644.63,600.30,534.19,646.60,803.49,573.78,712.47,632.23
1936,714.98,742.42,676.22,592.91,642.01,872.80,629.17,728.11,711.15
1937,799.74,783.54,817.41,635.18,705.10,1020.67,683.88,860.74,702.37
1938,722.14,689.79,660.13,609.92,712.32,891.17,645.06,824.67,661.29
1939,875.27,862.46,806.95,750.68,841.13,1029.46,797.34,973.76,840.05
1940,747.21,740.27,709.12,631.53,704.19,892.92,666.25,775.92,748.30
1941,892.04,897.10,815.66,773.89,851.99,1032.59,819.83,1005.14,847.87
1942,601.77,613.25,590.50,493.29,545.98,723.53,528.70,656.33,547.46
1943,554.28,584.54,552.52,444.33,479.93,688.62,475.10,555.57,525.21
1944,839.55,876.73,801.09,687.37,752.36,968.24,739.43,902.58,832.35
1945,716.15,709.95,629.61,608.37,719.74,856.69,642.75,815.16,681.00
1946,718.62,700.82,671.94,591.53,700.06,867.84,640.28,810.02,663.30
1947,600.43,591.07,534.54,483.97,596.29,718.53,525.68,673.87,595.06
1948,679.79,715.88,617.47,564.37,646.03,792.03,604.55,731.47,668.41
1949,670.12,716.24,641.57,552.88,604.95,790.60,594.34,704.03,636.12
1950,728.69,706.69,693.74,602.55,720.72,842.97,648.90,790.99,716.58
1951,645.38,654.34,676.75,521.50,566.67,762.77,559.28,662.66,604.35
1952,711.00,713.88,634.10,577.10,678.60,881.90,619.54,757.39,716.01
1953,540.45,555.85,538.54,438.49,498.78,657.00,465.55,554.95,504.44
